# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,-0.21174203213712417,0.0,-0.09289384,-1.123352,0,true,,,,,1464517994933,???
serverInfo,,,,,,,,,159,20.0,1464517994933,0
move,-0.1439382443278845,0.0,-0.10177612,-0.44433594,0,true,,,,,1464517994983,50
serverInfo,,,,,,,,,159,20.0,1464517994983,0
animation,,,,,,,,,,,1464517994989,6
attack,,,,,,,,,,,1464517994989,0
attackInfo,,,,,,,0.9995785538453932,3.372634545670643,,,1464517994989,0
serverInfo,,,,,,,,,159,19.97602876548142,1464517994989,0
move,-0.07990572778878402,0.0,-0.11150646,0.32025146,0,true,,,,,1464517995033,44
serverInfo,,,,,,,,,159,20.0,1464517995033,0
move,-0.03913816437202655,0.0,-0.123597145,0.92388916,0,true,,,,,1464517995033,0
serverInfo,,,,,,,,,159,20.0,1464517995033,0
move,-0.01687907216102502,0.0,-0.13884163,1.3886719,0,true,,,,,1464517995083,50
serverInfo,,,,,,,,,159,20.0,1464517995083,0
animation,,,,,,,,,,,1464517995165,82
attack,,,,,,,,,,,1464517995165,0
attackInfo,,,,,,,0.9910608954321366,3.4516656205101577,,,1464517995165,0
serverInfo,,,,,,,,,159,19.87281399046105,1464517995165,0
move,-0.10592348988890166,0.0,-0.1622982,0.08276367,0,true,,,,,1464517995183,18
serverInfo,,,,,,,,,159,20.0,1464517995183,0
animation,,,,,,,,,,,1464517995265,82
attack,,,,,,,,,,,1464517995265,0
attackInfo,,,,,,,0.9925450319697919,3.5201219665286407,,,1464517995265,0
serverInfo,,,,,,,,,159,19.87281399046105,1464517995265,0
move,-0.15507466529383152,0.0,-0.19166946,-0.8234863,0,true,,,,,1464517995283,18
serverInfo,,,,,,,,,159,20.0,1464517995283,0
move,-0.18325153610382472,0.0,-0.22722054,-1.5667725,0,true,,,,,1464517995283,0
serverInfo,,,,,,,,,159,20.0,1464517995283,0
move,-0.20047628727648004,0.0,-0.27012253,-2.2992554,0,true,,,,,1464517995283,0
serverInfo,,,,,,,,,159,20.0,1464517995283,0
move,-0.21345974361254605,0.0,-4.511961,-2.822815,0,true,,,,,1464517995383,100
serverInfo,,,,,,,,,159,20.0,1464517995383,0
animation,,,,,,,,,,,1464517995424,41
attack,,,,,,,,,,,1464517995424,0
attackInfo,,,,,,,0.9910839612461284,3.000606510464433,,,1464517995424,0
serverInfo,,,,,,,,,159,19.8373338623289,1464517995424,0
move,-0.2085579386390819,0.0,-4.38554,-3.1866455,0,true,,,,,1464517995433,9
serverInfo,,,,,,,,,159,20.0,1464517995433,0
move,-0.042584379864969435,0.0,-2.7578888,0.48425293,0,true,,,,,1464517995433,0
serverInfo,,,,,,,,,159,20.0,1464517995433,0
move,0.05666600286816248,0.0,-2.671524,2.6390991,0,true,,,,,1464517995533,100
serverInfo,,,,,,,,,159,20.0,1464517995533,0
animation,,,,,,,,,,,1464517995569,36
attack,,,,,,,,,,,1464517995569,0
attackInfo,,,,,,,0.9545602728142596,2.636010082554734,,,1464517995569,0
serverInfo,,,,,,,,,159,19.857029388403497,1464517995569,0
move,0.10431812585588318,0.0,0.82940865,4.524414,0,true,,,,,1464517995583,14
serverInfo,,,,,,,,,159,20.0,1464517995583,0
move,0.12456598157783105,0.0,4.6029587,4.6100464,0,true,,,,,1464517995583,0
serverInfo,,,,,,,,,159,20.0,1464517995583,0
move,0.13333551866247717,0.0,4.7197056,4.729553,0,true,,,,,1464517995683,100
serverInfo,,,,,,,,,159,20.0,1464517995683,0
move,0.13812368646684803,0.0,1.4882164,5.256714,0,true,,,,,1464517995733,50
serverInfo,,,,,,,,,159,20.0,1464517995733,0
animation,,,,,,,,,,,1464517995745,12
attack,,,,,,,,,,,1464517995745,0
attackInfo,,,,,,,0.9895051382040325,2.83719356673892,,,1464517995745,0
serverInfo,,,,,,,,,159,19.952114924181966,1464517995745,0
move,0.14040107015890158,0.0,1.5596142,5.3809204,0,true,,,,,1464517995783,38
serverInfo,,,,,,,,,159,20.0,1464517995783,0
move,0.1393336795235811,0.0,1.5887575,5.366577,0,true,,,,,1464517995783,0
serverInfo,,,,,,,,,159,20.0,1464517995783,0
move,0.12411514245833644,0.0,-0.089440346,6.367737,0,true,,,,,1464517995833,50
serverInfo,,,,,,,,,159,20.0,1464517995833,0
animation,,,,,,,,,,,1464517995905,72
attack,,,,,,,,,,,1464517995905,0
attackInfo,,,,,,,0.9662792861534301,2.85038180615852,,,1464517995905,0
serverInfo,,,,,,,,,159,19.91238550378335,1464517995905,0
move,0.09441201451330272,0.0,-2.524994,3.6972656,0,true,,,,,1464517995933,28
serverInfo,,,,,,,,,159,20.0,1464517995933,0
move,0.07015153084272896,0.0,-3.7679214,3.121521,0,true,,,,,1464517995933,0
serverInfo,,,,,,,,,159,20.0,1464517995933,0
animation,,,,,,,,,,,1464517996022,89
attack,,,,,,,,,,,1464517996022,0
attackInfo,,,,,,,0.9553659908376054,2.7620074952415705,,,1464517996022,0
serverInfo,,,,,,,,,159,19.845207382417147,1464517996022,0
move,0.047326630188344154,0.0,-3.6533184,2.8758545,0,true,,,,,1464517996033,11
serverInfo,,,,,,,,,159,20.0,1464517996033,0
move,0.012302504029200634,0.0,-2.337429,3.1327515,0,true,,,,,1464517996033,0
serverInfo,,,,,,,,,159,20.0,1464517996033,0
move,-0.032606340759315344,0.0,-2.4591656,2.6531982,0,true,,,,,1464517996133,100
serverInfo,,,,,,,,,159,20.0,1464517996133,0
move,-0.06973562253977406,0.0,0.6359501,1.8875122,0,true,,,,,1464517996183,50
serverInfo,,,,,,,,,159,20.0,1464517996183,0
animation,,,,,,,,,,,1464517996233,50
move,-0.09205743533516397,0.0,4.326496,0.9180298,0,true,,,,,1464517996233,0
serverInfo,,,,,,,,,159,20.0,1464517996233,0
attack,,,,,,,,,,,1464517996233,0
attackInfo,,,,,,,0.9584663944780265,2.9879494542783545,,,1464517996233,0
serverInfo,,,,,,,,,159,20.0,1464517996233,0
move,-0.1059573197605772,0.41999998688697815,18.107737,0.7859497,0,true,,,,,1464517996233,0
serverInfo,,,,,,,,,159,20.0,1464517996233,0
jump,,,,,,,,,,,1464517996233,0
move,-0.07000458629276096,0.33319999363422426,14.873304,-1.1963501,0,false,,,,,1464517996333,100
serverInfo,,,,,,,,,159,20.0,1464517996333,0
animation,,,,,,,,,,,1464517996338,5
attack,,,,,,,,,,,1464517996338,0
attackInfo,,,,,,,0.940202754259049,2.7406216360292754,,,1464517996338,0
serverInfo,,,,,,,,,159,19.980019980019982,1464517996338,0
move,-0.07775619202292461,0.24813599859093927,7.9660873,3.654541,0,false,,,,,1464517996383,45
serverInfo,,,,,,,,,159,20.0,1464517996383,0
move,-0.08626172444699876,0.1647732818260721,5.673706,4.1875,0,false,,,,,1464517996433,50
serverInfo,,,,,,,,,159,20.0,1464517996433,0
move,-0.0943717890016913,0.08307781780646906,-2.696085,-0.20996094,0,false,,,,,1464517996433,0
serverInfo,,,,,,,,,159,20.0,1464517996433,0
animation,,,,,,,,,,,1464517996471,38
attack,,,,,,,,,,,1464517996471,0
attackInfo,,,,,,,0.9588485937363278,2.7756198802146255,,,1464517996471,0
serverInfo,,,,,,,,,159,19.84914648670107,1464517996471,0
move,-0.10181473586448675,0.0,-4.7859745,-0.120666504,0,false,,,,,1464517996483,12
serverInfo,,,,,,,,,159,20.0,1464517996483,0
move,-0.10895102512702692,-0.07840000152587834,-5.21266,0.5432739,0,false,,,,,1464517996583,100
serverInfo,,,,,,,,,159,20.0,1464517996583,0
move,-0.11715159844089129,-0.15523200451660557,-7.6889114,0.5420532,0,false,,,,,1464517996583,0
serverInfo,,,,,,,,,159,20.0,1464517996583,0
animation,,,,,,,,,,,1464517996622,39
attack,,,,,,,,,,,1464517996622,0
attackInfo,,,,,,,0.9723635287080648,2.6044916781698526,,,1464517996622,0
