# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.3548783374865181,0.0,-0.021821022,-1.8792114,0,true,,,,,1464518171386,???
serverInfo,,,,,,,,,145,19.99600079984003,1464518171386,0
move,0.33389471068717924,0.0,-0.021074295,-1.848114,0,true,,,,,1464518171436,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518171436,0
animation,,,,,,,,,,,1464518171443,7
attack,,,,,,,,,,,1464518171443,0
attackInfo,,,,,,,0.9998987452918494,5.681357899457507,,,1464518171443,0
serverInfo,,,,,,,,,145,19.968051118210862,1464518171443,0
move,0.32284814631254477,0.0,-0.020994186,-1.8532715,0,true,,,,,1464518171486,43
serverInfo,,,,,,,,,145,19.99600079984003,1464518171486,0
move,0.3171807717325521,0.41999998688697815,4.4500685,-1.8797302,0,true,,,,,1464518171536,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518171536,0
jump,,,,,,,,,,,1464518171536,0
move,0.20140613407365748,0.33319999363422426,3.6325588,-1.2367554,0,false,,,,,1464518171536,0
serverInfo,,,,,,,,,145,19.99600079984003,1464518171536,0
animation,,,,,,,,,,,1464518171574,38
attack,,,,,,,,,,,1464518171574,0
attackInfo,,,,,,,0.9990876610997432,5.6526824538441724,,,1464518171574,0
serverInfo,,,,,,,,,145,19.845207382417147,1464518171574,0
move,0.21155071291865823,0.24813599859093927,2.790554,-1.3312073,0,false,,,,,1464518171586,12
serverInfo,,,,,,,,,145,19.99600079984003,1464518171586,0
move,0.22079541158196392,0.1647732818260721,1.9511681,-1.4236755,0,false,,,,,1464518171686,100
serverInfo,,,,,,,,,145,19.99600079984003,1464518171686,0
move,0.22919769032280257,0.08307781780646906,1.1153288,-1.515564,0,false,,,,,1464518171736,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518171736,0
animation,,,,,,,,,,,1464518171765,29
attack,,,,,,,,,,,1464518171765,0
attackInfo,,,,,,,0.9930138113132063,5.996549534741864,,,1464518171765,0
serverInfo,,,,,,,,,145,19.880715705765407,1464518171765,0
move,0.23681780451187606,0.0,-0.9490633,-1.2876282,0,false,,,,,1464518171786,21
serverInfo,,,,,,,,,145,19.99600079984003,1464518171786,0
move,0.2437310123048242,-0.07840000152587834,-2.3247309,-1.3206177,0,false,,,,,1464518171836,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518171836,0
move,0.24998407832014635,-0.15523200451660557,-3.1767511,-1.3310242,0,false,,,,,1464518171886,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518171886,0
animation,,,,,,,,,,,1464518171926,40
attack,,,,,,,,,,,1464518171926,0
attackInfo,,,,,,,0.9976894929755857,6.061962250488675,,,1464518171926,0
serverInfo,,,,,,,,,145,19.8373338623289,1464518171926,0
move,0.2555339083500243,-0.23052736891296632,-4.0192804,-1.3341064,0,false,,,,,1464518171936,10
serverInfo,,,,,,,,,145,19.99600079984003,1464518171936,0
move,0.260196139109631,-0.30431682745754074,-3.8619776,-1.325592,0,false,,,,,1464518171986,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518171986,0
move,0.2643259441498458,-0.37663049823865435,-3.759778,-1.2597961,0,false,,,,,1464518171986,0
serverInfo,,,,,,,,,145,19.99600079984003,1464518171986,0
animation,,,,,,,,,,,1464518172121,135
attack,,,,,,,,,,,1464518172121,0
attackInfo,,,,,,,0.9935858399497862,5.8361552503391625,,,1464518172121,0
serverInfo,,,,,,,,,145,19.857029388403497,1464518172121,0
move,0.2680673719562776,-0.1040803780930375,-0.716835,-1.2435303,0,false,,,,,1464518172136,15
serverInfo,,,,,,,,,145,19.99600079984003,1464518172136,0
move,0.3808839554574952,0.0,1.5604448,-1.9514465,0,true,,,,,1464518172136,0
serverInfo,,,,,,,,,145,19.99600079984003,1464518172136,0
move,0.34423582441202427,0.0,1.6021051,-1.6743774,0,true,,,,,1464518172186,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518172186,0
animation,,,,,,,,,,,1464518172222,36
attack,,,,,,,,,,,1464518172222,0
attackInfo,,,,,,,0.9986499675434879,5.410752051027921,,,1464518172222,0
serverInfo,,,,,,,,,145,19.85308715505261,1464518172222,0
move,0.32422594253699444,0.0,1.6354799,-1.52948,0,true,,,,,1464518172236,14
serverInfo,,,,,,,,,145,19.99600079984003,1464518172236,0
move,0.31299908409739174,0.0,-0.017641068,-1.9049377,0,true,,,,,1464518172236,0
serverInfo,,,,,,,,,145,19.99600079984003,1464518172236,0
move,0.30635071042188855,0.0,-0.017568588,-1.913269,0,true,,,,,1464518172286,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518172286,0
animation,,,,,,,,,,,1464518172353,67
attack,,,,,,,,,,,1464518172353,0
attackInfo,,,,,,,0.9971103252884885,5.506305830933792,,,1464518172353,0
serverInfo,,,,,,,,,145,19.928258270227182,1464518172353,0
move,0.30183740929192027,0.0,-0.017670631,-1.9351807,0,true,,,,,1464518172386,33
serverInfo,,,,,,,,,145,19.99600079984003,1464518172386,0
move,0.2985543389569969,0.0,-0.025360107,-2.2174683,0,true,,,,,1464518172436,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518172436,0
animation,,,,,,,,,,,1464518172485,49
attack,,,,,,,,,,,1464518172485,0
attackInfo,,,,,,,0.994431965907642,5.551426297303255,,,1464518172485,0
serverInfo,,,,,,,,,145,19.801980198019802,1464518172485,0
move,0.22353695097342197,0.0,-0.034867287,-1.5131836,0,true,,,,,1464518172486,1
serverInfo,,,,,,,,,145,19.99600079984003,1464518172486,0
move,0.18225451068614618,0.0,-1.0825939,-0.4552002,0,true,,,,,1464518172486,0
serverInfo,,,,,,,,,145,19.99600079984003,1464518172486,0
move,0.05217407937427865,0.0,-1.1090059,0.7677002,0,true,,,,,1464518172586,100
serverInfo,,,,,,,,,145,19.99600079984003,1464518172586,0
move,-0.02058338213496924,0.0,-1.1327667,1.4840698,0,true,,,,,1464518172636,50
serverInfo,,,,,,,,,145,19.99600079984003,1464518172636,0
animation,,,,,,,,,,,1464518172640,4
attack,,,,,,,,,,,1464518172640,0
attackInfo,,,,,,,0.9960059199724711,5.2501518264910185,,,1464518172640,0
serverInfo,,,,,,,,,145,19.980019980019982,1464518172640,0
move,-0.06066483399017031,0.0,-1.4631939,1.7141724,0,true,,,,,1464518172686,46
serverInfo,,,,,,,,,145,19.99600079984003,1464518172686,0
