# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.18445025022939632,0.0,-0.0401783,0.0018615723,0,true,,,,,1464518280388,???
serverInfo,,,,,,,,,151,19.99600079984003,1464518280388,0
animation,,,,,,,,,,,1464518280402,14
attack,,,,,,,,,,,1464518280402,0
attackInfo,,,,,,,0.9998599183919409,5.723832768987749,,,1464518280402,0
serverInfo,,,,,,,,,151,19.940179461615156,1464518280402,0
move,0.17051965951273473,0.0,-0.04096985,0.021575928,0,true,,,,,1464518280437,35
serverInfo,,,,,,,,,151,20.0,1464518280437,0
move,0.1629135560979691,0.0,-0.042916298,0.03451538,0,true,,,,,1464518280487,50
serverInfo,,,,,,,,,151,20.0,1464518280487,0
animation,,,,,,,,,,,1464518280492,5
attack,,,,,,,,,,,1464518280492,0
attackInfo,,,,,,,0.9998342945222709,5.262733026583826,,,1464518280492,0
serverInfo,,,,,,,,,151,19.980019980019982,1464518280492,0
move,0.1587606231511316,0.0,-0.04575157,0.04385376,0,true,,,,,1464518280537,45
serverInfo,,,,,,,,,151,20.0,1464518280537,0
move,0.1564931214987837,0.0,-0.049346924,0.051452637,0,true,,,,,1464518280587,50
serverInfo,,,,,,,,,151,20.0,1464518280587,0
animation,,,,,,,,,,,1464518280643,56
attack,,,,,,,,,,,1464518280643,0
attackInfo,,,,,,,0.9963447007979574,5.50638380568873,,,1464518280643,0
serverInfo,,,,,,,,,151,19.97602876548142,1464518280643,0
move,0.1552550654527991,0.0,-0.053673744,0.05834961,0,true,,,,,1464518280687,44
serverInfo,,,,,,,,,151,20.0,1464518280687,0
move,0.22152729014315042,0.0,-0.051389694,-0.8614197,0,true,,,,,1464518280687,0
serverInfo,,,,,,,,,151,20.0,1464518280687,0
animation,,,,,,,,,,,1464518280712,25
attack,,,,,,,,,,,1464518280712,0
attackInfo,,,,,,,0.9955314950664738,5.247834805654026,,,1464518280712,0
serverInfo,,,,,,,,,151,19.896538002387587,1464518280713,1
move,0.25771192902701756,0.0,-0.05086136,-1.4583435,0,true,,,,,1464518280737,24
serverInfo,,,,,,,,,151,20.0,1464518280737,0
move,0.2774687441524222,0.0,-1.0843639,-1.8489685,0,true,,,,,1464518280737,0
serverInfo,,,,,,,,,151,20.0,1464518280737,0
animation,,,,,,,,,,,1464518280802,65
attack,,,,,,,,,,,1464518280802,0
attackInfo,,,,,,,0.9990113011910194,5.145206672638467,,,1464518280802,0
serverInfo,,,,,,,,,151,19.940179461615156,1464518280802,0
move,0.28825596646385065,0.0,-1.1018505,-2.0472107,0,true,,,,,1464518280837,35
serverInfo,,,,,,,,,151,20.0,1464518280837,0
animation,,,,,,,,,,,1464518280956,119
attack,,,,,,,,,,,1464518280956,0
attackInfo,,,,,,,0.9978832719762352,5.270673762191009,,,1464518280956,0
serverInfo,,,,,,,,,151,19.924287706714484,1464518280956,0
move,0.29366093654708436,0.41999998688697815,4.733383,-2.1583862,0,true,,,,,1464518280987,31
serverInfo,,,,,,,,,151,20.0,1464518280987,0
jump,,,,,,,,,,,1464518280987,0
move,0.1873647786524586,0.33319999363422426,4.7542768,-1.5065308,0,false,,,,,1464518280987,0
serverInfo,,,,,,,,,151,20.0,1464518280987,0
move,0.1971791130800824,0.24813599859093927,3.6853528,-1.6530151,0,false,,,,,1464518280988,1
serverInfo,,,,,,,,,151,19.99600079984003,1464518280988,0
animation,,,,,,,,,,,1464518281052,64
attack,,,,,,,,,,,1464518281052,0
attackInfo,,,,,,,0.998624250128726,5.0842211130927915,,,1464518281052,0
serverInfo,,,,,,,,,151,19.940179461615156,1464518281052,0
move,0.19114470308448972,0.1647732818260721,0.5572891,-1.1365356,0,false,,,,,1464518281087,35
serverInfo,,,,,,,,,151,20.0,1464518281087,0
move,0.18565338983023594,0.08307781780646906,-0.55876446,-0.99560547,0,false,,,,,1464518281087,0
serverInfo,,,,,,,,,151,20.0,1464518281087,0
animation,,,,,,,,,,,1464518281117,30
attack,,,,,,,,,,,1464518281117,0
attackInfo,,,,,,,0.9955189099701287,4.967457229062979,,,1464518281117,0
serverInfo,,,,,,,,,151,19.880715705765407,1464518281117,0
move,0.18052607104887386,0.0,-1.6677284,-0.875,0,false,,,,,1464518281137,20
serverInfo,,,,,,,,,151,20.0,1464518281137,0
move,0.1756618759022075,-0.07840000152587834,1.6049585,-0.58462524,0,false,,,,,1464518281187,50
serverInfo,,,,,,,,,151,20.0,1464518281187,0
animation,,,,,,,,,,,1464518281207,20
attack,,,,,,,,,,,1464518281207,0
attackInfo,,,,,,,0.999259830140043,4.967232105745005,,,1464518281207,0
serverInfo,,,,,,,,,151,19.9203187250996,1464518281207,0
move,0.17110203039987937,-0.15523200451660557,0.5639429,-0.50042725,0,false,,,,,1464518281237,30
serverInfo,,,,,,,,,151,20.0,1464518281237,0
move,0.16655287935478924,-0.23052736891296632,-0.43941784,-0.4223938,0,false,,,,,1464518281238,1
serverInfo,,,,,,,,,151,19.99600079984003,1464518281238,0
animation,,,,,,,,,,,1464518281296,58
attack,,,,,,,,,,,1464518281296,0
attackInfo,,,,,,,0.9913854218653881,4.946799339348575,,,1464518281296,0
serverInfo,,,,,,,,,151,19.964064683569575,1464518281296,0
move,0.15728546421468792,-0.30431682745754074,-3.968309,-1.0782166,0,false,,,,,1464518281337,41
serverInfo,,,,,,,,,151,20.0,1464518281337,0
animation,,,,,,,,,,,1464518281383,46
attack,,,,,,,,,,,1464518281383,0
attackInfo,,,,,,,0.9913531239603216,4.938678420985195,,,1464518281383,0
serverInfo,,,,,,,,,151,19.817677368212443,1464518281383,0
move,0.15310555915591095,-0.37663049823865435,-5.423659,-1.0922241,0,false,,,,,1464518281387,4
serverInfo,,,,,,,,,151,20.0,1464518281387,0
move,0.14903104850308324,-0.1040803780930375,-1.5999012,-0.7287903,0,false,,,,,1464518281387,0
serverInfo,,,,,,,,,151,20.0,1464518281387,0
move,0.17900399841585823,0.0,-0.0633955,-0.83477783,0,true,,,,,1464518281487,100
serverInfo,,,,,,,,,151,20.0,1464518281487,0
animation,,,,,,,,,,,1464518281530,43
attack,,,,,,,,,,,1464518281530,0
attackInfo,,,,,,,0.9983698637720074,4.7430239977024655,,,1464518281530,0
serverInfo,,,,,,,,,151,19.8294665873488,1464518281530,0
move,0.1407810670693337,0.0,-2.5759354,-0.34695435,0,true,,,,,1464518281537,7
serverInfo,,,,,,,,,151,20.0,1464518281537,0
move,0.11783472575665854,0.0,-2.2938843,-0.1942749,0,true,,,,,1464518281587,50
serverInfo,,,,,,,,,151,20.0,1464518281587,0
animation,,,,,,,,,,,1464518281617,30
attack,,,,,,,,,,,1464518281617,0
