# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.0,0.10000000149011612,0.7458317,-4.6588135,0,true,,,,,1464518964192,???
serverInfo,,,,,,,,,127,20.0,1464518964192,0
jump,,,,,,,,,,,1464518964192,0
animation,,,,,,,,,,,1464518964234,42
attack,,,,,,,,,,,1464518964234,0
attackInfo,,,,,,,0.9994482329421369,5.069080316007188,,,1464518964234,0
serverInfo,,,,,,,,,127,19.833399444664817,1464518964234,0
animation,,,,,,,,,,,1464518964331,97
attack,,,,,,,,,,,1464518964331,0
attackInfo,,,,,,,0.9993328235046611,5.3581412571757205,,,1464518964331,0
serverInfo,,,,,,,,,127,19.845207382417147,1464518964331,0
move,0.0,-0.10000000149011612,-1.0883512,-1.6645508,0,false,,,,,1464518964342,11
serverInfo,,,,,,,,,127,20.0,1464518964342,0
move,0.0,0.10000000149011612,1.1072757,0.0,0,true,,,,,1464518964392,50
serverInfo,,,,,,,,,127,20.0,1464518964392,0
animation,,,,,,,,,,,1464518964414,22
attack,,,,,,,,,,,1464518964415,1
attackInfo,,,,,,,0.9975171070439868,5.540693679078897,,,1464518964415,0
serverInfo,,,,,,,,,127,19.908421262193908,1464518964415,0
animation,,,,,,,,,,,1464518964530,115
attack,,,,,,,,,,,1464518964530,0
attackInfo,,,,,,,0.996934849068581,6.090881935029658,,,1464518964530,0
serverInfo,,,,,,,,,129,19.84914648670107,1464518964530,0
move,0.0,-0.10000000149011612,-2.0198133,-0.10864258,0,false,,,,,1464518964542,12
serverInfo,,,,,,,,,129,20.0,1464518964542,0
move,0.0,0.10000000149011612,-0.27130747,-0.050048828,0,true,,,,,1464518964592,50
serverInfo,,,,,,,,,129,20.0,1464518964592,0
jump,,,,,,,,,,,1464518964592,0
animation,,,,,,,,,,,1464518964638,46
attack,,,,,,,,,,,1464518964638,0
attackInfo,,,,,,,0.9998181385525546,6.265181714079089,,,1464518964638,0
serverInfo,,,,,,,,,129,19.817677368212443,1464518964638,0
animation,,,,,,,,,,,1464518964725,87
attack,,,,,,,,,,,1464518964725,0
attackInfo,,,,,,,0.9974270184694963,6.903274649590619,,,1464518964725,0
serverInfo,,,,,,,,,129,19.868865487780646,1464518964725,0
move,0.0,-0.10000000149011612,-3.8202286,0.18566895,0,false,,,,,1464518964742,17
serverInfo,,,,,,,,,129,20.0,1464518964742,0
move,0.0,0.10000000149011612,0.29934502,0.107788086,0,true,,,,,1464518964792,50
serverInfo,,,,,,,,,129,20.0,1464518964792,0
animation,,,,,,,,,,,1464518964820,28
attack,,,,,,,,,,,1464518964820,0
attackInfo,,,,,,,0.9936632364137029,7.144295130287366,,,1464518964820,0
serverInfo,,,,,,,,,129,19.88862370723946,1464518964820,0
move,0.0,-0.10000000149011612,1.7817385,0.064697266,0,false,,,,,1464518964942,122
serverInfo,,,,,,,,,129,20.0,1464518964942,0
move,0.0,0.0,3.1807635,1081.1166,0,true,,,,,1464518965442,500
serverInfo,,,,,,,,,129,20.0,1464518965442,0
move,0.0,0.0,-0.013735533,-1079.9128,0,true,,,,,1464518965492,50
serverInfo,,,,,,,,,129,20.0,1464518965492,0
animation,,,,,,,,,,,1464518965869,377
attack,,,,,,,,,,,1464518965869,0
attackInfo,,,,,,,0.9999124152625211,4.492101490425351,,,1464518965869,0
serverInfo,,,,,,,,,129,19.89258006763477,1464518965869,0
move,0.0,0.10000000149011612,0.73988485,0.9061279,0,true,,,,,1464518965942,73
serverInfo,,,,,,,,,129,20.0,1464518965942,0
jump,,,,,,,,,,,1464518965942,0
animation,,,,,,,,,,,1464518965973,31
attack,,,,,,,,,,,1464518965973,0
attackInfo,,,,,,,0.9997568707416891,4.213952512400771,,,1464518965973,0
serverInfo,,,,,,,,,129,19.876764062810576,1464518965973,0
animation,,,,,,,,,,,1464518966061,88
attack,,,,,,,,,,,1464518966061,0
attackInfo,,,,,,,0.9998127601244715,4.124827915992461,,,1464518966061,0
serverInfo,,,,,,,,,129,19.924287706714484,1464518966061,0
move,0.0,-0.10000000149011612,-1.0577791,0.17614746,0,false,,,,,1464518966092,31
serverInfo,,,,,,,,,129,20.0,1464518966092,0
move,0.0,0.10000000149011612,1.189337,0.06286621,0,true,,,,,1464518966142,50
serverInfo,,,,,,,,,129,20.0,1464518966142,0
animation,,,,,,,,,,,1464518966173,31
attack,,,,,,,,,,,1464518966173,0
attackInfo,,,,,,,0.9964839103080247,4.633641016823965,,,1464518966173,0
serverInfo,,,,,,,,,129,19.876764062810576,1464518966173,0
animation,,,,,,,,,,,1464518966261,88
attack,,,,,,,,,,,1464518966261,0
attackInfo,,,,,,,0.9943414904910498,4.952884101681541,,,1464518966261,0
