# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.3154122940829964,0.0,-4.0499897,2.350006,0,true,,,,,1464530483603,???
serverInfo,,,,,,,,,138,19.99600079984003,1464530483603,0
move,0.21766825610894358,0.0,0.0,-4.5,0,true,,,,,1464530483652,49
serverInfo,,,,,,,,,138,20.0,1464530483652,0
animation,,,,,,,,,,,1464530483692,40
attack,,,,,,,,,,,1464530483692,0
attackInfo,,,,,,,0.9789797574389514,3.8368224827473205,,,1464530483692,0
serverInfo,,,,,,,,,138,19.841269841269842,1464530483692,0
move,0.23536116952886488,0.0,0.0,0.8999939,0,true,,,,,1464530483702,10
serverInfo,,,,,,,,,138,20.0,1464530483702,0
move,0.1996738156095006,0.0,0.0,2.5500183,0,true,,,,,1464530483752,50
serverInfo,,,,,,,,,138,20.0,1464530483752,0
animation,,,,,,,,,,,1464530483780,28
attack,,,,,,,,,,,1464530483780,0
attackInfo,,,,,,,0.9723615222611346,3.5501555638917086,,,1464530483780,0
serverInfo,,,,,,,,,138,19.88862370723946,1464530483780,0
move,0.45461648703153656,0.41999998688697815,7.3224983,4.950012,0,true,,,,,1464530483802,22
serverInfo,,,,,,,,,138,20.0,1464530483802,0
jump,,,,,,,,,,,1464530483802,0
animation,,,,,,,,,,,1464530483892,90
attack,,,,,,,,,,,1464530483892,0
attackInfo,,,,,,,0.9186041340945457,3.9826299003384493,,,1464530483892,0
serverInfo,,,,,,,,,138,19.841269841269842,1464530483892,0
move,0.18030904344283982,0.33319999363422426,6.0423574,12.75,0,false,,,,,1464530483902,10
serverInfo,,,,,,,,,138,20.0,1464530483902,0
move,0.19885395444968168,0.24813599859093927,4.7292795,6.792053,0,false,,,,,1464530483902,0
serverInfo,,,,,,,,,138,20.0,1464530483902,0
move,0.14445399343689758,0.1647732818260721,3.2338905,1.6989441,0,false,,,,,1464530483952,50
serverInfo,,,,,,,,,138,20.0,1464530483952,0
animation,,,,,,,,,,,1464530483982,30
attack,,,,,,,,,,,1464530483982,0
attackInfo,,,,,,,0.9372211256711973,4.196519903728293,,,1464530483982,0
serverInfo,,,,,,,,,138,19.880715705765407,1464530483982,0
move,0.16737161573871617,0.08307781780646906,2.0229645,1.7633362,0,false,,,,,1464530484002,20
serverInfo,,,,,,,,,138,20.0,1464530484002,0
move,0.12667731046214925,0.0,-2.6365604,2.362854,0,false,,,,,1464530484052,50
serverInfo,,,,,,,,,138,20.0,1464530484052,0
animation,,,,,,,,,,,1464530484106,54
attack,,,,,,,,,,,1464530484106,0
attackInfo,,,,,,,0.9514646096709568,4.62113918972712,,,1464530484106,0
serverInfo,,,,,,,,,138,19.984012789768187,1464530484106,0
move,0.1498096311341257,-0.07840000152587834,-3.8534145,2.2080078,0,false,,,,,1464530484152,46
serverInfo,,,,,,,,,138,20.0,1464530484152,0
move,0.11632933624790809,-0.15523200451660557,-6.756384,2.0513,0,false,,,,,1464530484152,0
serverInfo,,,,,,,,,138,20.0,1464530484152,0
animation,,,,,,,,,,,1464530484177,25
attack,,,,,,,,,,,1464530484177,0
attackInfo,,,,,,,0.9898694020508623,4.622097616046868,,,1464530484177,0
serverInfo,,,,,,,,,138,19.90049751243781,1464530484177,0
move,0.1403929743277743,-0.015555072702198913,-4.011194,1.9012451,0,false,,,,,1464530484202,25
serverInfo,,,,,,,,,138,20.0,1464530484202,0
move,0.24891105827043702,0.0,-2.2632103,1.9318237,0,true,,,,,1464530484252,50
serverInfo,,,,,,,,,138,20.0,1464530484252,0
animation,,,,,,,,,,,1464530484304,52
attack,,,,,,,,,,,1464530484304,0
attackInfo,,,,,,,0.9949520136238247,4.980802608969168,,,1464530484304,0
serverInfo,,,,,,,,,138,19.992003198720514,1464530484304,0
move,0.3074586928277796,0.0,-2.1838512,1.9642944,0,true,,,,,1464530484352,48
serverInfo,,,,,,,,,138,20.0,1464530484352,0
move,0.269652683814428,0.0,0.14854813,1.5879517,0,true,,,,,1464530484352,0
serverInfo,,,,,,,,,138,20.0,1464530484352,0
animation,,,,,,,,,,,1464530484379,27
attack,,,,,,,,,,,1464530484379,0
attackInfo,,,,,,,0.995856437555743,4.840838681810596,,,1464530484379,0
serverInfo,,,,,,,,,138,19.89258006763477,1464530484379,0
move,0.30675750916356037,0.0,1.1999817,1.3499756,0,true,,,,,1464530484402,23
serverInfo,,,,,,,,,138,20.0,1464530484402,0
move,0.47320781061288386,0.41999998688697815,10.216314,0.7533264,0,true,,,,,1464530484452,50
serverInfo,,,,,,,,,138,20.0,1464530484452,0
jump,,,,,,,,,,,1464530484452,0
animation,,,,,,,,,,,1464530484507,55
attack,,,,,,,,,,,1464530484507,0
attackInfo,,,,,,,0.9982549098054281,4.978860878993839,,,1464530484507,0
serverInfo,,,,,,,,,138,19.980019980019982,1464530484507,0
move,0.28709476663446765,0.33319999363422426,8.378668,0.65216064,0,false,,,,,1464530484552,45
serverInfo,,,,,,,,,138,20.0,1464530484552,0
