# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.15612210486989397,-0.37663049823865435,-16.282026,-1.2705078,0,false,,,,,1464530527654,???
serverInfo,,,,,,,,,134,19.99600079984003,1464530527654,0
move,0.11775039398165887,-0.1040803780930375,-1.5002842,1.0192261,0,false,,,,,1464530527704,50
serverInfo,,,,,,,,,134,19.99600079984003,1464530527704,0
animation,,,,,,,,,,,1464530527763,59
attack,,,,,,,,,,,1464530527763,0
attackInfo,,,,,,,0.9999805378878921,3.8693980889390764,,,1464530527763,0
serverInfo,,,,,,,,,134,19.960079840319363,1464530527763,0
move,0.269691464559628,0.0,-0.016500473,0.8092041,0,false,,,,,1464530527804,41
serverInfo,,,,,,,,,134,19.99600079984003,1464530527804,0
move,0.14661891910596125,0.0,-0.013221741,1.7352295,0,false,,,,,1464530527804,0
serverInfo,,,,,,,,,134,19.99600079984003,1464530527804,0
animation,,,,,,,,,,,1464530527833,29
attack,,,,,,,,,,,1464530527833,0
attackInfo,,,,,,,0.9963584745135045,4.266617344746633,,,1464530527833,0
serverInfo,,,,,,,,,134,19.880715705765407,1464530527833,0
move,0.14124299084784298,0.0,-0.015657425,2.5827026,0,false,,,,,1464530527854,21
serverInfo,,,,,,,,,134,19.99600079984003,1464530527854,0
animation,,,,,,,,,,,1464530527883,29
attack,,,,,,,,,,,1464530527883,0
attackInfo,,,,,,,0.989306273156354,4.549510940293108,,,1464530527883,0
serverInfo,,,,,,,,,134,19.880715705765407,1464530527883,0
move,0.10746026089378802,0.0,-0.013782501,2.6225586,0,false,,,,,1464530527904,21
serverInfo,,,,,,,,,134,19.99600079984003,1464530527904,0
animation,,,,,,,,,,,1464530527920,16
animation,,,,,,,,,,,1464530527944,24
attack,,,,,,,,,,,1464530527944,0
attackInfo,,,,,,,0.9827484237193425,4.826857578719798,,,1464530527944,0
serverInfo,,,,,,,,,134,19.8373338623289,1464530527944,0
move,0.10001934288531089,0.0,-0.013599396,2.7485962,0,false,,,,,1464530527954,10
serverInfo,,,,,,,,,134,19.99600079984003,1464530527954,0
animation,,,,,,,,,,,1464530527971,17
animation,,,,,,,,,,,1464530528009,38
attack,,,,,,,,,,,1464530528009,0
attackInfo,,,,,,,0.9780141065541438,5.404932938112341,,,1464530528009,0
serverInfo,,,,,,,,,134,19.97602876548142,1464530528009,0
animation,,,,,,,,,,,1464530528044,35
animation,,,,,,,,,,,1464530528044,0
attack,,,,,,,,,,,1464530528044,0
attackInfo,,,,,,,0.9780141065541438,5.404932938112341,,,1464530528044,0
serverInfo,,,,,,,,,134,19.8373338623289,1464530528044,0
move,0.1047307832650688,0.0,-0.014257431,2.886963,0,false,,,,,1464530528054,10
serverInfo,,,,,,,,,134,19.99600079984003,1464530528054,0
move,0.10979418498351379,0.0,-2.3096027,1.2584839,0,false,,,,,1464530528054,0
serverInfo,,,,,,,,,134,19.99600079984003,1464530528054,0
animation,,,,,,,,,,,1464530528058,4
animation,,,,,,,,,,,1464530528058,0
move,0.11450987291871684,0.0,-2.0870457,1.0882568,0,false,,,,,1464530528104,46
serverInfo,,,,,,,,,134,19.99600079984003,1464530528104,0
animation,,,,,,,,,,,1464530528132,28
attack,,,,,,,,,,,1464530528132,0
attackInfo,,,,,,,0.9887480806915537,5.519958087159003,,,1464530528132,0
serverInfo,,,,,,,,,134,19.884668920262477,1464530528132,0
move,0.1423680647611434,0.0,-3.0813923,1.2242432,0,false,,,,,1464530528154,22
serverInfo,,,,,,,,,134,19.99600079984003,1464530528154,0
move,0.12648545031844804,0.0,-2.6335602,0.7116699,0,false,,,,,1464530528204,50
serverInfo,,,,,,,,,134,19.99600079984003,1464530528204,0
animation,,,,,,,,,,,1464530528237,33
