# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.5925342905374009,0.41999998688697815,-13.606377,-8.172241,0,true,,,,,1464530573155,???
serverInfo,,,,,,,,,202,19.99600079984003,1464530573155,0
jump,,,,,,,,,,,1464530573155,0
move,0.2261503654887278,0.33319999363422426,5.072283,-0.34423828,0,false,,,,,1464530573205,50
serverInfo,,,,,,,,,202,19.99600079984003,1464530573205,0
animation,,,,,,,,,,,1464530573235,30
attack,,,,,,,,,,,1464530573235,0
attackInfo,,,,,,,0.9999921256055979,3.954970410769928,,,1464530573235,0
serverInfo,,,,,,,,,202,19.876764062810576,1464530573235,0
move,0.23791949150348302,0.24813599859093927,4.1895275,-0.38256836,0,false,,,,,1464530573255,20
serverInfo,,,,,,,,,202,19.99600079984003,1464530573255,0
animation,,,,,,,,,,,1464530573266,11
attack,,,,,,,,,,,1464530573266,0
attackInfo,,,,,,,0.999991524371819,3.8257295006072574,,,1464530573266,0
serverInfo,,,,,,,,,202,19.952114924181966,1464530573266,0
move,0.07794242766282622,0.1647732818260721,2.6327705,-0.13415527,0,false,,,,,1464530573305,39
serverInfo,,,,,,,,,202,19.99600079984003,1464530573305,0
animation,,,,,,,,,,,1464530573342,37
animation,,,,,,,,,,,1464530573342,0
attack,,,,,,,,,,,1464530573342,0
attackInfo,,,,,,,0.9908354851063595,4.513811948501055,,,1464530573342,0
serverInfo,,,,,,,,,202,19.84914648670107,1464530573342,0
animation,,,,,,,,,,,1464530573342,0
attack,,,,,,,,,,,1464530573342,0
attackInfo,,,,,,,0.9908354851063595,4.513811948501055,,,1464530573342,0
serverInfo,,,,,,,,,202,19.84914648670107,1464530573342,0
move,0.07092761121729296,0.08307781780646906,1.457983,-0.12597656,0,false,,,,,1464530573355,13
serverInfo,,,,,,,,,202,19.99600079984003,1464530573355,0
animation,,,,,,,,,,,1464530573429,74
attack,,,,,,,,,,,1464530573429,0
attackInfo,,,,,,,0.9649821843108344,5.251107232636392,,,1464530573429,0
serverInfo,,,,,,,,,202,19.90049751243781,1464530573429,0
animation,,,,,,,,,,,1464530573429,0
attack,,,,,,,,,,,1464530573429,0
attackInfo,,,,,,,0.9649821843108344,5.251107232636392,,,1464530573429,0
serverInfo,,,,,,,,,202,19.90049751243781,1464530573429,0
move,-0.019959882211999513,-0.07840000152587834,-1.2772884,0.04626465,0,false,,,,,1464530573455,26
serverInfo,,,,,,,,,202,19.99600079984003,1464530573455,0
animation,,,,,,,,,,,1464530573483,28
attack,,,,,,,,,,,1464530573483,0
attackInfo,,,,,,,0.9596675243527413,5.641393987142174,,,1464530573483,0
serverInfo,,,,,,,,,202,19.884668920262477,1464530573483,0
move,-0.02965242476916785,-0.15523200451660557,-2.4099407,0.12878418,0,false,,,,,1464530573505,22
serverInfo,,,,,,,,,202,19.99600079984003,1464530573505,0
animation,,,,,,,,,,,1464530573555,50
attack,,,,,,,,,,,1464530573555,0
attackInfo,,,,,,,0.9630193381539942,6.317961259532379,,,1464530573555,0
serverInfo,,,,,,,,,189,19.992003198720514,1464530573556,1
animation,,,,,,,,,,,1464530573556,0
attack,,,,,,,,,,,1464530573556,0
attackInfo,,,,,,,0.9630193381539942,6.317961259532379,,,1464530573556,0
serverInfo,,,,,,,,,189,19.992003198720514,1464530573556,0
