# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.16908395535935838,-0.23052736891296632,-3.8941374,1.1271973,0,false,,,,,1464530627606,???
serverInfo,,,,,,,,,197,19.99600079984003,1464530627606,0
animation,,,,,,,,,,,1464530627621,15
animation,,,,,,,,,,,1464530627661,40
attack,,,,,,,,,,,1464530627661,0
attackInfo,,,,,,,0.9999693698332233,4.151642965539972,,,1464530627661,0
serverInfo,,,,,,,,,197,19.97602876548142,1464530627661,0
move,0.12908909455731443,-0.30431682745754074,-3.9937153,-0.3696289,0,false,,,,,1464530627706,45
serverInfo,,,,,,,,,197,19.99600079984003,1464530627706,0
animation,,,,,,,,,,,1464530627711,5
attack,,,,,,,,,,,1464530627711,0
attackInfo,,,,,,,0.9999682341798097,4.002326531925681,,,1464530627711,0
serverInfo,,,,,,,,,197,19.97602876548142,1464530627711,0
animation,,,,,,,,,,,1464530627711,0
attack,,,,,,,,,,,1464530627711,0
attackInfo,,,,,,,0.9999682341798097,4.002326531925681,,,1464530627711,0
serverInfo,,,,,,,,,197,19.97602876548142,1464530627711,0
animation,,,,,,,,,,,1464530627751,40
animation,,,,,,,,,,,1464530627751,0
attack,,,,,,,,,,,1464530627751,0
attackInfo,,,,,,,0.9999682341798097,4.002326531925681,,,1464530627751,0
serverInfo,,,,,,,,,197,19.817677368212443,1464530627751,0
move,0.10725019002180058,-0.37663049823865435,-5.3505936,-0.47973633,0,false,,,,,1464530627756,5
serverInfo,,,,,,,,,197,19.99600079984003,1464530627756,0
move,0.07189822037642557,-0.1040803780930375,-1.524311,-0.4338379,0,false,,,,,1464530627756,0
serverInfo,,,,,,,,,197,19.99600079984003,1464530627756,0
animation,,,,,,,,,,,1464530627796,40
attack,,,,,,,,,,,1464530627796,0
attackInfo,,,,,,,0.9970834550749342,4.691223174992997,,,1464530627796,0
serverInfo,,,,,,,,,197,19.8373338623289,1464530627796,0
move,0.22304025866907828,0.0,-0.0069774836,-1.6472168,0,false,,,,,1464530627806,10
serverInfo,,,,,,,,,197,19.99600079984003,1464530627806,0
animation,,,,,,,,,,,1464530627845,39
attack,,,,,,,,,,,1464530627845,0
attackInfo,,,,,,,0.9917892473135833,5.054206955440836,,,1464530627845,0
serverInfo,,,,,,,,,197,19.841269841269842,1464530627845,0
animation,,,,,,,,,,,1464530627850,5
move,0.2566364301541624,0.0,-0.008270979,-2.024414,0,false,,,,,1464530627856,6
serverInfo,,,,,,,,,197,19.99600079984003,1464530627856,0
animation,,,,,,,,,,,1464530627884,28
attack,,,,,,,,,,,1464530627884,0
attackInfo,,,,,,,0.98718101137069,5.360800895650257,,,1464530627884,0
serverInfo,,,,,,,,,197,19.884668920262477,1464530627884,0
animation,,,,,,,,,,,1464530627893,9
attack,,,,,,,,,,,1464530627893,0
attackInfo,,,,,,,0.98718101137069,5.360800895650257,,,1464530627893,0
serverInfo,,,,,,,,,197,19.84914648670107,1464530627893,0
move,0.19943808027077026,0.0,-0.011912599,-0.71936035,0,false,,,,,1464530627906,13
serverInfo,,,,,,,,,197,19.99600079984003,1464530627906,0
animation,,,,,,,,,,,1464530627932,26
animation,,,,,,,,,,,1464530627932,0
attack,,,,,,,,,,,1464530627932,0
attackInfo,,,,,,,0.984357348392535,5.580361339814608,,,1464530627932,0
serverInfo,,,,,,,,,197,19.89258006763477,1464530627932,0
move,0.16795917241754488,0.0,0.0777137,-0.15551758,0,false,,,,,1464530627956,24
serverInfo,,,,,,,,,197,19.99600079984003,1464530627956,0
animation,,,,,,,,,,,1464530627972,16
animation,,,,,,,,,,,1464530627995,23
attack,,,,,,,,,,,1464530627995,0
attackInfo,,,,,,,0.9836363282468107,5.761455058736955,,,1464530627995,0
serverInfo,,,,,,,,,197,19.841269841269842,1464530627995,0
move,0.23540095019623486,0.0,-2.0252507,-1.5198975,0,false,,,,,1464530628006,11
serverInfo,,,,,,,,,197,19.99600079984003,1464530628006,0
move,0.25954554141308783,0.0,-2.639498,-1.5224609,0,false,,,,,1464530628056,50
serverInfo,,,,,,,,,197,19.99600079984003,1464530628056,0
animation,,,,,,,,,,,1464530628060,4
attack,,,,,,,,,,,1464530628060,0
attackInfo,,,,,,,0.9964194544027902,6.028622437875449,,,1464530628060,0
serverInfo,,,,,,,,,197,19.980019980019982,1464530628060,0
animation,,,,,,,,,,,1464530628084,24
attack,,,,,,,,,,,1464530628084,0
attackInfo,,,,,,,0.9964194544027902,6.028622437875449,,,1464530628084,0
serverInfo,,,,,,,,,197,19.884668920262477,1464530628084,0
move,0.2667615868550888,0.0,-2.3530784,-1.4506836,0,false,,,,,1464530628106,22
serverInfo,,,,,,,,,197,19.99600079984003,1464530628106,0
move,0.26849891018362904,0.0,-2.104919,-1.3092041,0,false,,,,,1464530628156,50
serverInfo,,,,,,,,,197,19.99600079984003,1464530628156,0
animation,,,,,,,,,,,1464530628218,62
attack,,,,,,,,,,,1464530628218,0
attackInfo,,,,,,,0.9837144854122768,6.5600802163643035,,,1464530628218,0
serverInfo,,,,,,,,,197,19.948134849391582,1464530628218,0
animation,,,,,,,,,,,1464530628218,0
attack,,,,,,,,,,,1464530628218,0
attackInfo,,,,,,,0.9837144854122768,6.5600802163643035,,,1464530628218,0
serverInfo,,,,,,,,,197,19.948134849391582,1464530628218,0
move,0.3269839999311346,0.0,-1.2029114,-1.6308594,0,false,,,,,1464530628256,38
serverInfo,,,,,,,,,197,19.99600079984003,1464530628256,0
move,0.2436911423810466,0.0,0.34482574,0.8902588,0,false,,,,,1464530628256,0
serverInfo,,,,,,,,,197,19.99600079984003,1464530628256,0
move,0.31214172164873943,0.0,-0.6585312,-0.4658203,0,false,,,,,1464530628356,100
serverInfo,,,,,,,,,197,19.99600079984003,1464530628356,0
move,0.34880164882325904,0.0,-0.5486431,-0.95129395,0,false,,,,,1464530628356,0
serverInfo,,,,,,,,,197,19.99600079984003,1464530628356,0
move,0.3675062370667632,0.0,1.1511316,-1.5961914,0,false,,,,,1464530628406,50
serverInfo,,,,,,,,,197,19.99600079984003,1464530628406,0
move,0.37618571825523084,0.0,1.1435652,-1.6868896,0,false,,,,,1464530628456,50
serverInfo,,,,,,,,,197,19.99600079984003,1464530628456,0
move,0.285167540297639,0.0,3.0645318,-1.4188232,0,false,,,,,1464530628556,100
serverInfo,,,,,,,,,197,19.99600079984003,1464530628556,0
move,0.28192970220429014,0.0,3.00525,-0.33691406,0,false,,,,,1464530628606,50
serverInfo,,,,,,,,,197,19.99600079984003,1464530628606,0
move,0.316112784970632,0.0,0.9588883,-0.11804199,0,false,,,,,1464530628606,0
serverInfo,,,,,,,,,197,19.99600079984003,1464530628606,0
move,0.334482158097404,0.0,0.9977758,0.2142334,0,false,,,,,1464530628656,50
serverInfo,,,,,,,,,197,19.99600079984003,1464530628656,0
animation,,,,,,,,,,,1464530628693,37
attack,,,,,,,,,,,1464530628693,0
attackInfo,,,,,,,0.999578872986365,4.845011397047492,,,1464530628693,0
serverInfo,,,,,,,,,197,19.84914648670107,1464530628693,0
move,0.3442379126686612,0.0,0.32305706,0.19787598,0,false,,,,,1464530628706,13
serverInfo,,,,,,,,,197,19.99600079984003,1464530628706,0
animation,,,,,,,,,,,1464530628726,20
attack,,,,,,,,,,,1464530628726,0
attackInfo,,,,,,,0.9997546064444949,4.568907097911198,,,1464530628726,0
serverInfo,,,,,,,,,197,19.916351324437365,1464530628726,0
move,0.22883637937756252,0.0,0.34778857,0.31323242,0,false,,,,,1464530628756,30
serverInfo,,,,,,,,,197,19.99600079984003,1464530628756,0
animation,,,,,,,,,,,1464530628786,30
attack,,,,,,,,,,,1464530628786,0
attackInfo,,,,,,,0.999895191557806,4.387246762904881,,,1464530628786,0
serverInfo,,,,,,,,,197,19.876764062810576,1464530628786,0
move,0.28552660912462624,0.0,0.3764733,0.41235352,0,false,,,,,1464530628806,20
serverInfo,,,,,,,,,197,19.99600079984003,1464530628806,0
animation,,,,,,,,,,,1464530628842,36
move,0.25412829749658705,0.0,0.0,-7.324219E-4,0,false,,,,,1464530628856,14
serverInfo,,,,,,,,,197,19.99600079984003,1464530628856,0
animation,,,,,,,,,,,1464530628935,79
attack,,,,,,,,,,,1464530628935,0
attackInfo,,,,,,,0.9999802553417085,3.9590358604533815,,,1464530628935,0
serverInfo,,,,,,,,,197,19.880715705765407,1464530628935,0
animation,,,,,,,,,,,1464530628935,0
attack,,,,,,,,,,,1464530628935,0
attackInfo,,,,,,,0.9999802553417085,3.9590358604533815,,,1464530628935,0
serverInfo,,,,,,,,,197,19.880715705765407,1464530628935,0
move,0.2993438360323992,0.0,0.0,-6.1035156E-4,0,false,,,,,1464530628956,21
serverInfo,,,,,,,,,192,19.99600079984003,1464530628956,0
move,0.21942880072744853,0.0,0.0,-2.4414062E-4,0,false,,,,,1464530628956,0
serverInfo,,,,,,,,,192,19.99600079984003,1464530628956,0
animation,,,,,,,,,,,1464530628970,14
attack,,,,,,,,,,,1464530628971,1
attackInfo,,,,,,,0.9999753962085492,3.5474735981064898,,,1464530628971,0
serverInfo,,,,,,,,,192,19.93620414673046,1464530628971,0
animation,,,,,,,,,,,1464530629023,52
attack,,,,,,,,,,,1464530629023,0
attackInfo,,,,,,,0.9999753962085492,3.5474735981064898,,,1464530629023,0
serverInfo,,,,,,,,,192,19.928258270227182,1464530629023,0
animation,,,,,,,,,,,1464530629023,0
attack,,,,,,,,,,,1464530629023,0
attackInfo,,,,,,,0.9999753962085492,3.5474735981064898,,,1464530629023,0
serverInfo,,,,,,,,,192,19.928258270227182,1464530629023,0
move,0.23247465295054592,0.0,0.0,-1.2207031E-4,0,false,,,,,1464530629056,33
serverInfo,,,,,,,,,192,19.99600079984003,1464530629056,0
move,0.2062849925741892,0.0,0.0,-2.4414062E-4,0,false,,,,,1464530629106,50
serverInfo,,,,,,,,,192,19.99600079984003,1464530629106,0
animation,,,,,,,,,,,1464530629138,32
attack,,,,,,,,,,,1464530629138,0
attackInfo,,,,,,,0.9999697533986992,3.1994026568082474,,,1464530629138,0
serverInfo,,,,,,,,,192,19.868865487780646,1464530629138,0
animation,,,,,,,,,,,1464530629138,0
attack,,,,,,,,,,,1464530629138,0
attackInfo,,,,,,,0.9999697533986992,3.1994026568082474,,,1464530629138,0
serverInfo,,,,,,,,,192,19.868865487780646,1464530629138,0
animation,,,,,,,,,,,1464530629138,0
animation,,,,,,,,,,,1464530629155,17
move,0.27322138851058275,0.0,0.0,-2.4414062E-4,0,false,,,,,1464530629156,1
serverInfo,,,,,,,,,192,19.99600079984003,1464530629156,0
move,0.21429417184616284,0.0,0.0,-2.4414062E-4,0,false,,,,,1464530629156,0
serverInfo,,,,,,,,,192,19.99600079984003,1464530629156,0
animation,,,,,,,,,,,1464530629194,38
animation,,,,,,,,,,,1464530629194,0
attack,,,,,,,,,,,1464530629194,0
attackInfo,,,,,,,0.9999608638660061,2.812657043317845,,,1464530629194,0
serverInfo,,,,,,,,,192,19.841269841269842,1464530629195,1
move,0.27759440090100895,0.0,0.0,-2.4414062E-4,0,false,,,,,1464530629206,11
serverInfo,,,,,,,,,192,19.99600079984003,1464530629206,0
animation,,,,,,,,,,,1464530629243,37
attack,,,,,,,,,,,1464530629243,0
attackInfo,,,,,,,0.9999539490293236,2.592443476256306,,,1464530629243,0
serverInfo,,,,,,,,,192,19.84914648670107,1464530629243,0
move,0.25152970578069933,0.0,0.0,-3.6621094E-4,0,false,,,,,1464530629256,13
serverInfo,,,,,,,,,192,19.99600079984003,1464530629256,0
animation,,,,,,,,,,,1464530629297,41
attack,,,,,,,,,,,1464530629297,0
attackInfo,,,,,,,0.9999459468267906,2.3929083057036116,,,1464530629297,0
serverInfo,,,,,,,,,192,19.833399444664817,1464530629297,0
animation,,,,,,,,,,,1464530629297,0
attack,,,,,,,,,,,1464530629297,0
attackInfo,,,,,,,0.9999459468267906,2.3929083057036116,,,1464530629297,0
serverInfo,,,,,,,,,192,19.833399444664817,1464530629297,0
move,0.2429909106674808,0.0,0.0,-4.8828125E-4,0,false,,,,,1464530629306,9
serverInfo,,,,,,,,,192,19.99600079984003,1464530629306,0
move,0.2083520684311262,0.0,0.0,-3.6621094E-4,0,false,,,,,1464530629356,50
serverInfo,,,,,,,,,192,19.99600079984003,1464530629356,0
animation,,,,,,,,,,,1464530629378,22
attack,,,,,,,,,,,1464530629378,0
attackInfo,,,,,,,0.9832821122309415,2.5805093113104065,,,1464530629378,0
serverInfo,,,,,,,,,192,19.908421262193908,1464530629378,0
animation,,,,,,,,,,,1464530629378,0
attack,,,,,,,,,,,1464530629378,0
attackInfo,,,,,,,0.9832821122309415,2.5805093113104065,,,1464530629378,0
serverInfo,,,,,,,,,192,19.908421262193908,1464530629378,0
move,0.27435001205955967,0.0,0.0,-7.324219E-4,0,false,,,,,1464530629406,28
serverInfo,,,,,,,,,192,19.99600079984003,1464530629406,0
animation,,,,,,,,,,,1464530629417,11
animation,,,,,,,,,,,1464530629438,21
attack,,,,,,,,,,,1464530629439,1
attackInfo,,,,,,,0.9737025683411045,2.5456226348770468,,,1464530629439,0
serverInfo,,,,,,,,,192,19.86491855383393,1464530629439,0
move,0.21452384467691976,0.0,0.0,-1.2207031E-4,0,false,,,,,1464530629456,17
serverInfo,,,,,,,,,192,19.99600079984003,1464530629456,0
animation,,,,,,,,,,,1464530629506,50
attack,,,,,,,,,,,1464530629506,0
attackInfo,,,,,,,0.9704880201743831,2.5277506602869617,,,1464530629506,0
serverInfo,,,,,,,,,192,19.99600079984003,1464530629506,0
animation,,,,,,,,,,,1464530629506,0
animation,,,,,,,,,,,1464530629506,0
move,0.23087561972195914,0.0,0.0,-2.4414062E-4,0,false,,,,,1464530629506,0
serverInfo,,,,,,,,,192,19.99600079984003,1464530629506,0
animation,,,,,,,,,,,1464530629540,34
attack,,,,,,,,,,,1464530629540,0
attackInfo,,,,,,,0.9738468666086085,2.466132108322482,,,1464530629540,0
serverInfo,,,,,,,,,192,19.860973187686195,1464530629540,0
move,0.20597851712647963,0.0,0.0,-1.2207031E-4,0,false,,,,,1464530629556,16
serverInfo,,,,,,,,,192,19.99600079984003,1464530629556,0
animation,,,,,,,,,,,1464530629575,19
attack,,,,,,,,,,,1464530629575,0
attackInfo,,,,,,,0.9834874582861672,2.3976130452427324,,,1464530629575,0
serverInfo,,,,,,,,,192,19.9203187250996,1464530629575,0
animation,,,,,,,,,,,1464530629596,21
attack,,,,,,,,,,,1464530629596,0
attackInfo,,,,,,,0.9834874582861672,2.3976130452427324,,,1464530629596,0
serverInfo,,,,,,,,,192,19.8373338623289,1464530629596,0
move,0.2729128420426419,0.0,-4.0206113,0.11206055,0,false,,,,,1464530629606,10
serverInfo,,,,,,,,,192,19.99600079984003,1464530629606,0
move,0.21392696980671588,0.0,-4.4111953,0.10900879,0,false,,,,,1464530629656,50
serverInfo,,,,,,,,,192,19.99600079984003,1464530629656,0
animation,,,,,,,,,,,1464530629685,29
attack,,,,,,,,,,,1464530629685,0
attackInfo,,,,,,,0.9891060119232473,2.179945820348539,,,1464530629685,0
serverInfo,,,,,,,,,192,19.880715705765407,1464530629685,0
animation,,,,,,,,,,,1464530629686,1
attack,,,,,,,,,,,1464530629686,0
attackInfo,,,,,,,0.9891060119232473,2.179945820348539,,,1464530629686,0
serverInfo,,,,,,,,,192,19.876764062810576,1464530629686,0
move,0.2301759399556741,0.0,-6.9393005,0.13684082,0,false,,,,,1464530629706,20
serverInfo,,,,,,,,,192,19.99600079984003,1464530629706,0
animation,,,,,,,,,,,1464530629737,31
move,0.23531646338730633,0.0,-7.0435696,0.12597656,0,false,,,,,1464530629756,19
serverInfo,,,,,,,,,192,19.99600079984003,1464530629756,0
animation,,,,,,,,,,,1464530629757,1
animation,,,,,,,,,,,1464530629797,40
attack,,,,,,,,,,,1464530629797,0
attackInfo,,,,,,,0.924402878570393,1.9490603597888911,,,1464530629797,0
serverInfo,,,,,,,,,192,19.833399444664817,1464530629797,0
animation,,,,,,,,,,,1464530629797,0
attack,,,,,,,,,,,1464530629797,0
attackInfo,,,,,,,0.924402878570393,1.9490603597888911,,,1464530629797,0
serverInfo,,,,,,,,,192,19.833399444664817,1464530629797,0
animation,,,,,,,,,,,1464530629797,0
move,0.23613245799080101,0.0,-2.2856216,0.62768555,0,false,,,,,1464530629806,9
serverInfo,,,,,,,,,192,19.99600079984003,1464530629806,0
animation,,,,,,,,,,,1464530629849,43
attack,,,,,,,,,,,1464530629849,0
attackInfo,,,,,,,0.9085057956053385,1.7602790737202625,,,1464530629849,0
serverInfo,,,,,,,,,192,19.825535289452816,1464530629849,0
move,0.2171713556540258,0.0,-1.4532719,-4.6341553,0,false,,,,,1464530629856,7
serverInfo,,,,,,,,,192,19.99600079984003,1464530629856,0
animation,,,,,,,,,,,1464530629897,41
animation,,,,,,,,,,,1464530629897,0
attack,,,,,,,,,,,1464530629897,0
attackInfo,,,,,,,0.8973037372923998,1.650119679143262,,,1464530629897,0
serverInfo,,,,,,,,,192,19.833399444664817,1464530629897,0
animation,,,,,,,,,,,1464530629897,0
move,0.24345456048787883,0.0,4.110029,-6.7075195,0,false,,,,,1464530629906,9
serverInfo,,,,,,,,,192,19.99600079984003,1464530629906,0
animation,,,,,,,,,,,1464530629941,35
animation,,,,,,,,,,,1464530629941,0
attack,,,,,,,,,,,1464530629941,0
attackInfo,,,,,,,0.9692406313175,1.8526148922150125,,,1464530629941,0
serverInfo,,,,,,,,,192,19.857029388403497,1464530629941,0
move,0.21391391146299132,0.0,7.303877,-5.6898193,0,false,,,,,1464530629956,15
serverInfo,,,,,,,,,192,19.99600079984003,1464530629956,0
animation,,,,,,,,,,,1464530629985,29
attack,,,,,,,,,,,1464530629985,0
attackInfo,,,,,,,0.9915837325504151,1.9440134151826292,,,1464530629985,0
serverInfo,,,,,,,,,192,19.880715705765407,1464530629985,0
animation,,,,,,,,,,,1464530629985,0
attack,,,,,,,,,,,1464530629985,0
attackInfo,,,,,,,0.9915837325504151,1.9440134151826292,,,1464530629985,0
serverInfo,,,,,,,,,192,19.880715705765407,1464530629985,0
move,0.27695130344766605,0.0,7.2486477,-7.6604004,0,false,,,,,1464530630006,21
serverInfo,,,,,,,,,192,19.99600079984003,1464530630006,0
animation,,,,,,,,,,,1464530630043,37
move,0.2079057834053315,0.0,7.4910164,-4.8276367,0,false,,,,,1464530630056,13
serverInfo,,,,,,,,,192,19.99600079984003,1464530630056,0
animation,,,,,,,,,,,1464530630074,18
attack,,,,,,,,,,,1464530630074,0
attackInfo,,,,,,,0.9255503081262765,1.9995677362503406,,,1464530630074,0
serverInfo,,,,,,,,,192,19.924287706714484,1464530630074,0
animation,,,,,,,,,,,1464530630084,10
attack,,,,,,,,,,,1464530630084,0
attackInfo,,,,,,,0.9255503081262765,1.9995677362503406,,,1464530630084,0
serverInfo,,,,,,,,,192,19.884668920262477,1464530630084,0
move,0.25955143004540016,0.0,0.0,-11.373413,0,false,,,,,1464530630106,22
serverInfo,,,,,,,,,192,19.99600079984003,1464530630106,0
animation,,,,,,,,,,,1464530630114,8
move,0.18890780371556426,0.0,0.0,-10.121704,0,false,,,,,1464530630156,42
serverInfo,,,,,,,,,192,19.99600079984003,1464530630156,0
animation,,,,,,,,,,,1464530630165,9
attack,,,,,,,,,,,1464530630165,0
attackInfo,,,,,,,0.849647557350838,1.9042488302052603,,,1464530630165,0
serverInfo,,,,,,,,,192,19.960079840319363,1464530630165,0
animation,,,,,,,,,,,1464530630194,29
attack,,,,,,,,,,,1464530630194,0
attackInfo,,,,,,,0.849647557350838,1.9042488302052603,,,1464530630194,0
serverInfo,,,,,,,,,192,19.845207382417147,1464530630194,0
animation,,,,,,,,,,,1464530630194,0
move,0.19094805161065098,0.0,-5.2473755,-4.0944824,0,false,,,,,1464530630206,12
serverInfo,,,,,,,,,192,19.99600079984003,1464530630206,0
animation,,,,,,,,,,,1464530630219,13
attack,,,,,,,,,,,1464530630219,0
attackInfo,,,,,,,0.8598301711894702,1.8289695835422033,,,1464530630219,0
serverInfo,,,,,,,,,192,19.94415636218588,1464530630219,0
move,0.17631760849737232,0.0,-4.9257793,-2.416504,0,false,,,,,1464530630256,37
serverInfo,,,,,,,,,192,19.99600079984003,1464530630256,0
animation,,,,,,,,,,,1464530630294,38
attack,,,,,,,,,,,1464530630294,0
attackInfo,,,,,,,0.8414102513904747,1.774367946109378,,,1464530630294,0
serverInfo,,,,,,,,,192,19.845207382417147,1464530630294,0
animation,,,,,,,,,,,1464530630294,0
attack,,,,,,,,,,,1464530630294,0
attackInfo,,,,,,,0.8414102513904747,1.774367946109378,,,1464530630294,0
serverInfo,,,,,,,,,192,19.845207382417147,1464530630294,0
move,0.2021015496753209,0.0,-7.623125,0.2956543,0,false,,,,,1464530630306,12
serverInfo,,,,,,,,,192,19.99600079984003,1464530630306,0
animation,,,,,,,,,,,1464530630339,33
