# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.07875934040885912,0.0,-0.026662216,0.020874023,0,false,,,,,1464530665906,???
serverInfo,,,,,,,,,213,20.0,1464530665906,0
move,0.06195013339282962,0.0,-0.012533441,0.0028076172,0,false,,,,,1464530665907,1
serverInfo,,,,,,,,,213,19.99600079984003,1464530665907,0
animation,,,,,,,,,,,1464530665993,86
attack,,,,,,,,,,,1464530665993,0
attackInfo,,,,,,,0.9999780805281323,3.8420970335431925,,,1464530665993,0
serverInfo,,,,,,,,,213,19.85308715505261,1464530665993,0
animation,,,,,,,,,,,1464530665993,0
attack,,,,,,,,,,,1464530665993,0
attackInfo,,,,,,,0.9999780805281323,3.8420970335431925,,,1464530665993,0
serverInfo,,,,,,,,,213,19.85308715505261,1464530665993,0
animation,,,,,,,,,,,1464530665993,0
attack,,,,,,,,,,,1464530665993,0
attackInfo,,,,,,,0.9999780805281323,3.8420970335431925,,,1464530665993,0
serverInfo,,,,,,,,,213,19.85308715505261,1464530665993,0
move,0.05644343653475303,0.0,-0.012692064,0.0010986328,0,false,,,,,1464530666006,13
serverInfo,,,,,,,,,213,20.0,1464530666006,0
move,0.05465636270305119,0.0,-0.013664305,1.2207031E-4,0,false,,,,,1464530666006,0
serverInfo,,,,,,,,,213,20.0,1464530666006,0
animation,,,,,,,,,,,1464530666412,406
animation,,,,,,,,,,,1464530666412,0
attack,,,,,,,,,,,1464530666412,0
attackInfo,,,,,,,0.9605935170343189,5.74609667091977,,,1464530666412,0
serverInfo,,,,,,,,,213,19.97602876548142,1464530666412,0
animation,,,,,,,,,,,1464530666412,0
attack,,,,,,,,,,,1464530666412,0
attackInfo,,,,,,,0.9605935170343189,5.74609667091977,,,1464530666412,0
serverInfo,,,,,,,,,213,19.97602876548142,1464530666412,0
animation,,,,,,,,,,,1464530666412,0
attack,,,,,,,,,,,1464530666412,0
attackInfo,,,,,,,0.9605935170343189,5.74609667091977,,,1464530666412,0
serverInfo,,,,,,,,,213,19.97602876548142,1464530666412,0
