# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.3978240804629145,-0.15523200451660557,4.5050993,-1079.0026,0,false,,,,,1464530784011,???
serverInfo,,,,,,,,,266,19.99600079984003,1464530784011,0
move,0.24904321030671195,-0.23052736891296632,-2.6737127,0.05090332,0,false,,,,,1464530784061,50
serverInfo,,,,,,,,,266,19.99600079984003,1464530784061,0
animation,,,,,,,,,,,1464530784108,47
attack,,,,,,,,,,,1464530784108,0
attackInfo,,,,,,,0.9999979660769331,3.6870582586101115,,,1464530784108,0
serverInfo,,,,,,,,,266,19.80982567353407,1464530784108,0
move,0.2587644950696637,-0.30431682745754074,-4.2587366,0.052001953,0,false,,,,,1464530784111,3
serverInfo,,,,,,,,,266,19.99600079984003,1464530784111,0
animation,,,,,,,,,,,1464530784154,43
attack,,,,,,,,,,,1464530784154,0
attackInfo,,,,,,,0.9999982710264128,3.4296522100852,,,1464530784154,0
serverInfo,,,,,,,,,266,19.825535289452816,1464530784154,0
move,0.17343620009329008,-0.37663049823865435,-6.269347,0.03125,0,false,,,,,1464530784161,7
serverInfo,,,,,,,,,266,19.99600079984003,1464530784161,0
animation,,,,,,,,,,,1464530784196,35
attack,,,,,,,,,,,1464530784196,0
attackInfo,,,,,,,0.9999985800488731,3.259110371416283,,,1464530784196,0
serverInfo,,,,,,,,,266,19.857029388403497,1464530784196,0
move,0.12685474765740778,-0.1040803780930375,-1.843359,0.018432617,0,false,,,,,1464530784211,15
serverInfo,,,,,,,,,266,19.99600079984003,1464530784211,0
animation,,,,,,,,,,,1464530784240,29
attack,,,,,,,,,,,1464530784240,0
attackInfo,,,,,,,0.9935289531334761,3.9249386463640543,,,1464530784240,0
serverInfo,,,,,,,,,266,19.880715705765407,1464530784240,0
move,0.09899292045672059,0.0,0.0,1.7568359,0,true,,,,,1464530784261,21
serverInfo,,,,,,,,,266,19.99600079984003,1464530784261,0
animation,,,,,,,,,,,1464530784302,41
attack,,,,,,,,,,,1464530784302,0
attackInfo,,,,,,,0.9828741246515634,4.242360132375738,,,1464530784302,0
