# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464530874810,???
attack,,,,,,,,,,,1464530874810,0
attackInfo,,,,,,,0.9817097419917657,3.5728418878187527,,,1464530874810,0
serverInfo,,,,,,,,,182,19.80982567353407,1464530874810,0
move,0.263749683813451,0.0,-0.14999962,-1.3500977,0,true,,,,,1464530874813,3
serverInfo,,,,,,,,,182,19.99600079984003,1464530874813,0
move,0.23634515235842457,0.0,0.0,-1.0500488,0,true,,,,,1464530874813,0
serverInfo,,,,,,,,,182,19.99600079984003,1464530874813,0
animation,,,,,,,,,,,1464530874856,43
attack,,,,,,,,,,,1464530874856,0
attackInfo,,,,,,,0.9844768593805256,3.1556865367847853,,,1464530874856,0
serverInfo,,,,,,,,,182,19.825535289452816,1464530874856,0
move,0.2244225941432667,0.0,0.0,-1.6500244,0,true,,,,,1464530874863,7
serverInfo,,,,,,,,,182,19.99600079984003,1464530874863,0
animation,,,,,,,,,,,1464530874904,41
attack,,,,,,,,,,,1464530874904,0
attackInfo,,,,,,,0.9855979806355448,2.9632507363156857,,,1464530874904,0
serverInfo,,,,,,,,,171,19.833399444664817,1464530874904,0
move,0.21830737776132114,0.0,0.0,-1.1999512,0,true,,,,,1464530874913,9
serverInfo,,,,,,,,,171,19.99600079984003,1464530874913,0
animation,,,,,,,,,,,1464530874953,40
attack,,,,,,,,,,,1464530874953,0
attackInfo,,,,,,,0.9623163557357912,3.588798229216161,,,1464530874953,0
serverInfo,,,,,,,,,171,19.8373338623289,1464530874953,0
move,0.21460018730487196,0.0,0.0,-0.9000244,0,true,,,,,1464530874963,10
serverInfo,,,,,,,,,171,19.99600079984003,1464530874963,0
animation,,,,,,,,,,,1464530875007,44
attack,,,,,,,,,,,1464530875007,0
attackInfo,,,,,,,0.9419103975936185,3.872973337971247,,,1464530875007,0
serverInfo,,,,,,,,,171,19.821605550049554,1464530875007,0
move,0.2133857115702842,0.0,0.0,1080.0,0,true,,,,,1464530875013,6
serverInfo,,,,,,,,,171,19.99600079984003,1464530875013,0
animation,,,,,,,,,,,1464530875039,26
attack,,,,,,,,,,,1464530875039,0
attackInfo,,,,,,,0.9230288545642219,4.496184911453946,,,1464530875039,0
serverInfo,,,,,,,,,171,19.89258006763477,1464530875039,0
move,0.21298784927340542,0.0,0.0,0.0,0,true,,,,,1464530875063,24
serverInfo,,,,,,,,,171,19.99600079984003,1464530875063,0
animation,,,,,,,,,,,1464530875088,25
attack,,,,,,,,,,,1464530875088,0
attackInfo,,,,,,,0.919134294224706,4.311934582168118,,,1464530875088,0
serverInfo,,,,,,,,,171,19.896538002387587,1464530875088,0
animation,,,,,,,,,,,1464530875163,75
attack,,,,,,,,,,,1464530875163,0
attackInfo,,,,,,,0.9281686376723612,4.866598191239768,,,1464530875163,0
serverInfo,,,,,,,,,171,19.99600079984003,1464530875163,0
animation,,,,,,,,,,,1464530875218,55
attack,,,,,,,,,,,1464530875218,0
attackInfo,,,,,,,0.939437348828372,5.112749209918208,,,1464530875218,0
serverInfo,,,,,,,,,171,19.97602876548142,1464530875218,0
animation,,,,,,,,,,,1464530875238,20
attack,,,,,,,,,,,1464530875238,0
attackInfo,,,,,,,0.939437348828372,5.112749209918208,,,1464530875238,0
serverInfo,,,,,,,,,171,19.896538002387587,1464530875238,0
move,0.10093873670088893,0.0,0.0,0.0,0,true,,,,,1464530875263,25
serverInfo,,,,,,,,,171,19.99600079984003,1464530875263,0
animation,,,,,,,,,,,1464530875303,40
attack,,,,,,,,,,,1464530875303,0
attackInfo,,,,,,,0.9526377697614551,5.298295804253917,,,1464530875303,0
serverInfo,,,,,,,,,171,19.8373338623289,1464530875303,0
move,0.11607296302076975,0.0,0.0,0.0,0,true,,,,,1464530875413,110
serverInfo,,,,,,,,,171,19.99600079984003,1464530875413,0
move,0.2031774193932172,0.0,0.0,0.0,0,true,,,,,1464530875413,0
serverInfo,,,,,,,,,171,19.99600079984003,1464530875413,0
move,0.25401756591739977,0.0,0.0,0.0,0,true,,,,,1464530875463,50
serverInfo,,,,,,,,,171,19.99600079984003,1464530875463,0
move,0.28177628914384867,0.0,0.0,0.0,0,true,,,,,1464530875513,50
serverInfo,,,,,,,,,171,19.99600079984003,1464530875513,0
move,0.2957805245249312,0.0,0.0,-1080.6001,0,true,,,,,1464530875563,50
serverInfo,,,,,,,,,171,19.99600079984003,1464530875563,0
move,0.2998672047729949,0.0,0.0,-1.7999268,0,true,,,,,1464530875613,50
serverInfo,,,,,,,,,171,20.0,1464530875613,0
move,0.2949044839553654,0.0,-0.8999996,-3.4499512,0,true,,,,,1464530875713,100
serverInfo,,,,,,,,,171,19.99600079984003,1464530875713,0
move,0.29187469524069876,0.0,0.0,-0.15002441,0,true,,,,,1464530875763,50
serverInfo,,,,,,,,,171,19.99600079984003,1464530875763,0
move,0.2902204304103386,0.0,0.0,1080.0,0,true,,,,,1464530875763,0
serverInfo,,,,,,,,,171,19.99600079984003,1464530875763,0
move,0.288984258777087,0.0,0.0,-1080.15,0,true,,,,,1464530875813,50
serverInfo,,,,,,,,,171,19.99600079984003,1464530875813,0
move,0.2883093089869013,0.0,0.0,1080.0,0,true,,,,,1464530875863,50
serverInfo,,,,,,,,,171,19.99600079984003,1464530875863,0
move,0.28276834392463,0.0,0.0,-1080.3,0,true,,,,,1464530875913,50
serverInfo,,,,,,,,,171,19.99600079984003,1464530875913,0
move,0.2805953348699859,0.0,0.0,-1.0500488,0,true,,,,,1464530875963,50
serverInfo,,,,,,,,,171,19.99600079984003,1464530875963,0
move,0.28000991610718984,0.0,0.0,-0.30004883,0,true,,,,,1464530876063,100
serverInfo,,,,,,,,,171,19.99600079984003,1464530876063,0
move,0.2800570727640377,0.0,0.0,1080.0,0,true,,,,,1464530876063,0
serverInfo,,,,,,,,,171,19.99600079984003,1464530876063,0
animation,,,,,,,,,,,1464530876114,51
attack,,,,,,,,,,,1464530876114,0
attackInfo,,,,,,,0.9883586901092931,4.07197475461127,,,1464530876114,0
serverInfo,,,,,,,,,171,19.992003198720514,1464530876114,0
move,0.21880897686821754,0.0,0.0,0.0,0,true,,,,,1464530876163,49
serverInfo,,,,,,,,,171,19.99600079984003,1464530876163,0
animation,,,,,,,,,,,1464530876190,27
attack,,,,,,,,,,,1464530876190,0
attackInfo,,,,,,,0.9883381833850692,3.852702037874829,,,1464530876190,0
serverInfo,,,,,,,,,171,19.88862370723946,1464530876190,0
animation,,,,,,,,,,,1464530876190,0
attack,,,,,,,,,,,1464530876190,0
attackInfo,,,,,,,0.9883381833850692,3.852702037874829,,,1464530876190,0
serverInfo,,,,,,,,,171,19.88862370723946,1464530876190,0
move,0.1987440983221802,0.0,0.0,0.0,0,true,,,,,1464530876213,23
serverInfo,,,,,,,,,171,19.99600079984003,1464530876213,0
move,0.19217084334698598,0.0,0.0,0.0,0,true,,,,,1464530876213,0
serverInfo,,,,,,,,,171,19.99600079984003,1464530876213,0
animation,,,,,,,,,,,1464530876278,65
attack,,,,,,,,,,,1464530876278,0
attackInfo,,,,,,,0.9882909779311266,3.4608656176542842,,,1464530876278,0
serverInfo,,,,,,,,,171,19.93620414673046,1464530876278,0
animation,,,,,,,,,,,1464530876303,25
