# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.11157766416089832,0.24813599859093927,1.9499998,-3.6000977,0,false,,,,,1464530910214,???
serverInfo,,,,,,,,,185,19.99600079984003,1464530910214,0
move,0.08168146760693684,0.1647732818260721,3.1499996,-4.500122,0,false,,,,,1464530910214,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530910214,0
animation,,,,,,,,,,,1464530910245,31
attack,,,,,,,,,,,1464530910245,0
attackInfo,,,,,,,0.9058288919044445,3.549060741296002,,,1464530910245,0
serverInfo,,,,,,,,,185,19.87281399046105,1464530910245,0
animation,,,,,,,,,,,1464530910259,14
attack,,,,,,,,,,,1464530910259,0
attackInfo,,,,,,,0.9058288919044445,3.549060741296002,,,1464530910259,0
serverInfo,,,,,,,,,185,19.817677368212443,1464530910259,0
move,0.06716557993221484,0.08307781780646906,2.6999989,-3.6000977,0,false,,,,,1464530910264,5
serverInfo,,,,,,,,,185,19.99600079984003,1464530910264,0
move,0.06116943660578178,0.0,2.5500011,-4.0499268,0,false,,,,,1464530910264,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530910264,0
animation,,,,,,,,,,,1464530910307,43
attack,,,,,,,,,,,1464530910307,0
attackInfo,,,,,,,0.9472441526534381,3.440143364087433,,,1464530910307,0
serverInfo,,,,,,,,,185,19.825535289452816,1464530910307,0
move,0.06070870430448272,-0.07840000152587834,2.5500011,-6.4500732,0,false,,,,,1464530910314,7
serverInfo,,,,,,,,,185,19.99600079984003,1464530910314,0
animation,,,,,,,,,,,1464530910354,40
attack,,,,,,,,,,,1464530910354,0
attackInfo,,,,,,,0.9712353516627891,3.355056564653861,,,1464530910354,0
serverInfo,,,,,,,,,185,19.8373338623289,1464530910354,0
move,0.06704030385571969,-0.15523200451660557,1.9499989,-9.75,0,false,,,,,1464530910364,10
serverInfo,,,,,,,,,185,19.99600079984003,1464530910364,0
animation,,,,,,,,,,,1464530910404,40
attack,,,,,,,,,,,1464530910404,0
attackInfo,,,,,,,0.9859740528177485,3.2473619726713117,,,1464530910404,0
serverInfo,,,,,,,,,185,19.833399444664817,1464530910405,1
move,0.09287509834253838,-0.23052736891296632,0.0,-3.1499023,0,false,,,,,1464530910414,9
serverInfo,,,,,,,,,185,19.99600079984003,1464530910414,0
animation,,,,,,,,,,,1464530910443,29
attack,,,,,,,,,,,1464530910443,0
attackInfo,,,,,,,0.9346420922030467,3.7603905226951135,,,1464530910443,0
serverInfo,,,,,,,,,185,19.880715705765407,1464530910443,0
move,0.07539178541246327,-0.30431682745754074,0.0,-0.75,0,false,,,,,1464530910464,21
serverInfo,,,,,,,,,185,19.99600079984003,1464530910464,0
animation,,,,,,,,,,,1464530910491,27
attack,,,,,,,,,,,1464530910491,0
attackInfo,,,,,,,0.8659130158756659,4.088070999671993,,,1464530910491,0
serverInfo,,,,,,,,,185,19.88862370723946,1464530910491,0
move,0.05248340803379081,-0.37663049823865435,0.0,1080.0,0,false,,,,,1464530910514,23
serverInfo,,,,,,,,,185,19.99600079984003,1464530910514,0
animation,,,,,,,,,,,1464530910569,55
attack,,,,,,,,,,,1464530910569,0
attackInfo,,,,,,,0.7837864255080362,4.832024597822451,,,1464530910569,0
serverInfo,,,,,,,,,185,19.97602876548142,1464530910569,0
animation,,,,,,,,,,,1464530910610,41
attack,,,,,,,,,,,1464530910610,0
attackInfo,,,,,,,0.7837864255080362,4.832024597822451,,,1464530910610,0
serverInfo,,,,,,,,,185,19.813750743015653,1464530910610,0
move,0.04331577445907442,-0.1040803780930375,-0.14999962,-1081.35,0,false,,,,,1464530910614,4
serverInfo,,,,,,,,,185,19.99600079984003,1464530910614,0
move,0.3391511982015949,0.41999998688697815,0.0,1080.0,0,true,,,,,1464530910614,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530910614,0
jump,,,,,,,,,,,1464530910614,0
animation,,,,,,,,,,,1464530910642,28
attack,,,,,,,,,,,1464530910642,0
attackInfo,,,,,,,0.8131422165487022,4.720001409686551,,,1464530910642,0
serverInfo,,,,,,,,,185,19.884668920262477,1464530910642,0
move,0.1222118722770631,0.33319999363422426,0.0,-1080.15,0,false,,,,,1464530910664,22
serverInfo,,,,,,,,,185,19.99600079984003,1464530910664,0
animation,,,,,,,,,,,1464530910698,34
attack,,,,,,,,,,,1464530910698,0
attackInfo,,,,,,,0.853464704510057,4.841969470349465,,,1464530910698,0
serverInfo,,,,,,,,,185,19.860973187686195,1464530910698,0
move,0.07976989571894366,0.24813599859093927,0.0,-1.3499756,0,false,,,,,1464530910714,16
serverInfo,,,,,,,,,185,19.99600079984003,1464530910714,0
animation,,,,,,,,,,,1464530910735,21
attack,,,,,,,,,,,1464530910735,0
attackInfo,,,,,,,0.882137314568909,5.004919541394943,,,1464530910735,0
serverInfo,,,,,,,,,185,19.91238550378335,1464530910735,0
animation,,,,,,,,,,,1464530910803,68
attack,,,,,,,,,,,1464530910803,0
attackInfo,,,,,,,0.8944712239892333,5.250604998338096,,,1464530910803,0
serverInfo,,,,,,,,,185,19.841269841269842,1464530910803,0
move,0.05659657585037037,0.1647732818260721,0.0,1080.0,0,false,,,,,1464530910814,11
serverInfo,,,,,,,,,185,19.99600079984003,1464530910814,0
move,0.044125041306068535,0.08307781780646906,0.0,-1080.3,0,false,,,,,1464530910814,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530910814,0
animation,,,,,,,,,,,1464530910862,48
attack,,,,,,,,,,,1464530910862,0
attackInfo,,,,,,,0.9272414557134605,5.385781273738917,,,1464530910862,0
serverInfo,,,,,,,,,185,19.805902158843335,1464530910862,0
move,0.03731558324864226,0.0,0.0,1080.0,0,false,,,,,1464530910865,3
serverInfo,,,,,,,,,185,19.992003198720514,1464530910865,0
move,0.0471804917360954,-0.07840000152587834,0.0,0.0,0,false,,,,,1464530910914,49
serverInfo,,,,,,,,,185,19.99600079984003,1464530910914,0
move,0.056157558718404665,-0.15523200451660557,0.0,0.0,0,false,,,,,1464530910964,50
serverInfo,,,,,,,,,185,19.99600079984003,1464530910964,0
move,0.06441545891892808,-0.23052736891296632,0.0,-1080.15,0,false,,,,,1464530911014,50
serverInfo,,,,,,,,,185,19.99600079984003,1464530911014,0
move,0.0719301483179966,-0.30431682745754074,0.0,1080.0,0,false,,,,,1464530911314,300
serverInfo,,,,,,,,,185,19.99600079984003,1464530911314,0
move,0.07876851586820521,-0.37663049823865435,0.0,0.0,0,false,,,,,1464530911314,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911314,0
move,0.10446343629531851,-0.1040803780930375,0.0,-1079.2499,0,false,,,,,1464530911314,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911314,0
move,0.25838920391547493,0.0,0.0,0.45007324,0,true,,,,,1464530911314,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911314,0
move,0.2989317148251587,0.0,-0.8999996,2.4000244,0,true,,,,,1464530911314,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911314,0
move,0.31866149885341954,0.0,-1.6500015,3.0,0,true,,,,,1464530911314,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911314,0
move,0.32496568881262977,0.0,-3.000002,2.7000732,0,true,,,,,1464530911414,100
serverInfo,,,,,,,,,185,19.99600079984003,1464530911414,0
animation,,,,,,,,,,,1464530911458,44
attack,,,,,,,,,,,1464530911458,0
attackInfo,,,,,,,0.9292836820576804,9.736434529954249,,,1464530911458,0
serverInfo,,,,,,,,,185,19.821605550049554,1464530911458,0
animation,,,,,,,,,,,1464530911458,0
attack,,,,,,,,,,,1464530911458,0
attackInfo,,,,,,,0.9292836820576804,9.736434529954249,,,1464530911458,0
serverInfo,,,,,,,,,185,19.821605550049554,1464530911458,0
move,0.25743526224985214,0.0,0.0,1080.0,0,true,,,,,1464530911464,6
serverInfo,,,,,,,,,185,19.99600079984003,1464530911464,0
move,0.23531229193824954,0.0,0.0,0.0,0,true,,,,,1464530911464,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911464,0
animation,,,,,,,,,,,1464530911767,303
attack,,,,,,,,,,,1464530911767,0
attackInfo,,,,,,,0.9286662334711262,9.61072946674277,,,1464530911767,0
serverInfo,,,,,,,,,185,19.984012789768187,1464530911767,0
move,0.2280648060223336,0.0,0.0,0.0,0,true,,,,,1464530911814,47
serverInfo,,,,,,,,,185,19.99600079984003,1464530911814,0
move,0.27549988878128406,0.0,0.0,0.0,0,true,,,,,1464530911814,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911814,0
move,0.30114441546479087,0.0,0.0,-1079.85,0,true,,,,,1464530911814,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911814,0
move,0.3151463286603411,0.0,-0.14999962,0.0,0,true,,,,,1464530911814,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911814,0
move,0.3227913741530859,0.0,0.0,1080.0,0,true,,,,,1464530911814,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911814,0
move,0.32696556947699396,0.0,0.0,0.0,0,true,,,,,1464530911814,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911814,0
move,0.32793512722728746,0.0,-0.14999962,-1079.2499,0,true,,,,,1464530911864,50
serverInfo,,,,,,,,,185,19.99600079984003,1464530911864,0
move,0.3232820384194284,0.0,-1.1999989,2.8499756,0,true,,,,,1464530911864,0
serverInfo,,,,,,,,,185,19.99600079984003,1464530911864,0
move,0.31786618131325195,0.0,-1.1999989,1.5,0,true,,,,,1464530911964,100
serverInfo,,,,,,,,,212,19.99600079984003,1464530911964,0
move,0.31402649368471325,0.0,-0.29999924,0.45007324,0,true,,,,,1464530911964,0
serverInfo,,,,,,,,,212,19.99600079984003,1464530911964,0
move,0.3107323822805901,0.0,-0.14999962,0.60009766,0,true,,,,,1464530912014,50
serverInfo,,,,,,,,,212,19.99600079984003,1464530912014,0
move,0.30863746064635844,0.0,-0.14999962,0.15002441,0,true,,,,,1464530912065,51
serverInfo,,,,,,,,,212,19.992003198720514,1464530912065,0
move,0.30381987028682156,0.0,-1.5000019,1.8000488,0,true,,,,,1464530912164,99
serverInfo,,,,,,,,,212,19.99600079984003,1464530912164,0
move,0.29674249674307074,0.0,-2.249999,2.0999756,0,true,,,,,1464530912164,0
serverInfo,,,,,,,,,212,19.99600079984003,1464530912164,0
move,0.2902613985159599,0.0,-1.0500002,1.1999512,0,true,,,,,1464530912214,50
serverInfo,,,,,,,,,212,19.99600079984003,1464530912214,0
move,0.28672271847291464,0.0,0.0,1080.0,0,true,,,,,1464530912314,100
serverInfo,,,,,,,,,212,19.99600079984003,1464530912314,0
move,0.28133694878215465,0.0,0.0,0.0,0,true,,,,,1464530912314,0
serverInfo,,,,,,,,,212,19.99600079984003,1464530912314,0
move,0.2813898093430396,0.0,0.0,0.0,0,true,,,,,1464530912364,50
serverInfo,,,,,,,,,212,19.99600079984003,1464530912364,0
move,0.28141867121266273,0.0,0.0,0.0,0,true,,,,,1464530912464,100
serverInfo,,,,,,,,,212,19.99600079984003,1464530912464,0
move,0.2814344297952971,0.0,0.0,0.0,0,true,,,,,1464530912464,0
serverInfo,,,,,,,,,212,19.99600079984003,1464530912464,0
move,0.28144303398241277,0.0,0.0,0.0,0,true,,,,,1464530912564,100
serverInfo,,,,,,,,,212,19.99600079984003,1464530912564,0
move,0.28144773186912175,0.0,0.0,0.0,0,true,,,,,1464530912564,0
serverInfo,,,,,,,,,212,19.99600079984003,1464530912564,0
animation,,,,,,,,,,,1464530912594,30
attack,,,,,,,,,,,1464530912594,0
attackInfo,,,,,,,0.9665151442695318,3.65448679592408,,,1464530912594,0
serverInfo,,,,,,,,,212,19.876764062810576,1464530912594,0
move,0.2201661687393539,0.0,0.0,0.0,0,true,,,,,1464530912614,20
serverInfo,,,,,,,,,212,19.99600079984003,1464530912614,0
animation,,,,,,,,,,,1464530912657,43
attack,,,,,,,,,,,1464530912657,0
attackInfo,,,,,,,0.9654766617190985,3.43709846551615,,,1464530912657,0
serverInfo,,,,,,,,,212,19.825535289452816,1464530912657,0
move,0.20009032632617618,0.0,0.0,0.0,0,true,,,,,1464530912664,7
serverInfo,,,,,,,,,212,19.99600079984003,1464530912664,0
animation,,,,,,,,,,,1464530912726,62
attack,,,,,,,,,,,1464530912726,0
attackInfo,,,,,,,0.9643483149846211,3.239823681358182,,,1464530912726,0
serverInfo,,,,,,,,,212,19.948134849391582,1464530912726,0
animation,,,,,,,,,,,1464530912741,15
attack,,,,,,,,,,,1464530912741,0
attackInfo,,,,,,,0.9643483149846211,3.239823681358182,,,1464530912741,0
serverInfo,,,,,,,,,212,19.88862370723946,1464530912741,0
move,0.19351347958769338,0.0,0.0,0.0,0,true,,,,,1464530912764,23
serverInfo,,,,,,,,,212,19.99600079984003,1464530912764,0
move,0.19267440027653038,0.0,0.3000002,-1080.6,0,true,,,,,1464530912764,0
serverInfo,,,,,,,,,212,19.99600079984003,1464530912764,0
animation,,,,,,,,,,,1464530912845,81
attack,,,,,,,,,,,1464530912845,0
attackInfo,,,,,,,0.9407506105439613,3.19271488519198,,,1464530912845,0
serverInfo,,,,,,,,,212,19.87281399046105,1464530912845,0
animation,,,,,,,,,,,1464530912845,0
attack,,,,,,,,,,,1464530912845,0
attackInfo,,,,,,,0.9407506105439613,3.19271488519198,,,1464530912845,0
serverInfo,,,,,,,,,212,19.87281399046105,1464530912845,0
move,0.1935848953166328,0.0,0.5999994,-0.7501221,0,true,,,,,1464530912864,19
serverInfo,,,,,,,,,212,19.99600079984003,1464530912864,0
move,0.1968482151081048,0.0,0.75,-1.6499023,0,true,,,,,1464530912914,50
serverInfo,,,,,,,,,212,19.99600079984003,1464530912914,0
animation,,,,,,,,,,,1464530912932,18
attack,,,,,,,,,,,1464530912932,0
attackInfo,,,,,,,0.9012264227154201,3.1842884378119525,,,1464530912932,0
serverInfo,,,,,,,,,212,19.924287706714484,1464530912932,0
move,0.19671408973295001,0.0,0.14999962,0.0,0,true,,,,,1464530912964,32
serverInfo,,,,,,,,,212,19.99600079984003,1464530912964,0
animation,,,,,,,,,,,1464530913143,179
attack,,,,,,,,,,,1464530913143,0
