# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.11967123743562524,0.0,0.008265734,0.0,0,true,,,,,1464530989135,???
serverInfo,,,,,,,,,133,20.0,1464530989135,0
move,0.19644674249599348,0.0,-0.011098534,-0.022460938,0,true,,,,,1464530989185,50
serverInfo,,,,,,,,,133,20.0,1464530989185,0
move,0.2385739114039893,0.0,-0.020792961,0.088012695,0,true,,,,,1464530989235,50
serverInfo,,,,,,,,,133,20.0,1464530989235,0
move,0.26181891844345273,0.0,0.27036577,0.16625977,0,true,,,,,1464530989285,50
serverInfo,,,,,,,,,133,20.0,1464530989285,0
move,0.15404622611830732,0.0,-0.33949757,0.23486328,0,true,,,,,1464530989335,50
serverInfo,,,,,,,,,133,20.0,1464530989335,0
animation,,,,,,,,,,,1464530989376,41
attack,,,,,,,,,,,1464530989376,0
attackInfo,,,,,,,0.9925562971177614,2.931652013642102,,,1464530989376,0
serverInfo,,,,,,,,,133,19.8373338623289,1464530989376,0
animation,,,,,,,,,,,1464530989376,0
attack,,,,,,,,,,,1464530989376,0
attackInfo,,,,,,,0.9925562971177614,2.931652013642102,,,1464530989376,0
serverInfo,,,,,,,,,133,19.8373338623289,1464530989376,0
move,-0.08157233360588467,0.0,-0.039633155,2.1225586,0,true,,,,,1464530989385,9
serverInfo,,,,,,,,,133,20.0,1464530989385,0
move,-0.14568203082337883,0.0,0.14243826,4.2229004,0,true,,,,,1464530989435,50
serverInfo,,,,,,,,,133,20.0,1464530989435,0
move,-0.027187127235832165,0.0,-0.0013338625,5.699951,0,true,,,,,1464530989485,50
serverInfo,,,,,,,,,133,20.0,1464530989485,0
move,0.05342165231506124,0.0,-0.16790104,5.25,0,true,,,,,1464530989535,50
serverInfo,,,,,,,,,133,20.0,1464530989535,0
animation,,,,,,,,,,,1464530989573,38
attack,,,,,,,,,,,1464530989573,0
attackInfo,,,,,,,0.9621709319737508,4.5148234008040165,,,1464530989573,0
serverInfo,,,,,,,,,133,19.84914648670107,1464530989573,0
animation,,,,,,,,,,,1464530989573,0
attack,,,,,,,,,,,1464530989573,0
attackInfo,,,,,,,0.9621709319737508,4.5148234008040165,,,1464530989573,0
serverInfo,,,,,,,,,133,19.84914648670107,1464530989573,0
move,0.08920118933035015,0.0,-3.2532153,3.5517578,0,true,,,,,1464530989585,12
serverInfo,,,,,,,,,133,20.0,1464530989585,0
move,0.12812057709071079,0.0,-2.8009806,0.24316406,0,true,,,,,1464530989635,50
serverInfo,,,,,,,,,133,20.0,1464530989635,0
move,0.14624093772045743,0.0,-4.532114,-1.0759277,0,true,,,,,1464530989685,50
serverInfo,,,,,,,,,133,20.0,1464530989685,0
animation,,,,,,,,,,,1464530989716,31
attack,,,,,,,,,,,1464530989716,0
attackInfo,,,,,,,0.9801240763942562,4.628307004662349,,,1464530989716,0
serverInfo,,,,,,,,,133,19.876764062810576,1464530989716,0
animation,,,,,,,,,,,1464530989716,0
attack,,,,,,,,,,,1464530989716,0
attackInfo,,,,,,,0.9801240763942562,4.628307004662349,,,1464530989716,0
serverInfo,,,,,,,,,133,19.876764062810576,1464530989716,0
move,0.10360215957161323,0.0,-3.6014233,-0.48901367,0,true,,,,,1464530989735,19
serverInfo,,,,,,,,,133,20.0,1464530989735,0
move,-0.01187057825592408,0.0,-2.5994196,-1.3515625,0,true,,,,,1464530989785,50
serverInfo,,,,,,,,,133,20.0,1464530989785,0
move,-0.0689808633686777,0.0,0.44949722,2.029419,0,true,,,,,1464530989835,50
serverInfo,,,,,,,,,133,20.0,1464530989835,0
animation,,,,,,,,,,,1464530989875,40
attack,,,,,,,,,,,1464530989875,0
attackInfo,,,,,,,0.9522854356112951,4.857666582829048,,,1464530989875,0
serverInfo,,,,,,,,,133,19.841269841269842,1464530989875,0
animation,,,,,,,,,,,1464530989875,0
move,-0.0782279679971265,0.0,1.3719673,2.3116455,0,true,,,,,1464530989885,10
serverInfo,,,,,,,,,133,20.0,1464530989885,0
move,0.02462173687512692,0.0,2.6806564,1.4191895,0,true,,,,,1464530989935,50
serverInfo,,,,,,,,,133,20.0,1464530989935,0
move,0.10055914883158268,0.0,4.6499996,-0.15002441,0,true,,,,,1464530989985,50
serverInfo,,,,,,,,,133,20.0,1464530989985,0
move,0.14116608233153483,0.0,0.9000001,-0.30004883,0,true,,,,,1464530990035,50
serverInfo,,,,,,,,,133,20.0,1464530990035,0
move,0.24935846925451588,0.0,0.1500001,0.0,0,true,,,,,1464530990085,50
serverInfo,,,,,,,,,133,20.0,1464530990085,0
move,0.30429229360368026,0.0,0.0,-0.15002441,0,true,,,,,1464530990135,50
serverInfo,,,,,,,,,133,20.0,1464530990135,0
move,0.3382883151726759,0.0,0.4500003,0.0,0,true,,,,,1464530990185,50
serverInfo,,,,,,,,,133,20.0,1464530990185,0
move,0.626379636768307,0.41999998688697815,0.3000002,-0.30004883,0,true,,,,,1464530990235,50
serverInfo,,,,,,,,,133,20.0,1464530990235,0
jump,,,,,,,,,,,1464530990235,0
move,0.3762024819238041,0.33319999363422426,0.9000001,-0.9000244,0,false,,,,,1464530990285,50
serverInfo,,,,,,,,,133,20.0,1464530990285,0
animation,,,,,,,,,,,1464530990309,24
animation,,,,,,,,,,,1464530990309,0
move,0.37639137097257835,0.24813599859093927,1.5,-0.7501221,0,false,,,,,1464530990335,26
serverInfo,,,,,,,,,133,20.0,1464530990335,0
animation,,,,,,,,,,,1464530990356,21
move,0.3764380818759805,0.1647732818260721,3.3000002,-0.60009766,0,false,,,,,1464530990385,29
serverInfo,,,,,,,,,133,20.0,1464530990385,0
move,0.37615084845389646,0.08307781780646906,3.0,-1.5001221,0,false,,,,,1464530990435,50
serverInfo,,,,,,,,,133,20.0,1464530990435,0
move,0.3749642361698893,0.0,1.2,-3.75,0,false,,,,,1464530990485,50
serverInfo,,,,,,,,,133,20.0,1464530990485,0
animation,,,,,,,,,,,1464530990516,31
animation,,,,,,,,,,,1464530990516,0
