# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.22753775977209179,0.0,0.44999886,-0.45007324,0,true,,,,,1464531096637,???
serverInfo,,,,,,,,,130,19.99600079984003,1464531096637,0
animation,,,,,,,,,,,1464531096680,43
attack,,,,,,,,,,,1464531096680,0
attackInfo,,,,,,,0.9537669677561049,2.740043142639561,,,1464531096680,0
serverInfo,,,,,,,,,130,19.825535289452816,1464531096680,0
move,0.2017375614386765,0.0,0.0,1440.0,0,true,,,,,1464531096687,7
serverInfo,,,,,,,,,130,19.99600079984003,1464531096687,0
animation,,,,,,,,,,,1464531096698,11
move,0.23878777777633786,0.0,0.0,0.0,0,true,,,,,1464531096737,39
serverInfo,,,,,,,,,130,19.99600079984003,1464531096737,0
animation,,,,,,,,,,,1464531096739,2
attack,,,,,,,,,,,1464531096739,0
attackInfo,,,,,,,0.9137542963052544,3.142868061489882,,,1464531096739,0
serverInfo,,,,,,,,,130,19.98800719568259,1464531096739,0
animation,,,,,,,,,,,1464531096739,0
animation,,,,,,,,,,,1464531096777,38
attack,,,,,,,,,,,1464531096777,0
attackInfo,,,,,,,0.9137542963052544,3.142868061489882,,,1464531096777,0
serverInfo,,,,,,,,,130,19.8373338623289,1464531096777,0
move,0.17743843392048575,0.0,0.0,0.0,0,true,,,,,1464531096787,10
serverInfo,,,,,,,,,130,19.99600079984003,1464531096787,0
animation,,,,,,,,,,,1464531096821,34
animation,,,,,,,,,,,1464531096821,0
move,0.1875901694040749,0.0,0.0,0.0,0,true,,,,,1464531096837,16
serverInfo,,,,,,,,,130,19.99600079984003,1464531096837,0
animation,,,,,,,,,,,1464531096868,31
animation,,,,,,,,,,,1464531096868,0
attack,,,,,,,,,,,1464531096868,0
attackInfo,,,,,,,0.8617008498826345,3.714683698015316,,,1464531096868,0
serverInfo,,,,,,,,,130,19.87281399046105,1464531096868,0
move,0.23106330082822524,0.0,0.0,0.0,0,true,,,,,1464531096887,19
serverInfo,,,,,,,,,130,19.99600079984003,1464531096887,0
move,0.20494623569402393,0.0,0.0,0.0,0,true,,,,,1464531096937,50
serverInfo,,,,,,,,,130,19.99600079984003,1464531096937,0
animation,,,,,,,,,,,1464531096946,9
attack,,,,,,,,,,,1464531096946,0
attackInfo,,,,,,,0.842743036053141,3.687046468861198,,,1464531096946,0
serverInfo,,,,,,,,,130,19.960079840319363,1464531096946,0
move,0.24053971412325836,0.0,0.14999962,-1440.0,0,true,,,,,1464531096987,41
serverInfo,,,,,,,,,130,19.99600079984003,1464531096987,0
animation,,,,,,,,,,,1464531097036,49
attack,,,,,,,,,,,1464531097036,0
attackInfo,,,,,,,0.8394184638694654,3.793211601986341,,,1464531097036,0
