# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464531161376,???
attack,,,,,,,,,,,1464531161376,0
attackInfo,,,,,,,0.999978043776439,3.1907865172473637,,,1464531161376,0
serverInfo,,,,,,,,,169,19.85308715505261,1464531161376,0
move,0.2760467881249804,0.0,-0.022165596,-0.04711914,0,true,,,,,1464531161389,13
serverInfo,,,,,,,,,169,20.0,1464531161389,0
move,0.25015232722575664,0.0,-0.020361453,-0.07531738,0,true,,,,,1464531161439,50
serverInfo,,,,,,,,,169,20.0,1464531161439,0
animation,,,,,,,,,,,1464531161463,24
attack,,,,,,,,,,,1464531161464,1
attackInfo,,,,,,,0.9999680521654994,2.773945160624334,,,1464531161464,0
serverInfo,,,,,,,,,169,19.90049751243781,1464531161464,0
move,0.2416213191107941,0.0,-0.021343678,-0.028564453,0,true,,,,,1464531161489,25
serverInfo,,,,,,,,,169,20.0,1464531161489,0
animation,,,,,,,,,,,1464531161538,49
attack,,,,,,,,,,,1464531161538,0
attackInfo,,,,,,,0.9922129132466808,3.3550290635535336,,,1464531161538,0
serverInfo,,,,,,,,,169,19.805902158843335,1464531161538,0
move,0.291580651453196,0.0,-0.023783088,-0.010864258,0,true,,,,,1464531161539,1
serverInfo,,,,,,,,,169,20.0,1464531161539,0
move,0.2551692227575595,0.0,-0.03388515,-0.006958008,0,true,,,,,1464531161589,50
serverInfo,,,,,,,,,169,20.0,1464531161589,0
animation,,,,,,,,,,,1464531161590,1
move,0.29896980205470136,0.0,-0.03565204,-0.0029296875,0,true,,,,,1464531161639,49
serverInfo,,,,,,,,,169,20.0,1464531161639,0
animation,,,,,,,,,,,1464531161650,11
attack,,,,,,,,,,,1464531161650,0
attackInfo,,,,,,,0.958555445641676,3.937201785020748,,,1464531161650,0
serverInfo,,,,,,,,,169,19.95609658750748,1464531161650,0
move,0.2575819031269342,0.0,-0.051383108,-0.0021972656,0,true,,,,,1464531161689,39
serverInfo,,,,,,,,,169,20.0,1464531161689,0
