# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.30667690825809,0.0,-0.014843047,-3.715454,0,true,,,,,1464531223190,???
serverInfo,,,,,,,,,130,19.99600079984003,1464531223190,0
animation,,,,,,,,,,,1464531223199,9
attack,,,,,,,,,,,1464531223199,0
attackInfo,,,,,,,0.9987672639202664,3.117544818617888,,,1464531223199,0
serverInfo,,,,,,,,,130,19.960079840319363,1464531223199,0
move,0.24442718708541733,0.0,-0.012916237,-3.041626,0,true,,,,,1464531223239,40
serverInfo,,,,,,,,,130,20.0,1464531223239,0
animation,,,,,,,,,,,1464531223265,26
attack,,,,,,,,,,,1464531223265,0
attackInfo,,,,,,,0.9998696065092127,2.944142719376813,,,1464531223265,0
serverInfo,,,,,,,,,130,19.896538002387587,1464531223265,0
move,0.22190919503725226,0.0,-0.01698652,-1.1046143,0,true,,,,,1464531223289,24
serverInfo,,,,,,,,,130,20.0,1464531223289,0
animation,,,,,,,,,,,1464531223328,39
attack,,,,,,,,,,,1464531223328,0
attackInfo,,,,,,,0.9999815752499902,2.760186450324117,,,1464531223328,0
serverInfo,,,,,,,,,130,19.845207382417147,1464531223328,0
move,0.26220546056392324,0.0,-0.020375371,-0.40881348,0,true,,,,,1464531223339,11
serverInfo,,,,,,,,,130,20.0,1464531223339,0
move,0.22643493611135002,0.0,-0.029349655,-0.25976562,0,true,,,,,1464531223389,50
serverInfo,,,,,,,,,130,20.0,1464531223389,0
animation,,,,,,,,,,,1464531223390,1
attack,,,,,,,,,,,1464531223390,0
attackInfo,,,,,,,0.9768812950659939,4.048269998344403,,,1464531223390,0
serverInfo,,,,,,,,,130,19.99600079984003,1464531223390,0
animation,,,,,,,,,,,1464531223431,41
attack,,,,,,,,,,,1464531223431,0
attackInfo,,,,,,,0.9768812950659939,4.048269998344403,,,1464531223431,0
serverInfo,,,,,,,,,133,19.833399444664817,1464531223431,0
move,0.21451090937405537,0.0,-0.030849725,-0.10095215,0,true,,,,,1464531223439,8
serverInfo,,,,,,,,,133,20.0,1464531223439,0
move,0.2105287219798111,0.0,-0.035057306,-0.03930664,0,true,,,,,1464531223489,50
serverInfo,,,,,,,,,133,20.0,1464531223489,0
animation,,,,,,,,,,,1464531223530,41
attack,,,,,,,,,,,1464531223530,0
attackInfo,,,,,,,0.9698043808310766,4.053394973074698,,,1464531223530,0
serverInfo,,,,,,,,,133,19.8373338623289,1464531223530,0
move,0.2551711043612501,0.0,-0.04141262,-0.015625,0,true,,,,,1464531223539,9
serverInfo,,,,,,,,,133,20.0,1464531223539,0
move,0.2221419254470769,0.0,-3.4589968,-0.8441162,0,true,,,,,1464531223589,50
serverInfo,,,,,,,,,133,20.0,1464531223589,0
animation,,,,,,,,,,,1464531223620,31
attack,,,,,,,,,,,1464531223620,0
attackInfo,,,,,,,0.9843276083191547,4.240878246573637,,,1464531223620,0
serverInfo,,,,,,,,,133,19.876764062810576,1464531223620,0
animation,,,,,,,,,,,1464531223630,10
move,0.0873001449225681,0.0,-3.2018373,-0.73083496,0,true,,,,,1464531223639,9
serverInfo,,,,,,,,,133,20.0,1464531223639,0
animation,,,,,,,,,,,1464531223665,26
attack,,,,,,,,,,,1464531223665,0
attackInfo,,,,,,,0.9992794199777665,4.53180537553326,,,1464531223665,0
serverInfo,,,,,,,,,133,19.896538002387587,1464531223665,0
animation,,,,,,,,,,,1464531223665,0
move,0.06391361909176174,0.0,-4.3845754,0.5404053,0,true,,,,,1464531223689,24
serverInfo,,,,,,,,,133,20.0,1464531223689,0
move,0.046204334152740945,0.0,-3.7208395,2.8275146,0,true,,,,,1464531223739,50
serverInfo,,,,,,,,,133,20.0,1464531223739,0
animation,,,,,,,,,,,1464531223770,31
attack,,,,,,,,,,,1464531223770,0
attackInfo,,,,,,,0.9858628212210907,4.3896113013837725,,,1464531223770,0
serverInfo,,,,,,,,,133,19.876764062810576,1464531223770,0
animation,,,,,,,,,,,1464531223787,17
move,0.055129148400076655,0.0,-2.7703972,1.4604492,0,true,,,,,1464531223789,2
serverInfo,,,,,,,,,133,20.0,1464531223789,0
animation,,,,,,,,,,,1464531223829,40
attack,,,,,,,,,,,1464531223830,1
attackInfo,,,,,,,0.9725049582794494,5.221951587410993,,,1464531223830,0
serverInfo,,,,,,,,,133,19.8373338623289,1464531223830,0
move,0.054393857156105785,0.0,-0.7643833,2.041748,0,true,,,,,1464531223839,9
serverInfo,,,,,,,,,133,20.0,1464531223839,0
move,0.06149841372004872,0.0,2.9171915,2.345459,0,true,,,,,1464531223889,50
serverInfo,,,,,,,,,133,20.0,1464531223889,0
animation,,,,,,,,,,,1464531223921,32
attack,,,,,,,,,,,1464531223921,0
attackInfo,,,,,,,0.984206138961189,5.675095935759327,,,1464531223921,0
serverInfo,,,,,,,,,133,19.87281399046105,1464531223921,0
move,0.0805368674161695,0.0,2.5236244,1.0550537,0,true,,,,,1464531223939,18
serverInfo,,,,,,,,,133,20.0,1464531223939,0
move,0.0775890837671187,0.0,2.1975546,1.3693848,0,true,,,,,1464531223989,50
serverInfo,,,,,,,,,133,20.0,1464531223989,0
move,0.10001658004327618,0.0,1.3143768,2.1049805,0,true,,,,,1464531224040,51
serverInfo,,,,,,,,,133,19.99600079984003,1464531224040,0
move,0.11469988400824427,0.0,1.5187092,0.8033447,0,true,,,,,1464531224089,49
serverInfo,,,,,,,,,133,20.0,1464531224089,0
move,0.12537508274156028,0.0,1.333497,0.8795166,0,true,,,,,1464531224139,50
serverInfo,,,,,,,,,133,20.0,1464531224139,0
move,0.23281679784167908,0.0,1.197238,0.8623047,0,true,,,,,1464531224189,50
serverInfo,,,,,,,,,133,20.0,1464531224189,0
move,0.2904600450453061,0.0,-1.6648355,-0.7784424,0,true,,,,,1464531224239,50
serverInfo,,,,,,,,,133,20.0,1464531224239,0
move,0.3219332616740407,0.0,0.0,1800.0,0,true,,,,,1464531224289,50
serverInfo,,,,,,,,,133,20.0,1464531224289,0
move,0.3391176399495177,0.0,0.0,0.0,0,true,,,,,1464531224339,50
serverInfo,,,,,,,,,133,20.0,1464531224339,0
move,0.34850031157764016,0.0,0.0,0.0,0,true,,,,,1464531224389,50
serverInfo,,,,,,,,,133,20.0,1464531224389,0
move,0.3536232508816526,0.0,0.0,0.0,0,true,,,,,1464531224439,50
serverInfo,,,,,,,,,133,20.0,1464531224439,0
move,0.35642037606649835,0.0,0.0,0.0,0,true,,,,,1464531224489,50
serverInfo,,,,,,,,,133,20.0,1464531224489,0
move,0.35794760659489366,0.0,0.0,0.0,0,true,,,,,1464531224539,50
serverInfo,,,,,,,,,133,20.0,1464531224539,0
move,0.35878147456020404,0.0,0.0,0.0,0,true,,,,,1464531224589,50
serverInfo,,,,,,,,,133,20.0,1464531224589,0
move,0.35923676652221204,0.0,0.0,0.0,0,true,,,,,1464531224639,50
