# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.21912734932004696,0.0,0.75,-0.30004883,0,true,,,,,1464531305541,???
serverInfo,,,,,,,,,142,19.99600079984003,1464531305541,0
animation,,,,,,,,,,,1464531305581,40
attack,,,,,,,,,,,1464531305581,0
attackInfo,,,,,,,0.9999972544230522,4.425727794580805,,,1464531305581,0
serverInfo,,,,,,,,,142,19.8373338623289,1464531305581,0
move,0.24731004052034677,0.0,-0.090569764,-0.06274414,0,true,,,,,1464531305591,10
serverInfo,,,,,,,,,142,19.99600079984003,1464531305591,0
animation,,,,,,,,,,,1464531305672,81
attack,,,,,,,,,,,1464531305672,0
attackInfo,,,,,,,0.9981140852922444,4.507253332899217,,,1464531305672,0
serverInfo,,,,,,,,,142,19.87281399046105,1464531305672,0
move,0.20865644200898714,0.0,0.0,-0.0045166016,0,true,,,,,1464531305691,19
serverInfo,,,,,,,,,142,19.99600079984003,1464531305691,0
move,0.1960057061301086,0.0,0.0,-0.003540039,0,true,,,,,1464531305691,0
serverInfo,,,,,,,,,142,19.99600079984003,1464531305691,0
animation,,,,,,,,,,,1464531305718,27
attack,,,,,,,,,,,1464531305718,0
attackInfo,,,,,,,0.9977248493732953,4.104146826778347,,,1464531305718,0
serverInfo,,,,,,,,,142,19.88862370723946,1464531305718,0
move,0.23459711580983367,0.0,0.0,-0.0031738281,0,true,,,,,1464531305741,23
serverInfo,,,,,,,,,142,19.99600079984003,1464531305741,0
move,0.2045202230930272,0.0,0.0,-0.005126953,0,true,,,,,1464531305791,50
serverInfo,,,,,,,,,142,19.99600079984003,1464531305791,0
animation,,,,,,,,,,,1464531305806,15
attack,,,,,,,,,,,1464531305806,0
attackInfo,,,,,,,0.9896285029565315,4.031990627909162,,,1464531305806,0
serverInfo,,,,,,,,,142,19.93620414673046,1464531305806,0
move,0.19466303050046463,0.0,0.0,-0.0040283203,0,true,,,,,1464531305841,35
serverInfo,,,,,,,,,142,19.99600079984003,1464531305841,0
animation,,,,,,,,,,,1464531305844,3
animation,,,,,,,,,,,1464531305844,0
animation,,,,,,,,,,,1464531305844,0
attack,,,,,,,,,,,1464531305844,0
attackInfo,,,,,,,0.9906955480534455,4.11049352641718,,,1464531305844,0
serverInfo,,,,,,,,,142,19.984012789768187,1464531305844,0
move,0.19143381383196356,0.0,-1.4702941,0.0018310547,0,true,,,,,1464531305891,47
serverInfo,,,,,,,,,142,19.99600079984003,1464531305891,0
animation,,,,,,,,,,,1464531305935,44
attack,,,,,,,,,,,1464531305935,0
attackInfo,,,,,,,0.9931050132484119,3.9213132292584523,,,1464531305935,0
serverInfo,,,,,,,,,142,19.821605550049554,1464531305935,0
move,0.23209970880884612,0.0,-1.5490092,0.0021972656,0,true,,,,,1464531305941,6
serverInfo,,,,,,,,,142,19.99600079984003,1464531305941,0
animation,,,,,,,,,,,1464531305981,40
move,0.2597546895862024,0.0,-2.0483975,-9.765625E-4,0,true,,,,,1464531305991,10
serverInfo,,,,,,,,,142,19.99600079984003,1464531305991,0
animation,,,,,,,,,,,1464531306010,19
attack,,,,,,,,,,,1464531306010,0
attackInfo,,,,,,,0.999233257848711,3.7191473158711355,,,1464531306010,0
serverInfo,,,,,,,,,142,19.9203187250996,1464531306010,0
move,0.2688698492545871,0.0,-2.079214,1.795166,0,true,,,,,1464531306041,31
serverInfo,,,,,,,,,142,19.99600079984003,1464531306041,0
move,0.33022490925706194,0.0,-0.93015337,2.2801514,0,true,,,,,1464531306091,50
serverInfo,,,,,,,,,142,19.99600079984003,1464531306091,0
animation,,,,,,,,,,,1464531306100,9
attack,,,,,,,,,,,1464531306100,0
