# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.07299496990617627,0.0,-0.007827535,0.14404297,0,true,,,,,1464531384343,???
serverInfo,,,,,,,,,150,19.992003198720514,1464531384343,0
animation,,,,,,,,,,,1464531384434,91
attack,,,,,,,,,,,1464531384434,0
attackInfo,,,,,,,0.9999864395515485,3.769938232354576,,,1464531384434,0
serverInfo,,,,,,,,,150,19.8294665873488,1464531384434,0
move,0.15930567462038425,0.0,0.14295605,-0.0053100586,0,true,,,,,1464531384442,8
serverInfo,,,,,,,,,150,19.99600079984003,1464531384442,0
animation,,,,,,,,,,,1464531384480,38
attack,,,,,,,,,,,1464531384480,0
attackInfo,,,,,,,0.9999928457036272,3.610322572981099,,,1464531384480,0
serverInfo,,,,,,,,,150,19.845207382417147,1464531384480,0
animation,,,,,,,,,,,1464531384532,52
attack,,,,,,,,,,,1464531384532,0
attackInfo,,,,,,,0.9999928457036272,3.610322572981099,,,1464531384532,0
serverInfo,,,,,,,,,150,19.8373338623289,1464531384532,0
move,0.13666816606973953,0.0,-0.007956833,-0.15118408,0,true,,,,,1464531384542,10
serverInfo,,,,,,,,,150,19.99600079984003,1464531384542,0
move,0.17196570328724192,0.0,-0.009792075,0.15209961,0,true,,,,,1464531384592,50
serverInfo,,,,,,,,,150,19.99600079984003,1464531384592,0
move,0.2211029615658049,0.0,-0.16345143,-0.0026855469,0,true,,,,,1464531384592,0
serverInfo,,,,,,,,,150,19.99600079984003,1464531384592,0
animation,,,,,,,,,,,1464531384625,33
attack,,,,,,,,,,,1464531384625,0
attackInfo,,,,,,,0.9891364346084931,4.397605538789396,,,1464531384625,0
serverInfo,,,,,,,,,150,19.86491855383393,1464531384625,0
move,0.1995494092957415,0.0,-0.019497663,-0.0057373047,0,true,,,,,1464531384692,67
serverInfo,,,,,,,,,150,19.99600079984003,1464531384692,0
animation,,,,,,,,,,,1464531384714,22
attack,,,,,,,,,,,1464531384714,0
attackInfo,,,,,,,0.9820010883372275,5.363903521838317,,,1464531384714,0
serverInfo,,,,,,,,,150,19.908421262193908,1464531384714,0
animation,,,,,,,,,,,1464531384731,17
