# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464531456934,???
attack,,,,,,,,,,,1464531456934,0
attackInfo,,,,,,,0.9981950357888011,3.89384684000369,,,1464531456934,0
serverInfo,,,,,,,,,132,19.8373338623289,1464531456934,0
move,0.17759121638215447,-0.37663049823865435,-3.5693364,-0.42823792,0,false,,,,,1464531456944,10
serverInfo,,,,,,,,,132,19.99600079984003,1464531456944,0
animation,,,,,,,,,,,1464531456975,31
attack,,,,,,,,,,,1464531456975,0
attackInfo,,,,,,,0.9956866707880051,3.686122622749839,,,1464531456975,0
serverInfo,,,,,,,,,132,19.87281399046105,1464531456975,0
move,0.121100189273875,-0.1040803780930375,-5.354682,-0.22677612,0,false,,,,,1464531456994,19
serverInfo,,,,,,,,,132,19.99600079984003,1464531456994,0
animation,,,,,,,,,,,1464531457011,17
animation,,,,,,,,,,,1464531457011,0
move,0.1803684470496023,0.0,-1.2802331,-0.45509338,0,true,,,,,1464531457044,33
serverInfo,,,,,,,,,132,19.99600079984003,1464531457044,0
animation,,,,,,,,,,,1464531457071,27
attack,,,,,,,,,,,1464531457071,0
attackInfo,,,,,,,0.9954874690317667,4.203643013117928,,,1464531457071,0
serverInfo,,,,,,,,,132,19.88862370723946,1464531457071,0
move,0.21181621181870103,0.0,-0.3,0.19544983,0,true,,,,,1464531457094,23
serverInfo,,,,,,,,,132,19.99600079984003,1464531457094,0
animation,,,,,,,,,,,1464531457139,45
attack,,,,,,,,,,,1464531457139,0
attackInfo,,,,,,,0.9839067648413414,4.886832651592595,,,1464531457139,0
serverInfo,,,,,,,,,135,19.817677368212443,1464531457139,0
move,0.18247070060202475,0.0,-0.093237035,-0.10444641,0,true,,,,,1464531457144,5
serverInfo,,,,,,,,,135,19.99600079984003,1464531457144,0
animation,,,,,,,,,,,1464531457187,43
attack,,,,,,,,,,,1464531457187,0
attackInfo,,,,,,,0.9827830020415524,4.6863192419811295,,,1464531457187,0
serverInfo,,,,,,,,,135,19.825535289452816,1464531457187,0
move,0.17268220856264227,0.0,-0.10731257,-0.0687561,0,true,,,,,1464531457194,7
serverInfo,,,,,,,,,135,19.99600079984003,1464531457194,0
move,0.23932527430218897,0.0,-0.12368855,-0.057617188,0,true,,,,,1464531457244,50
serverInfo,,,,,,,,,135,19.99600079984003,1464531457244,0
animation,,,,,,,,,,,1464531457281,37
animation,,,,,,,,,,,1464531457281,0
attack,,,,,,,,,,,1464531457281,0
attackInfo,,,,,,,0.9798529835746176,5.070401308359349,,,1464531457281,0
serverInfo,,,,,,,,,135,19.84914648670107,1464531457281,0
move,0.3126641904730829,0.0,-2.377786,-1.8943787,0,true,,,,,1464531457294,13
serverInfo,,,,,,,,,135,19.99600079984003,1464531457294,0
move,0.20358662241121417,0.0,-2.2262664,-2.6927643,0,true,,,,,1464531457344,50
serverInfo,,,,,,,,,135,19.99600079984003,1464531457344,0
animation,,,,,,,,,,,1464531457350,6
animation,,,,,,,,,,,1464531457389,39
attack,,,,,,,,,,,1464531457389,0
attackInfo,,,,,,,0.9957484333947838,5.263039871653038,,,1464531457389,0
serverInfo,,,,,,,,,135,19.817677368212443,1464531457389,0
move,0.2107525832836168,0.0,-2.10612,-0.6006088,0,true,,,,,1464531457394,5
serverInfo,,,,,,,,,135,19.99600079984003,1464531457394,0
animation,,,,,,,,,,,1464531457435,41
move,0.16957053559939306,0.0,-2.6890574,0.3553543,0,true,,,,,1464531457444,9
serverInfo,,,,,,,,,135,19.99600079984003,1464531457444,0
animation,,,,,,,,,,,1464531457451,7
attack,,,,,,,,,,,1464531457451,0
attackInfo,,,,,,,0.9951985857642435,5.2603328071351125,,,1464531457451,0
serverInfo,,,,,,,,,135,19.968051118210862,1464531457451,0
animation,,,,,,,,,,,1464531457489,38
