# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.21198351021782003,0.0,-10.1551075,7.9457397,0,true,,,,,1464531807898,???
serverInfo,,,,,,,,,141,19.99600079984003,1464531807898,0
move,0.2056971376652541,0.0,0.0,360.0,0,true,,,,,1464531807948,50
serverInfo,,,,,,,,,141,19.99600079984003,1464531807948,0
animation,,,,,,,,,,,1464531807985,37
attack,,,,,,,,,,,1464531807985,0
attackInfo,,,,,,,0.9991247345746281,3.588496659907661,,,1464531807985,0
serverInfo,,,,,,,,,141,19.84914648670107,1464531807985,0
move,0.1996772367614792,0.0,0.27235198,-359.54773,0,true,,,,,1464531807998,13
serverInfo,,,,,,,,,141,19.99600079984003,1464531807998,0
move,0.19582184741451591,0.0,-0.1500001,0.30004883,0,true,,,,,1464531808048,50
serverInfo,,,,,,,,,141,19.99600079984003,1464531808048,0
animation,,,,,,,,,,,1464531808074,26
attack,,,,,,,,,,,1464531808074,0
attackInfo,,,,,,,0.9991061794999786,3.1576963019498328,,,1464531808074,0
serverInfo,,,,,,,,,141,19.89258006763477,1464531808074,0
move,0.19393416037435607,0.0,0.49701953,-0.113464355,0,true,,,,,1464531808098,24
serverInfo,,,,,,,,,141,19.99600079984003,1464531808098,0
move,0.19290348313066552,0.0,0.0,360.0,0,true,,,,,1464531808148,50
serverInfo,,,,,,,,,141,19.99600079984003,1464531808148,0
animation,,,,,,,,,,,1464531808202,54
attack,,,,,,,,,,,1464531808202,0
attackInfo,,,,,,,0.9755996481496674,3.422621326873388,,,1464531808202,0
serverInfo,,,,,,,,,141,19.980019980019982,1464531808202,0
move,0.19220621585157005,0.0,0.45610404,-359.92926,0,true,,,,,1464531808248,46
serverInfo,,,,,,,,,141,19.99600079984003,1464531808248,0
move,0.19153533476704787,0.0,-0.1500001,0.15002441,0,true,,,,,1464531808248,0
serverInfo,,,,,,,,,141,19.99600079984003,1464531808248,0
animation,,,,,,,,,,,1464531808291,43
attack,,,,,,,,,,,1464531808291,0
attackInfo,,,,,,,0.9683612949070107,3.144558040684109,,,1464531808291,0
serverInfo,,,,,,,,,141,19.825535289452816,1464531808291,0
move,0.1914074363989844,0.0,0.77540636,-0.1260376,0,true,,,,,1464531808298,7
serverInfo,,,,,,,,,141,19.99600079984003,1464531808298,0
move,0.19133760388193366,0.0,0.0,360.0,0,true,,,,,1464531808348,50
serverInfo,,,,,,,,,141,19.99600079984003,1464531808348,0
animation,,,,,,,,,,,1464531808377,29
attack,,,,,,,,,,,1464531808377,0
attackInfo,,,,,,,0.9758614066653071,2.9349962488485266,,,1464531808377,0
serverInfo,,,,,,,,,141,19.880715705765407,1464531808377,0
move,0.19244410802028789,0.0,-5.35781,-360.61023,0,true,,,,,1464531808398,21
serverInfo,,,,,,,,,141,19.99600079984003,1464531808398,0
move,0.19417274474585433,0.0,0.14999998,-0.60009766,0,true,,,,,1464531808448,50
serverInfo,,,,,,,,,141,19.99600079984003,1464531808448,0
animation,,,,,,,,,,,1464531808465,17
attack,,,,,,,,,,,1464531808465,0
attackInfo,,,,,,,0.9995292043588879,2.6781482141007498,,,1464531808465,0
serverInfo,,,,,,,,,141,19.928258270227182,1464531808465,0
move,0.2469389103789723,0.0,-6.585306,-0.17370605,0,true,,,,,1464531808498,33
serverInfo,,,,,,,,,141,19.99600079984003,1464531808498,0
move,0.24072127332643056,0.0,0.0,360.0,0,true,,,,,1464531808548,50
serverInfo,,,,,,,,,141,19.99600079984003,1464531808548,0
animation,,,,,,,,,,,1464531808592,44
attack,,,,,,,,,,,1464531808592,0
attackInfo,,,,,,,0.9983953626254491,2.8098164623500907,,,1464531808592,0
serverInfo,,,,,,,,,141,19.821605550049554,1464531808592,0
move,0.24530103513894552,0.0,-1.4662628,-354.57666,0,true,,,,,1464531808598,6
serverInfo,,,,,,,,,141,19.99600079984003,1464531808598,0
move,0.24780158537905317,0.0,0.0,360.0,0,true,,,,,1464531808648,50
serverInfo,,,,,,,,,141,19.99600079984003,1464531808648,0
animation,,,,,,,,,,,1464531808687,39
attack,,,,,,,,,,,1464531808687,0
attackInfo,,,,,,,0.9981974441823004,3.1033223235917147,,,1464531808687,0
serverInfo,,,,,,,,,141,19.841269841269842,1464531808687,0
move,0.2599543133941098,0.0,6.627252,-351.15875,0,true,,,,,1464531808698,11
serverInfo,,,,,,,,,141,19.99600079984003,1464531808698,0
move,0.26658970366104917,0.0,0.0,360.0,0,true,,,,,1464531808748,50
serverInfo,,,,,,,,,141,19.99600079984003,1464531808748,0
animation,,,,,,,,,,,1464531808786,38
attack,,,,,,,,,,,1464531808786,0
attackInfo,,,,,,,0.9925449343470545,3.3443713141941105,,,1464531808786,0
serverInfo,,,,,,,,,141,19.845207382417147,1464531808786,0
move,0.27199458625424455,0.0,2.4499536,-352.4699,0,true,,,,,1464531808798,12
serverInfo,,,,,,,,,141,19.99600079984003,1464531808798,0
move,0.2749456524928888,0.0,0.0,360.0,0,true,,,,,1464531808848,50
serverInfo,,,,,,,,,141,19.99600079984003,1464531808848,0
animation,,,,,,,,,,,1464531808880,32
attack,,,,,,,,,,,1464531808880,0
attackInfo,,,,,,,0.9967407764646303,3.3314857581076462,,,1464531808880,0
