# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.10547474940932622,0.0,2.4477196,13.41983,0,true,,,,,1464532006128,???
serverInfo,,,,,,,,,138,19.99600079984003,1464532006128,0
animation,,,,,,,,,,,1464532006166,38
attack,,,,,,,,,,,1464532006166,0
attackInfo,,,,,,,0.9993743199424248,4.7594661398669444,,,1464532006166,0
serverInfo,,,,,,,,,138,19.845207382417147,1464532006166,0
move,0.11474713867744457,0.0,0.078783035,0.74289703,0,true,,,,,1464532006178,12
serverInfo,,,,,,,,,138,19.99600079984003,1464532006178,0
animation,,,,,,,,,,,1464532006205,27
attack,,,,,,,,,,,1464532006205,0
attackInfo,,,,,,,0.9993278828796599,4.555304207291601,,,1464532006205,0
serverInfo,,,,,,,,,138,19.88862370723946,1464532006205,0
move,0.11980986380592684,0.0,0.08710408,0.7428055,0,true,,,,,1464532006228,23
serverInfo,,,,,,,,,138,19.99600079984003,1464532006228,0
animation,,,,,,,,,,,1464532006267,39
attack,,,,,,,,,,,1464532006267,0
attackInfo,,,,,,,0.9992663241491959,4.3497693367269035,,,1464532006267,0
serverInfo,,,,,,,,,138,19.841269841269842,1464532006267,0
move,0.12257411204716373,0.0,0.09593105,0.7752609,0,true,,,,,1464532006278,11
serverInfo,,,,,,,,,138,19.99600079984003,1464532006278,0
animation,,,,,,,,,,,1464532006330,52
attack,,,,,,,,,,,1464532006330,0
attackInfo,,,,,,,0.9904573083902325,4.661417082053354,,,1464532006330,0
serverInfo,,,,,,,,,138,19.98800719568259,1464532006330,0
move,0.12408339176216421,0.0,0.105612755,0.83091736,0,true,,,,,1464532006378,48
serverInfo,,,,,,,,,138,19.99600079984003,1464532006378,0
move,0.1249074585822445,0.0,0.0,0.0,0,true,,,,,1464532006378,0
serverInfo,,,,,,,,,138,19.99600079984003,1464532006378,0
animation,,,,,,,,,,,1464532006408,30
attack,,,,,,,,,,,1464532006408,0
attackInfo,,,,,,,0.9853072514685631,4.422824157676683,,,1464532006408,0
serverInfo,,,,,,,,,138,19.876764062810576,1464532006408,0
move,0.12535739911830923,0.0,0.24523902,1.9037781,0,true,,,,,1464532006428,20
serverInfo,,,,,,,,,138,19.99600079984003,1464532006428,0
move,0.1479436176982185,0.0,0.0,0.0,0,true,,,,,1464532006478,50
serverInfo,,,,,,,,,138,19.99600079984003,1464532006478,0
animation,,,,,,,,,,,1464532006537,59
attack,,,,,,,,,,,1464532006537,0
attackInfo,,,,,,,0.989903857904845,4.387122940290155,,,1464532006537,0
serverInfo,,,,,,,,,138,19.960079840319363,1464532006537,0
move,0.06575557266246435,0.0,-1.1638598,1.8814163,0,true,,,,,1464532006578,41
serverInfo,,,,,,,,,138,19.99600079984003,1464532006578,0
move,0.04194784363211124,0.0,0.0,0.0,0,true,,,,,1464532006578,0
serverInfo,,,,,,,,,138,19.99600079984003,1464532006578,0
animation,,,,,,,,,,,1464532006610,32
attack,,,,,,,,,,,1464532006610,0
attackInfo,,,,,,,0.9910650878767685,4.042825783104031,,,1464532006610,0
serverInfo,,,,,,,,,138,19.868865487780646,1464532006610,0
move,0.03153499310265451,0.0,-3.665071,3.658638,0,true,,,,,1464532006628,18
serverInfo,,,,,,,,,138,19.99600079984003,1464532006628,0
move,0.025849576053205592,0.0,0.0,0.0,0,true,,,,,1464532006678,50
serverInfo,,,,,,,,,138,19.99600079984003,1464532006678,0
animation,,,,,,,,,,,1464532006737,59
attack,,,,,,,,,,,1464532006737,0
attackInfo,,,,,,,0.9987897425396531,3.9950812563857863,,,1464532006737,0
serverInfo,,,,,,,,,138,19.960079840319363,1464532006737,0
move,0.11791188101657823,0.0,-2.8619723,4.318741,0,true,,,,,1464532006778,41
serverInfo,,,,,,,,,138,19.99600079984003,1464532006778,0
move,0.16817790536514687,0.0,0.0,0.0,0,true,,,,,1464532006778,0
serverInfo,,,,,,,,,138,19.99600079984003,1464532006778,0
animation,,,,,,,,,,,1464532006811,33
attack,,,,,,,,,,,1464532006811,0
attackInfo,,,,,,,0.9992365052731491,3.9914013671489994,,,1464532006811,0
serverInfo,,,,,,,,,138,19.86491855383393,1464532006811,0
move,0.19562315784725826,0.0,-0.2912712,1.6825485,0,true,,,,,1464532006828,17
serverInfo,,,,,,,,,138,19.99600079984003,1464532006828,0
move,0.21060826744311534,0.0,0.0,0.0,0,true,,,,,1464532006878,50
serverInfo,,,,,,,,,138,19.99600079984003,1464532006878,0
animation,,,,,,,,,,,1464532006912,34
attack,,,,,,,,,,,1464532006912,0
attackInfo,,,,,,,0.9987670556620434,3.927824973208853,,,1464532006912,0
serverInfo,,,,,,,,,138,19.860973187686195,1464532006912,0
move,0.21905317285052206,0.0,5.6206074,0.3501053,0,true,,,,,1464532006928,16
serverInfo,,,,,,,,,138,19.99600079984003,1464532006928,0
animation,,,,,,,,,,,1464532007011,83
attack,,,,,,,,,,,1464532007011,0
attackInfo,,,,,,,0.991828280839038,3.85839668342665,,,1464532007011,0
serverInfo,,,,,,,,,138,19.86491855383393,1464532007011,0
move,0.220135268198419,0.0,0.0,0.0,0,true,,,,,1464532007028,17
serverInfo,,,,,,,,,138,19.99600079984003,1464532007028,0
move,0.22072609232697005,0.0,3.3057332,0.6008911,0,true,,,,,1464532007028,0
serverInfo,,,,,,,,,138,19.99600079984003,1464532007028,0
move,0.22081063768558806,0.41999998688697815,0.0,0.0,0,true,,,,,1464532007078,50
serverInfo,,,,,,,,,138,19.99600079984003,1464532007078,0
jump,,,,,,,,,,,1464532007078,0
animation,,,,,,,,,,,1464532007111,33
attack,,,,,,,,,,,1464532007111,0
attackInfo,,,,,,,0.9966794979552672,3.5739244664730982,,,1464532007111,0
serverInfo,,,,,,,,,138,19.86491855383393,1464532007111,0
move,0.13790338297718563,0.33319999363422426,6.15039,-0.24651337,0,false,,,,,1464532007128,17
serverInfo,,,,,,,,,138,19.99600079984003,1464532007128,0
animation,,,,,,,,,,,1464532007168,40
attack,,,,,,,,,,,1464532007168,0
attackInfo,,,,,,,0.9977142616033235,3.591368500376308,,,1464532007168,0
serverInfo,,,,,,,,,138,19.8373338623289,1464532007168,0
move,0.1449063932983563,0.24813599859093927,4.8449736,-0.20714569,0,false,,,,,1464532007178,10
serverInfo,,,,,,,,,138,19.99600079984003,1464532007178,0
move,0.15131049580190847,0.1647732818260721,0.0,0.0,0,false,,,,,1464532007228,50
serverInfo,,,,,,,,,138,19.99600079984003,1464532007228,0
animation,,,,,,,,,,,1464532007253,25
attack,,,,,,,,,,,1464532007253,0
attackInfo,,,,,,,0.995170831760502,3.473864399333142,,,1464532007253,0
serverInfo,,,,,,,,,138,19.896538002387587,1464532007253,0
move,0.15722676189045615,0.08307781780646906,5.591935,-0.16113281,0,false,,,,,1464532007278,25
serverInfo,,,,,,,,,138,19.99600079984003,1464532007278,0
animation,,,,,,,,,,,1464532007336,58
attack,,,,,,,,,,,1464532007336,0
attackInfo,,,,,,,0.9899341075804274,3.7233773822930494,,,1464532007336,0
serverInfo,,,,,,,,,138,19.964064683569575,1464532007336,0
move,0.1624480658548464,0.0,0.38355255,-0.04182434,0,false,,,,,1464532007378,42
serverInfo,,,,,,,,,138,19.99600079984003,1464532007378,0
move,0.16707467294065736,-0.07840000152587834,0.0,0.0,0,false,,,,,1464532007378,0
serverInfo,,,,,,,,,138,19.99600079984003,1464532007378,0
animation,,,,,,,,,,,1464532007412,34
attack,,,,,,,,,,,1464532007412,0
attackInfo,,,,,,,0.9823118744386433,3.523197083565122,,,1464532007412,0
serverInfo,,,,,,,,,138,19.860973187686195,1464532007412,0
move,0.17134883633525533,-0.15523200451660557,4.12702,0.06816864,0,false,,,,,1464532007428,16
serverInfo,,,,,,,,,138,19.99600079984003,1464532007428,0
animation,,,,,,,,,,,1464532007466,38
attack,,,,,,,,,,,1464532007466,0
attackInfo,,,,,,,0.9520506963555712,3.471781912245012,,,1464532007466,0
serverInfo,,,,,,,,,138,19.845207382417147,1464532007466,0
move,0.17541670540305176,-0.23052736891296632,-0.044130325,0.070121765,0,false,,,,,1464532007478,12
serverInfo,,,,,,,,,138,19.99600079984003,1464532007478,0
animation,,,,,,,,,,,1464532007544,66
attack,,,,,,,,,,,1464532007544,0
attackInfo,,,,,,,0.9354786417144473,3.41309964056271,,,1464532007544,0
serverInfo,,,,,,,,,138,19.932230416583614,1464532007544,0
animation,,,,,,,,,,,1464532007568,24
attack,,,,,,,,,,,1464532007568,0
attackInfo,,,,,,,0.9354786417144473,3.41309964056271,,,1464532007568,0
serverInfo,,,,,,,,,138,19.8373338623289,1464532007568,0
move,0.1790615524858481,-0.30431682745754074,-3.0524387,0.7211151,0,false,,,,,1464532007578,10
serverInfo,,,,,,,,,138,19.99600079984003,1464532007578,0
move,0.18193327709167306,-0.37663049823865435,-10.082652,0.46710968,0,false,,,,,1464532007578,0
serverInfo,,,,,,,,,138,19.99600079984003,1464532007578,0
move,0.18490301407467769,-0.1040803780930375,0.0,0.0,0,false,,,,,1464532007628,50
serverInfo,,,,,,,,,138,19.99600079984003,1464532007628,0
animation,,,,,,,,,,,1464532007654,26
attack,,,,,,,,,,,1464532007654,0
attackInfo,,,,,,,0.9804354348217712,3.192634760911356,,,1464532007654,0
serverInfo,,,,,,,,,138,19.89258006763477,1464532007654,0
move,0.26066522534438263,0.0,-17.647026,1.3619537,0,true,,,,,1464532007678,24
serverInfo,,,,,,,,,138,19.99600079984003,1464532007678,0
animation,,,,,,,,,,,1464532007748,70
attack,,,,,,,,,,,1464532007748,0
attackInfo,,,,,,,0.9938401885250263,3.02155475235383,,,1464532007748,0
serverInfo,,,,,,,,,138,19.916351324437365,1464532007748,0
move,0.23711891764565962,0.0,-1.1213913,1.1806717,0,true,,,,,1464532007778,30
serverInfo,,,,,,,,,138,19.99600079984003,1464532007778,0
move,0.22426263214890696,0.0,0.0,0.0,0,true,,,,,1464532007778,0
serverInfo,,,,,,,,,138,19.99600079984003,1464532007778,0
animation,,,,,,,,,,,1464532007805,27
attack,,,,,,,,,,,1464532007805,0
attackInfo,,,,,,,0.9916091780891211,2.610190921195177,,,1464532007805,0
serverInfo,,,,,,,,,138,19.88862370723946,1464532007805,0
move,0.21832859502859492,0.0,0.90654755,2.251068,0,true,,,,,1464532007828,23
serverInfo,,,,,,,,,138,19.99600079984003,1464532007828,0
move,0.21640824778222623,0.0,0.0,0.0,0,true,,,,,1464532007878,50
serverInfo,,,,,,,,,138,19.99600079984003,1464532007878,0
