# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.21266576571638396,0.0,-13.074209,7.1596527,0,true,,,,,1464532156135,???
serverInfo,,,,,,,,,127,19.99600079984003,1464532156135,0
move,0.21266693428477623,0.0,0.0,0.0,0,true,,,,,1464532156185,50
serverInfo,,,,,,,,,127,19.99600079984003,1464532156185,0
animation,,,,,,,,,,,1464532156203,18
attack,,,,,,,,,,,1464532156203,0
attackInfo,,,,,,,0.9994142762393088,4.226865979798511,,,1464532156203,0
serverInfo,,,,,,,,,127,19.924287706714484,1464532156203,0
move,0.21266757232319122,0.0,0.1849637,-0.113464355,0,true,,,,,1464532156235,32
serverInfo,,,,,,,,,127,19.99600079984003,1464532156235,0
animation,,,,,,,,,,,1464532156274,39
attack,,,,,,,,,,,1464532156274,0
attackInfo,,,,,,,0.9993030810676895,3.9463160079865287,,,1464532156274,0
serverInfo,,,,,,,,,127,19.841269841269842,1464532156274,0
move,0.2126679206922084,0.0,0.0745039,-0.06878662,0,true,,,,,1464532156285,11
serverInfo,,,,,,,,,127,19.99600079984003,1464532156285,0
move,0.212668110901717,0.0,0.0,0.0,0,true,,,,,1464532156335,50
serverInfo,,,,,,,,,127,19.99600079984003,1464532156335,0
animation,,,,,,,,,,,1464532156372,37
attack,,,,,,,,,,,1464532156372,0
attackInfo,,,,,,,0.9816678469913174,4.611050169056389,,,1464532156372,0
serverInfo,,,,,,,,,127,19.84914648670107,1464532156372,0
move,0.21266821475611764,0.0,0.27341557,-0.1716156,0,true,,,,,1464532156385,13
serverInfo,,,,,,,,,127,19.99600079984003,1464532156385,0
animation,,,,,,,,,,,1464532156436,51
attack,,,,,,,,,,,1464532156436,0
attackInfo,,,,,,,0.9712212431636723,4.7445089374400355,,,1464532156436,0
serverInfo,,,,,,,,,127,19.992003198720514,1464532156436,0
animation,,,,,,,,,,,1464532156473,37
attack,,,,,,,,,,,1464532156473,0
attackInfo,,,,,,,0.9712212431636723,4.7445089374400355,,,1464532156473,0
serverInfo,,,,,,,,,127,19.845207382417147,1464532156473,0
move,0.21386116715618897,0.0,0.22121811,-0.10895538,0,true,,,,,1464532156485,12
serverInfo,,,,,,,,,127,19.99600079984003,1464532156485,0
move,0.21490397460949495,0.0,0.2647705,-0.15066528,0,true,,,,,1464532156485,0
serverInfo,,,,,,,,,127,19.99600079984003,1464532156485,0
move,0.21586415657447589,0.0,0.0,0.0,0,true,,,,,1464532156535,50
serverInfo,,,,,,,,,127,19.99600079984003,1464532156535,0
animation,,,,,,,,,,,1464532156574,39
attack,,,,,,,,,,,1464532156574,0
attackInfo,,,,,,,0.9594295474445079,4.882236098414808,,,1464532156574,0
serverInfo,,,,,,,,,127,19.841269841269842,1464532156574,0
move,0.2199183446128785,0.0,-4.880069,2.1246948,0,true,,,,,1464532156585,11
serverInfo,,,,,,,,,127,19.99600079984003,1464532156585,0
