# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,-0.1003748967089848,0.0,1.7805548,-15.549438,0,false,,,,,1464532235990,???
serverInfo,,,,,,,,,131,19.99600079984003,1464532235990,0
animation,,,,,,,,,,,1464532236016,26
attack,,,,,,,,,,,1464532236016,0
attackInfo,,,,,,,0.9997382906756771,4.5898568921367096,,,1464532236016,0
serverInfo,,,,,,,,,131,19.89258006763477,1464532236016,0
jump,,,,,,,,,,,1464532236040,24
move,-0.11450928310705422,0.0,0.8060503,-1.0633545,0,false,,,,,1464532236040,0
serverInfo,,,,,,,,,131,19.99600079984003,1464532236040,0
move,-0.12578241876433083,0.0,0.0,0.0,0,true,,,,,1464532236090,50
serverInfo,,,,,,,,,131,19.99600079984003,1464532236090,0
animation,,,,,,,,,,,1464532236141,51
attack,,,,,,,,,,,1464532236141,0
attackInfo,,,,,,,0.9994110910335916,4.527096149454068,,,1464532236141,0
serverInfo,,,,,,,,,131,19.992003198720514,1464532236141,0
jump,,,,,,,,,,,1464532236190,49
move,-0.13588234712687353,0.0,1.9252434,-2.1647797,0,false,,,,,1464532236190,0
serverInfo,,,,,,,,,131,19.99600079984003,1464532236190,0
move,-0.1457646066373357,0.0,0.0,0.0,0,true,,,,,1464532236190,0
serverInfo,,,,,,,,,131,19.99600079984003,1464532236190,0
animation,,,,,,,,,,,1464532236210,20
attack,,,,,,,,,,,1464532236210,0
attackInfo,,,,,,,0.9983356535806256,4.253283063420247,,,1464532236210,0
serverInfo,,,,,,,,,131,19.916351324437365,1464532236210,0
jump,,,,,,,,,,,1464532236240,30
move,-0.15201537566309042,0.0,2.4156036,-2.2929077,0,false,,,,,1464532236240,0
serverInfo,,,,,,,,,131,19.99600079984003,1464532236240,0
animation,,,,,,,,,,,1464532236260,20
attack,,,,,,,,,,,1464532236260,0
attackInfo,,,,,,,0.9933158215485717,4.216553486028538,,,1464532236260,0
serverInfo,,,,,,,,,131,19.916351324437365,1464532236260,0
jump,,,,,,,,,,,1464532236290,30
move,-0.1554282959475941,0.0,1.4857712,-1.2963257,0,false,,,,,1464532236290,0
serverInfo,,,,,,,,,131,19.99600079984003,1464532236290,0
