# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464532352722,???
attack,,,,,,,,,,,1464532352722,0
attackInfo,,,,,,,0.9999989627921901,4.912981660183511,,,1464532352722,0
serverInfo,,,,,,,,,133,19.88862370723946,1464532352722,0
animation,,,,,,,,,,,1464532352849,127
attack,,,,,,,,,,,1464532352849,0
attackInfo,,,,,,,0.9979506088711294,5.146306978608886,,,1464532352849,0
serverInfo,,,,,,,,,133,19.980019980019982,1464532352849,0
animation,,,,,,,,,,,1464532352890,41
attack,,,,,,,,,,,1464532352890,0
attackInfo,,,,,,,0.9979506088711294,5.146306978608886,,,1464532352890,0
serverInfo,,,,,,,,,133,19.817677368212443,1464532352890,0
jump,,,,,,,,,,,1464532352895,5
animation,,,,,,,,,,,1464532352932,37
attack,,,,,,,,,,,1464532352932,0
attackInfo,,,,,,,0.9999907543369972,5.660278517899068,,,1464532352932,0
serverInfo,,,,,,,,,133,19.84914648670107,1464532352932,0
jump,,,,,,,,,,,1464532352945,13
animation,,,,,,,,,,,1464532352980,35
attack,,,,,,,,,,,1464532352980,0
attackInfo,,,,,,,0.9996389292948986,5.660278517899068,,,1464532352980,0
serverInfo,,,,,,,,,133,19.857029388403497,1464532352980,0
animation,,,,,,,,,,,1464532353016,36
attack,,,,,,,,,,,1464532353016,0
attackInfo,,,,,,,0.9976456274687866,5.975464581931087,,,1464532353016,0
serverInfo,,,,,,,,,133,19.91238550378335,1464532353016,0
jump,,,,,,,,,,,1464532353045,29
move,0.1364675872027874,-0.0625,7.185686,1.3582077,0,true,,,,,1464532353145,100
serverInfo,,,,,,,,,133,19.99600079984003,1464532353145,0
move,0.25191917202332803,0.0,0.0,0.0,0,true,,,,,1464532353195,50
serverInfo,,,,,,,,,133,19.99600079984003,1464532353195,0
move,0.31495574465721177,0.0,0.0,0.0,0,true,,,,,1464532353245,50
