# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.41229406759671505,0.41999998688697815,-3.5603158,9.229677,0,true,,,,,1464532612773,???
serverInfo,,,,,,,,,121,20.0,1464532612773,0
jump,,,,,,,,,,,1464532612773,0
move,0.2604262044932959,0.33319999363422426,0.0,0.0,0,false,,,,,1464532612823,50
serverInfo,,,,,,,,,121,20.0,1464532612823,0
animation,,,,,,,,,,,1464532612849,26
attack,,,,,,,,,,,1464532612849,0
attackInfo,,,,,,,0.9855446296888778,3.7541906487356305,,,1464532612849,0
serverInfo,,,,,,,,,121,19.89258006763477,1464532612850,1
move,0.17779075137838873,0.24813599859093927,11.689905,-1.6767426,0,false,,,,,1464532612873,23
serverInfo,,,,,,,,,121,20.0,1464532612873,0
move,0.197387628044158,0.1647732818260721,0.0,0.0,0,false,,,,,1464532612923,50
serverInfo,,,,,,,,,121,20.0,1464532612923,0
animation,,,,,,,,,,,1464532612951,28
attack,,,,,,,,,,,1464532612951,0
attackInfo,,,,,,,0.9975531957030137,4.327580333150755,,,1464532612951,0
serverInfo,,,,,,,,,121,19.88862370723946,1464532612951,0
move,0.21549887551944025,0.08307781780646906,7.1299486,-1.8474808,0,false,,,,,1464532612973,22
serverInfo,,,,,,,,,121,20.0,1464532612973,0
move,0.22654757018045757,0.0,0.0,0.0,0,false,,,,,1464532612973,0
serverInfo,,,,,,,,,121,20.0,1464532612973,0
animation,,,,,,,,,,,1464532613051,78
attack,,,,,,,,,,,1464532613051,0
attackInfo,,,,,,,0.9583307161990493,4.852246710403156,,,1464532613051,0
serverInfo,,,,,,,,,121,19.88862370723946,1464532613051,0
move,0.1531877527929879,-0.07840000152587834,2.8719158,-2.7206726,0,false,,,,,1464532613073,22
serverInfo,,,,,,,,,121,20.0,1464532613073,0
move,0.168893634968736,-0.15523200451660557,0.0,0.0,0,false,,,,,1464532613123,50
serverInfo,,,,,,,,,121,20.0,1464532613123,0
animation,,,,,,,,,,,1464532613154,31
attack,,,,,,,,,,,1464532613154,0
attackInfo,,,,,,,0.9137335034320289,5.323518021917339,,,1464532613154,0
serverInfo,,,,,,,,,121,19.876764062810576,1464532613154,0
move,0.1211238119613931,-0.23052736891296632,-2.2654324,-1.5880508,0,false,,,,,1464532613173,19
serverInfo,,,,,,,,,121,20.0,1464532613173,0
move,0.13913055667228846,-0.30431682745754074,0.0,0.0,0,false,,,,,1464532613223,50
serverInfo,,,,,,,,,121,20.0,1464532613223,0
animation,,,,,,,,,,,1464532613254,31
attack,,,,,,,,,,,1464532613254,0
attackInfo,,,,,,,0.902357743817336,5.725465824661141,,,1464532613254,0
serverInfo,,,,,,,,,121,19.876764062810576,1464532613254,0
move,0.10474478583079616,-0.37663049823865435,-16.991642,-0.34309387,0,false,,,,,1464532613273,19
serverInfo,,,,,,,,,121,20.0,1464532613273,0
move,0.12409725755150092,-0.1040803780930375,0.0,0.0,0,false,,,,,1464532613323,50
serverInfo,,,,,,,,,121,20.0,1464532613323,0
move,0.2568259963397139,0.0,0.0,0.0,0,true,,,,,1464532613373,50
serverInfo,,,,,,,,,121,20.0,1464532613373,0
move,0.2841244990024947,0.0,0.0,0.0,0,true,,,,,1464532613423,50
serverInfo,,,,,,,,,121,20.0,1464532613423,0
move,0.2990294831876099,0.0,0.0,0.0,0,true,,,,,1464532613473,50
serverInfo,,,,,,,,,121,20.0,1464532613473,0
move,0.30716760549795197,0.0,0.0,0.0,0,true,,,,,1464532613523,50
serverInfo,,,,,,,,,121,20.0,1464532613523,0
