# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.49448128003604097,-0.07840000152587834,-3.7748566,0.53492737,0,true,,,,,1464576686831,???
serverInfo,,,,,,,,,132,19.992003198720514,1464576686831,0
animation,,,,,,,,,,,1464576686877,46
move,0.18093258534094048,-0.15523200451660557,-6.2431355,0.121536255,0,false,,,,,1464576686880,3
serverInfo,,,,,,,,,132,19.99600079984003,1464576686880,0
animation,,,,,,,,,,,1464576686957,77
attack,,,,,,,,,,,1464576686957,0
attackInfo,,,,,,,0.9998282185551972,1.3540709486723264,,,1464576686957,0
serverInfo,,,,,,,,,132,19.88862370723946,1464576686957,0
animation,,,,,,,,,,,1464576686969,12
attack,,,,,,,,,,,1464576686969,0
attackInfo,,,,,,,0.9998282185551972,1.3540709486723264,,,1464576686969,0
serverInfo,,,,,,,,,133,19.841269841269842,1464576686969,0
move,0.19104714479449214,-0.23052736891295922,-7.5687904,0.10412598,0,false,,,,,1464576686980,11
serverInfo,,,,,,,,,133,19.99600079984003,1464576686980,0
animation,,,,,,,,,,,1464576687080,100
attack,,,,,,,,,,,1464576687080,0
attackInfo,,,,,,,0.9998670324054733,1.5468894047119126,,,1464576687080,0
serverInfo,,,,,,,,,133,19.798059790140567,1464576687080,0
move,0.2002513941624855,-0.30431682745754074,-7.8869247,0.0894928,0,false,,,,,1464576687080,0
serverInfo,,,,,,,,,133,19.99600079984003,1464576687080,0
move,0.2086272613287541,-0.23152379758701613,-4.020233,0.07722473,0,false,,,,,1464576687080,0
serverInfo,,,,,,,,,133,19.99600079984003,1464576687080,0
move,0.3218432427754898,0.0,3.00737,0.09576416,0,true,,,,,1464576687081,1
serverInfo,,,,,,,,,133,19.992003198720514,1464576687081,0
move,0.3077188604613603,0.0,2.384613,0.072402954,0,true,,,,,1464576687130,49
serverInfo,,,,,,,,,133,19.99600079984003,1464576687130,0
animation,,,,,,,,,,,1464576687204,74
attack,,,,,,,,,,,1464576687204,0
attackInfo,,,,,,,0.9999468544087949,2.4591234773850825,,,1464576687204,0
serverInfo,,,,,,,,,133,19.90049751243781,1464576687204,0
move,0.3000069468220872,0.0,1.9642067,0.057632446,0,true,,,,,1464576687230,26
serverInfo,,,,,,,,,133,19.99600079984003,1464576687230,0
move,0.29579624148596295,0.0,1.659111,0.047454834,0,true,,,,,1464576687231,1
serverInfo,,,,,,,,,133,19.992003198720514,1464576687231,0
