# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,-0.21800380849001755,0.0,0.4499998,-3.0,0,true,,,,,1464576748482,???
serverInfo,,,,,,,,,129,19.99600079984003,1464576748482,0
animation,,,,,,,,,,,1464576748492,10
attack,,,,,,,,,,,1464576748492,0
attackInfo,,,,,,,0.9555957054821724,3.5330460496515537,,,1464576748492,0
serverInfo,,,,,,,,,129,19.95609658750748,1464576748492,0
move,-0.10781156182933316,0.0,0.7499981,-4.799988,0,true,,,,,1464576748531,39
serverInfo,,,,,,,,,129,20.0,1464576748531,0
animation,,,,,,,,,,,1464576748554,23
attack,,,,,,,,,,,1464576748554,0
attackInfo,,,,,,,0.9601508272683184,3.421316574365367,,,1464576748554,0
serverInfo,,,,,,,,,129,19.908421262193908,1464576748554,0
move,-0.08994330920758742,0.0,0.5999994,-4.349991,0,true,,,,,1464576748581,27
serverInfo,,,,,,,,,129,20.0,1464576748581,0
animation,,,,,,,,,,,1464576748588,7
attack,,,,,,,,,,,1464576748588,0
attackInfo,,,,,,,0.9483760084537891,3.633001106892219,,,1464576748588,0
serverInfo,,,,,,,,,129,19.972039145196725,1464576748588,0
animation,,,,,,,,,,,1464576748620,32
attack,,,,,,,,,,,1464576748620,0
attackInfo,,,,,,,0.9483760084537891,3.633001106892219,,,1464576748620,0
serverInfo,,,,,,,,,129,19.845207382417147,1464576748620,0
move,-0.06926956739283696,0.0,0.5999994,-4.5000305,0,true,,,,,1464576748631,11
serverInfo,,,,,,,,,129,20.0,1464576748631,0
move,-0.05099457464410051,0.0,0.3000002,-2.8499756,0,true,,,,,1464576748631,0
serverInfo,,,,,,,,,129,20.0,1464576748631,0
animation,,,,,,,,,,,1464576748658,27
attack,,,,,,,,,,,1464576748658,0
attackInfo,,,,,,,0.9465305299680823,3.39439560804038,,,1464576748658,0
serverInfo,,,,,,,,,129,19.89258006763477,1464576748658,0
move,-0.07150016192646902,0.0,0.14999962,-3.4500122,0,true,,,,,1464576748681,23
serverInfo,,,,,,,,,129,20.0,1464576748681,0
animation,,,,,,,,,,,1464576748706,25
attack,,,,,,,,,,,1464576748706,0
attackInfo,,,,,,,0.9182382483541789,3.5432741565723243,,,1464576748706,0
serverInfo,,,,,,,,,129,19.90049751243781,1464576748706,0
move,-0.0021007248926103728,0.0,1.3499994,-8.25,0,true,,,,,1464576748731,25
serverInfo,,,,,,,,,129,20.0,1464576748731,0
animation,,,,,,,,,,,1464576748784,53
attack,,,,,,,,,,,1464576748784,0
attackInfo,,,,,,,0.9255865054072007,3.66674147500997,,,1464576748784,0
serverInfo,,,,,,,,,129,19.98800719568259,1464576748784,0
animation,,,,,,,,,,,1464576748821,37
attack,,,,,,,,,,,1464576748821,0
attackInfo,,,,,,,0.9255865054072007,3.66674147500997,,,1464576748821,0
serverInfo,,,,,,,,,129,19.841269841269842,1464576748821,0
move,0.03450297424924287,0.0,1.3500004,-8.25,0,true,,,,,1464576748831,10
serverInfo,,,,,,,,,129,20.0,1464576748831,0
move,0.07032949922662013,0.0,0.8999996,-6.75,0,true,,,,,1464576748831,0
serverInfo,,,,,,,,,129,20.0,1464576748831,0
animation,,,,,,,,,,,1464576748856,25
attack,,,,,,,,,,,1464576748856,0
attackInfo,,,,,,,0.8971243919093704,3.371495417310502,,,1464576748856,0
serverInfo,,,,,,,,,129,19.90049751243781,1464576748856,0
move,0.1334270509320561,0.0,0.0,-2.25,0,true,,,,,1464576748881,25
serverInfo,,,,,,,,,129,20.0,1464576748881,0
animation,,,,,,,,,,,1464576748907,26
attack,,,,,,,,,,,1464576748907,0
attackInfo,,,,,,,0.9119392243665204,3.218478142881334,,,1464576748907,0
serverInfo,,,,,,,,,129,19.896538002387587,1464576748907,0
move,0.1821678265896587,0.0,0.0,-0.4499817,0,true,,,,,1464576748931,24
serverInfo,,,,,,,,,129,20.0,1464576748931,0
animation,,,,,,,,,,,1464576748957,26
attack,,,,,,,,,,,1464576748957,0
attackInfo,,,,,,,0.9384268047637584,3.015795503138327,,,1464576748957,0
serverInfo,,,,,,,,,129,19.896538002387587,1464576748957,0
move,0.11744712849491634,0.0,0.0,0.0,0,true,,,,,1464576748981,24
serverInfo,,,,,,,,,129,20.0,1464576748981,0
animation,,,,,,,,,,,1464576748994,13
attack,,,,,,,,,,,1464576748994,0
attackInfo,,,,,,,0.9624086842779946,3.00647181328985,,,1464576748994,0
serverInfo,,,,,,,,,129,19.948134849391582,1464576748994,0
move,0.12177038761537418,0.0,0.0,0.0,0,true,,,,,1464576749031,37
serverInfo,,,,,,,,,129,20.0,1464576749031,0
animation,,,,,,,,,,,1464576749059,28
attack,,,,,,,,,,,1464576749059,0
attackInfo,,,,,,,0.963074965543089,2.8517302622842307,,,1464576749059,0
serverInfo,,,,,,,,,129,19.88862370723946,1464576749059,0
move,0.12413088736931854,0.0,0.0,0.0,0,true,,,,,1464576749081,22
serverInfo,,,,,,,,,129,20.0,1464576749081,0
animation,,,,,,,,,,,1464576749087,6
attack,,,,,,,,,,,1464576749087,0
attackInfo,,,,,,,0.9613911861854153,2.7419222795628047,,,1464576749087,0
serverInfo,,,,,,,,,129,19.97602876548142,1464576749087,0
move,0.1254197203846772,0.0,0.0,0.0,0,true,,,,,1464576749131,44
serverInfo,,,,,,,,,129,20.0,1464576749131,0
animation,,,,,,,,,,,1464576749151,20
attack,,,,,,,,,,,1464576749151,0
attackInfo,,,,,,,0.9557288459194466,2.6021398574162284,,,1464576749151,0
serverInfo,,,,,,,,,129,19.9203187250996,1464576749151,0
move,0.22164739573493009,0.0,0.0,0.1499939,0,true,,,,,1464576749181,30
serverInfo,,,,,,,,,129,20.0,1464576749181,0
animation,,,,,,,,,,,1464576749183,2
attack,,,,,,,,,,,1464576749183,0
attackInfo,,,,,,,0.9100337929929808,2.720307260715221,,,1464576749183,0
serverInfo,,,,,,,,,129,19.992003198720514,1464576749183,0
move,0.1259713795139632,0.0,0.0,0.0,0,true,,,,,1464576749231,48
serverInfo,,,,,,,,,129,20.0,1464576749231,0
animation,,,,,,,,,,,1464576749259,28
attack,,,,,,,,,,,1464576749259,0
attackInfo,,,,,,,0.8652042094328093,2.964031615260164,,,1464576749259,0
serverInfo,,,,,,,,,129,19.88862370723946,1464576749259,0
animation,,,,,,,,,,,1464576749270,11
attack,,,,,,,,,,,1464576749270,0
attackInfo,,,,,,,0.8652042094328093,2.964031615260164,,,1464576749270,0
serverInfo,,,,,,,,,129,19.845207382417147,1464576749270,0
move,0.12607775625681228,0.0,0.0,0.0,0,true,,,,,1464576749281,11
serverInfo,,,,,,,,,129,20.0,1464576749281,0
move,0.13447340273156527,0.0,-0.5999985,-3.75,0,true,,,,,1464576749281,0
serverInfo,,,,,,,,,129,20.0,1464576749281,0
animation,,,,,,,,,,,1464576749320,39
attack,,,,,,,,,,,1464576749320,0
attackInfo,,,,,,,0.8506104688742042,2.893496179800659,,,1464576749320,0
serverInfo,,,,,,,,,129,19.845207382417147,1464576749320,0
move,0.15635468297717026,0.0,-1.5,-8.25,0,true,,,,,1464576749331,11
serverInfo,,,,,,,,,129,20.0,1464576749331,0
animation,,,,,,,,,,,1464576749399,68
attack,,,,,,,,,,,1464576749399,0
attackInfo,,,,,,,0.9137990677582983,2.975789797712546,,,1464576749399,0
serverInfo,,,,,,,,,129,19.928258270227182,1464576749399,0
animation,,,,,,,,,,,1464576749399,0
attack,,,,,,,,,,,1464576749399,0
attackInfo,,,,,,,0.9137990677582983,2.975789797712546,,,1464576749399,0
serverInfo,,,,,,,,,129,19.928258270227182,1464576749399,0
move,0.1998583877153095,0.0,-3.1499996,-18.150024,0,true,,,,,1464576749431,32
serverInfo,,,,,,,,,129,20.0,1464576749431,0
move,0.24066357197464683,0.0,-1.5,-14.399994,0,true,,,,,1464576749431,0
serverInfo,,,,,,,,,129,20.0,1464576749431,0
animation,,,,,,,,,,,1464576749488,57
attack,,,,,,,,,,,1464576749488,0
attackInfo,,,,,,,0.9258421733521245,2.754410247583998,,,1464576749488,0
serverInfo,,,,,,,,,129,19.972039145196725,1464576749488,0
animation,,,,,,,,,,,1464576749525,37
attack,,,,,,,,,,,1464576749525,0
attackInfo,,,,,,,0.9258421733521245,2.754410247583998,,,1464576749525,0
serverInfo,,,,,,,,,129,19.825535289452816,1464576749525,0
move,0.26976008408291463,0.0,0.6000004,-9.600006,0,true,,,,,1464576749531,6
serverInfo,,,,,,,,,129,20.0,1464576749531,0
move,0.2856467815393131,0.0,0.0,0.0,0,true,,,,,1464576749532,1
serverInfo,,,,,,,,,129,19.99600079984003,1464576749532,0
animation,,,,,,,,,,,1464576749559,27
attack,,,,,,,,,,,1464576749559,0
attackInfo,,,,,,,0.9026260857280818,2.458898776756173,,,1464576749559,0
serverInfo,,,,,,,,,129,19.88862370723946,1464576749559,0
move,0.2943209193580323,0.0,0.0,0.0,0,true,,,,,1464576749581,22
serverInfo,,,,,,,,,129,20.0,1464576749581,0
animation,,,,,,,,,,,1464576749612,31
attack,,,,,,,,,,,1464576749612,0
attackInfo,,,,,,,0.9091710785178478,2.336952239574621,,,1464576749612,0
serverInfo,,,,,,,,,129,19.876764062810576,1464576749612,0
move,0.5241112651414532,0.0,0.0,-0.1499939,0,true,,,,,1464576749631,19
serverInfo,,,,,,,,,129,20.0,1464576749631,0
animation,,,,,,,,,,,1464576749645,14
attack,,,,,,,,,,,1464576749645,0
attackInfo,,,,,,,0.9312975046149293,2.033560794432553,,,1464576749645,0
serverInfo,,,,,,,,,129,19.94415636218588,1464576749645,0
move,0.3017593578136779,0.0,0.0,0.0,0,true,,,,,1464576749681,36
serverInfo,,,,,,,,,129,20.0,1464576749681,0
animation,,,,,,,,,,,1464576749737,56
attack,,,,,,,,,,,1464576749737,0
attackInfo,,,,,,,0.8948720101172496,2.358182401388134,,,1464576749737,0
serverInfo,,,,,,,,,129,19.97602876548142,1464576749737,0
animation,,,,,,,,,,,1464576749737,0
attack,,,,,,,,,,,1464576749737,0
attackInfo,,,,,,,0.8948720101172496,2.358182401388134,,,1464576749737,0
serverInfo,,,,,,,,,129,19.97602876548142,1464576749737,0
move,0.30296496467003386,0.0,0.0,0.4499817,0,true,,,,,1464576749781,44
serverInfo,,,,,,,,,129,20.0,1464576749781,0
move,0.23856397214411018,0.0,0.0,0.8999939,0,true,,,,,1464576749781,0
serverInfo,,,,,,,,,129,20.0,1464576749781,0
animation,,,,,,,,,,,1464576749814,33
attack,,,,,,,,,,,1464576749814,0
attackInfo,,,,,,,0.9122975212654302,2.2102957138324006,,,1464576749814,0
serverInfo,,,,,,,,,129,19.868865487780646,1464576749814,0
animation,,,,,,,,,,,1464576749826,12
attack,,,,,,,,,,,1464576749826,0
