# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464577103062,???
attack,,,,,,,,,,,1464577103062,0
attackInfo,,,,,,,0.6217444623439639,3.470453138892278,,,1464577103062,0
serverInfo,,,,,,,,,138,19.845207382417147,1464577103062,0
animation,,,,,,,,,,,1464577103142,80
attack,,,,,,,,,,,1464577103142,0
attackInfo,,,,,,,0.5030897412770797,3.292512042074981,,,1464577103142,0
serverInfo,,,,,,,,,138,19.924287706714484,1464577103142,0
animation,,,,,,,,,,,1464577103163,21
attack,,,,,,,,,,,1464577103163,0
attackInfo,,,,,,,0.5030897412770797,3.292512042074981,,,1464577103163,0
serverInfo,,,,,,,,,138,19.841269841269842,1464577103163,0
animation,,,,,,,,,,,1464577103202,39
attack,,,,,,,,,,,1464577103202,0
attackInfo,,,,,,,0.4112295825003074,3.503282175233459,,,1464577103202,0
serverInfo,,,,,,,,,138,19.884668920262477,1464577103202,0
animation,,,,,,,,,,,1464577103267,65
attack,,,,,,,,,,,1464577103267,0
attackInfo,,,,,,,0.34842067746241673,3.656341068274104,,,1464577103267,0
serverInfo,,,,,,,,,138,19.825535289452816,1464577103267,0
animation,,,,,,,,,,,1464577103346,79
attack,,,,,,,,,,,1464577103346,0
attackInfo,,,,,,,0.24237752275936347,3.9247762330231963,,,1464577103346,0
serverInfo,,,,,,,,,138,19.908421262193908,1464577103346,0
animation,,,,,,,,,,,1464577103368,22
attack,,,,,,,,,,,1464577103368,0
attackInfo,,,,,,,0.24237752275936347,3.9247762330231963,,,1464577103368,0
serverInfo,,,,,,,,,138,19.821605550049554,1464577103368,0
animation,,,,,,,,,,,1464577103412,44
attack,,,,,,,,,,,1464577103412,0
attackInfo,,,,,,,0.1998205832078509,4.115539013829428,,,1464577103412,0
serverInfo,,,,,,,,,138,19.845207382417147,1464577103412,0
animation,,,,,,,,,,,1464577103470,58
attack,,,,,,,,,,,1464577103470,0
attackInfo,,,,,,,0.1998205832078509,4.115539013829428,,,1464577103470,0
serverInfo,,,,,,,,,138,19.813750743015653,1464577103470,0
animation,,,,,,,,,,,1464577103510,40
attack,,,,,,,,,,,1464577103510,0
attackInfo,,,,,,,0.19918526527402758,4.173306269248783,,,1464577103510,0
serverInfo,,,,,,,,,138,19.85308715505261,1464577103510,0
animation,,,,,,,,,,,1464577103565,55
attack,,,,,,,,,,,1464577103565,0
attackInfo,,,,,,,0.19981213700242823,4.203840636994443,,,1464577103565,0
serverInfo,,,,,,,,,138,19.833399444664817,1464577103565,0
move,0.006648020654026254,0.0,0.0,-720.45,0,true,,,,,1464577104424,859
serverInfo,,,,,,,,,138,19.99600079984003,1464577104424,0
animation,,,,,,,,,,,1464577104485,61
attack,,,,,,,,,,,1464577104485,0
attackInfo,,,,,,,-0.7098747364642012,2.631715386178146,,,1464577104485,0
serverInfo,,,,,,,,,138,19.952114924181966,1464577104485,0
move,0.0,0.0,0.0,720.0,0,true,,,,,1464577104524,39
serverInfo,,,,,,,,,138,19.99600079984003,1464577104524,0
animation,,,,,,,,,,,1464577104533,9
attack,,,,,,,,,,,1464577104533,0
attackInfo,,,,,,,-0.7558857785724745,2.524708980303363,,,1464577104533,0
serverInfo,,,,,,,,,138,19.960079840319363,1464577104533,0
animation,,,,,,,,,,,1464577104611,78
attack,,,,,,,,,,,1464577104611,0
attackInfo,,,,,,,-0.7558857785724745,2.524708980303363,,,1464577104611,0
serverInfo,,,,,,,,,138,19.84914648670107,1464577104611,0
animation,,,,,,,,,,,1464577104611,0
attack,,,,,,,,,,,1464577104611,0
attackInfo,,,,,,,-0.7558857785724745,2.524708980303363,,,1464577104611,0
serverInfo,,,,,,,,,138,19.84914648670107,1464577104611,0
move,0.0,0.0,-1.1999998,-724.8,0,true,,,,,1464577104624,13
serverInfo,,,,,,,,,138,19.99600079984003,1464577104624,0
animation,,,,,,,,,,,1464577104674,50
attack,,,,,,,,,,,1464577104674,0
attackInfo,,,,,,,-0.8943406018270257,3.0718481702493285,,,1464577104674,0
serverInfo,,,,,,,,,138,19.99600079984003,1464577104674,0
animation,,,,,,,,,,,1464577104719,45
attack,,,,,,,,,,,1464577104719,0
attackInfo,,,,,,,-0.8943406018270257,3.0718481702493285,,,1464577104719,0
serverInfo,,,,,,,,,138,19.817677368212443,1464577104719,0
move,0.0,0.0,1.9499998,-43.200073,0,true,,,,,1464577104724,5
serverInfo,,,,,,,,,138,19.99600079984003,1464577104724,0
animation,,,,,,,,,,,1464577104767,43
attack,,,,,,,,,,,1464577104767,0
attackInfo,,,,,,,-0.2661252788714158,3.4580301500004227,,,1464577104767,0
serverInfo,,,,,,,,,138,19.825535289452816,1464577104767,0
move,0.0,0.0,1.6500006,-8.400024,0,true,,,,,1464577104774,7
serverInfo,,,,,,,,,138,19.99600079984003,1464577104774,0
animation,,,,,,,,,,,1464577104826,52
attack,,,,,,,,,,,1464577104826,0
attackInfo,,,,,,,-0.2841900462324632,3.835324512088119,,,1464577104826,0
serverInfo,,,,,,,,,138,19.98800719568259,1464577104826,0
move,0.046590447425842285,0.0,0.0,-1.5,0,true,,,,,1464577104874,48
serverInfo,,,,,,,,,138,19.99600079984003,1464577104874,0
animation,,,,,,,,,,,1464577105008,134
attack,,,,,,,,,,,1464577105008,0
attackInfo,,,,,,,-0.3044514900576949,4.847455827131736,,,1464577105008,0
serverInfo,,,,,,,,,138,19.860973187686195,1464577105008,0
animation,,,,,,,,,,,1464577105008,0
attack,,,,,,,,,,,1464577105008,0
