# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.36765499102316923,0.0,-5.278917,-9.50318,0,false,,,,,1464577451942,???
serverInfo,,,,,,,,,138,19.99600079984003,1464577451942,0
animation,,,,,,,,,,,1464577451998,56
attack,,,,,,,,,,,1464577451998,0
attackInfo,,,,,,,0.9958980577236526,4.036389441385922,,,1464577451998,0
serverInfo,,,,,,,,,138,19.972039145196725,1464577451998,0
animation,,,,,,,,,,,1464577452031,33
move,0.2884733544131777,0.0,0.0,-1.2131882,0,false,,,,,1464577452041,10
serverInfo,,,,,,,,,138,20.0,1464577452041,0
move,0.2616649628688936,0.0,0.0,-1.2401505,0,false,,,,,1464577452041,0
serverInfo,,,,,,,,,138,20.0,1464577452041,0
animation,,,,,,,,,,,1464577452080,39
attack,,,,,,,,,,,1464577452080,0
attackInfo,,,,,,,0.9956651933853469,4.4483649756657035,,,1464577452080,0
serverInfo,,,,,,,,,138,19.845207382417147,1464577452080,0
move,0.31434053307358134,0.0,0.0,-1.8468246,0,false,,,,,1464577452091,11
serverInfo,,,,,,,,,138,20.0,1464577452091,0
animation,,,,,,,,,,,1464577452135,44
attack,,,,,,,,,,,1464577452135,0
attackInfo,,,,,,,0.9898167942091586,4.730924376970734,,,1464577452135,0
serverInfo,,,,,,,,,138,19.825535289452816,1464577452135,0
move,0.2762855682332468,0.0,-0.09015179,-3.3344421,0,false,,,,,1464577452141,6
serverInfo,,,,,,,,,138,20.0,1464577452141,0
move,0.2660960302629469,0.0,-0.09649372,-3.6362915,0,false,,,,,1464577452191,50
serverInfo,,,,,,,,,138,20.0,1464577452191,0
animation,,,,,,,,,,,1464577452230,39
attack,,,,,,,,,,,1464577452230,0
attackInfo,,,,,,,0.9804454421837496,5.26594858167281,,,1464577452230,0
serverInfo,,,,,,,,,138,19.845207382417147,1464577452230,0
move,0.3251206098720729,0.0,-0.105044365,-4.4290924,0,false,,,,,1464577452241,11
serverInfo,,,,,,,,,138,20.0,1464577452241,0
animation,,,,,,,,,,,1464577452290,49
attack,,,,,,,,,,,1464577452290,0
attackInfo,,,,,,,0.9755708695631953,5.438856325786756,,,1464577452290,0
serverInfo,,,,,,,,,138,19.805902158843335,1464577452290,0
move,0.28762339311724716,0.0,-2.139923,-1.7533722,0,false,,,,,1464577452291,1
serverInfo,,,,,,,,,138,20.0,1464577452291,0
animation,,,,,,,,,,,1464577452330,39
attack,,,,,,,,,,,1464577452330,0
attackInfo,,,,,,,0.9820350890353851,5.583493975937813,,,1464577452330,0
serverInfo,,,,,,,,,138,19.845207382417147,1464577452330,0
move,0.27550041483637067,0.0,-2.792553,-1.0517883,0,false,,,,,1464577452341,11
serverInfo,,,,,,,,,138,20.0,1464577452341,0
animation,,,,,,,,,,,1464577452372,31
attack,,,,,,,,,,,1464577452372,0
attackInfo,,,,,,,0.9893023893595596,5.695445895698558,,,1464577452372,0
