# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.3339619924272412,0.0,-0.60876274,-0.07098389,0,false,,,,,1464577739953,???
serverInfo,,,,,,,,,131,19.99600079984003,1464577739953,0
move,0.2835606453745143,0.0,0.522686,0.34887695,0,false,,,,,1464577739953,0
serverInfo,,,,,,,,,131,19.99600079984003,1464577739953,0
animation,,,,,,,,,,,1464577739992,39
attack,,,,,,,,,,,1464577739992,0
attackInfo,,,,,,,0.9701710318953544,4.4476719841289505,,,1464577739992,0
serverInfo,,,,,,,,,131,19.841269841269842,1464577739992,0
move,0.3289788143052803,0.0,0.5388851,0.39074707,0,false,,,,,1464577740002,10
serverInfo,,,,,,,,,131,20.0,1464577740002,0
move,0.2819281560321443,0.0,2.5112638,1.0236206,0,false,,,,,1464577740052,50
serverInfo,,,,,,,,,131,20.0,1464577740052,0
animation,,,,,,,,,,,1464577740084,32
attack,,,,,,,,,,,1464577740084,0
attackInfo,,,,,,,0.9762181145272386,4.566650852194256,,,1464577740084,0
serverInfo,,,,,,,,,131,19.87281399046105,1464577740084,0
move,0.3280874750208156,0.0,2.9877625,1.2261353,0,false,,,,,1464577740102,18
serverInfo,,,,,,,,,131,20.0,1464577740102,0
animation,,,,,,,,,,,1464577740187,85
move,0.24144661882289853,0.0,0.9933629,1.9761963,0,false,,,,,1464577740203,16
serverInfo,,,,,,,,,131,19.99600079984003,1464577740203,0
move,0.30598455313725026,0.0,0.6801877,2.8062744,0,false,,,,,1464577740203,0
serverInfo,,,,,,,,,131,19.99600079984003,1464577740203,0
move,0.32603999776607395,0.0,0.4936428,1.7866211,0,false,,,,,1464577740252,49
serverInfo,,,,,,,,,131,20.0,1464577740252,0
animation,,,,,,,,,,,1464577740313,61
attack,,,,,,,,,,,1464577740313,0
attackInfo,,,,,,,0.977500034125548,5.31018253334851,,,1464577740313,0
serverInfo,,,,,,,,,131,19.95609658750748,1464577740313,0
move,0.3369902718053126,0.0,-1.73244,0.40325928,0,false,,,,,1464577740352,39
serverInfo,,,,,,,,,131,20.0,1464577740352,0
move,0.26937043821423856,0.0,-2.7478333,-0.34606934,0,false,,,,,1464577740352,0
serverInfo,,,,,,,,,131,20.0,1464577740352,0
animation,,,,,,,,,,,1464577740377,25
attack,,,,,,,,,,,1464577740377,0
