# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.0,0.0,-16.638367,-15.510498,0,false,,,,,1464577802554,???
serverInfo,,,,,,,,,140,19.99600079984003,1464577802554,0
animation,,,,,,,,,,,1464577802613,59
attack,,,,,,,,,,,1464577802613,0
attackInfo,,,,,,,0.9236234647263518,6.723353185311989,,,1464577802613,0
serverInfo,,,,,,,,,140,19.960079840319363,1464577802613,0
animation,,,,,,,,,,,1464577802644,31
move,0.0,0.0,16.638367,15.510498,0,false,,,,,1464577802653,9
serverInfo,,,,,,,,,140,20.0,1464577802653,0
move,0.0,0.0,-14.959565,-15.380249,0,false,,,,,1464577802654,1
serverInfo,,,,,,,,,140,19.99600079984003,1464577802654,0
animation,,,,,,,,,,,1464577802689,35
attack,,,,,,,,,,,1464577802689,0
attackInfo,,,,,,,0.9318575955665357,6.781976757968251,,,1464577802689,0
serverInfo,,,,,,,,,140,19.857029388403497,1464577802689,0
move,0.0,0.0,14.959565,15.401367,0,false,,,,,1464577802703,14
serverInfo,,,,,,,,,140,20.0,1464577802703,0
move,0.0,0.0,11.729011,-28.622864,0,false,,,,,1464577802753,50
serverInfo,,,,,,,,,140,20.0,1464577802753,0
animation,,,,,,,,,,,1464577802790,37
attack,,,,,,,,,,,1464577802790,0
attackInfo,,,,,,,0.8599797332532143,6.81347285514142,,,1464577802790,0
serverInfo,,,,,,,,,140,19.85308715505261,1464577802790,0
move,0.0,0.0,-11.729011,28.507263,0,false,,,,,1464577802804,14
serverInfo,,,,,,,,,140,19.99600079984003,1464577802804,0
animation,,,,,,,,,,,1464577802877,73
attack,,,,,,,,,,,1464577802878,1
attackInfo,,,,,,,0.9999988051620624,6.845188600633753,,,1464577802878,0
serverInfo,,,,,,,,,140,19.90049751243781,1464577802878,0
animation,,,,,,,,,,,1464577802883,5
attack,,,,,,,,,,,1464577802883,0
attackInfo,,,,,,,0.9999988051620624,6.845188600633753,,,1464577802883,0
serverInfo,,,,,,,,,140,19.880715705765407,1464577802883,0
animation,,,,,,,,,,,1464577802928,45
attack,,,,,,,,,,,1464577802928,0
attackInfo,,,,,,,0.9999821483822949,6.845188600633753,,,1464577802928,0
serverInfo,,,,,,,,,140,19.90049751243781,1464577802928,0
animation,,,,,,,,,,,1464577803003,75
attack,,,,,,,,,,,1464577803003,0
attackInfo,,,,,,,0.9999821483822949,6.845188600633753,,,1464577803003,0
serverInfo,,,,,,,,,140,19.801980198019802,1464577803003,0
animation,,,,,,,,,,,1464577803057,54
attack,,,,,,,,,,,1464577803057,0
attackInfo,,,,,,,0.99998912906732,6.845188600633753,,,1464577803057,0
serverInfo,,,,,,,,,140,19.984012789768187,1464577803057,0
animation,,,,,,,,,,,1464577803093,36
attack,,,,,,,,,,,1464577803093,0
attackInfo,,,,,,,0.99998912906732,6.845188600633753,,,1464577803093,0
serverInfo,,,,,,,,,140,19.841269841269842,1464577803093,0
animation,,,,,,,,,,,1464577803155,62
attack,,,,,,,,,,,1464577803155,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803155,0
serverInfo,,,,,,,,,140,19.992003198720514,1464577803155,0
animation,,,,,,,,,,,1464577803191,36
animation,,,,,,,,,,,1464577803242,51
attack,,,,,,,,,,,1464577803242,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803242,0
serverInfo,,,,,,,,,140,19.845207382417147,1464577803242,0
animation,,,,,,,,,,,1464577803289,47
attack,,,,,,,,,,,1464577803289,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803289,0
serverInfo,,,,,,,,,140,19.857029388403497,1464577803289,0
animation,,,,,,,,,,,1464577803339,50
attack,,,,,,,,,,,1464577803339,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803339,0
serverInfo,,,,,,,,,140,19.857029388403497,1464577803339,0
animation,,,,,,,,,,,1464577803392,53
attack,,,,,,,,,,,1464577803392,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803392,0
serverInfo,,,,,,,,,140,19.845207382417147,1464577803392,0
animation,,,,,,,,,,,1464577803465,73
attack,,,,,,,,,,,1464577803465,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803465,0
serverInfo,,,,,,,,,140,19.952114924181966,1464577803465,0
animation,,,,,,,,,,,1464577803682,217
attack,,,,,,,,,,,1464577803682,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803682,0
serverInfo,,,,,,,,,140,19.884668920262477,1464577803682,0
animation,,,,,,,,,,,1464577803682,0
attack,,,,,,,,,,,1464577803682,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803682,0
serverInfo,,,,,,,,,140,19.884668920262477,1464577803682,0
animation,,,,,,,,,,,1464577803682,0
attack,,,,,,,,,,,1464577803682,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803682,0
serverInfo,,,,,,,,,140,19.884668920262477,1464577803682,0
animation,,,,,,,,,,,1464577803682,0
attack,,,,,,,,,,,1464577803682,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803682,0
serverInfo,,,,,,,,,140,19.884668920262477,1464577803682,0
animation,,,,,,,,,,,1464577803703,21
attack,,,,,,,,,,,1464577803703,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803703,0
serverInfo,,,,,,,,,140,19.801980198019802,1464577803703,0
animation,,,,,,,,,,,1464577803792,89
attack,,,,,,,,,,,1464577803792,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803792,0
serverInfo,,,,,,,,,140,19.845207382417147,1464577803792,0
animation,,,,,,,,,,,1464577803792,0
attack,,,,,,,,,,,1464577803792,0
attackInfo,,,,,,,0.9999977730055404,6.845188600633753,,,1464577803792,0
serverInfo,,,,,,,,,140,19.845207382417147,1464577803792,0
animation,,,,,,,,,,,1464577803867,75
animation,,,,,,,,,,,1464577803892,25
animation,,,,,,,,,,,1464577803937,45
attack,,,,,,,,,,,1464577803937,0
attackInfo,,,,,,,0.9999970232580317,6.845188600633753,,,1464577803937,0
serverInfo,,,,,,,,,140,19.86491855383393,1464577803937,0
animation,,,,,,,,,,,1464577803995,58
attack,,,,,,,,,,,1464577803995,0
attackInfo,,,,,,,0.9999970232580317,6.845188600633753,,,1464577803995,0
serverInfo,,,,,,,,,140,19.833399444664817,1464577803995,0
animation,,,,,,,,,,,1464577804080,85
attack,,,,,,,,,,,1464577804080,0
attackInfo,,,,,,,0.9999970232580317,6.845188600633753,,,1464577804080,0
