# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464577857593,???
attack,,,,,,,,,,,1464577857593,0
attackInfo,,,,,,,0.42205595018173114,4.5943178553526405,,,1464577857593,0
serverInfo,,,,,,,,,137,19.84914648670107,1464577857593,0
animation,,,,,,,,,,,1464577857593,0
attack,,,,,,,,,,,1464577857593,0
attackInfo,,,,,,,-0.42274334729089447,2.714771792277599,,,1464577857593,0
serverInfo,,,,,,,,,137,19.84914648670107,1464577857593,0
animation,,,,,,,,,,,1464577857631,38
attack,,,,,,,,,,,1464577857631,0
attackInfo,,,,,,,0.3625595172016586,4.373409821698461,,,1464577857631,0
serverInfo,,,,,,,,,137,19.896538002387587,1464577857631,0
animation,,,,,,,,,,,1464577857631,0
attack,,,,,,,,,,,1464577857631,0
attackInfo,,,,,,,-0.42274334729089447,2.714771792277599,,,1464577857631,0
serverInfo,,,,,,,,,137,19.896538002387587,1464577857631,0
animation,,,,,,,,,,,1464577857695,64
attack,,,,,,,,,,,1464577857695,0
attackInfo,,,,,,,0.37939767153488624,4.664805151803985,,,1464577857695,0
serverInfo,,,,,,,,,137,19.841269841269842,1464577857695,0
animation,,,,,,,,,,,1464577857695,0
attack,,,,,,,,,,,1464577857695,0
attackInfo,,,,,,,-0.42274334729089447,2.714771792277599,,,1464577857695,0
serverInfo,,,,,,,,,137,19.841269841269842,1464577857695,0
animation,,,,,,,,,,,1464577857759,64
attack,,,,,,,,,,,1464577857759,0
attackInfo,,,,,,,0.38128117487955127,5.216420473269816,,,1464577857759,0
serverInfo,,,,,,,,,137,19.984012789768187,1464577857759,0
animation,,,,,,,,,,,1464577857759,0
attack,,,,,,,,,,,1464577857759,0
attackInfo,,,,,,,-0.42274334729089447,2.714771792277599,,,1464577857759,0
serverInfo,,,,,,,,,137,19.984012789768187,1464577857759,0
animation,,,,,,,,,,,1464577857793,34
attack,,,,,,,,,,,1464577857793,0
