# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.5235887434048152,-0.5169479491049742,21.787714,-88.22333,0,false,,,,,1464525204598,???
serverInfo,,,,,,,,,116,19.940179461615156,1464525204598,0
animation,,,,,,,,,,,1464525204614,16
attack,,,,,,,,,,,1464525204614,0
attackInfo,,,,,,,0.9591780266742971,4.2535536268065615,,,1464525204614,0
serverInfo,,,,,,,,,116,19.876764062810576,1464525204614,0
move,0.5309582461059534,-0.5850090015087517,-3.6739044,-4.153206,0,false,,,,,1464525204657,43
serverInfo,,,,,,,,,116,19.904458598726116,1464525204657,0
move,0.0,-0.6517088341626192,-30.925962,95.22743,0,false,,,,,1464525204705,48
serverInfo,,,,,,,,,116,19.908421262193908,1464525204705,0
move,0.0,-0.7170746714356042,-10.854553,-0.023223877,0,false,,,,,1464525204750,45
serverInfo,,,,,,,,,116,19.932230416583614,1464525204750,0
animation,,,,,,,,,,,1464525204754,4
attack,,,,,,,,,,,1464525204754,0
attackInfo,,,,,,,0.895677115349509,6.398274936941362,,,1464525204754,0
serverInfo,,,,,,,,,116,19.916351324437365,1464525204754,0
animation,,,,,,,,,,,1464525204782,28
attack,,,,,,,,,,,1464525204782,0
attackInfo,,,,,,,0.6330575364906827,2.1414313195990955,,,1464525204782,0
serverInfo,,,,,,,,,116,19.805902158843335,1464525204782,0
move,0.0,-0.13665499383652957,26.3948,-86.06297,0,false,,,,,1464525204802,20
serverInfo,,,,,,,,,116,19.9203187250996,1464525204802,0
animation,,,,,,,,,,,1464525204839,37
attack,,,,,,,,,,,1464525204839,0
attackInfo,,,,,,,-0.12077786995096085,7.152435902784482,,,1464525204839,0
serverInfo,,,,,,,,,116,19.97602876548142,1464525204839,0
move,0.869584514836987,0.3999999999999986,-25.312462,91.27636,0,true,,,,,1464525204852,13
serverInfo,,,,,,,,,116,19.924287706714484,1464525204852,0
jump,,,,,,,,,,,1464525204852,0
move,0.5639846616376332,0.31360000610351335,4.208026,3.9183044,0,false,,,,,1464525204852,0
serverInfo,,,,,,,,,116,19.924287706714484,1464525204852,0
animation,,,,,,,,,,,1464525204900,48
attack,,,,,,,,,,,1464525204900,0
attackInfo,,,,,,,0.6547920226474648,1.6654553674105992,,,1464525204900,0
serverInfo,,,,,,,,,116,19.932230416583614,1464525204900,0
move,0.5611777096448947,0.22892801043700928,45.259953,-110.76904,0,false,,,,,1464525204902,2
serverInfo,,,,,,,,,116,19.924287706714484,1464525204902,0
move,0.5565286159480536,0.14594945306884455,-39.525803,119.29557,0,false,,,,,1464525205003,101
serverInfo,,,,,,,,,116,19.916351324437365,1464525205003,0
animation,,,,,,,,,,,1464525205025,22
attack,,,,,,,,,,,1464525205025,0
attackInfo,,,,,,,0.8500823180125552,8.131030134878673,,,1464525205025,0
serverInfo,,,,,,,,,116,19.8294665873488,1464525205025,0
move,0.0,0.06463046526535976,-6.9489555,-2.9897614,0,false,,,,,1464525205050,25
serverInfo,,,,,,,,,116,19.932230416583614,1464525205050,0
animation,,,,,,,,,,,1464525205070,20
attack,,,,,,,,,,,1464525205070,0
attackInfo,,,,,,,0.5747518383971361,1.4928450453353206,,,1464525205070,0
serverInfo,,,,,,,,,116,19.85308715505261,1464525205070,0
move,0.0,-0.015062144333100491,58.315315,-121.75379,0,false,,,,,1464525205095,25
serverInfo,,,,,,,,,116,19.948134849391582,1464525205095,0
move,0.0,-0.18632180651921004,-69.41462,117.71752,0,false,,,,,1464525205145,50
serverInfo,,,,,,,,,116,19.952114924181966,1464525205145,0
move,0.0,-0.24809769002307291,41.939236,-417.95102,0,false,,,,,1464525205193,48
