# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464525586512,???
attack,,,,,,,,,,,1464525586512,0
attackInfo,,,,,,,0.9728344295370158,4.485452745929316,,,1464525586512,0
serverInfo,,,,,,,,,119,19.825535289452816,1464525586512,0
move,0.0,-0.18632180651920294,-2.2329931,0.0,0,false,,,,,1464525586531,19
serverInfo,,,,,,,,,119,19.948134849391582,1464525586531,0
move,0.0,-0.24809769002307291,-3.0353565,0.0,0,false,,,,,1464525586532,1
serverInfo,,,,,,,,,119,19.94415636218588,1464525586532,0
move,0.0,-0.32153574248057737,-4.0162377,0.0,0,false,,,,,1464525586587,55
serverInfo,,,,,,,,,119,19.924287706714484,1464525586587,0
animation,,,,,,,,,,,1464525586635,48
attack,,,,,,,,,,,1464525586635,0
attackInfo,,,,,,,0.9589020002821337,5.395613274109782,,,1464525586635,0
serverInfo,,,,,,,,,119,19.932230416583614,1464525586635,0
move,0.0,-0.382090551518786,-4.845511,0.0,0,false,,,,,1464525586686,51
serverInfo,,,,,,,,,119,19.928258270227182,1464525586686,0
animation,,,,,,,,,,,1464525586702,16
attack,,,,,,,,,,,1464525586702,0
attackInfo,,,,,,,0.951399439659719,6.436784554094182,,,1464525586702,0
serverInfo,,,,,,,,,119,19.86491855383393,1464525586702,0
animation,,,,,,,,,,,1464525586830,128
attack,,,,,,,,,,,1464525586830,0
attackInfo,,,,,,,0.9582141418106296,7.4477128440851885,,,1464525586830,0
serverInfo,,,,,,,,,119,19.952114924181966,1464525586830,0
move,-0.4365497105130771,0.4000000000000057,25.245167,-0.04940033,0,true,,,,,1464525586928,98
serverInfo,,,,,,,,,119,19.960079840319363,1464525586928,0
jump,,,,,,,,,,,1464525586928,0
move,-0.2903717462361328,0.31360000610351335,-0.80527306,0.92606354,0,false,,,,,1464525586985,57
serverInfo,,,,,,,,,119,19.932230416583614,1464525586985,0
move,-0.1269646394754318,0.22892801043701638,-0.7650089,1.0065842,0,false,,,,,1464525587031,46
serverInfo,,,,,,,,,119,19.948134849391582,1464525587031,0
move,-0.12196113964910182,0.14594945306885165,-0.40263557,0.4429016,0,false,,,,,1464525587083,52
serverInfo,,,,,,,,,119,19.94415636218588,1464525587083,0
move,-0.11510345328542826,0.06463046526535265,-0.4428997,0.64421844,0,false,,,,,1464525587134,51
serverInfo,,,,,,,,,119,19.93620414673046,1464525587134,0
move,-0.1060341441809669,-0.015062144333100491,-0.36237335,0.8857956,0,false,,,,,1464525587186,52
serverInfo,,,,,,,,,119,19.932230416583614,1464525587186,0
move,-0.07806090383905939,0.0,-0.80527115,2.8989792,0,false,,,,,1464525587236,50
serverInfo,,,,,,,,,119,19.928258270227182,1464525587236,0
move,-0.0797983380354026,0.4000000000000057,-1.1273804,4.3082047,0,true,,,,,1464525587285,49
serverInfo,,,,,,,,,119,19.93620414673046,1464525587285,0
move,0.0020711383828029284,0.31360000610351335,-1.1273804,4.0666275,0,false,,,,,1464525587334,49
serverInfo,,,,,,,,,119,19.93620414673046,1464525587334,0
move,0.05146628940349274,0.22892801043701638,-1.046854,4.2679443,0,false,,,,,1464525587380,46
serverInfo,,,,,,,,,119,19.952114924181966,1464525587380,0
move,0.10362136804849342,0.14594945306885165,-1.2884369,4.5900574,0,false,,,,,1464525587426,46
serverInfo,,,,,,,,,119,19.968051118210862,1464525587426,0
move,0.12700948315909955,0.06463046526535265,-0.6844826,2.1339722,0,false,,,,,1464525587478,52
serverInfo,,,,,,,,,119,19.964064683569575,1464525587478,0
animation,,,,,,,,,,,1464525587574,96
attack,,,,,,,,,,,1464525587574,0
attackInfo,,,,,,,0.8969985855823139,4.004510130223895,,,1464525587574,0
serverInfo,,,,,,,,,119,19.980019980019982,1464525587574,0
move,0.16945441154791752,-0.015062144333100491,-1.0065918,3.905571,0,false,,,,,1464525587586,12
serverInfo,,,,,,,,,119,19.932230416583614,1464525587586,0
move,0.24759214861944656,-0.09316090325960147,9.843451,19.766403,0,false,,,,,1464525587586,0
serverInfo,,,,,,,,,119,19.932230416583614,1464525587586,0
move,0.31355159359577556,-0.16969768849719458,0.78116417,6.380913,0,false,,,,,1464525587636,50
serverInfo,,,,,,,,,119,19.932230416583614,1464525587636,0
animation,,,,,,,,,,,1464525587666,30
attack,,,,,,,,,,,1464525587666,0
attackInfo,,,,,,,0.9154431851395433,3.4206583059259517,,,1464525587666,0
serverInfo,,,,,,,,,119,19.813750743015653,1464525587666,0
move,0.4012152442265915,-0.24470373948985014,-0.38336945,7.0464363,0,false,,,,,1464525587686,20
serverInfo,,,,,,,,,119,19.932230416583614,1464525587686,0
move,0.45104229956746167,-0.318209670893296,-1.7146378,8.153488,0,false,,,,,1464525587734,48
serverInfo,,,,,,,,,119,19.93620414673046,1464525587734,0
animation,,,,,,,,,,,1464525587760,26
attack,,,,,,,,,,,1464525587760,0
attackInfo,,,,,,,0.7779643851905709,3.4760130124485085,,,1464525587760,0
serverInfo,,,,,,,,,119,19.833399444664817,1464525587760,0
move,0.4829180083860365,-0.3902454850706789,-3.8888874,13.168705,0,false,,,,,1464525587782,22
serverInfo,,,,,,,,,119,19.948134849391582,1464525587782,0
move,0.5212061469719629,-0.060074093872657386,0.24425697,15.10688,0,false,,,,,1464525587834,52
serverInfo,,,,,,,,,119,19.93620414673046,1464525587834,0
animation,,,,,,,,,,,1464525587852,18
attack,,,,,,,,,,,1464525587852,0
attackInfo,,,,,,,0.781639459273422,4.394801034953757,,,1464525587852,0
