# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.05101752223652145,0.24813599859093927,-2.3999996,10.625671,2,false,,,,,1464523389003,???
serverInfo,,,,,,,,,142,19.95609658750748,1464523389003,0
animation,,,,,,,,,,,1464523389029,26
attack,,,,,,,,,,,1464523389029,0
attackInfo,,,,,,,0.9179818545763669,2.817666306938361,,,1464523389029,0
serverInfo,,,,,,,,,142,19.85308715505261,1464523389029,0
move,0.07102903728788501,0.1647732818260721,-0.14999962,4.2260246,2,false,,,,,1464523389057,28
serverInfo,,,,,,,,,142,19.940179461615156,1464523389057,0
animation,,,,,,,,,,,1464523389126,69
attack,,,,,,,,,,,1464523389126,0
attackInfo,,,,,,,0.9037907822834955,3.4993985064279176,,,1464523389126,0
serverInfo,,,,,,,,,142,19.86491855383393,1464523389126,0
move,0.07201539018367242,-0.07840000152587834,0.0,6.2820473,2,false,,,,,1464523389160,34
serverInfo,,,,,,,,,142,19.928258270227182,1464523389160,0
animation,,,,,,,,,,,1464523389229,69
attack,,,,,,,,,,,1464523389229,0
attackInfo,,,,,,,0.9024506591125439,3.9145754578977745,,,1464523389229,0
serverInfo,,,,,,,,,142,19.85308715505261,1464523389229,0
move,0.0677612863954895,-0.15523200451660557,0.0,6.749939,2,false,,,,,1464523389260,31
serverInfo,,,,,,,,,142,19.928258270227182,1464523389260,0
move,0.08655209346344606,-0.23052736891295922,0.29999924,3.0163155,2,false,,,,,1464523389260,0
serverInfo,,,,,,,,,142,19.928258270227182,1464523389260,0
move,0.10422460772114306,-0.30431682745754074,1.9500008,2.5499992,2,false,,,,,1464523389301,41
serverInfo,,,,,,,,,142,19.964064683569575,1464523389301,0
animation,,,,,,,,,,,1464523389328,27
attack,,,,,,,,,,,1464523389328,0
attackInfo,,,,,,,0.8800322278934618,4.304215267100645,,,1464523389328,0
serverInfo,,,,,,,,,142,19.857029388403497,1464523389328,0
move,0.12142929853790818,-0.37663049823865435,1.8000011,5.8500004,2,false,,,,,1464523389362,34
serverInfo,,,,,,,,,142,19.9203187250996,1464523389362,0
move,0.13825460563755065,-0.021002560286575545,1.3500004,8.85,2,false,,,,,1464523389407,45
serverInfo,,,,,,,,,142,19.940179461615156,1464523389407,0
animation,,,,,,,,,,,1464523389429,22
attack,,,,,,,,,,,1464523389429,0
attackInfo,,,,,,,0.871767515493848,4.729668552822326,,,1464523389429,0
serverInfo,,,,,,,,,142,19.85308715505261,1464523389429,0
move,0.3232339458613458,0.0,0.29999924,11.986305,2,true,,,,,1464523389461,32
