# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.28335261575372783,-0.14514242835333846,-8.894976,-1.5,2,false,,,,,1464523423147,???
serverInfo,,,,,,,,,161,19.940179461615156,1464523423147,0
animation,,,,,,,,,,,1464523423151,4
attack,,,,,,,,,,,1464523423151,0
attackInfo,,,,,,,0.5124235614515978,1.383905316568488,,,1464523423151,0
serverInfo,,,,,,,,,161,19.924287706714484,1464523423151,0
move,0.2785965136029489,-0.22063958408051576,-0.29878044,5.380615,2,false,,,,,1464523423198,47
serverInfo,,,,,,,,,161,19.93620414673046,1464523423198,0
move,0.2746481190579999,-0.2946267981331516,2.25,11.848633,2,false,,,,,1464523423198,0
serverInfo,,,,,,,,,161,19.93620414673046,1464523423198,0
animation,,,,,,,,,,,1464523423252,54
attack,,,,,,,,,,,1464523423252,0
attackInfo,,,,,,,0.2708117846715967,1.3940914589472801,,,1464523423252,0
serverInfo,,,,,,,,,161,19.9203187250996,1464523423252,0
move,0.24992979554569672,-0.3671342693159261,5.3999996,25.17749,2,false,,,,,1464523423299,47
serverInfo,,,,,,,,,161,19.932230416583614,1464523423299,0
animation,,,,,,,,,,,1464523423346,47
attack,,,,,,,,,,,1464523423346,0
attackInfo,,,,,,,0.38197959731998743,1.3196120210615172,,,1464523423346,0
serverInfo,,,,,,,,,161,19.94415636218588,1464523423346,0
move,0.25226513424004793,-0.4381915924580255,3.75,42.201416,2,false,,,,,1464523423348,2
serverInfo,,,,,,,,,161,19.93620414673046,1464523423348,0
move,0.256674442618106,-0.2137863550069028,1.2000008,21.29419,2,false,,,,,1464523423348,0
serverInfo,,,,,,,,,161,19.93620414673046,1464523423348,0
animation,,,,,,,,,,,1464523423448,100
attack,,,,,,,,,,,1464523423448,0
attackInfo,,,,,,,0.6542008095324925,1.5956059241227314,,,1464523423448,0
serverInfo,,,,,,,,,161,19.93620414673046,1464523423448,0
move,0.4253706707076361,0.41999998688697815,0.14999962,15.491455,2,true,,,,,1464523423453,5
serverInfo,,,,,,,,,161,19.916351324437365,1464523423453,0
jump,,,,,,,,,,,1464523423453,0
move,0.2584529209505888,0.33319999363422426,-0.8999996,9.518311,2,false,,,,,1464523423453,0
serverInfo,,,,,,,,,161,19.916351324437365,1464523423453,0
move,0.258237849054197,0.24813599859093927,-2.7000008,9.016357,2,false,,,,,1464523423551,98
serverInfo,,,,,,,,,161,19.924287706714484,1464523423551,0
animation,,,,,,,,,,,1464523423553,2
attack,,,,,,,,,,,1464523423553,0
attackInfo,,,,,,,0.9876133028639087,2.4189674004987696,,,1464523423553,0
serverInfo,,,,,,,,,161,19.916351324437365,1464523423553,0
move,0.2553009727038784,0.1647732818260721,-1.5,-55.928223,2,false,,,,,1464523423603,50
serverInfo,,,,,,,,,161,19.916351324437365,1464523423603,0
move,0.0,0.0,-1.7999992,13.050049,2,false,,,,,1464523423603,0
serverInfo,,,,,,,,,161,19.916351324437365,1464523423603,0
animation,,,,,,,,,,,1464523423659,56
attack,,,,,,,,,,,1464523423659,0
attackInfo,,,,,,,0.7749995749774223,2.9079839801767724,,,1464523423659,0
serverInfo,,,,,,,,,161,19.89258006763477,1464523423659,0
move,0.059487499875828576,-0.07840000152587834,-0.14999962,9.75,2,false,,,,,1464523423697,38
serverInfo,,,,,,,,,161,19.940179461615156,1464523423697,0
move,0.057982167218881386,-0.15523200451660557,1.2000008,29.849854,2,false,,,,,1464523423748,51
serverInfo,,,,,,,,,161,19.93620414673046,1464523423748,0
animation,,,,,,,,,,,1464523423802,54
attack,,,,,,,,,,,1464523423802,0
attackInfo,,,,,,,0.9510194503374171,3.4448022750437617,,,1464523423802,0
serverInfo,,,,,,,,,159,19.9203187250996,1464523423802,0
move,0.06789350546407036,-0.23052736891295922,2.1000004,9.688965,2,false,,,,,1464523423803,1
serverInfo,,,,,,,,,159,19.916351324437365,1464523423803,0
move,0.08648973533193782,-0.30431682745754074,0.8999996,5.4611816,2,false,,,,,1464523423849,46
serverInfo,,,,,,,,,159,19.932230416583614,1464523423849,0
move,0.10567413498890232,-0.37663049823865435,1.3500004,6.75,2,false,,,,,1464523423901,52
serverInfo,,,,,,,,,159,19.924287706714484,1464523423901,0
animation,,,,,,,,,,,1464523423913,12
attack,,,,,,,,,,,1464523423913,0
attackInfo,,,,,,,0.33827688467609346,0.7151799938446475,,,1464523423913,0
serverInfo,,,,,,,,,159,19.876764062810576,1464523423913,0
move,0.12354113344815687,-0.021002560286575545,0.0,3.0,2,false,,,,,1464523423948,35
serverInfo,,,,,,,,,159,19.93620414673046,1464523423948,0
move,0.3043209594390248,0.41999998688697815,-0.29999924,0.30004883,2,true,,,,,1464523423997,49
serverInfo,,,,,,,,,159,19.940179461615156,1464523423997,0
jump,,,,,,,,,,,1464523423998,1
animation,,,,,,,,,,,1464523424001,3
attack,,,,,,,,,,,1464523424001,0
attackInfo,,,,,,,-0.7342811831335259,0.22147249482847142,,,1464523424001,0
serverInfo,,,,,,,,,159,19.924287706714484,1464523424001,0
move,0.19425624170617084,0.33319999363422426,-2.5500011,7.6499023,2,false,,,,,1464523424053,52
