# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464523526200,???
attack,,,,,,,,,,,1464523526200,0
attackInfo,,,,,,,0.9855552612943965,5.431975619338319,,,1464523526200,0
serverInfo,,,,,,,,,164,19.928258270227182,1464523526200,0
move,0.21145033020546578,-0.7396310711914325,0.0,0.0,2,false,,,,,1464523526203,3
serverInfo,,,,,,,,,164,19.916351324437365,1464523526203,0
move,0.21805508854151867,-0.8032384654008311,0.0,0.0,2,false,,,,,1464523526203,0
serverInfo,,,,,,,,,164,19.916351324437365,1464523526203,0
move,0.22406541880056352,-0.865573712939252,0.0,0.0,2,false,,,,,1464523526296,93
serverInfo,,,,,,,,,164,19.94415636218588,1464523526296,0
animation,,,,,,,,,,,1464523526297,1
attack,,,,,,,,,,,1464523526297,0
attackInfo,,,,,,,0.7255156125457805,3.5304951842505066,,,1464523526297,0
serverInfo,,,,,,,,,164,19.940179461615156,1464523526297,0
move,0.22953481949383558,-0.9266622567158507,-5.708908,0.0,2,false,,,,,1464523526348,51
serverInfo,,,,,,,,,164,19.932230416583614,1464523526348,0
animation,,,,,,,,,,,1464523526395,47
attack,,,,,,,,,,,1464523526395,0
attackInfo,,,,,,,0.5040661221834711,3.389559527439064,,,1464523526395,0
serverInfo,,,,,,,,,160,19.94415636218588,1464523526395,0
move,0.23451197426824422,-0.9865290307820942,-17.54573,0.0,2,false,,,,,1464523526400,5
serverInfo,,,,,,,,,160,19.924287706714484,1464523526400,0
move,0.2392037261784452,-0.6552712232516171,-13.3076935,0.9000015,2,false,,,,,1464523526400,0
serverInfo,,,,,,,,,160,19.924287706714484,1464523526400,0
move,0.21746581631282424,0.019999999105927202,-1.1387634,1.7999954,2,true,,,,,1464523526449,49
serverInfo,,,,,,,,,160,19.928258270227182,1464523526449,0
jump,,,,,,,,,,,1464523526449,0
animation,,,,,,,,,,,1464523526497,48
attack,,,,,,,,,,,1464523526497,0
attackInfo,,,,,,,0.4507934287445242,3.9470518773209213,,,1464523526497,0
serverInfo,,,,,,,,,160,19.940179461615156,1464523526497,0
move,0.20021881870538039,0.03999999910593033,-0.8121834,0.90000534,2,false,,,,,1464523526500,3
serverInfo,,,,,,,,,160,19.928258270227182,1464523526500,0
move,0.18651289701409723,0.051999998867515274,25.313278,0.6000023,2,false,,,,,1464523526546,46
serverInfo,,,,,,,,,160,19.940179461615156,1464523526546,0
animation,,,,,,,,,,,1464523526596,50
attack,,,,,,,,,,,1464523526596,0
attackInfo,,,,,,,0.5763019637158109,2.8721300870293063,,,1464523526596,0
serverInfo,,,,,,,,,160,19.94415636218588,1464523526596,0
move,0.17568066993629827,0.06159999881982969,-4.7999954,-0.3705635,2,false,,,,,1464523526596,0
serverInfo,,,,,,,,,160,19.94415636218588,1464523526596,0
animation,,,,,,,,,,,1464523526698,102
attack,,,,,,,,,,,1464523526698,0
attackInfo,,,,,,,0.6483615622107429,2.7059769498754127,,,1464523526698,0
serverInfo,,,,,,,,,160,19.93620414673046,1464523526698,0
move,0.16703685804446877,0.06927999889612124,-4.6500015,-2.4304008,2,false,,,,,1464523526702,4
serverInfo,,,,,,,,,160,19.9203187250996,1464523526702,0
move,0.16014281347726467,0.07542399904870933,-1.2000008,-2.582718,2,false,,,,,1464523526702,0
serverInfo,,,,,,,,,160,19.9203187250996,1464523526702,0
move,0.15464840583939576,0.08033919924402255,0.0,-2.7001953,2,false,,,,,1464523526753,51
serverInfo,,,,,,,,,160,19.91238550378335,1464523526753,0
animation,,,,,,,,,,,1464523526801,48
attack,,,,,,,,,,,1464523526801,0
attackInfo,,,,,,,0.8182359444588653,2.22622969682125,,,1464523526801,0
serverInfo,,,,,,,,,160,19.924287706714484,1464523526801,0
move,0.1502528796635687,0.08427135945886732,0.0,-1.4844208,2,false,,,,,1464523526850,49
serverInfo,,,,,,,,,160,19.924287706714484,1464523526850,0
move,0.14677833559011333,0.0874170876776148,-1.6499996,-1.7035294,2,false,,,,,1464523526850,0
serverInfo,,,,,,,,,160,19.924287706714484,1464523526850,0
animation,,,,,,,,,,,1464523526897,47
attack,,,,,,,,,,,1464523526897,0
attackInfo,,,,,,,0.9145508280937831,1.9623249680766304,,,1464523526897,0
serverInfo,,,,,,,,,160,19.940179461615156,1464523526897,0
move,0.14405976152320932,0.0499336711841849,-2.25,-1.0264893,2,false,,,,,1464523526898,1
serverInfo,,,,,,,,,160,19.93620414673046,1464523526898,0
move,0.1418849022373081,0.019946937542606236,-1.8000011,-1.1612778,2,false,,,,,1464523526992,94
serverInfo,,,,,,,,,160,19.960079840319363,1464523526992,0
animation,,,,,,,,,,,1464523526994,2
attack,,,,,,,,,,,1464523526994,0
attackInfo,,,,,,,0.7510860588370107,2.0607263335135486,,,1464523526994,0
serverInfo,,,,,,,,,160,19.952114924181966,1464523526994,0
move,0.1556494179055221,-0.05885200235366739,-1.2000008,-1.3833466,2,false,,,,,1464523527048,54
serverInfo,,,,,,,,,160,19.932230416583614,1464523527048,0
