# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464522595386,???
attack,,,,,,,,,,,1464522595386,0
attackInfo,,,,,,,0.3459147872476038,1.6875751707917646,,,1464522595386,0
serverInfo,,,,,,,,,192,19.841269841269842,1464522595386,0
move,-0.3469929774419951,0.0,3.1842775,3.244629,2,true,,,,,1464522595410,24
serverInfo,,,,,,,,,192,19.94415636218588,1464522595410,0
move,0.0,0.04999999999999716,0.0,360.0,2,true,,,,,1464522595411,1
serverInfo,,,,,,,,,192,19.940179461615156,1464522595411,0
jump,,,,,,,,,,,1464522595411,0
animation,,,,,,,,,,,1464522595424,13
attack,,,,,,,,,,,1464522595424,0
attackInfo,,,,,,,-0.033831563134930215,1.6099089811718155,,,1464522595424,0
serverInfo,,,,,,,,,192,19.88862370723946,1464522595424,0
move,-0.28589120136699586,-0.04999999999999716,4.6985893,-353.31415,2,false,,,,,1464522595458,34
serverInfo,,,,,,,,,192,19.952114924181966,1464522595458,0
move,-0.2537761694935141,0.0,3.8281498,13.667175,2,true,,,,,1464522595516,58
serverInfo,,,,,,,,,192,19.924287706714484,1464522595516,0
animation,,,,,,,,,,,1464522595530,14
attack,,,,,,,,,,,1464522595532,2
attackInfo,,,,,,,-0.35571129476709334,2.0336320818247087,,,1464522595532,0
serverInfo,,,,,,,,,192,19.860973187686195,1464522595532,0
move,-0.2584649481331014,0.0,3.398922,26.982452,2,true,,,,,1464522595559,27
serverInfo,,,,,,,,,192,19.948134849391582,1464522595559,0
move,-0.31039715443523885,0.0,-7.8286533,35.772797,2,true,,,,,1464522595613,54
serverInfo,,,,,,,,,192,19.932230416583614,1464522595613,0
move,-0.3458457287857044,0.0,-12.172685,30.19461,2,true,,,,,1464522595659,46
serverInfo,,,,,,,,,192,19.948134849391582,1464522595659,0
animation,,,,,,,,,,,1464522595689,30
attack,,,,,,,,,,,1464522595690,1
attackInfo,,,,,,,0.5397728823603167,3.412628818433593,,,1464522595690,0
serverInfo,,,,,,,,,192,19.825535289452816,1464522595690,0
move,0.06494818770973954,0.0,-5.210017,9.573364,2,true,,,,,1464522595710,20
serverInfo,,,,,,,,,192,19.948134849391582,1464522595710,0
animation,,,,,,,,,,,1464522595738,28
attack,,,,,,,,,,,1464522595740,2
attackInfo,,,,,,,0.4664767128136942,3.6389751678774016,,,1464522595740,0
serverInfo,,,,,,,,,192,19.8294665873488,1464522595740,0
move,0.2869031337330932,0.0,-3.8574867,5.096344,2,true,,,,,1464522595759,19
serverInfo,,,,,,,,,192,19.948134849391582,1464522595759,0
move,0.39373876688042,0.0,-1.8854389,4.2608337,2,true,,,,,1464522595807,48
serverInfo,,,,,,,,,192,19.960079840319363,1464522595807,0
move,0.4162124317478879,0.0,-1.977622,1.4091492,2,true,,,,,1464522595866,59
serverInfo,,,,,,,,,192,19.9203187250996,1464522595866,0
animation,,,,,,,,,,,1464522595882,16
attack,,,,,,,,,,,1464522595882,0
attackInfo,,,,,,,0.07857181348902603,4.3266030629597765,,,1464522595882,0
serverInfo,,,,,,,,,192,19.857029388403497,1464522595882,0
move,0.4086907656489902,0.0,-2.092133,-0.8352051,2,true,,,,,1464522595911,29
serverInfo,,,,,,,,,192,19.94415636218588,1464522595911,0
move,0.4400436029261987,0.0,-16.189703,-30.709595,2,true,,,,,1464522595959,48
serverInfo,,,,,,,,,192,19.948134849391582,1464522595959,0
move,0.47735347277192375,0.0,-10.259838,-39.075592,2,true,,,,,1464522596013,54
serverInfo,,,,,,,,,192,19.93620414673046,1464522596013,0
move,0.5180849513527431,0.0,0.60111046,-26.859924,2,true,,,,,1464522596060,47
serverInfo,,,,,,,,,192,19.94415636218588,1464522596060,0
animation,,,,,,,,,,,1464522596082,22
attack,,,,,,,,,,,1464522596082,0
attackInfo,,,,,,,0.9645539517784003,5.656150960675893,,,1464522596082,0
serverInfo,,,,,,,,,192,19.857029388403497,1464522596082,0
move,0.5454551090633023,0.0,3.2808323,-14.530762,2,true,,,,,1464522596112,30
serverInfo,,,,,,,,,192,19.940179461615156,1464522596112,0
move,0.5485220973678991,0.0,1.8287582,-8.023346,2,true,,,,,1464522596164,52
serverInfo,,,,,,,,,192,19.928258270227182,1464522596164,0
move,0.5120425852159928,0.0,23.739765,28.270752,2,true,,,,,1464522596212,48
serverInfo,,,,,,,,,192,19.93620414673046,1464522596212,0
move,0.34832953977297276,0.0,-2.944017,-38.56665,2,true,,,,,1464522596254,42
serverInfo,,,,,,,,,192,19.968051118210862,1464522596254,0
move,0.13076908864239967,0.0,0.88320494,-28.188965,2,true,,,,,1464522596314,60
serverInfo,,,,,,,,,192,19.928258270227182,1464522596314,0
move,0.10562655684980127,0.0,1.1040063,20.534546,2,true,,,,,1464522596358,44
serverInfo,,,,,,,,,192,19.952114924181966,1464522596358,0
move,0.10160376977511032,0.0,0.0,2.1343994,2,true,,,,,1464522596408,50
serverInfo,,,,,,,,,192,19.95609658750748,1464522596408,0
move,0.09940732777719052,0.0,0.0,360.0,2,true,,,,,1464522596463,55
serverInfo,,,,,,,,,192,19.932230416583614,1464522596463,0
move,0.09820807030704426,0.0,0.0,0.0,2,true,,,,,1464522596513,50
serverInfo,,,,,,,,,192,19.932230416583614,1464522596513,0
move,0.09755327565228411,0.0,0.0,0.0,2,true,,,,,1464522596561,48
serverInfo,,,,,,,,,192,19.940179461615156,1464522596561,0
move,0.143665356737825,0.0,-0.22080183,-349.5487,2,true,,,,,1464522596610,49
serverInfo,,,,,,,,,192,19.94415636218588,1464522596610,0
animation,,,,,,,,,,,1464522596632,22
attack,,,,,,,,,,,1464522596643,11
attackInfo,,,,,,,0.9954742251182264,4.916105606665613,,,1464522596643,0
serverInfo,,,,,,,,,192,19.813750743015653,1464522596643,0
move,-0.04897353986429609,0.0,-1.6774817,-18.684326,2,true,,,,,1464522596658,15
serverInfo,,,,,,,,,192,19.952114924181966,1464522596658,0
move,0.0,0.04999999999999716,0.0,360.0,2,true,,,,,1464522596658,0
serverInfo,,,,,,,,,192,19.952114924181966,1464522596658,0
jump,,,,,,,,,,,1464522596658,0
move,-0.18350836401311765,-0.04999999999999716,5.765349,-359.60614,2,false,,,,,1464522596707,49
serverInfo,,,,,,,,,192,19.960079840319363,1464522596707,0
move,-0.2603721461224313,0.0,6.539599,1.2870483,2,true,,,,,1464522596766,59
serverInfo,,,,,,,,,192,19.9203187250996,1464522596766,0
move,-0.2908936837510061,0.0,4.220639,1.0470581,2,true,,,,,1464522596810,44
serverInfo,,,,,,,,,192,19.94415636218588,1464522596810,0
move,-0.31186582331532753,0.0,4.9410934,1.531189,2,true,,,,,1464522596864,54
serverInfo,,,,,,,,,192,19.928258270227182,1464522596864,0
move,-0.2904603552151066,0.0,5.4409857,2.1140137,2,true,,,,,1464522596910,46
serverInfo,,,,,,,,,192,19.948134849391582,1464522596910,0
animation,,,,,,,,,,,1464522596932,22
attack,,,,,,,,,,,1464522596932,0
attackInfo,,,,,,,0.8335771983441431,5.188661116520581,,,1464522596932,0
serverInfo,,,,,,,,,192,19.860973187686195,1464522596932,0
move,-0.2603338760239349,0.0,2.1824722,7.9088135,2,true,,,,,1464522596961,29
serverInfo,,,,,,,,,192,19.940179461615156,1464522596961,0
move,-0.15579473435333657,0.0,1.5100842,11.664429,2,true,,,,,1464522597021,60
serverInfo,,,,,,,,,187,19.904458598726116,1464522597021,0
move,-0.09227171591375294,0.0,0.13684273,12.360962,2,true,,,,,1464522597065,44
serverInfo,,,,,,,,,187,19.924287706714484,1464522597065,0
animation,,,,,,,,,,,1464522597076,11
attack,,,,,,,,,,,1464522597076,0
attackInfo,,,,,,,0.8008044046062351,5.063121448453217,,,1464522597076,0
serverInfo,,,,,,,,,187,19.880715705765407,1464522597076,0
move,-0.1536958874976353,0.0,-0.42220688,12.105316,2,true,,,,,1464522597112,36
serverInfo,,,,,,,,,187,19.93620414673046,1464522597112,0
animation,,,,,,,,,,,1464522597122,10
attack,,,,,,,,,,,1464522597122,0
attackInfo,,,,,,,0.8048408709963346,5.056358877572086,,,1464522597122,0
serverInfo,,,,,,,,,187,19.896538002387587,1464522597122,0
move,-0.25448956720194715,0.0,-1.690218,9.443085,2,true,,,,,1464522597159,37
serverInfo,,,,,,,,,187,19.948134849391582,1464522597159,0
move,-0.33182759918591653,0.0,-4.663603,2.6855164,2,true,,,,,1464522597210,51
serverInfo,,,,,,,,,187,19.948134849391582,1464522597210,0
move,-0.387462399699261,0.0,-4.5275927,0.68084717,2,true,,,,,1464522597268,58
serverInfo,,,,,,,,,187,19.91238550378335,1464522597268,0
move,-0.34719545514077765,0.0,-3.9453964,0.27557373,2,true,,,,,1464522597314,46
serverInfo,,,,,,,,,187,19.932230416583614,1464522597314,0
animation,,,,,,,,,,,1464522597333,19
attack,,,,,,,,,,,1464522597333,0
attackInfo,,,,,,,0.9813370390141112,4.869685023729972,,,1464522597333,0
serverInfo,,,,,,,,,187,19.857029388403497,1464522597333,0
move,-0.33557177076630573,0.0,-3.188033,4.4846497,2,true,,,,,1464522597367,34
serverInfo,,,,,,,,,187,19.916351324437365,1464522597367,0
move,-0.33287045726947273,0.0,-2.382369,5.4278564,2,true,,,,,1464522597410,43
serverInfo,,,,,,,,,187,19.948134849391582,1464522597410,0
animation,,,,,,,,,,,1464522597428,18
attack,,,,,,,,,,,1464522597429,1
attackInfo,,,,,,,0.9798660345415195,6.218877261802558,,,1464522597429,0
serverInfo,,,,,,,,,187,19.87281399046105,1464522597429,0
move,-0.32463905542035754,0.0,-1.4046307,6.049286,2,true,,,,,1464522597464,35
serverInfo,,,,,,,,,187,19.928258270227182,1464522597464,0
move,-0.12225120171007475,0.0,-0.11499405,4.7092285,2,true,,,,,1464522597512,48
serverInfo,,,,,,,,,187,19.940179461615156,1464522597512,0
move,0.021099030056705548,0.41999998688697815,9.545748,6.7819824,2,true,,,,,1464522597560,48
serverInfo,,,,,,,,,187,19.94415636218588,1464522597560,0
jump,,,,,,,,,,,1464522597560,0
move,0.01677320418174677,0.33319999363422426,7.500684,3.9763794,2,false,,,,,1464522597612,52
serverInfo,,,,,,,,,187,19.940179461615156,1464522597612,0
animation,,,,,,,,,,,1464522597632,20
attack,,,,,,,,,,,1464522597632,0
attackInfo,,,,,,,0.8720086941388885,7.689603953887033,,,1464522597632,0
serverInfo,,,,,,,,,187,19.860973187686195,1464522597632,0
move,0.026235032964546434,0.24813599859093927,4.2040386,0.74554443,2,false,,,,,1464522597663,31
serverInfo,,,,,,,,,187,19.932230416583614,1464522597663,0
move,0.059785191149920536,0.1647732818260721,2.2807865,0.05090332,2,false,,,,,1464522597712,49
serverInfo,,,,,,,,,187,19.93620414673046,1464522597712,0
move,0.09116847669671468,0.08307781780646906,-0.6414261,-0.69592285,2,false,,,,,1464522597761,49
serverInfo,,,,,,,,,187,19.940179461615156,1464522597761,0
animation,,,,,,,,,,,1464522597789,28
attack,,,,,,,,,,,1464522597789,0
attackInfo,,,,,,,0.8907322463345761,8.54631477192249,,,1464522597789,0
serverInfo,,,,,,,,,187,19.8294665873488,1464522597789,0
move,0.11970833916735835,0.0,-4.5506783,-4.283966,2,false,,,,,1464522597804,15
serverInfo,,,,,,,,,187,19.972039145196725,1464522597804,0
move,0.14545084468691005,-0.07840000152587834,-2.9038048,4.6323547,2,false,,,,,1464522597859,55
serverInfo,,,,,,,,,187,19.948134849391582,1464522597859,0
move,0.1680686216777847,-0.15523200451660557,-1.2512074,7.0656433,2,false,,,,,1464522597912,53
serverInfo,,,,,,,,,187,19.940179461615156,1464522597912,0
move,0.18805733916770784,-0.015555072702198913,-0.8096037,3.4592285,2,false,,,,,1464522597964,52
serverInfo,,,,,,,,,187,19.928258270227182,1464522597964,0
move,0.42387092759507716,0.0,-0.4416027,-0.58880615,2,true,,,,,1464522598014,50
serverInfo,,,,,,,,,187,19.932230416583614,1464522598014,0
move,0.48417229736898904,0.0,0.0,360.0,2,true,,,,,1464522598060,46
serverInfo,,,,,,,,,187,19.94415636218588,1464522598060,0
move,0.517096849089822,0.0,0.0,0.0,2,true,,,,,1464522598112,52
serverInfo,,,,,,,,,187,19.940179461615156,1464522598112,0
move,0.7840312531367148,0.41999998688697815,0.0,0.0,2,true,,,,,1464522598159,47
serverInfo,,,,,,,,,187,19.948134849391582,1464522598159,0
jump,,,,,,,,,,,1464522598159,0
move,0.4597539343842634,0.33319999363422426,0.29440212,-360.1472,2,false,,,,,1464522598214,55
serverInfo,,,,,,,,,187,19.928258270227182,1464522598214,0
move,0.44926940418302763,0.24813599859093927,0.2208023,-2.502411,2,false,,,,,1464522598263,49
serverInfo,,,,,,,,,187,19.932230416583614,1464522598263,0
move,0.4367795942444026,0.1647732818260721,0.9568043,-8.169647,2,false,,,,,1464522598310,47
serverInfo,,,,,,,,,187,19.948134849391582,1464522598310,0
move,0.3951760044980661,0.08307781780646906,0.73600197,-9.420868,2,false,,,,,1464522598361,51
serverInfo,,,,,,,,,187,19.940179461615156,1464522598361,0
move,0.35291453977168796,0.0,0.5152035,-6.9184265,2,false,,,,,1464522598409,48
serverInfo,,,,,,,,,187,19.952114924181966,1464522598409,0
move,0.31357479043313763,-0.07840000152587834,0.0,-1.398407,2,false,,,,,1464522598461,52
serverInfo,,,,,,,,,187,19.940179461615156,1464522598461,0
move,0.27777561750333213,-0.15523200451660557,-0.07360077,0.0,2,false,,,,,1464522598517,56
serverInfo,,,,,,,,,187,19.9203187250996,1464522598517,0
move,0.2723826888807537,-0.23052736891295922,-0.29440308,-0.1472168,2,false,,,,,1464522598562,45
serverInfo,,,,,,,,,187,19.93620414673046,1464522598562,0
move,0.26716103655147094,-0.30431682745754074,-0.58880615,-0.5887451,2,false,,,,,1464522598612,50
serverInfo,,,,,,,,,187,19.940179461615156,1464522598612,0
move,0.26217533799800563,-0.37663049823865435,-0.6624012,-0.44158936,2,false,,,,,1464522598660,48
serverInfo,,,,,,,,,187,19.94415636218588,1464522598660,0
move,0.2566883174758132,-0.44749789698342113,-1.3248072,-1.7663879,2,false,,,,,1464522598710,50
serverInfo,,,,,,,,,187,19.948134849391582,1464522598710,0
move,0.2512512747531588,-0.5169479491049742,-1.030406,-0.80960083,2,false,,,,,1464522598764,54
serverInfo,,,,,,,,,187,19.928258270227182,1464522598764,0
move,0.2465049446819343,-0.13963453200464926,-0.66240406,0.36798096,2,false,,,,,1464522598813,49
serverInfo,,,,,,,,,187,19.93620414673046,1464522598813,0
move,0.3579281248932151,0.0,-0.80960464,1.6192017,2,true,,,,,1464522598863,50
serverInfo,,,,,,,,,187,19.932230416583614,1464522598863,0
move,0.43526395879399615,0.0,-0.29440212,2.060791,2,true,,,,,1464522598912,49
serverInfo,,,,,,,,,187,19.940179461615156,1464522598912,0
move,0.9647861308297347,0.3993574999999936,-0.07360077,1.1776123,2,true,,,,,1464522598912,0
serverInfo,,,,,,,,,187,19.940179461615156,1464522598912,0
jump,,,,,,,,,,,1464522598912,0
move,0.5884394673073601,0.312970356091256,-0.14720154,3.532837,2,false,,,,,1464522598959,47
serverInfo,,,,,,,,,187,19.948134849391582,1464522598959,0
move,0.5847385901544797,0.22831095341298635,0.0,360.0,2,false,,,,,1464522599012,53
serverInfo,,,,,,,,,187,19.940179461615156,1464522599012,0
move,0.5810609889585354,0.145344737173545,0.0,0.0,2,false,,,,,1464522599061,49
serverInfo,,,,,,,,,181,19.940179461615156,1464522599061,0
move,0.5774065173298677,0.06403784367641663,0.0,0.0,2,false,,,,,1464522599113,52
serverInfo,,,,,,,,,181,19.93620414673046,1464522599113,0
move,0.5803288548338266,-0.01564291350156566,0.14720058,-359.4848,2,false,,,,,1464522599211,98
serverInfo,,,,,,,,,181,19.94415636218588,1464522599211,0
move,0.6357206852459516,-0.09373005705577953,1.6928091,4.8576355,2,false,,,,,1464522599211,0
serverInfo,,,,,,,,,181,19.94415636218588,1464522599211,0
move,0.7177606571019215,-0.17025545922830077,1.6928091,7.948883,2,false,,,,,1464522599310,99
serverInfo,,,,,,,,,181,19.948134849391582,1464522599310,0
move,0.7161591201135096,-0.24525035481697444,0.07360077,0.29440308,2,false,,,,,1464522599310,0
serverInfo,,,,,,,,,181,19.948134849391582,1464522599310,0
move,0.7116549747040004,-0.3187453539242995,0.0,360.0,2,false,,,,,1464522599359,49
