# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.01020140780536849,-0.37663049823865435,-47.240738,106.2753,2,false,,,,,1464522666827,???
serverInfo,,,,,,,,,185,19.924287706714484,1464522666827,0
animation,,,,,,,,,,,1464522666859,32
attack,,,,,,,,,,,1464522666859,0
attackInfo,,,,,,,0.06313034737454515,1.967274948463666,,,1464522666859,0
serverInfo,,,,,,,,,185,20.0,1464522666859,0
move,-0.010712169883788647,-0.05489334703213444,5.79521,-20.888855,2,false,,,,,1464522666872,13
serverInfo,,,,,,,,,185,19.948134849391582,1464522666872,0
move,0.0,0.04999999999999716,0.0,360.0,2,true,,,,,1464522666872,0
serverInfo,,,,,,,,,185,19.948134849391582,1464522666872,0
jump,,,,,,,,,,,1464522666872,0
animation,,,,,,,,,,,1464522666927,55
attack,,,,,,,,,,,1464522666927,0
attackInfo,,,,,,,-0.023029966682636405,2.71030077811624,,,1464522666927,0
serverInfo,,,,,,,,,185,19.924287706714484,1464522666927,0
move,-0.009297695009365725,-0.04999999999999716,35.217873,-445.91205,2,false,,,,,1464522666977,50
serverInfo,,,,,,,,,185,19.928258270227182,1464522666977,0
move,-0.004580795333012588,0.0,-16.818762,71.774414,2,true,,,,,1464522667022,45
serverInfo,,,,,,,,,185,19.94415636218588,1464522667022,0
animation,,,,,,,,,,,1464522667031,9
attack,,,,,,,,,,,1464522667031,0
attackInfo,,,,,,,0.4343463542822015,2.2721214059472024,,,1464522667031,0
serverInfo,,,,,,,,,185,19.908421262193908,1464522667031,0
move,-0.00200536781058247,0.0,9.471199,5.2145386,2,true,,,,,1464522667080,49
serverInfo,,,,,,,,,185,19.916351324437365,1464522667080,0
move,0.0,0.04999999999999716,0.0,360.0,2,true,,,,,1464522667081,1
serverInfo,,,,,,,,,185,19.91238550378335,1464522667081,0
jump,,,,,,,,,,,1464522667081,0
move,0.9168855174287955,0.16075000000000017,6.593933,-396.66803,2,false,,,,,1464522667081,0
serverInfo,,,,,,,,,185,19.91238550378335,1464522667081,0
move,0.25968561614809005,0.12813500249385612,5.6870365,-14.469147,2,false,,,,,1464522667166,85
serverInfo,,,,,,,,,185,19.968051118210862,1464522667166,0
animation,,,,,,,,,,,1464522667180,14
attack,,,,,,,,,,,1464522667180,0
attackInfo,,,,,,,0.876346976909551,2.8965892999077303,,,1464522667180,0
serverInfo,,,,,,,,,185,19.91238550378335,1464522667180,0
animation,,,,,,,,,,,1464522667218,38
attack,,,,,,,,,,,1464522667218,0
attackInfo,,,,,,,0.7965294914912281,2.7010232495077915,,,1464522667218,0
serverInfo,,,,,,,,,185,19.95609658750748,1464522667219,1
move,0.23542381340521246,0.04717230336208189,-2.555214,-12.960083,2,false,,,,,1464522667224,5
serverInfo,,,,,,,,,185,19.93620414673046,1464522667224,0
move,0.2122071719863996,-0.032171143331297,2.5427284,-23.03772,2,false,,,,,1464522667224,0
serverInfo,,,,,,,,,185,19.93620414673046,1464522667224,0
move,0.19040485979800081,-0.10992772260416217,-8.739769,8.402954,2,false,,,,,1464522667274,50
serverInfo,,,,,,,,,185,19.93620414673046,1464522667274,0
move,0.14537166230586962,-0.1861291717746667,-2.5900364,-3.7676392,2,false,,,,,1464522667324,50
serverInfo,,,,,,,,,185,19.93620414673046,1464522667324,0
animation,,,,,,,,,,,1464522667377,53
attack,,,,,,,,,,,1464522667377,0
