# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,-0.37988703723814865,0.0,-2.2227306,14.770241,2,true,,,,,1464524416410,???
serverInfo,,,,,,,,,307,19.9203187250996,1464524416410,0
move,-0.7891630051125453,0.0,-1.5380516,4.377533,2,true,,,,,1464524416457,47
serverInfo,,,,,,,,,307,19.928258270227182,1464524416457,0
move,-0.452067261714582,0.0,0.0,0.0,2,true,,,,,1464524416504,47
serverInfo,,,,,,,,,307,19.940179461615156,1464524416504,0
animation,,,,,,,,,,,1464524416510,6
attack,,,,,,,,,,,1464524416510,0
attackInfo,,,,,,,0.9177554699376693,1.6266696347572842,,,1464524416510,0
serverInfo,,,,,,,,,307,19.916351324437365,1464524416510,0
move,-0.44851956022182904,0.0,15.768454,-64.91518,2,true,,,,,1464524416562,52
serverInfo,,,,,,,,,307,19.908421262193908,1464524416562,0
move,-0.4135704629478454,0.0,-22.512222,54.148804,2,true,,,,,1464524416601,39
serverInfo,,,,,,,,,307,19.95609658750748,1464524416601,0
move,-0.8874234277700808,0.0,-1.8929882,-4.8507767,2,true,,,,,1464524416601,0
serverInfo,,,,,,,,,307,19.95609658750748,1464524416601,0
move,-0.44222129139825483,0.0,-0.35493565,-3.6676636,2,true,,,,,1464524416650,49
serverInfo,,,,,,,,,307,19.95609658750748,1464524416650,0
animation,,,,,,,,,,,1464524416705,55
attack,,,,,,,,,,,1464524416705,0
attackInfo,,,,,,,0.8330923117391613,2.404460551894329,,,1464524416705,0
serverInfo,,,,,,,,,307,19.940179461615156,1464524416705,0
move,-0.42277014485563313,0.0,19.891989,-98.13272,2,true,,,,,1464524416707,2
serverInfo,,,,,,,,,307,19.932230416583614,1464524416707,0
move,-0.34601532137399005,0.0,-20.246925,97.06792,2,true,,,,,1464524416756,49
serverInfo,,,,,,,,,307,19.932230416583614,1464524416756,0
move,-0.7023757191727462,0.0,-0.23662376,-2.8394775,2,true,,,,,1464524416798,42
serverInfo,,,,,,,,,307,19.968051118210862,1464524416798,0
move,-0.38217910087412044,0.0,-0.9464941,-1.7746735,2,true,,,,,1464524416851,53
serverInfo,,,,,,,,,307,19.952114924181966,1464524416851,0
animation,,,,,,,,,,,1464524416913,62
attack,,,,,,,,,,,1464524416913,0
attackInfo,,,,,,,0.6715668305156872,5.183907938385733,,,1464524416913,0
serverInfo,,,,,,,,,307,19.908421262193908,1464524416913,0
move,-0.3161884210962782,0.0,14.060757,-29.25019,2,true,,,,,1464524416957,44
serverInfo,,,,,,,,,307,19.928258270227182,1464524416957,0
move,-0.2048738533376504,0.0,-16.072056,12.568237,2,true,,,,,1464524416957,0
serverInfo,,,,,,,,,307,19.928258270227182,1464524416957,0
move,-0.34122582023761616,0.0,0.7098708,-10.884682,2,true,,,,,1464524417006,49
serverInfo,,,,,,,,,307,19.93620414673046,1464524417006,0
animation,,,,,,,,,,,1464524417022,16
attack,,,,,,,,,,,1464524417022,0
attackInfo,,,,,,,0.8273475206320444,5.836737527263489,,,1464524417022,0
serverInfo,,,,,,,,,307,19.87281399046105,1464524417022,0
move,-0.096546686721668,0.0,15.22962,-42.179897,2,true,,,,,1464524417047,25
serverInfo,,,,,,,,,307,19.968051118210862,1464524417047,0
move,0.011465256393403678,0.0,-14.51975,27.982487,2,true,,,,,1464524417105,58
serverInfo,,,,,,,,,307,19.940179461615156,1464524417105,0
move,0.10893020337856818,0.0,1.064806,-9.464935,2,true,,,,,1464524417151,46
serverInfo,,,,,,,,,307,19.952114924181966,1464524417151,0
animation,,,,,,,,,,,1464524417177,26
attack,,,,,,,,,,,1464524417177,0
attackInfo,,,,,,,0.9883353542763755,1.5128308929481615,,,1464524417177,0
serverInfo,,,,,,,,,307,19.84914648670107,1464524417177,0
move,0.4304105764383639,0.0,-0.73701,-79.23799,2,true,,,,,1464524417204,27
serverInfo,,,,,,,,,307,19.94415636218588,1464524417204,0
move,0.3939425328138153,0.0,1.801816,35.22602,2,true,,,,,1464524417253,49
serverInfo,,,,,,,,,307,19.94415636218588,1464524417253,0
move,0.4674165894587716,0.0,0.59155846,-13.487539,2,true,,,,,1464524417308,55
serverInfo,,,,,,,,,307,19.928258270227182,1464524417308,0
move,0.4032231281203078,0.0,-0.5915594,-10.056499,2,true,,,,,1464524417358,50
serverInfo,,,,,,,,,307,19.924287706714484,1464524417358,0
animation,,,,,,,,,,,1464524417373,15
attack,,,,,,,,,,,1464524417373,0
attackInfo,,,,,,,0.9494977909039123,4.563008954806861,,,1464524417373,0
serverInfo,,,,,,,,,307,19.86491855383393,1464524417373,0
move,0.8665720112562774,0.0,13.650965,-2.5445185,2,true,,,,,1464524417409,36
serverInfo,,,,,,,,,294,19.9203187250996,1464524417409,0
move,0.49606826134699666,0.0,-14.124212,1.5980244,2,true,,,,,1464524417409,0
serverInfo,,,,,,,,,294,19.9203187250996,1464524417409,0
move,0.5104966567056124,0.0,0.0,0.23662353,2,true,,,,,1464524417457,48
serverInfo,,,,,,,,,294,19.928258270227182,1464524417457,0
move,0.50962952497337,0.0,-0.47324657,1.6563644,2,true,,,,,1464524417502,45
serverInfo,,,,,,,,,294,19.952114924181966,1464524417502,0
animation,,,,,,,,,,,1464524417534,32
attack,,,,,,,,,,,1464524417534,0
attackInfo,,,,,,,0.2875295066195293,3.922264216022202,,,1464524417534,0
serverInfo,,,,,,,,,294,19.825535289452816,1464524417534,0
move,1.101760621148017,0.0,8.497575,71.67982,2,true,,,,,1464524417559,25
serverInfo,,,,,,,,,294,19.9203187250996,1464524417559,0
move,0.6473053127077453,0.0,-12.520174,-47.189285,2,true,,,,,1464524417607,48
serverInfo,,,,,,,,,294,19.928258270227182,1464524417607,0
move,0.5847086979158451,0.0,0.23662329,22.715855,2,true,,,,,1464524417658,51
serverInfo,,,,,,,,,294,19.924287706714484,1464524417658,0
move,0.40346563550319026,0.0,1.5380526,20.467937,2,true,,,,,1464524417707,49
serverInfo,,,,,,,,,294,19.932230416583614,1464524417707,0
animation,,,,,,,,,,,1464524417729,22
attack,,,,,,,,,,,1464524417729,0
attackInfo,,,,,,,-0.3045512935676587,0.7293748334874094,,,1464524417729,0
serverInfo,,,,,,,,,294,19.845207382417147,1464524417729,0
move,0.8502171860966374,0.0,57.55909,-154.4635,2,true,,,,,1464524417758,29
serverInfo,,,,,,,,,294,19.924287706714484,1464524417758,0
move,0.49074045609977723,0.0,-60.753506,178.95403,2,true,,,,,1464524417809,51
serverInfo,,,,,,,,,294,19.924287706714484,1464524417809,0
move,0.4884431949172843,0.0,-0.23662329,0.8281784,2,true,,,,,1464524417854,45
serverInfo,,,,,,,,,294,19.940179461615156,1464524417854,0
move,0.40549424998770967,0.0,0.11831164,0.9464874,2,true,,,,,1464524417910,56
serverInfo,,,,,,,,,294,19.9203187250996,1464524417910,0
animation,,,,,,,,,,,1464524417925,15
move,0.9442513404448025,0.0,-0.47324705,12.777672,2,true,,,,,1464524417958,33
serverInfo,,,,,,,,,294,19.924287706714484,1464524417958,0
animation,,,,,,,,,,,1464524417959,1
attack,,,,,,,,,,,1464524417959,0
attackInfo,,,,,,,-0.4348575532072803,2.483490791349429,,,1464524417959,0
serverInfo,,,,,,,,,294,19.9203187250996,1464524417959,0
move,0.5398986605074718,0.0,21.39416,124.88037,2,true,,,,,1464524418007,48
serverInfo,,,,,,,,,294,19.932230416583614,1464524418007,0
move,0.5329361826749377,0.0,-22.932213,-99.67996,2,true,,,,,1464524418008,1
serverInfo,,,,,,,,,294,19.928258270227182,1464524418008,0
move,0.2624155598120925,0.0,0.11831176,4.614151,2,true,,,,,1464524418108,100
serverInfo,,,,,,,,,294,19.928258270227182,1464524418108,0
move,0.42443976364561564,0.0,-0.59155875,4.8507843,2,true,,,,,1464524418108,0
serverInfo,,,,,,,,,294,19.928258270227182,1464524418108,0
animation,,,,,,,,,,,1464524418154,46
attack,,,,,,,,,,,1464524418154,0
attackInfo,,,,,,,0.9970261528004799,3.7126175534566896,,,1464524418154,0
serverInfo,,,,,,,,,294,19.940179461615156,1464524418154,0
move,-0.04536722547320515,0.0,22.44164,12.827301,2,true,,,,,1464524418157,3
serverInfo,,,,,,,,,294,19.928258270227182,1464524418157,0
animation,,,,,,,,,,,1464524418194,37
attack,,,,,,,,,,,1464524418194,0
attackInfo,,,,,,,0.880577581564296,3.4271830122477747,,,1464524418194,0
serverInfo,,,,,,,,,294,19.984012789768187,1464524418194,0
