# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.40304440138473296,-0.37663049823865435,-6.7597504,4.0818787,0,false,,,,,1464524551901,???
serverInfo,,,,,,,,,277,19.817677368212443,1464524551901,0
move,0.40345264159415706,-0.1040803780930446,-4.0402865,4.2631836,0,true,,,,,1464524551950,49
serverInfo,,,,,,,,,277,19.821605550049554,1464524551950,0
move,0.36714191443162747,0.0,-2.4360461,3.9939423,0,true,,,,,1464524552002,52
serverInfo,,,,,,,,,277,19.813750743015653,1464524552002,0
move,0.20045950856356853,0.0,-1.8108644,2.2416687,0,true,,,,,1464524552054,52
serverInfo,,,,,,,,,277,19.805902158843335,1464524552054,0
move,0.16703955217195698,0.0,24.080303,60.7321,0,true,,,,,1464524552095,41
serverInfo,,,,,,,,,277,19.841269841269842,1464524552095,0
move,0.2295291408403699,0.0,-0.91189766,0.45594788,0,true,,,,,1464524552152,57
serverInfo,,,,,,,,,277,19.813750743015653,1464524552152,0
move,0.12532292545542134,0.0,-2.5837116,3.1156464,0,true,,,,,1464524552202,50
serverInfo,,,,,,,,,277,19.813750743015653,1464524552202,0
move,0.1550138896239872,0.0,-2.735695,9.042999,0,true,,,,,1464524552203,1
serverInfo,,,,,,,,,277,19.80982567353407,1464524552203,0
move,0.1291404777151257,0.0,-3.0396624,10.942795,0,true,,,,,1464524552304,101
serverInfo,,,,,,,,,277,19.805902158843335,1464524552304,0
move,-0.049873548080867636,0.0,-4.4835033,13.906448,0,true,,,,,1464524552355,51
serverInfo,,,,,,,,,277,19.801980198019802,1464524552355,0
move,-0.16050808281208617,0.0,-1.2918577,7.1432037,0,true,,,,,1464524552404,49
serverInfo,,,,,,,,,277,19.805902158843335,1464524552404,0
move,-0.2323004834786957,0.0,-0.6839247,5.6993713,0,true,,,,,1464524552452,48
serverInfo,,,,,,,,,277,19.813750743015653,1464524552452,0
move,-0.07205314683130837,0.0,-1.0638828,9.119003,0,true,,,,,1464524552452,0
serverInfo,,,,,,,,,277,19.813750743015653,1464524552452,0
move,0.0220474400424564,0.0,-0.37995815,1.9757843,0,true,,,,,1464524552502,50
serverInfo,,,,,,,,,265,19.813750743015653,1464524552502,0
