# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.1232791086848124,0.0,-4.1313114,-7.376816,2,true,,,,,1464519501147,???
serverInfo,,,,,,,,,137,19.952114924181966,1464519501147,0
move,0.2192039744808767,0.0,-4.144368,-11.420151,2,true,,,,,1464519501245,98
serverInfo,,,,,,,,,137,19.960079840319363,1464519501245,0
move,0.27497592427609163,0.0,1.997817,-11.457733,2,true,,,,,1464519501297,52
serverInfo,,,,,,,,,137,19.952114924181966,1464519501297,0
move,0.30542741240130056,0.0,1.8456285,-10.180939,2,true,,,,,1464519501297,0
serverInfo,,,,,,,,,137,19.952114924181966,1464519501297,0
animation,,,,,,,,,,,1464519501335,38
attack,,,,,,,,,,,1464519501335,0
attackInfo,,,,,,,0.9764541192778041,1.184824226005938,,,1464519501335,0
serverInfo,,,,,,,,,137,19.801980198019802,1464519501335,0
move,0.32111205797741604,0.0,1.5194888,-8.260742,2,true,,,,,1464519501351,16
serverInfo,,,,,,,,,137,19.93620414673046,1464519501351,0
move,0.3128425073790595,0.0,2.077959,-5.960541,2,true,,,,,1464519501398,47
serverInfo,,,,,,,,,137,19.948134849391582,1464519501398,0
move,0.2684814589463116,0.0,3.3856242,-5.65889,2,true,,,,,1464519501451,53
serverInfo,,,,,,,,,137,19.93620414673046,1464519501451,0
animation,,,,,,,,,,,1464519501519,68
attack,,,,,,,,,,,1464519501519,0
attackInfo,,,,,,,0.9409170487824088,2.1124405759400062,,,1464519501519,0
serverInfo,,,,,,,,,137,19.86491855383393,1464519501519,0
move,0.22202720631688067,0.0,3.1478338,-6.021469,2,true,,,,,1464519501541,22
serverInfo,,,,,,,,,137,19.97602876548142,1464519501541,0
move,0.18727625082040333,0.0,0.72683334,-9.118088,2,true,,,,,1464519501541,0
serverInfo,,,,,,,,,137,19.97602876548142,1464519501541,0
move,0.15573994453200157,0.0,-2.1817627,-5.782669,2,true,,,,,1464519501642,101
serverInfo,,,,,,,,,137,19.972039145196725,1464519501642,0
move,0.13252225452858113,0.0,-3.8349955,-4.2726746,2,true,,,,,1464519501642,0
serverInfo,,,,,,,,,137,19.972039145196725,1464519501642,0
move,0.10463044446801462,0.0,-3.1176274,-3.757904,2,true,,,,,1464519501703,61
serverInfo,,,,,,,,,137,19.928258270227182,1464519501703,0
animation,,,,,,,,,,,1464519501722,19
attack,,,,,,,,,,,1464519501722,0
attackInfo,,,,,,,0.9947643200741398,3.0852272435835917,,,1464519501722,0
serverInfo,,,,,,,,,137,19.85308715505261,1464519501722,0
move,0.08017785208924977,0.0,-0.6036313,-3.9055786,2,true,,,,,1464519501742,20
serverInfo,,,,,,,,,137,19.972039145196725,1464519501742,0
move,-0.11500071693407676,0.0,-0.58266056,-4.060791,2,true,,,,,1464519501845,103
serverInfo,,,,,,,,,137,19.960079840319363,1464519501845,0
move,-0.23652637868374882,0.0,1.6307502,-5.0028687,2,true,,,,,1464519501898,53
serverInfo,,,,,,,,,137,19.948134849391582,1464519501898,0
animation,,,,,,,,,,,1464519501947,49
attack,,,,,,,,,,,1464519501947,0
attackInfo,,,,,,,0.9084380718324119,2.9526220932705,,,1464519501947,0
serverInfo,,,,,,,,,137,19.952114924181966,1464519501947,0
move,-0.23424869861730713,0.0,1.5743488,354.96112,2,true,,,,,1464519501953,6
serverInfo,,,,,,,,,137,19.928258270227182,1464519501953,0
move,-0.16721431273906262,0.0,1.793979,-6.235962,2,true,,,,,1464519501953,0
serverInfo,,,,,,,,,137,19.928258270227182,1464519501953,0
move,-0.10943935627082624,0.0,1.8314552,-6.2875977,2,true,,,,,1464519502000,47
serverInfo,,,,,,,,,137,19.940179461615156,1464519502000,0
move,-0.07157267695954772,0.0,0.7394166,-8.729355,2,true,,,,,1464519502047,47
serverInfo,,,,,,,,,137,19.952114924181966,1464519502047,0
move,-0.046935189288006995,0.0,0.66372967,-9.059143,2,true,,,,,1464519502093,46
serverInfo,,,,,,,,,137,19.968051118210862,1464519502093,0
move,-0.021602706759068724,0.0,0.21805573,-10.570328,2,true,,,,,1464519502145,52
serverInfo,,,,,,,,,137,19.960079840319363,1464519502145,0
animation,,,,,,,,,,,1464519502186,41
attack,,,,,,,,,,,1464519502186,0
attackInfo,,,,,,,0.948020704716083,3.364430667358134,,,1464519502186,0
serverInfo,,,,,,,,,137,19.99600079984003,1464519502186,0
move,0.013570943922388778,0.0,0.054873466,-10.362061,2,true,,,,,1464519502190,4
serverInfo,,,,,,,,,137,19.980019980019982,1464519502190,0
move,0.056106343593583574,0.0,-1.5211282,-6.2006226,2,true,,,,,1464519502240,50
serverInfo,,,,,,,,,135,19.980019980019982,1464519502240,0
move,0.0945393919472366,0.0,-2.2382896,-5.6583176,2,true,,,,,1464519502341,101
serverInfo,,,,,,,,,135,19.97602876548142,1464519502341,0
move,0.1693626468752143,0.0,-2.1164508,-5.3686676,2,true,,,,,1464519502390,49
serverInfo,,,,,,,,,135,19.980019980019982,1464519502390,0
animation,,,,,,,,,,,1464519502394,4
attack,,,,,,,,,,,1464519502394,0
