# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,-0.27601181960002563,0.0,-31.259243,67.18234,3,false,,,,,1464519748014,???
serverInfo,,,,,,,,,251,19.95609658750748,1464519748014,0
animation,,,,,,,,,,,1464519748039,25
attack,,,,,,,,,,,1464519748039,0
attackInfo,,,,,,,-0.9089292052469397,1.6258539793045788,,,1464519748039,0
serverInfo,,,,,,,,,251,19.857029388403497,1464519748039,0
animation,,,,,,,,,,,1464519748039,0
attack,,,,,,,,,,,1464519748039,0
attackInfo,,,,,,,0.7470422886036898,6.5132030541584855,,,1464519748039,0
serverInfo,,,,,,,,,251,19.857029388403497,1464519748039,0
animation,,,,,,,,,,,1464519748039,0
attack,,,,,,,,,,,1464519748039,0
attackInfo,,,,,,,0.8327137452886573,2.8911694149567215,,,1464519748039,0
serverInfo,,,,,,,,,251,19.857029388403497,1464519748039,0
move,-0.3952075225295495,0.0,-1.8464737,15.813202,3,false,,,,,1464519748068,29
serverInfo,,,,,,,,,251,19.93620414673046,1464519748068,0
animation,,,,,,,,,,,1464519748068,0
attack,,,,,,,,,,,1464519748068,0
attackInfo,,,,,,,-0.7192861440174714,2.0832211025739413,,,1464519748068,0
serverInfo,,,,,,,,,251,19.93620414673046,1464519748068,0
animation,,,,,,,,,,,1464519748068,0
attack,,,,,,,,,,,1464519748068,0
attackInfo,,,,,,,0.5704660264263045,6.465411108396967,,,1464519748068,0
serverInfo,,,,,,,,,251,19.93620414673046,1464519748068,0
animation,,,,,,,,,,,1464519748068,0
attack,,,,,,,,,,,1464519748068,0
attackInfo,,,,,,,0.8410766533510514,2.9512117625905865,,,1464519748068,0
serverInfo,,,,,,,,,251,19.93620414673046,1464519748068,0
animation,,,,,,,,,,,1464519748118,50
attack,,,,,,,,,,,1464519748118,0
attackInfo,,,,,,,-0.6304125503739111,2.286080169183381,,,1464519748118,0
serverInfo,,,,,,,,,251,19.940179461615156,1464519748118,0
animation,,,,,,,,,,,1464519748118,0
attack,,,,,,,,,,,1464519748118,0
attackInfo,,,,,,,0.5877217828468104,7.1586573944393725,,,1464519748118,0
serverInfo,,,,,,,,,251,19.940179461615156,1464519748118,0
animation,,,,,,,,,,,1464519748118,0
attack,,,,,,,,,,,1464519748118,0
attackInfo,,,,,,,0.816692780190393,3.1243200605471,,,1464519748118,0
serverInfo,,,,,,,,,251,19.940179461615156,1464519748118,0
jump,,,,,,,,,,,1464519748120,2
move,-0.37316780136130134,0.0,-1.8839645,11.069031,3,false,,,,,1464519748120,0
serverInfo,,,,,,,,,251,19.932230416583614,1464519748120,0
move,-0.3449965543476239,0.0,1.1876793,-1.0923157,3,false,,,,,1464519748120,0
serverInfo,,,,,,,,,251,19.932230416583614,1464519748120,0
animation,,,,,,,,,,,1464519748168,48
attack,,,,,,,,,,,1464519748168,0
attackInfo,,,,,,,-0.49954128286361604,3.0634650159316905,,,1464519748168,0
serverInfo,,,,,,,,,251,19.93620414673046,1464519748168,0
animation,,,,,,,,,,,1464519748168,0
attack,,,,,,,,,,,1464519748168,0
attackInfo,,,,,,,0.46745464720219687,6.306600676219367,,,1464519748168,0
serverInfo,,,,,,,,,251,19.93620414673046,1464519748168,0
animation,,,,,,,,,,,1464519748168,0
attack,,,,,,,,,,,1464519748168,0
attackInfo,,,,,,,0.7464588588975295,3.3024776106497664,,,1464519748168,0
serverInfo,,,,,,,,,251,19.93620414673046,1464519748168,0
jump,,,,,,,,,,,1464519748216,48
move,-0.3296150516915546,0.0,1.5803528,-2.64859,3,false,,,,,1464519748216,0
serverInfo,,,,,,,,,251,19.948134849391582,1464519748216,0
animation,,,,,,,,,,,1464519748248,32
attack,,,,,,,,,,,1464519748248,0
attackInfo,,,,,,,-0.5261866257280203,3.496960978738337,,,1464519748248,0
serverInfo,,,,,,,,,251,19.821605550049554,1464519748248,0
animation,,,,,,,,,,,1464519748248,0
attack,,,,,,,,,,,1464519748248,0
attackInfo,,,,,,,0.5131840104282464,6.229835151897127,,,1464519748248,0
serverInfo,,,,,,,,,251,19.821605550049554,1464519748248,0
animation,,,,,,,,,,,1464519748248,0
attack,,,,,,,,,,,1464519748248,0
attackInfo,,,,,,,0.7212480270766138,3.7051518656296554,,,1464519748248,0
serverInfo,,,,,,,,,251,19.821605550049554,1464519748248,0
move,-0.36755851134242334,0.0,2.0151253,-3.3263245,3,false,,,,,1464519748263,15
serverInfo,,,,,,,,,251,19.95609658750748,1464519748263,0
animation,,,,,,,,,,,1464519748278,15
attack,,,,,,,,,,,1464519748278,0
attackInfo,,,,,,,-0.5471402340198875,3.8523667801246804,,,1464519748278,0
