# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464521520209,???
attack,,,,,,,,,,,1464521520209,0
attackInfo,,,,,,,0.9880360674934784,6.267057140582878,,,1464521520209,0
serverInfo,,,,,,,,,145,19.9203187250996,1464521520209,0
move,-0.11207218512757322,0.0,0.68875694,-0.2692871,2,true,,,,,1464521520209,0
serverInfo,,,,,,,,,145,19.9203187250996,1464521520209,0
move,-0.1377379103795846,0.0,0.560585,-0.74334717,2,true,,,,,1464521520209,0
serverInfo,,,,,,,,,145,19.9203187250996,1464521520209,0
move,-0.3063431052796943,0.0,0.44694138,-0.9985962,2,true,,,,,1464521520209,0
serverInfo,,,,,,,,,145,19.9203187250996,1464521520209,0
move,-0.18431844698902466,0.0,1.3840876,-1.5189819,2,true,,,,,1464521520306,97
serverInfo,,,,,,,,,145,19.932230416583614,1464521520306,0
move,-0.19604738136406752,0.0,-0.13202,-2.0447388,2,true,,,,,1464521520352,46
serverInfo,,,,,,,,,145,19.948134849391582,1464521520352,0
animation,,,,,,,,,,,1464521520439,87
attack,,,,,,,,,,,1464521520439,0
attackInfo,,,,,,,0.9315885537856852,6.899884589763665,,,1464521520439,0
serverInfo,,,,,,,,,145,20.0,1464521520439,0
animation,,,,,,,,,,,1464521520440,1
attack,,,,,,,,,,,1464521520440,0
attackInfo,,,,,,,0.9315885537856852,6.899884589763665,,,1464521520440,0
serverInfo,,,,,,,,,145,19.99600079984003,1464521520440,0
move,-0.3451092413901762,0.0,1.4890785,-0.43188477,2,true,,,,,1464521520449,9
serverInfo,,,,,,,,,145,19.960079840319363,1464521520449,0
move,-0.7776896784163512,0.0,0.8149929,1.0773315,2,true,,,,,1464521520449,0
serverInfo,,,,,,,,,145,19.960079840319363,1464521520449,0
move,-0.42205610596613496,0.0,0.8732624,4.2495117,2,true,,,,,1464521520449,0
serverInfo,,,,,,,,,145,19.960079840319363,1464521520449,0
move,-0.3440390851960302,0.0,-0.35869312,4.8771973,2,true,,,,,1464521520552,103
serverInfo,,,,,,,,,145,19.948134849391582,1464521520552,0
animation,,,,,,,,,,,1464521520572,20
move,-0.02885166367921954,0.0,-1.2157507,5.606201,2,true,,,,,1464521520605,33
serverInfo,,,,,,,,,145,19.940179461615156,1464521520605,0
animation,,,,,,,,,,,1464521520617,12
attack,,,,,,,,,,,1464521520617,0
attackInfo,,,,,,,0.9552663914741413,6.58082940224598,,,1464521520617,0
serverInfo,,,,,,,,,145,19.89258006763477,1464521520617,0
move,0.12795488004351796,0.0,-2.416298,4.752075,2,true,,,,,1464521520654,37
serverInfo,,,,,,,,,145,19.940179461615156,1464521520654,0
move,0.22469221731695654,0.0,-2.70965,0.13787842,2,true,,,,,1464521520654,0
serverInfo,,,,,,,,,145,19.940179461615156,1464521520654,0
move,0.29303111580098573,0.0,-3.5421367,-1.5991821,2,true,,,,,1464521520754,100
serverInfo,,,,,,,,,145,19.940179461615156,1464521520754,0
move,0.3209796953183428,0.0,-2.9880097,-2.7248535,2,true,,,,,1464521520754,0
serverInfo,,,,,,,,,145,19.940179461615156,1464521520754,0
move,0.6271504922722357,0.0,-8.730834,-15.520447,2,true,,,,,1464521520855,101
serverInfo,,,,,,,,,145,19.93620414673046,1464521520855,0
move,0.2771119402653568,0.0,-2.467495,-14.970337,2,true,,,,,1464521520904,49
serverInfo,,,,,,,,,145,19.940179461615156,1464521520904,0
animation,,,,,,,,,,,1464521520909,5
move,0.18212416978130364,0.0,1.0084019,-1.3470459,2,true,,,,,1464521520953,44
serverInfo,,,,,,,,,145,19.94415636218588,1464521520953,0
move,0.12847167354955502,0.0,1.839396,-0.4013672,2,true,,,,,1464521520953,0
serverInfo,,,,,,,,,145,19.94415636218588,1464521520953,0
move,0.23510005169890746,0.0,2.0926247,-0.98132324,2,true,,,,,1464521521053,100
serverInfo,,,,,,,,,145,19.94415636218588,1464521521053,0
move,0.09952948625380031,0.0,2.948238,-3.393921,2,true,,,,,1464521521107,54
serverInfo,,,,,,,,,145,19.928258270227182,1464521521107,0
move,0.05150535847123194,0.0,2.8945522,-2.7348022,2,true,,,,,1464521521107,0
serverInfo,,,,,,,,,145,19.928258270227182,1464521521107,0
animation,,,,,,,,,,,1464521521142,35
move,0.01633061033673755,0.0,1.3483552,-1.9905396,2,true,,,,,1464521521207,65
serverInfo,,,,,,,,,145,19.928258270227182,1464521521207,0
move,0.003093383199228583,0.0,3.312231,-2.6486816,2,true,,,,,1464521521253,46
serverInfo,,,,,,,,,145,19.94415636218588,1464521521253,0
move,-0.04580549788827426,0.0,3.1828432,-5.246277,2,true,,,,,1464521521303,50
serverInfo,,,,,,,,,145,19.94415636218588,1464521521303,0
animation,,,,,,,,,,,1464521521308,5
move,-0.08048828819043763,0.0,-0.55793667,-1.9283447,2,true,,,,,1464521521354,46
serverInfo,,,,,,,,,145,19.940179461615156,1464521521354,0
animation,,,,,,,,,,,1464521521369,15
attack,,,,,,,,,,,1464521521369,0
attackInfo,,,,,,,0.9747861329167942,4.808001044316036,,,1464521521369,0
serverInfo,,,,,,,,,145,19.880715705765407,1464521521369,0
move,-0.10682156092504869,0.0,-0.26931286,-1.6929321,2,true,,,,,1464521521406,37
serverInfo,,,,,,,,,145,19.932230416583614,1464521521406,0
animation,,,,,,,,,,,1464521521550,144
attack,,,,,,,,,,,1464521521550,0
attackInfo,,,,,,,0.957608957842905,4.66364766629486,,,1464521521550,0
serverInfo,,,,,,,,,145,19.95609658750748,1464521521550,0
move,-0.24630546164335954,0.0,0.1673603,-1.949707,2,true,,,,,1464521521554,4
serverInfo,,,,,,,,,145,19.940179461615156,1464521521554,0
move,-0.1831264012706555,0.0,0.71065426,-4.079712,2,true,,,,,1464521521554,0
serverInfo,,,,,,,,,145,19.940179461615156,1464521521554,0
move,-0.21990139822780463,0.0,1.6253414,-7.5983887,2,true,,,,,1464521521554,0
serverInfo,,,,,,,,,145,19.940179461615156,1464521521554,0
move,-0.27241843594146076,0.0,3.4543495,-8.527588,2,true,,,,,1464521521554,0
serverInfo,,,,,,,,,145,19.940179461615156,1464521521554,0
move,-0.4111815712160336,0.0,3.1747332,-2.4312744,2,true,,,,,1464521521650,96
serverInfo,,,,,,,,,145,19.95609658750748,1464521521650,0
animation,,,,,,,,,,,1464521521671,21
attack,,,,,,,,,,,1464521521671,0
attackInfo,,,,,,,0.7944675234808689,2.606193342437554,,,1464521521671,0
serverInfo,,,,,,,,,145,19.87281399046105,1464521521671,0
animation,,,,,,,,,,,1464521521709,38
attack,,,,,,,,,,,1464521521709,0
attackInfo,,,,,,,0.7408927102384004,2.6664068403365007,,,1464521521709,0
serverInfo,,,,,,,,,145,19.924287706714484,1464521521709,0
move,0.13662557910826933,0.0,2.2216854,-3.6935425,2,true,,,,,1464521521714,5
serverInfo,,,,,,,,,145,19.904458598726116,1464521521714,0
move,0.07412571215250807,0.0,0.5209427,-2.1616821,2,true,,,,,1464521521715,1
serverInfo,,,,,,,,,145,19.90049751243781,1464521521715,0
move,0.05483561945848692,0.41999998688697815,-2.092434,-1.8554688,2,true,,,,,1464521521807,92
serverInfo,,,,,,,,,145,19.932230416583614,1464521521807,0
jump,,,,,,,,,,,1464521521807,0
animation,,,,,,,,,,,1464521521850,43
attack,,,,,,,,,,,1464521521850,0
attackInfo,,,,,,,0.8037493601109413,2.6845983147116903,,,1464521521850,0
serverInfo,,,,,,,,,145,19.95609658750748,1464521521850,0
move,0.008551262409788762,0.33319999363422426,0.33659935,0.14660645,2,false,,,,,1464521521854,4
serverInfo,,,,,,,,,145,19.940179461615156,1464521521854,0
move,-0.013391235499419452,0.24813599859093927,3.4813023,-1.7033081,2,false,,,,,1464521521953,99
serverInfo,,,,,,,,,145,19.94415636218588,1464521521953,0
move,-0.032850326461982604,0.1647732818260721,1.6225872,0.3287964,2,false,,,,,1464521522005,52
serverInfo,,,,,,,,,145,19.940179461615156,1464521522005,0
animation,,,,,,,,,,,1464521522064,59
attack,,,,,,,,,,,1464521522064,0
attackInfo,,,,,,,0.9817713752984695,2.1482082592934204,,,1464521522064,0
serverInfo,,,,,,,,,145,19.90049751243781,1464521522064,0
animation,,,,,,,,,,,1464521522064,0
attack,,,,,,,,,,,1464521522064,0
attackInfo,,,,,,,0.9817713752984695,2.1482082592934204,,,1464521522064,0
serverInfo,,,,,,,,,145,19.90049751243781,1464521522064,0
move,-0.05945824078378337,0.08307781780646906,0.019472122,2.1317139,2,false,,,,,1464521522108,44
serverInfo,,,,,,,,,163,19.928258270227182,1464521522108,0
move,-0.0777421283760873,0.0,-0.8050766,3.7479858,2,false,,,,,1464521522108,0
serverInfo,,,,,,,,,163,19.928258270227182,1464521522108,0
move,-0.09550541521059586,-0.07840000152587834,-0.9397831,-0.7887573,2,false,,,,,1464521522157,49
serverInfo,,,,,,,,,163,19.928258270227182,1464521522157,0
animation,,,,,,,,,,,1464521522162,5
attack,,,,,,,,,,,1464521522162,0
attackInfo,,,,,,,0.9156864660352203,2.1099032245766915,,,1464521522162,0
serverInfo,,,,,,,,,163,19.908421262193908,1464521522162,0
move,-0.11200902628388576,-0.15523200451660557,-2.983963,-2.1080933,2,false,,,,,1464521522201,39
serverInfo,,,,,,,,,163,19.95609658750748,1464521522201,0
move,-0.12446760940053991,-0.015555072702198913,-3.0922089,-3.6437378,2,false,,,,,1464521522253,52
serverInfo,,,,,,,,,163,19.94415636218588,1464521522253,0
move,-0.2714156790020752,0.0,-1.689455,-3.5048828,2,true,,,,,1464521522254,1
serverInfo,,,,,,,,,163,19.940179461615156,1464521522254,0
animation,,,,,,,,,,,1464521522314,60
attack,,,,,,,,,,,1464521522314,0
attackInfo,,,,,,,0.9224998778999485,2.4979837566155765,,,1464521522314,0
serverInfo,,,,,,,,,163,19.904458598726116,1464521522314,0
animation,,,,,,,,,,,1464521522314,0
attack,,,,,,,,,,,1464521522314,0
attackInfo,,,,,,,0.9224998778999485,2.4979837566155765,,,1464521522314,0
serverInfo,,,,,,,,,163,19.904458598726116,1464521522314,0
move,-0.2610458642673308,0.0,-0.12516403,-3.4179077,2,true,,,,,1464521522355,41
serverInfo,,,,,,,,,163,19.93620414673046,1464521522355,0
move,-0.26909585173399364,0.0,0.49114132,-5.299988,2,true,,,,,1464521522355,0
serverInfo,,,,,,,,,163,19.93620414673046,1464521522355,0
move,-0.4230505860721223,0.0,8.488181,-33.400146,2,true,,,,,1464521522449,94
serverInfo,,,,,,,,,163,19.960079840319363,1464521522449,0
animation,,,,,,,,,,,1464521522463,14
move,-0.2379768768159778,0.0,5.112261,-18.027893,2,true,,,,,1464521522500,37
serverInfo,,,,,,,,,163,19.960079840319363,1464521522500,0
