# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.8897713173930981,-0.24809769002307291,-3.0535965,-11.149147,2,false,,,,,1464521573778,???
serverInfo,,,,,,,,,301,19.94415636218588,1464521573778,0
move,0.8784757455531285,-0.32153574248057737,-4.855541,-11.130646,2,false,,,,,1464521573832,54
serverInfo,,,,,,,,,301,19.924287706714484,1464521573832,0
animation,,,,,,,,,,,1464521573835,3
attack,,,,,,,,,,,1464521573835,0
attackInfo,,,,,,,-0.2642116837561189,2.9405532598161903,,,1464521573835,0
serverInfo,,,,,,,,,301,19.91238550378335,1464521573835,0
move,1.0282738950549906,-0.382090551518786,-5.384573,-10.960011,2,false,,,,,1464521573881,46
serverInfo,,,,,,,,,301,19.932230416583614,1464521573881,0
move,1.7418450505355096,0.4000000000000057,10.275364,-22.92414,2,true,,,,,1464521573932,51
serverInfo,,,,,,,,,301,19.924287706714484,1464521573932,0
jump,,,,,,,,,,,1464521573932,0
animation,,,,,,,,,,,1464521573942,10
attack,,,,,,,,,,,1464521573942,0
attackInfo,,,,,,,0.04476014320997679,5.673154121264106,,,1464521573942,0
serverInfo,,,,,,,,,301,19.884668920262477,1464521573942,0
move,1.0595382113514589,0.31360000610351335,11.83942,-12.144329,2,false,,,,,1464521573982,40
serverInfo,,,,,,,,,301,19.928258270227182,1464521573982,0
move,1.1135567241875144,0.22892801043701638,14.6828785,-16.687698,2,false,,,,,1464521574034,52
serverInfo,,,,,,,,,301,19.916351324437365,1464521574034,0
animation,,,,,,,,,,,1464521574071,37
attack,,,,,,,,,,,1464521574071,0
attackInfo,,,,,,,0.26856207418733846,7.024530778130645,,,1464521574071,0
serverInfo,,,,,,,,,301,19.972039145196725,1464521574071,0
move,1.112045482818509,0.14594945306885165,14.2979965,-31.189697,2,false,,,,,1464521574078,7
serverInfo,,,,,,,,,301,19.94415636218588,1464521574078,0
move,1.1009945530396408,0.06463046526535265,-15.7756,-54.86084,2,false,,,,,1464521574128,50
serverInfo,,,,,,,,,301,19.940179461615156,1464521574128,0
move,1.0827042145404207,-0.015062144333100491,-13.91271,-14.001434,2,false,,,,,1464521574177,49
serverInfo,,,,,,,,,301,19.948134849391582,1464521574177,0
move,0.8759074060921037,-0.18632180651920294,-0.906023,59.84716,2,false,,,,,1464521574234,57
serverInfo,,,,,,,,,301,19.9203187250996,1464521574234,0
move,0.2653394618948077,-0.24809769002307291,1.9499989,-39.15,2,false,,,,,1464521574284,50
serverInfo,,,,,,,,,301,19.9203187250996,1464521574284,0
move,-0.34860577639020107,-0.32153574248057737,-1.199997,-32.999985,2,false,,,,,1464521574329,45
serverInfo,,,,,,,,,301,19.940179461615156,1464521574329,0
move,-0.5665435079017875,-0.382090551518786,-2.8500023,-13.050018,2,false,,,,,1464521574380,51
serverInfo,,,,,,,,,301,19.93620414673046,1464521574380,0
animation,,,,,,,,,,,1464521574393,13
attack,,,,,,,,,,,1464521574393,0
attackInfo,,,,,,,0.7983740904691866,8.543820483061747,,,1464521574393,0
serverInfo,,,,,,,,,301,19.884668920262477,1464521574393,0
move,-1.4809262790877469,0.4000000000000057,-17.19469,6.485382,2,true,,,,,1464521574431,38
serverInfo,,,,,,,,,301,19.932230416583614,1464521574431,0
jump,,,,,,,,,,,1464521574431,0
move,-0.817854083997446,0.31360000610351335,3.7460942,-0.3665924,2,false,,,,,1464521574478,47
serverInfo,,,,,,,,,298,19.94415636218588,1464521574478,0
animation,,,,,,,,,,,1464521574505,27
attack,,,,,,,,,,,1464521574505,0
attackInfo,,,,,,,0.9112172973872665,6.766806398932521,,,1464521574505,0
serverInfo,,,,,,,,,298,19.8373338623289,1464521574505,0
move,-0.6628439745350043,0.22892801043701638,5.577155,0.5825348,2,false,,,,,1464521574532,27
serverInfo,,,,,,,,,298,19.928258270227182,1464521574532,0
move,-0.48801557770228854,0.14594945306885165,5.9810486,4.252014,2,false,,,,,1464521574584,52
serverInfo,,,,,,,,,298,19.9203187250996,1464521574584,0
move,-0.4524049698309618,0.06463046526535265,9.938135,6.276474,2,false,,,,,1464521574628,44
serverInfo,,,,,,,,,298,19.94415636218588,1464521574628,0
animation,,,,,,,,,,,1464521574637,9
attack,,,,,,,,,,,1464521574637,0
attackInfo,,,,,,,0.82629771416516,5.418525150903577,,,1464521574637,0
serverInfo,,,,,,,,,298,19.908421262193908,1464521574637,0
move,-0.48456989939445805,-0.015062144333100491,11.677933,10.588486,2,false,,,,,1464521574681,44
serverInfo,,,,,,,,,298,19.932230416583614,1464521574681,0
move,-0.4494271755404249,-0.18632180651920294,7.586891,24.219666,2,false,,,,,1464521574727,46
serverInfo,,,,,,,,,298,19.948134849391582,1464521574727,0
move,-0.221415175163159,-0.24809769002307291,-6.9274673,38.934753,2,false,,,,,1464521574782,55
serverInfo,,,,,,,,,298,19.928258270227182,1464521574782,0
animation,,,,,,,,,,,1464521574798,16
attack,,,,,,,,,,,1464521574798,0
attackInfo,,,,,,,0.7786703215012625,4.988758419758437,,,1464521574798,0
serverInfo,,,,,,,,,298,19.86491855383393,1464521574798,0
