# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.0,0.0,-16.963087,-109.78711,0,false,,,,,1464523997994,???
serverInfo,,,,,,,,,125,19.932230416583614,1464523997994,0
move,0.0,0.0,24.945179,267.2161,0,false,,,,,1464523997994,0
serverInfo,,,,,,,,,125,19.932230416583614,1464523997994,0
move,0.4684964741911788,0.04283951578891276,-100.73868,-401.8444,0,false,,,,,1464523997994,0
serverInfo,,,,,,,,,125,19.932230416583614,1464523997994,0
move,0.3993381062916095,-0.03641727523564953,60.050926,-41.615845,0,false,,,,,1464523998044,50
serverInfo,,,,,,,,,125,19.932230416583614,1464523998044,0
animation,,,,,,,,,,,1464523998061,17
move,0.3356489832418146,-0.11408893195141445,56.582943,6.2058716,0,false,,,,,1464523998089,28
serverInfo,,,,,,,,,125,19.952114924181966,1464523998089,0
move,0.29122649208419427,-0.190207157014342,7.483551,71.002464,0,false,,,,,1464523998138,49
serverInfo,,,,,,,,,125,19.95609658750748,1464523998138,0
move,0.28671407902227974,-0.26480301902785186,-54.57516,160.07497,0,false,,,,,1464523998192,54
serverInfo,,,,,,,,,125,19.940179461615156,1464523998192,0
animation,,,,,,,,,,,1464523998226,34
attack,,,,,,,,,,,1464523998226,0
attackInfo,,,,,,,0.6645254080010347,5.613213373618703,,,1464523998226,0
serverInfo,,,,,,,,,125,19.805902158843335,1464523998226,0
animation,,,,,,,,,,,1464523998226,0
attack,,,,,,,,,,,1464523998226,0
attackInfo,,,,,,,0.8107311356714424,6.270149571341653,,,1464523998226,0
serverInfo,,,,,,,,,125,19.805902158843335,1464523998226,0
animation,,,,,,,,,,,1464523998226,0
attack,,,,,,,,,,,1464523998227,1
attackInfo,,,,,,,-0.916578325456087,5.606922484625462,,,1464523998227,0
serverInfo,,,,,,,,,125,19.801980198019802,1464523998227,0
animation,,,,,,,,,,,1464523998227,0
move,0.0,0.0,16.80776,49.150032,0,false,,,,,1464523998244,17
serverInfo,,,,,,,,,125,19.932230416583614,1464523998244,0
move,0.0,0.0,-6.7761183,-88.58479,0,false,,,,,1464523998244,0
serverInfo,,,,,,,,,125,19.932230416583614,1464523998244,0
move,0.0,0.0,15.006907,211.38719,0,false,,,,,1464523998244,0
serverInfo,,,,,,,,,125,19.932230416583614,1464523998244,0
move,0.3114455767013098,0.11074999999999591,-50.044556,-147.67651,0,false,,,,,1464523998244,0
serverInfo,,,,,,,,,125,19.932230416583614,1464523998244,0
move,0.299995072217655,0.03013500058651175,-22.45065,-7.3010254,0,false,,,,,1464523998291,47
serverInfo,,,,,,,,,125,19.94415636218588,1464523998291,0
move,0.3009443454805787,-0.048867700376320045,-25.91864,-65.70922,0,false,,,,,1464523998339,48
serverInfo,,,,,,,,,125,19.952114924181966,1464523998339,0
move,0.25814772040946554,-0.12629034882675683,31.394405,-227.42691,0,false,,,,,1464523998390,51
serverInfo,,,,,,,,,125,19.948134849391582,1464523998390,0
move,0.26163188933179704,-0.20216454578489618,75.5656,-104.58719,0,false,,,,,1464523998441,51
serverInfo,,,,,,,,,132,19.94415636218588,1464523998441,0
animation,,,,,,,,,,,1464523998472,31
attack,,,,,,,,,,,1464523998472,0
attackInfo,,,,,,,0.18256659749216847,7.186023668171207,,,1464523998472,0
serverInfo,,,,,,,,,132,19.821605550049554,1464523998472,0
animation,,,,,,,,,,,1464523998472,0
attack,,,,,,,,,,,1464523998472,0
attackInfo,,,,,,,0.8167394583964787,7.4915513595919165,,,1464523998472,0
serverInfo,,,,,,,,,132,19.821605550049554,1464523998472,0
animation,,,,,,,,,,,1464523998472,0
attack,,,,,,,,,,,1464523998472,0
attackInfo,,,,,,,-0.8441549635661513,5.738009261884719,,,1464523998472,0
serverInfo,,,,,,,,,132,19.821605550049554,1464523998472,0
animation,,,,,,,,,,,1464523998472,0
animation,,,,,,,,,,,1464523998472,0
move,0.0,0.0,-20.909481,430.29956,0,false,,,,,1464523998495,23
serverInfo,,,,,,,,,132,19.928258270227182,1464523998495,0
move,0.0,0.0,-4.875227,-73.85232,0,false,,,,,1464523998495,0
serverInfo,,,,,,,,,132,19.928258270227182,1464523998495,0
move,0.0,0.0,10.741681,169.1369,0,false,,,,,1464523998495,0
serverInfo,,,,,,,,,132,19.928258270227182,1464523998495,0
move,0.25093982671308224,-0.197660394135454,77.80544,-481.77798,0,false,,,,,1464523998495,0
serverInfo,,,,,,,,,132,19.928258270227182,1464523998495,0
animation,,,,,,,,,,,1464523998531,36
move,0.16216848926916105,0.0,0.0,54.940216,0,true,,,,,1464523998549,18
serverInfo,,,,,,,,,132,19.91238550378335,1464523998549,0
animation,,,,,,,,,,,1464523998566,17
move,-0.029066132484074192,0.0,-19.165192,95.82596,0,true,,,,,1464523998591,25
serverInfo,,,,,,,,,132,19.94415636218588,1464523998591,0
move,0.023987072472098525,0.0,-60.23345,72.645195,0,true,,,,,1464523998645,54
serverInfo,,,,,,,,,132,19.928258270227182,1464523998645,0
move,0.061097636412234646,0.0,-70.089836,3.467987,0,true,,,,,1464523998688,43
serverInfo,,,,,,,,,132,19.95609658750748,1464523998688,0
animation,,,,,,,,,,,1464523998697,9
attack,,,,,,,,,,,1464523998697,0
attackInfo,,,,,,,-0.32660290697434097,8.290457774815177,,,1464523998697,0
serverInfo,,,,,,,,,132,19.9203187250996,1464523998697,0
animation,,,,,,,,,,,1464523998697,0
attack,,,,,,,,,,,1464523998697,0
attackInfo,,,,,,,-0.01424610116954983,8.976808558294522,,,1464523998697,0
serverInfo,,,,,,,,,132,19.9203187250996,1464523998697,0
animation,,,,,,,,,,,1464523998697,0
attack,,,,,,,,,,,1464523998697,0
