# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.6644427743514427,0.22892801043701638,3.2824173,0.7337837,0,false,,,,,1464523714311,???
serverInfo,,,,,,,,,120,19.916351324437365,1464523714311,0
animation,,,,,,,,,,,1464523714365,54
attack,,,,,,,,,,,1464523714365,0
attackInfo,,,,,,,0.9398068239359454,5.317747599662204,,,1464523714365,0
serverInfo,,,,,,,,,120,19.896538002387587,1464523714365,0
move,0.6509885864956146,0.14594945306885165,2.530182,1.430233,0,false,,,,,1464523714408,43
serverInfo,,,,,,,,,120,19.928258270227182,1464523714408,0
move,0.6426992790108699,0.06463046526535265,2.175333,2.9225388,0,false,,,,,1464523714408,0
serverInfo,,,,,,,,,120,19.928258270227182,1464523714408,0
animation,,,,,,,,,,,1464523714425,17
attack,,,,,,,,,,,1464523714425,0
attackInfo,,,,,,,0.9016813954638587,4.3978753120824,,,1464523714425,0
serverInfo,,,,,,,,,120,19.860973187686195,1464523714425,0
move,0.6359572145662327,-0.015062144333100491,1.392601,3.4349937,0,false,,,,,1464523714454,29
serverInfo,,,,,,,,,120,19.940179461615156,1464523714454,0
animation,,,,,,,,,,,1464523714549,95
attack,,,,,,,,,,,1464523714549,0
attackInfo,,,,,,,0.8813672775755941,4.558608875224526,,,1464523714549,0
serverInfo,,,,,,,,,120,19.960079840319363,1464523714549,0
move,0.631417319728854,-0.18632180651920294,-0.5937691,3.9139366,0,false,,,,,1464523714553,4
serverInfo,,,,,,,,,120,19.94415636218588,1464523714553,0
move,0.628721359302375,-0.24809769002307291,0.0035133362,9.085503,0,false,,,,,1464523714553,0
serverInfo,,,,,,,,,120,19.94415636218588,1464523714553,0
move,0.6326205065375987,-0.32153574248057737,-1.911787,11.155197,0,false,,,,,1464523714600,47
serverInfo,,,,,,,,,120,19.960079840319363,1464523714600,0
animation,,,,,,,,,,,1464523714635,35
attack,,,,,,,,,,,1464523714635,0
attackInfo,,,,,,,0.8237520477378439,4.079575227535713,,,1464523714635,0
serverInfo,,,,,,,,,120,19.821605550049554,1464523714635,0
move,0.636948584556869,-0.382090551518786,-3.93886,12.505081,0,false,,,,,1464523714652,17
serverInfo,,,,,,,,,120,19.948134849391582,1464523714652,0
move,1.3498599102815376,0.4000000000000057,14.351103,24.510132,0,true,,,,,1464523714699,47
serverInfo,,,,,,,,,120,19.960079840319363,1464523714699,0
jump,,,,,,,,,,,1464523714699,0
animation,,,,,,,,,,,1464523714779,80
attack,,,,,,,,,,,1464523714779,0
attackInfo,,,,,,,0.6436202912810066,3.5536991480275475,,,1464523714779,0
serverInfo,,,,,,,,,120,19.841269841269842,1464523714779,0
move,0.7063397245775604,0.31360000610351335,5.6407356,9.176376,0,false,,,,,1464523714808,29
serverInfo,,,,,,,,,120,19.924287706714484,1464523714808,0
move,0.6731361957777295,0.22892801043701638,3.6519547,7.798561,0,false,,,,,1464523714808,0
serverInfo,,,,,,,,,120,19.924287706714484,1464523714808,0
animation,,,,,,,,,,,1464523714840,32
attack,,,,,,,,,,,1464523714840,0
attackInfo,,,,,,,0.6535300413066617,2.7107293728133217,,,1464523714840,0
serverInfo,,,,,,,,,120,19.99600079984003,1464523714840,0
move,0.6332842862829438,0.14594945306885165,2.827427,8.278259,0,false,,,,,1464523714853,13
serverInfo,,,,,,,,,120,19.94415636218588,1464523714853,0
move,0.5640054167193043,0.06463046526535265,3.463131,6.9403534,0,false,,,,,1464523714902,49
serverInfo,,,,,,,,,120,19.952114924181966,1464523714902,0
animation,,,,,,,,,,,1464523714969,67
attack,,,,,,,,,,,1464523714969,0
attackInfo,,,,,,,0.8388918954440716,2.270788140654195,,,1464523714969,0
serverInfo,,,,,,,,,120,19.880715705765407,1464523714969,0
move,0.5503955450493763,-0.015062144333100491,4.7144775,7.0112457,0,false,,,,,1464523715011,42
serverInfo,,,,,,,,,120,19.916351324437365,1464523715011,0
move,0.6449036262539067,-0.18632180651920294,8.476734,10.552704,0,false,,,,,1464523715011,0
serverInfo,,,,,,,,,120,19.916351324437365,1464523715011,0
animation,,,,,,,,,,,1464523715053,42
attack,,,,,,,,,,,1464523715053,0
attackInfo,,,,,,,0.8480083128045952,1.3578254953373858,,,1464523715053,0
serverInfo,,,,,,,,,120,19.94415636218588,1464523715053,0
move,0.5210501872874573,-0.24809769002307291,-1.8087769,-321.38123,0,false,,,,,1464523715057,4
serverInfo,,,,,,,,,120,19.928258270227182,1464523715057,0
move,0.5983075795733015,-0.32153574248057737,-11.275799,41.154938,0,false,,,,,1464523715109,52
serverInfo,,,,,,,,,120,19.924287706714484,1464523715109,0
animation,,,,,,,,,,,1464523715173,64
attack,,,,,,,,,,,1464523715173,0
attackInfo,,,,,,,0.12019231704959835,0.7086010726301984,,,1464523715173,0
serverInfo,,,,,,,,,120,19.86491855383393,1464523715173,0
move,0.6617999809787705,-0.382090551518786,-25.458704,31.003754,0,false,,,,,1464523715201,28
serverInfo,,,,,,,,,120,19.952114924181966,1464523715201,0
move,1.4717264261001546,0.4000000000000057,4.0225277,18.989288,0,true,,,,,1464523715201,0
serverInfo,,,,,,,,,120,19.952114924181966,1464523715201,0
jump,,,,,,,,,,,1464523715201,0
animation,,,,,,,,,,,1464523715258,57
attack,,,,,,,,,,,1464523715258,0
attackInfo,,,,,,,0.8247608780108353,1.1969337622528626,,,1464523715258,0
serverInfo,,,,,,,,,120,19.924287706714484,1464523715258,0
move,0.6249602187235652,0.31360000610351335,5.3134804,-7.5959167,0,false,,,,,1464523715300,42
serverInfo,,,,,,,,,120,19.95609658750748,1464523715300,0
move,0.6220000092128899,0.22892801043701638,-1.5268936,-5.55011,0,false,,,,,1464523715300,0
serverInfo,,,,,,,,,120,19.95609658750748,1464523715300,0
animation,,,,,,,,,,,1464523715327,27
attack,,,,,,,,,,,1464523715327,0
attackInfo,,,,,,,0.941426201102561,2.42870120453067,,,1464523715327,0
serverInfo,,,,,,,,,120,19.84914648670107,1464523715327,0
move,0.6125883613991476,0.14594945306885165,-3.0670776,-3.9023438,0,false,,,,,1464523715360,33
serverInfo,,,,,,,,,120,19.916351324437365,1464523715360,0
move,0.5984680141297929,0.06463046526535265,-3.6886349,-0.8711548,0,false,,,,,1464523715447,87
serverInfo,,,,,,,,,120,19.968051118210862,1464523715447,0
animation,,,,,,,,,,,1464523715455,8
attack,,,,,,,,,,,1464523715455,0
attackInfo,,,,,,,0.9804728159572864,3.7778856667882117,,,1464523715455,0
serverInfo,,,,,,,,,120,19.93620414673046,1464523715455,0
move,0.725151619440382,-0.015062144333100491,-3.604185,2.128891,0,false,,,,,1464523715502,47
serverInfo,,,,,,,,,120,19.948134849391582,1464523715502,0
move,0.7504316397212634,-0.18632180651920294,-4.5155087,4.0536194,0,false,,,,,1464523715503,1
serverInfo,,,,,,,,,120,19.94415636218588,1464523715503,0
animation,,,,,,,,,,,1464523715531,28
attack,,,,,,,,,,,1464523715531,0
attackInfo,,,,,,,0.9724814076792255,4.756611617623091,,,1464523715531,0
serverInfo,,,,,,,,,120,19.833399444664817,1464523715531,0
move,-0.04546296920246817,-0.24809769002307291,-0.028011322,-4.8800507,0,false,,,,,1464523715557,26
serverInfo,,,,,,,,,120,19.928258270227182,1464523715557,0
move,0.1309783238141904,-0.32153574248057737,-1.5095387,-5.9164276,0,false,,,,,1464523715611,54
serverInfo,,,,,,,,,120,19.916351324437365,1464523715611,0
animation,,,,,,,,,,,1464523715657,46
attack,,,,,,,,,,,1464523715657,0
attackInfo,,,,,,,0.9048384502361417,4.193672871470108,,,1464523715657,0
serverInfo,,,,,,,,,120,19.928258270227182,1464523715657,0
move,0.21205782146030572,-0.39350503528964964,-3.3901033,-7.097641,0,false,,,,,1464523715664,7
serverInfo,,,,,,,,,120,19.90049751243781,1464523715664,0
move,0.2553119162508466,0.011414483770863626,1.2267408,-6.9372406,0,false,,,,,1464523715703,39
serverInfo,,,,,,,,,120,19.948134849391582,1464523715703,0
animation,,,,,,,,,,,1464523715737,34
attack,,,,,,,,,,,1464523715738,1
attackInfo,,,,,,,0.8740420996866054,3.899551915479735,,,1464523715738,0
serverInfo,,,,,,,,,120,19.80982567353407,1464523715738,0
move,0.5931853217643663,0.4000000000000057,4.290743,-17.33223,0,true,,,,,1464523715752,14
serverInfo,,,,,,,,,120,19.948134849391582,1464523715752,0
jump,,,,,,,,,,,1464523715752,0
move,0.30182496738506615,0.31360000610351335,2.215416,-7.0774384,0,false,,,,,1464523715807,55
serverInfo,,,,,,,,,120,19.932230416583614,1464523715807,0
animation,,,,,,,,,,,1464523715861,54
attack,,,,,,,,,,,1464523715861,0
attackInfo,,,,,,,0.9631706486347175,3.9290374747669565,,,1464523715861,0
serverInfo,,,,,,,,,120,19.91238550378335,1464523715861,0
move,0.23689917239936875,0.22892801043701638,0.5546322,-7.407089,0,false,,,,,1464523715910,49
serverInfo,,,,,,,,,120,19.9203187250996,1464523715910,0
move,0.08290717309251505,0.14594945306885165,-0.8432903,-6.6161957,0,false,,,,,1464523715910,0
serverInfo,,,,,,,,,120,19.9203187250996,1464523715910,0
animation,,,,,,,,,,,1464523715974,64
attack,,,,,,,,,,,1464523715974,0
attackInfo,,,,,,,0.9819729930812635,4.444453288695153,,,1464523715974,0
serverInfo,,,,,,,,,120,19.860973187686195,1464523715974,0
move,-0.09991532953589655,0.06463046526535265,-1.3829536,-6.437027,0,false,,,,,1464523716003,29
serverInfo,,,,,,,,,120,19.94415636218588,1464523716003,0
move,-0.3104869124417462,-0.015062144333100491,1.4225082,-6.513092,0,false,,,,,1464523716003,0
serverInfo,,,,,,,,,120,19.94415636218588,1464523716003,0
animation,,,,,,,,,,,1464523716029,26
attack,,,,,,,,,,,1464523716029,0
attackInfo,,,,,,,0.9879043919711461,4.555435459166572,,,1464523716029,0
serverInfo,,,,,,,,,120,19.841269841269842,1464523716029,0
move,-0.5126486426445496,-0.18632180651920294,0.36758995,-6.1435547,0,false,,,,,1464523716060,31
serverInfo,,,,,,,,,121,19.916351324437365,1464523716060,0
move,-0.2912540728562547,-0.24809769002307291,0.42570877,-6.4644165,0,false,,,,,1464523716102,42
serverInfo,,,,,,,,,121,19.952114924181966,1464523716102,0
animation,,,,,,,,,,,1464523716122,20
attack,,,,,,,,,,,1464523716122,0
attackInfo,,,,,,,0.9221013608646593,5.156254063179304,,,1464523716122,0
serverInfo,,,,,,,,,121,19.87281399046105,1464523716122,0
move,-0.1169952048694256,-0.32153574248057737,-0.25703812,-6.4726257,0,false,,,,,1464523716155,33
serverInfo,,,,,,,,,121,19.93620414673046,1464523716155,0
move,-0.04565032049793416,-0.382090551518786,-3.7744217,353.58746,0,false,,,,,1464523716210,55
serverInfo,,,,,,,,,121,19.9203187250996,1464523716210,0
animation,,,,,,,,,,,1464523716252,42
attack,,,,,,,,,,,1464523716252,0
attackInfo,,,,,,,0.8584984949489792,5.142290574765214,,,1464523716252,0
serverInfo,,,,,,,,,121,19.952114924181966,1464523716252,0
move,0.014014528774794144,0.4000000000000057,13.63233,-21.093735,0,true,,,,,1464523716255,3
serverInfo,,,,,,,,,121,19.940179461615156,1464523716255,0
jump,,,,,,,,,,,1464523716255,0
move,0.06340539275937829,0.31360000610351335,3.6603775,-6.401367,0,false,,,,,1464523716310,55
serverInfo,,,,,,,,,121,19.9203187250996,1464523716310,0
animation,,,,,,,,,,,1464523716339,29
attack,,,,,,,,,,,1464523716339,0
attackInfo,,,,,,,0.7069554118208102,4.436609278077238,,,1464523716339,0
serverInfo,,,,,,,,,121,19.805902158843335,1464523716339,0
move,0.1755684472687591,0.22892801043701638,2.6095886,-5.4887695,0,false,,,,,1464523716357,18
serverInfo,,,,,,,,,121,19.928258270227182,1464523716357,0
move,-0.37305879296060596,0.14594945306885165,-4.3175087,-3.690506,0,false,,,,,1464523716410,53
serverInfo,,,,,,,,,121,19.9203187250996,1464523716410,0
animation,,,,,,,,,,,1464523716469,59
attack,,,,,,,,,,,1464523716469,0
attackInfo,,,,,,,0.8018896013687167,4.601791426753753,,,1464523716469,0
serverInfo,,,,,,,,,121,19.880715705765407,1464523716469,0
move,-0.27819847409649157,0.06463046526535265,-4.126999,-3.159195,0,false,,,,,1464523716508,39
serverInfo,,,,,,,,,121,19.924287706714484,1464523716508,0
move,-0.12063990977759431,-0.015062144333100491,-2.8679943,-3.7800293,0,false,,,,,1464523716508,0
serverInfo,,,,,,,,,121,19.924287706714484,1464523716508,0
animation,,,,,,,,,,,1464523716555,47
attack,,,,,,,,,,,1464523716555,0
attackInfo,,,,,,,0.8477438490187557,5.011498505202969,,,1464523716555,0
serverInfo,,,,,,,,,121,19.93620414673046,1464523716555,0
move,0.0582695865176035,-0.18632180651920294,-2.8426132,-1.6640015,0,false,,,,,1464523716558,3
serverInfo,,,,,,,,,121,19.924287706714484,1464523716558,0
move,0.16648463124185753,-0.24809769002307291,-3.1291294,-1.3852234,0,false,,,,,1464523716609,51
serverInfo,,,,,,,,,121,19.924287706714484,1464523716609,0
animation,,,,,,,,,,,1464523716627,18
attack,,,,,,,,,,,1464523716627,0
attackInfo,,,,,,,0.8672251937256586,5.075700451268838,,,1464523716627,0
serverInfo,,,,,,,,,121,19.85308715505261,1464523716627,0
move,0.3028832400861319,-0.32153574248057737,-3.6989746,-0.9360962,0,false,,,,,1464523716651,24
serverInfo,,,,,,,,,121,19.95609658750748,1464523716651,0
move,0.3343660156007431,-0.382090551518786,-4.1698265,-7.422188,0,false,,,,,1464523716704,53
serverInfo,,,,,,,,,121,19.94415636218588,1464523716704,0
animation,,,,,,,,,,,1464523716731,27
attack,,,,,,,,,,,1464523716731,0
attackInfo,,,,,,,0.8519375382853487,4.620770013342185,,,1464523716731,0
serverInfo,,,,,,,,,121,19.8373338623289,1464523716731,0
move,0.6479002049693605,0.4000000000000057,7.3038616,-14.819023,0,true,,,,,1464523716757,26
serverInfo,,,,,,,,,121,19.928258270227182,1464523716757,0
jump,,,,,,,,,,,1464523716757,0
move,0.7348613342548589,0.31360000610351335,7.8287735,-2.7967834,0,false,,,,,1464523716857,100
serverInfo,,,,,,,,,121,19.928258270227182,1464523716857,0
animation,,,,,,,,,,,1464523716864,7
attack,,,,,,,,,,,1464523716864,0
attackInfo,,,,,,,0.6971576484638181,4.376422361877325,,,1464523716864,0
serverInfo,,,,,,,,,121,19.90049751243781,1464523716864,0
move,0.7066387336107738,0.22892801043701638,6.558447,-3.5958252,0,false,,,,,1464523716903,39
serverInfo,,,,,,,,,121,19.948134849391582,1464523716903,0
move,0.7006183288705898,0.14594945306885165,4.171753,-3.021103,0,false,,,,,1464523716903,0
serverInfo,,,,,,,,,121,19.948134849391582,1464523716903,0
animation,,,,,,,,,,,1464523716952,49
attack,,,,,,,,,,,1464523716952,0
attackInfo,,,,,,,0.6443498992975738,3.8343283837659787,,,1464523716952,0
serverInfo,,,,,,,,,121,19.948134849391582,1464523716952,0
move,0.7132577697290117,0.06463046526535265,3.4704666,-3.3034515,0,false,,,,,1464523716955,3
serverInfo,,,,,,,,,121,19.93620414673046,1464523716955,0
animation,,,,,,,,,,,1464523717037,82
attack,,,,,,,,,,,1464523717037,0
attackInfo,,,,,,,0.6391761201237396,3.5693410074942022,,,1464523717037,0
serverInfo,,,,,,,,,121,19.813750743015653,1464523717037,0
move,0.7460207881965459,-0.015062144333100491,1.4917908,-5.997055,0,false,,,,,1464523717054,17
serverInfo,,,,,,,,,121,19.940179461615156,1464523717054,0
move,0.7617526011805182,-0.18632180651920294,-0.6731262,-6.9050903,0,false,,,,,1464523717054,0
serverInfo,,,,,,,,,121,19.940179461615156,1464523717054,0
