# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,-0.38992473011180095,0.14594945306885165,0.7871361,-2.1685028,0,false,,,,,1464522756442,???
serverInfo,,,,,,,,,134,19.94415636218588,1464522756442,0
animation,,,,,,,,,,,1464522756472,30
attack,,,,,,,,,,,1464522756472,0
attackInfo,,,,,,,0.9137673160867884,4.387299380585374,,,1464522756472,0
serverInfo,,,,,,,,,134,19.825535289452816,1464522756472,0
move,-0.37185941243788534,0.06463046526535265,-2.381874,-1.2337341,0,false,,,,,1464522756497,25
serverInfo,,,,,,,,,134,19.924287706714484,1464522756497,0
move,-0.3587715294363818,-0.015062144333100491,-1.8494873,-1.1694946,0,false,,,,,1464522756546,49
serverInfo,,,,,,,,,134,19.928258270227182,1464522756546,0
animation,,,,,,,,,,,1464522756597,51
attack,,,,,,,,,,,1464522756597,0
attackInfo,,,,,,,0.9021492371717028,3.5080142212819974,,,1464522756597,0
serverInfo,,,,,,,,,134,19.924287706714484,1464522756597,0
move,-0.3550530083194303,-0.18632180651920294,-2.403246,-1.3171082,0,false,,,,,1464522756643,46
serverInfo,,,,,,,,,134,19.94415636218588,1464522756643,0
move,-0.3688396043783655,-0.24809769002307291,-1.2545052,-2.1195068,0,false,,,,,1464522756644,1
serverInfo,,,,,,,,,134,19.940179461615156,1464522756644,0
animation,,,,,,,,,,,1464522756668,24
attack,,,,,,,,,,,1464522756668,0
attackInfo,,,,,,,0.8354940123836387,2.70311933998269,,,1464522756668,0
serverInfo,,,,,,,,,134,19.845207382417147,1464522756668,0
move,-0.36680113107843226,-0.32153574248057737,-3.221449,-3.2313538,0,false,,,,,1464522756695,27
serverInfo,,,,,,,,,134,19.932230416583614,1464522756695,0
move,-0.3233650210351584,-0.382090551518786,-5.698004,-4.673218,0,false,,,,,1464522756747,52
serverInfo,,,,,,,,,134,19.924287706714484,1464522756747,0
animation,,,,,,,,,,,1464522756766,19
attack,,,,,,,,,,,1464522756767,1
attackInfo,,,,,,,0.6396360531450875,2.18353481036296,,,1464522756767,0
serverInfo,,,,,,,,,134,19.845207382417147,1464522756767,0
move,0.3034634641571188,0.4000000000000057,6.925785,-23.583282,0,true,,,,,1464522756796,29
serverInfo,,,,,,,,,134,19.928258270227182,1464522756796,0
jump,,,,,,,,,,,1464522756796,0
move,0.3436822216953317,0.31360000610351335,-3.310894,164.33838,0,false,,,,,1464522756845,49
serverInfo,,,,,,,,,134,19.93620414673046,1464522756845,0
animation,,,,,,,,,,,1464522756870,25
attack,,,,,,,,,,,1464522756870,0
attackInfo,,,,,,,0.7540408328256943,2.624118249046184,,,1464522756870,0
serverInfo,,,,,,,,,134,19.8373338623289,1464522756870,0
move,0.656492313000399,0.22892801043701638,7.5957794,3.792591,0,false,,,,,1464522756896,26
serverInfo,,,,,,,,,134,19.928258270227182,1464522756896,0
animation,,,,,,,,,,,1464522756912,16
attack,,,,,,,,,,,1464522756912,0
attackInfo,,,,,,,-0.7176644539803123,2.114367175682013,,,1464522756912,0
serverInfo,,,,,,,,,134,19.86491855383393,1464522756912,0
move,0.5841394534066069,0.14594945306885165,-5.7218666,-167.70094,0,false,,,,,1464522756945,33
serverInfo,,,,,,,,,134,19.932230416583614,1464522756945,0
move,0.6330952940306531,0.06463046526535265,12.396708,157.43011,0,false,,,,,1464522756995,50
serverInfo,,,,,,,,,134,19.932230416583614,1464522756995,0
animation,,,,,,,,,,,1464522757014,19
attack,,,,,,,,,,,1464522757014,0
attackInfo,,,,,,,0.6896714236621003,2.2238769540185026,,,1464522757014,0
serverInfo,,,,,,,,,134,19.857029388403497,1464522757014,0
move,0.47852564907930173,-0.015062144333100491,7.022732,-4.0497284,0,false,,,,,1464522757051,37
serverInfo,,,,,,,,,134,19.908421262193908,1464522757051,0
animation,,,,,,,,,,,1464522757070,19
attack,,,,,,,,,,,1464522757070,0
attackInfo,,,,,,,-0.29766670673573814,3.178567281419651,,,1464522757070,0
serverInfo,,,,,,,,,134,19.833399444664817,1464522757070,0
move,0.6400140327986605,-0.18632180651920294,-30.667122,-141.19284,0,false,,,,,1464522757090,20
serverInfo,,,,,,,,,134,19.952114924181966,1464522757090,0
move,0.39833444076126057,-0.24809769002307291,-1.3208275,203.7952,0,false,,,,,1464522757143,53
serverInfo,,,,,,,,,134,19.940179461615156,1464522757143,0
move,0.3595146781773053,-0.32153574248057737,46.003902,17.190912,0,false,,,,,1464522757190,47
serverInfo,,,,,,,,,134,19.952114924181966,1464522757190,0
animation,,,,,,,,,,,1464522757240,50
attack,,,,,,,,,,,1464522757240,0
attackInfo,,,,,,,0.240773475508634,2.1716215363611098,,,1464522757240,0
serverInfo,,,,,,,,,134,19.952114924181966,1464522757240,0
move,0.39745579034388356,-0.382090551518786,-27.270832,23.245651,0,false,,,,,1464522757293,53
serverInfo,,,,,,,,,134,19.940179461615156,1464522757293,0
move,1.0674683923859334,0.4000000000000057,-6.2664433,23.357658,0,true,,,,,1464522757293,0
serverInfo,,,,,,,,,134,19.93620414673046,1464522757294,1
jump,,,,,,,,,,,1464522757294,0
animation,,,,,,,,,,,1464522757312,18
attack,,,,,,,,,,,1464522757312,0
attackInfo,,,,,,,0.7450370764905959,2.5926267551854134,,,1464522757312,0
serverInfo,,,,,,,,,134,19.86491855383393,1464522757312,0
move,0.6885915278538164,0.31360000610351335,0.49903297,7.588272,0,false,,,,,1464522757348,36
serverInfo,,,,,,,,,134,19.9203187250996,1464522757348,0
move,0.7225431177066923,0.22892801043701638,-0.21232033,7.599106,0,false,,,,,1464522757396,48
serverInfo,,,,,,,,,134,19.928258270227182,1464522757396,0
animation,,,,,,,,,,,1464522757442,46
attack,,,,,,,,,,,1464522757442,0
attackInfo,,,,,,,0.9594869906137911,2.9934758812859164,,,1464522757442,0
serverInfo,,,,,,,,,134,19.948134849391582,1464522757442,0
move,0.6947075552231183,0.14594945306885165,-0.40631104,6.537323,0,false,,,,,1464522757446,4
serverInfo,,,,,,,,,134,19.932230416583614,1464522757446,0
move,0.6254142540686018,0.06463046526535265,-1.0439644,6.583725,0,false,,,,,1464522757496,50
serverInfo,,,,,,,,,134,19.928258270227182,1464522757496,0
animation,,,,,,,,,,,1464522757516,20
attack,,,,,,,,,,,1464522757516,0
attackInfo,,,,,,,0.9749850817138099,4.023755071484502,,,1464522757516,0
serverInfo,,,,,,,,,134,19.84914648670107,1464522757516,0
move,0.5826932282277255,-0.015062144333100491,-0.41249084,-352.35242,0,false,,,,,1464522757544,28
serverInfo,,,,,,,,,134,19.93620414673046,1464522757544,0
animation,,,,,,,,,,,1464522757627,83
attack,,,,,,,,,,,1464522757627,0
attackInfo,,,,,,,0.9599732495962878,4.551055786609083,,,1464522757627,0
serverInfo,,,,,,,,,134,19.805902158843335,1464522757627,0
move,0.5013223423850093,-0.18632180651920294,-2.9512672,7.6396484,0,false,,,,,1464522757650,23
serverInfo,,,,,,,,,134,19.91238550378335,1464522757650,0
move,0.5224115367242916,-0.24809769002307291,-0.41811752,8.291,0,false,,,,,1464522757650,0
serverInfo,,,,,,,,,134,19.91238550378335,1464522757650,0
move,0.6902879083670257,-0.32153574248057737,0.61081696,7.39386,0,false,,,,,1464522757699,49
serverInfo,,,,,,,,,134,19.916351324437365,1464522757699,0
animation,,,,,,,,,,,1464522757733,34
attack,,,,,,,,,,,1464522757733,0
attackInfo,,,,,,,0.8894556919862721,5.132903976113714,,,1464522757733,0
serverInfo,,,,,,,,,134,19.980019980019982,1464522757733,0
move,0.6832518518011454,-0.382090551518786,-6.6872416,4.7697906,0,false,,,,,1464522757747,14
serverInfo,,,,,,,,,134,19.924287706714484,1464522757747,0
move,1.4670107670137895,0.4000000000000057,8.016017,15.28331,0,true,,,,,1464522757793,46
serverInfo,,,,,,,,,134,19.940179461615156,1464522757793,0
jump,,,,,,,,,,,1464522757793,0
animation,,,,,,,,,,,1464522757832,39
attack,,,,,,,,,,,1464522757832,0
attackInfo,,,,,,,0.8559676870342711,4.960916120271578,,,1464522757832,0
serverInfo,,,,,,,,,134,19.984012789768187,1464522757832,0
move,0.758168620340598,0.31360000610351335,3.7376308,5.8778076,0,false,,,,,1464522757842,10
serverInfo,,,,,,,,,134,19.94415636218588,1464522757842,0
move,0.7207480650612297,0.22892801043701638,2.5239105,5.3086853,0,false,,,,,1464522757894,52
serverInfo,,,,,,,,,134,19.93620414673046,1464522757894,0
animation,,,,,,,,,,,1464522757916,22
attack,,,,,,,,,,,1464522757916,0
attackInfo,,,,,,,0.8567370332919759,5.0285936774006545,,,1464522757916,0
serverInfo,,,,,,,,,134,19.84914648670107,1464522757916,0
move,0.2535641484758173,0.14594945306885165,3.789034,-1.7580719,0,false,,,,,1464522757949,33
serverInfo,,,,,,,,,134,19.916351324437365,1464522757949,0
move,-0.37749040681995893,0.06463046526535265,2.796505,-12.485306,0,false,,,,,1464522758000,51
serverInfo,,,,,,,,,134,19.91238550378335,1464522758000,0
animation,,,,,,,,,,,1464522758028,28
attack,,,,,,,,,,,1464522758028,0
attackInfo,,,,,,,0.8891244457811875,4.568498035019933,,,1464522758028,0
serverInfo,,,,,,,,,134,19.801980198019802,1464522758028,0
move,-0.4877192320449808,-0.015062144333100491,0.8572731,-14.436722,0,false,,,,,1464522758045,17
serverInfo,,,,,,,,,134,19.932230416583614,1464522758045,0
move,-0.5075335682068385,-0.18632180651920294,-3.5969887,-13.866608,0,false,,,,,1464522758097,52
serverInfo,,,,,,,,,134,19.924287706714484,1464522758097,0
animation,,,,,,,,,,,1464522758117,20
attack,,,,,,,,,,,1464522758117,0
attackInfo,,,,,,,0.9014970252339422,4.520882618636898,,,1464522758117,0
serverInfo,,,,,,,,,134,19.845207382417147,1464522758117,0
move,-0.5108493019279479,-0.24809769002307291,-4.2557373,-11.645142,0,false,,,,,1464522758148,31
serverInfo,,,,,,,,,134,19.9203187250996,1464522758148,0
move,-0.4785747368348723,-0.32153574248057737,-5.876978,350.52927,0,false,,,,,1464522758195,47
serverInfo,,,,,,,,,134,19.932230416583614,1464522758195,0
animation,,,,,,,,,,,1464522758238,43
attack,,,,,,,,,,,1464522758238,0
attackInfo,,,,,,,0.801162268172471,4.852259208425283,,,1464522758238,0
serverInfo,,,,,,,,,134,19.960079840319363,1464522758238,0
move,-0.45516754670646264,-0.382090551518786,-6.6855907,-8.069229,0,false,,,,,1464522758243,5
serverInfo,,,,,,,,,134,19.940179461615156,1464522758243,0
animation,,,,,,,,,,,1464522758301,58
attack,,,,,,,,,,,1464522758301,0
