# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,-0.26939152421577517,0.0,2.360365,27.680618,2,true,,,,,1464672253252,???
serverInfo,,,,,,,,,75,19.99600079984003,1464672253252,0
animation,,,,,,,,,,,1464672253279,27
attack,,,,,,,,,,,1464672253279,0
attackInfo,,,,,,,0.6891048752204846,2.1538881411014614,,,1464672253279,0
serverInfo,,,,,,,,,75,19.88862370723946,1464672253279,0
move,-0.18697038056779958,0.0,2.360365,11.587181,2,true,,,,,1464672253301,22
serverInfo,,,,,,,,,75,20.0,1464672253301,0
move,0.8250084841847323,0.376375000000003,1.9312077,7.081032,2,true,,,,,1464672253351,50
serverInfo,,,,,,,,,75,20.0,1464672253351,0
jump,,,,,,,,,,,1464672253351,0
animation,,,,,,,,,,,1464672253376,25
attack,,,,,,,,,,,1464672253376,0
attackInfo,,,,,,,0.7794647372289252,2.8957911017286957,,,1464672253376,0
serverInfo,,,,,,,,,75,19.90049751243781,1464672253376,0
move,0.4256176814222514,0.29044750565290656,0.6437359,11.372597,2,false,,,,,1464672253401,25
serverInfo,,,,,,,,,75,20.0,1464672253401,0
move,0.3594904179316498,0.20623855955381742,-0.8583145,11.801781,2,false,,,,,1464672253451,50
serverInfo,,,,,,,,,75,20.0,1464672253451,0
animation,,,,,,,,,,,1464672253477,26
move,0.293919652186573,0.12371379077054456,-0.21457863,15.02047,2,false,,,,,1464672253501,24
serverInfo,,,,,,,,,75,20.0,1464672253501,0
move,0.2353207055616071,0.04283951578890566,0.42915726,3.6478233,2,false,,,,,1464672253551,50
serverInfo,,,,,,,,,75,20.0,1464672253551,0
move,0.17882725104317654,-0.03641727523564953,1.716629,-12.874691,2,false,,,,,1464672253601,50
serverInfo,,,,,,,,,75,20.0,1464672253601,0
animation,,,,,,,,,,,1464672253625,24
move,0.12605009308767112,-0.11408893195141445,-2.360365,-12.230934,2,false,,,,,1464672253701,76
serverInfo,,,,,,,,,75,20.0,1464672253701,0
move,0.07794092157748089,-0.190207157014342,-4.076994,-3.004074,2,false,,,,,1464672253701,0
