# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.3636221476763657,0.0,0.8583145,7.2956505,2,true,,,,,1464672182535,???
serverInfo,,,,,,,,,90,19.992003198720514,1464672182535,0
animation,,,,,,,,,,,1464672182578,43
attack,,,,,,,,,,,1464672182578,0
attackInfo,,,,,,,0.894727110641188,0.33734035082194525,,,1464672182578,0
serverInfo,,,,,,,,,90,19.821605550049554,1464672182578,0
move,0.41863054128354094,0.0,3.6478367,-2.789505,2,true,,,,,1464672182584,6
serverInfo,,,,,,,,,90,19.99600079984003,1464672182584,0
move,-0.045925744450091344,0.376375000000003,6.866515,-5.3644257,2,true,,,,,1464672182584,0
serverInfo,,,,,,,,,90,19.99600079984003,1464672182584,0
jump,,,,,,,,,,,1464672182584,0
animation,,,,,,,,,,,1464672182621,37
attack,,,,,,,,,,,1464672182626,5
attackInfo,,,,,,,0.5183635473750454,0.6862735651991864,,,1464672182626,0
serverInfo,,,,,,,,,90,19.8294665873488,1464672182626,0
move,0.020302548355520145,0.29044750565290656,8.3685665,2.7895088,2,false,,,,,1464672182634,8
serverInfo,,,,,,,,,90,19.99600079984003,1464672182634,0
move,0.044340383538557404,0.20623855955381742,7.9394093,9.870575,2,false,,,,,1464672182684,50
serverInfo,,,,,,,,,90,19.99600079984003,1464672182684,0
animation,,,,,,,,,,,1464672182721,37
attack,,,,,,,,,,,1464672182756,35
attackInfo,,,,,,,0.8704211114763319,2.0650599289958724,,,1464672182756,0
serverInfo,,,,,,,,,90,19.908421262193908,1464672182756,0
move,0.04587837621513202,0.12371379077054456,7.510214,12.660088,2,false,,,,,1464672182784,28
serverInfo,,,,,,,,,90,19.99600079984003,1464672182784,0
animation,,,,,,,,,,,1464672182830,46
attack,,,,,,,,,,,1464672182831,1
attackInfo,,,,,,,0.8692553945226568,2.140813711205579,,,1464672182831,0
serverInfo,,,,,,,,,90,19.80982567353407,1464672182831,0
move,0.04388441408889765,0.04283951578890566,3.2186546,7.939377,2,false,,,,,1464672182834,3
serverInfo,,,,,,,,,90,19.99600079984003,1464672182834,0
move,0.05322948018952989,-0.03641727523564953,1.9311905,-18.882874,2,false,,,,,1464672182834,0
serverInfo,,,,,,,,,90,19.99600079984003,1464672182834,0
move,0.07585935008226574,-0.11408893195141445,-3.8623886,-14.376728,2,false,,,,,1464672182884,50
serverInfo,,,,,,,,,90,19.99600079984003,1464672182884,0
animation,,,,,,,,,,,1464672182927,43
move,0.0823148739875812,-0.190207157014342,-6.0081825,8.58313,2,false,,,,,1464672182985,58
serverInfo,,,,,,,,,90,19.992003198720514,1464672182985,0
move,0.053571649306772606,-0.26480301902784475,-11.372665,19.312046,2,false,,,,,1464672183034,49
serverInfo,,,,,,,,,90,19.99600079984003,1464672183034,0
animation,,,,,,,,,,,1464672183038,4
attack,,,,,,,,,,,1464672183038,0
attackInfo,,,,,,,0.8924538853226537,3.3078837413923066,,,1464672183038,0
serverInfo,,,,,,,,,90,19.980019980019982,1464672183038,0
animation,,,,,,,,,,,1464672183071,33
attack,,,,,,,,,,,1464672183072,1
attackInfo,,,,,,,0.8924538853226537,3.3078837413923066,,,1464672183072,0
serverInfo,,,,,,,,,90,19.845207382417147,1464672183072,0
move,0.055164521297967894,-0.33790696522388686,-10.728931,5.7935867,2,false,,,,,1464672183085,13
serverInfo,,,,,,,,,90,19.992003198720514,1464672183085,0
move,0.3713518050163964,0.376375000000003,-6.866515,-6.651886,2,false,,,,,1464672183085,0
serverInfo,,,,,,,,,90,19.992003198720514,1464672183085,0
jump,,,,,,,,,,,1464672183085,0
move,0.3379301523040086,0.29044750565290656,-0.21457863,-6.6518936,2,false,,,,,1464672183135,50
serverInfo,,,,,,,,,90,19.992003198720514,1464672183135,0
move,0.2947132384449853,0.20623855955381742,1.0728931,-1.2874603,2,false,,,,,1464672183235,100
serverInfo,,,,,,,,,90,19.992003198720514,1464672183235,0
animation,,,,,,,,,,,1464672183248,13
move,0.25106876276950185,0.12371379077055167,3.0041008,0.8583069,2,false,,,,,1464672183285,37
serverInfo,,,,,,,,,90,19.992003198720514,1464672183285,0
move,0.20948420980940607,0.04283951578891276,1.2874718,3.4332275,2,false,,,,,1464672183285,0
serverInfo,,,,,,,,,90,19.992003198720514,1464672183285,0
animation,,,,,,,,,,,1464672183351,66
move,0.17129993742371585,-0.03641727523564953,1.2874718,0.64373016,2,false,,,,,1464672183385,34
serverInfo,,,,,,,,,87,19.992003198720514,1464672183385,0
animation,,,,,,,,,,,1464672183430,45
move,0.1634741960380186,-0.11408893195141445,-0.8583145,0.64373016,2,false,,,,,1464672183435,5
serverInfo,,,,,,,,,87,19.992003198720514,1464672183435,0
move,0.17827215111391226,-0.190207157014342,-1.716629,1.9311905,2,false,,,,,1464672183435,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672183435,0
move,0.1839991569538686,-0.26480301902784475,-2.360365,3.2186508,2,false,,,,,1464672183485,50
serverInfo,,,,,,,,,87,19.992003198720514,1464672183485,0
move,0.1705594867908724,-0.33790696522388686,-0.21457863,0.42915344,2,false,,,,,1464672183585,100
serverInfo,,,,,,,,,87,19.992003198720514,1464672183585,0
move,0.1592654607724704,-0.19238204662609348,0.0,0.0,2,false,,,,,1464672183585,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672183585,0
animation,,,,,,,,,,,1464672183617,32
move,0.21591616132286529,0.0,-0.21457863,-0.64373016,2,true,,,,,1464672183685,68
serverInfo,,,,,,,,,87,19.992003198720514,1464672183685,0
move,0.3737061088354414,0.0,-0.6437359,0.64373016,2,true,,,,,1464672183685,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672183685,0
animation,,,,,,,,,,,1464672183722,37
move,0.4598594301842409,0.0,0.0,0.0,2,true,,,,,1464672183785,63
serverInfo,,,,,,,,,87,19.992003198720514,1464672183785,0
animation,,,,,,,,,,,1464672183828,43
move,0.5068991491044681,0.0,-0.42915726,0.0,2,true,,,,,1464672183835,7
serverInfo,,,,,,,,,87,19.992003198720514,1464672183835,0
move,0.5327879903548816,0.0,0.0,0.42915344,2,true,,,,,1464672183835,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672183835,0
move,0.47931811865360796,0.0,-1.0728931,2.5749207,2,true,,,,,1464672183885,50
serverInfo,,,,,,,,,87,19.992003198720514,1464672183885,0
animation,,,,,,,,,,,1464672183920,35
move,0.12222524550305991,0.0,0.0,4.2915344,2,true,,,,,1464672183985,65
serverInfo,,,,,,,,,87,19.992003198720514,1464672183985,0
move,-0.0742516447177266,0.0,0.0,0.64373016,2,true,,,,,1464672184035,50
serverInfo,,,,,,,,,87,19.992003198720514,1464672184035,0
move,-0.18102862426016753,0.0,0.0,-0.21457672,2,true,,,,,1464672184035,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672184035,0
move,-0.23932886186206304,0.0,0.0,0.0,2,true,,,,,1464672184085,50
serverInfo,,,,,,,,,87,19.992003198720514,1464672184085,0
move,-0.271160795290057,0.0,0.0,0.0,2,true,,,,,1464672184135,50
serverInfo,,,,,,,,,87,19.992003198720514,1464672184135,0
move,-0.15230994416783972,0.0,0.0,0.0,2,true,,,,,1464672184185,50
serverInfo,,,,,,,,,87,19.992003198720514,1464672184185,0
animation,,,,,,,,,,,1464672184222,37
move,0.17417141363219457,0.0,0.0,-0.21457672,2,true,,,,,1464672184285,63
serverInfo,,,,,,,,,87,19.992003198720514,1464672184285,0
move,0.3523822143525601,0.0,0.0,-2.7894974,2,true,,,,,1464672184335,50
serverInfo,,,,,,,,,87,19.992003198720514,1464672184335,0
move,0.44832094272666456,0.0,0.0,-4.506111,2,true,,,,,1464672184385,50
serverInfo,,,,,,,,,87,19.992003198720514,1464672184385,0
move,0.49891338820675113,0.0,-0.42915726,-3.004074,2,true,,,,,1464672184385,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672184385,0
animation,,,,,,,,,,,1464672184420,35
move,0.5255573537175078,0.0,0.0,-1.2874603,2,true,,,,,1464672184485,65
serverInfo,,,,,,,,,87,19.992003198720514,1464672184485,0
animation,,,,,,,,,,,1464672184526,41
move,0.5387960723791769,0.0,0.21457863,-1.502037,2,true,,,,,1464672184535,9
serverInfo,,,,,,,,,87,19.992003198720514,1464672184535,0
move,0.5466046350226028,0.0,0.8583145,0.64373016,2,true,,,,,1464672184535,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672184535,0
move,0.5519374776530412,0.0,0.42915726,1.2874603,2,true,,,,,1464672184585,50
serverInfo,,,,,,,,,87,19.992003198720514,1464672184585,0
animation,,,,,,,,,,,1464672184621,36
attack,,,,,,,,,,,1464672184647,26
attackInfo,,,,,,,0.9640571486801269,1.1917014531179344,,,1464672184647,0
serverInfo,,,,,,,,,87,19.94415636218588,1464672184647,0
move,0.2356436581515533,0.0,2.5749435,7.510193,2,true,,,,,1464672184685,38
serverInfo,,,,,,,,,87,19.992003198720514,1464672184685,0
move,0.38323342657260806,0.0,3.8624153,-6.0082016,2,true,,,,,1464672184685,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672184685,0
move,0.2803584991200063,0.0,5.5790434,-15.020485,2,true,,,,,1464672184785,100
serverInfo,,,,,,,,,87,19.992003198720514,1464672184785,0
animation,,,,,,,,,,,1464672184793,8
attack,,,,,,,,,,,1464672184793,0
attackInfo,,,,,,,0.17697363328620624,0.3334568599521746,,,1464672184793,0
serverInfo,,,,,,,,,87,19.95609658750748,1464672184794,1
move,0.25294493144750696,0.376375000000003,5.149887,0.8583069,2,true,,,,,1464672184835,41
serverInfo,,,,,,,,,87,19.992003198720514,1464672184835,0
jump,,,,,,,,,,,1464672184835,0
move,0.14589969036307515,0.29044750565290656,4.2915726,6.651886,2,false,,,,,1464672184835,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672184835,0
animation,,,,,,,,,,,1464672184874,39
attack,,,,,,,,,,,1464672184904,30
attackInfo,,,,,,,0.840171392796678,1.7533786262583577,,,1464672184904,0
serverInfo,,,,,,,,,87,19.916351324437365,1464672184904,0
move,0.11298537700565703,0.20623855955381742,7.2956696,4.291542,2,false,,,,,1464672184935,31
serverInfo,,,,,,,,,87,19.992003198720514,1464672184935,0
animation,,,,,,,,,,,1464672184977,42
animation,,,,,,,,,,,1464672184977,0
move,0.0751071209011851,0.12371379077054456,2.5749245,6.4373093,2,false,,,,,1464672184985,8
serverInfo,,,,,,,,,87,19.992003198720514,1464672184985,0
move,0.04006728527842274,0.04283951578890566,-0.21457672,4.2915497,2,false,,,,,1464672184985,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672184985,0
move,0.0021669345981401023,-0.03641727523564953,-6.866499,-20.170364,2,false,,,,,1464672185085,100
serverInfo,,,,,,,,,87,19.992003198720514,1464672185085,0
animation,,,,,,,,,,,1464672185095,10
attack,,,,,,,,,,,1464672185095,0
attackInfo,,,,,,,0.8854145298775946,3.0228029521731585,,,1464672185095,0
serverInfo,,,,,,,,,87,19.952114924181966,1464672185095,0
move,-0.030884007278154435,-0.11408893195141445,-8.583145,-8.153961,2,false,,,,,1464672185135,40
serverInfo,,,,,,,,,87,19.992003198720514,1464672185135,0
move,-0.06023864601675033,-0.190207157014342,-11.372667,0.21457672,2,false,,,,,1464672185135,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672185135,0
animation,,,,,,,,,,,1464672185184,49
attack,,,,,,,,,,,1464672185209,25
attackInfo,,,,,,,0.9952536766842214,3.171143456726858,,,1464672185209,0
serverInfo,,,,,,,,,87,19.89258006763477,1464672185210,1
move,-0.03499621549651266,-0.26480301902784475,-8.583142,1.0728836,2,false,,,,,1464672185236,26
serverInfo,,,,,,,,,87,19.98800719568259,1464672185236,0
move,-0.03869184146277682,-0.33790696522388686,-3.862413,0.42915344,2,false,,,,,1464672185285,49
serverInfo,,,,,,,,,87,19.992003198720514,1464672185285,0
animation,,,,,,,,,,,1464672185287,2
attack,,,,,,,,,,,1464672185287,0
attackInfo,,,,,,,0.9867315538600655,3.1118358983392826,,,1464672185287,0
serverInfo,,,,,,,,,87,19.984012789768187,1464672185287,0
animation,,,,,,,,,,,1464672185319,32
attack,,,,,,,,,,,1464672185319,0
attackInfo,,,,,,,0.9867315538600655,3.1118358983392826,,,1464672185319,0
serverInfo,,,,,,,,,87,19.857029388403497,1464672185319,0
move,-0.0012565360173013573,-0.09619102331303964,-0.21457863,-1.287468,2,false,,,,,1464672185335,16
serverInfo,,,,,,,,,87,19.992003198720514,1464672185335,0
move,0.05000637340545744,0.28762499999999847,2.1457849,-0.643734,2,true,,,,,1464672185335,0
serverInfo,,,,,,,,,87,19.992003198720514,1464672185335,0
jump,,,,,,,,,,,1464672185335,0
move,0.018330238473105886,0.2034725039601355,2.7895207,-1.0728836,2,false,,,,,1464672185435,100
serverInfo,,,,,,,,,83,19.992003198720514,1464672185435,0
move,0.009416961368474475,0.12100305623597762,3.218678,-2.7895012,2,false,,,,,1464672185435,0
serverInfo,,,,,,,,,83,19.992003198720514,1464672185435,0
animation,,,,,,,,,,,1464672185477,42
attack,,,,,,,,,,,1464672185506,29
attackInfo,,,,,,,0.9997242730791855,3.7315227925369694,,,1464672185506,0
serverInfo,,,,,,,,,83,19.908421262193908,1464672185506,0
animation,,,,,,,,,,,1464672185579,73
attack,,,,,,,,,,,1464672185579,0
attackInfo,,,,,,,0.9999219492523873,3.8161199548478386,,,1464672185579,0
serverInfo,,,,,,,,,83,19.817677368212443,1464672185579,0
move,0.10303696919803063,0.0011623311093487132,1.2874718,-1.5020409,2,false,,,,,1464672185585,6
serverInfo,,,,,,,,,83,19.992003198720514,1464672185585,0
move,0.07234329857455446,-0.11664025375844034,-1.2874718,0.64373016,2,false,,,,,1464672185585,0
serverInfo,,,,,,,,,83,19.992003198720514,1464672185585,0
move,0.10089386917641896,-0.19270745243388632,-2.5749435,2.5749245,2,false,,,,,1464672185635,50
serverInfo,,,,,,,,,83,19.992003198720514,1464672185635,0
animation,,,,,,,,,,,1464672185675,40
attack,,,,,,,,,,,1464672185713,38
attackInfo,,,,,,,0.9980799733414835,3.747006337047863,,,1464672185713,0
serverInfo,,,,,,,,,83,19.880715705765407,1464672185713,0
move,0.05508805415794882,-0.26725330858669594,-0.6437355,0.643734,2,false,,,,,1464672185735,22
serverInfo,,,,,,,,,83,19.992003198720514,1464672185735,0
animation,,,,,,,,,,,1464672185783,48
move,0.07736026961892328,-0.03666187652643771,-0.6437355,-3.2186623,2,false,,,,,1464672185785,2
serverInfo,,,,,,,,,83,19.992003198720514,1464672185785,0
move,0.1089395760127374,0.0,0.0,-4.0769806,2,true,,,,,1464672185785,0
serverInfo,,,,,,,,,83,19.992003198720514,1464672185785,0
move,0.31041378339907766,0.0,-0.42915702,-0.8583069,2,true,,,,,1464672185885,100
serverInfo,,,,,,,,,83,19.992003198720514,1464672185885,0
animation,,,,,,,,,,,1464672185925,40
attack,,,,,,,,,,,1464672185925,0
attackInfo,,,,,,,0.97525315027208,4.036230500754649,,,1464672185925,0
serverInfo,,,,,,,,,83,19.8294665873488,1464672185925,0
move,0.4204187134093891,0.0,1.287471,0.0,2,true,,,,,1464672185935,10
serverInfo,,,,,,,,,83,19.992003198720514,1464672185935,0
move,0.4789356774679172,0.0,3.218679,2.7894974,2,true,,,,,1464672185935,0
serverInfo,,,,,,,,,83,19.992003198720514,1464672185935,0
move,0.5094677106371899,0.0,1.9312077,1.9311905,2,true,,,,,1464672185985,50
serverInfo,,,,,,,,,83,19.992003198720514,1464672185985,0
move,0.5257856412100947,0.0,0.6437359,0.42915344,2,true,,,,,1464672186085,100
serverInfo,,,,,,,,,83,19.992003198720514,1464672186085,0
animation,,,,,,,,,,,1464672186104,19
attack,,,,,,,,,,,1464672186104,0
attackInfo,,,,,,,0.8815702844547793,3.3753856712625265,,,1464672186104,0
serverInfo,,,,,,,,,83,19.91238550378335,1464672186105,1
move,0.41986363495949597,0.0,0.0,0.0,2,true,,,,,1464672186135,30
serverInfo,,,,,,,,,83,19.992003198720514,1464672186135,0
animation,,,,,,,,,,,1464672186138,3
attack,,,,,,,,,,,1464672186138,0
attackInfo,,,,,,,0.8776314112119431,3.1334342427363904,,,1464672186138,0
serverInfo,,,,,,,,,83,19.980019980019982,1464672186138,0
move,0.13754734278921266,0.0,-0.6437359,2.1457748,2,true,,,,,1464672186185,47
serverInfo,,,,,,,,,83,19.992003198720514,1464672186185,0
move,0.3140106165134888,0.0,-1.9312077,5.5790176,2,true,,,,,1464672186186,1
serverInfo,,,,,,,,,83,19.98800719568259,1464672186186,0
move,0.20791667022384086,0.0,-0.21457863,1.2874603,2,true,,,,,1464672186236,50
serverInfo,,,,,,,,,83,19.98800719568259,1464672186236,0
move,0.3508779336314385,0.0,0.42915726,-0.21457672,2,true,,,,,1464672186335,99
serverInfo,,,,,,,,,83,19.992003198720514,1464672186335,0
animation,,,,,,,,,,,1464672186347,12
attack,,,,,,,,,,,1464672186347,0
attackInfo,,,,,,,0.9654508078091557,2.2906910714703783,,,1464672186347,0
serverInfo,,,,,,,,,83,19.94415636218588,1464672186347,0
move,0.3506571426033265,0.0,1.716629,1.0728836,2,true,,,,,1464672186386,39
serverInfo,,,,,,,,,83,19.98800719568259,1464672186386,0
move,0.19145882209986098,0.0,1.5020504,1.9311905,2,true,,,,,1464672186386,0
serverInfo,,,,,,,,,83,19.98800719568259,1464672186386,0
animation,,,,,,,,,,,1464672186429,43
attack,,,,,,,,,,,1464672186461,32
attackInfo,,,,,,,0.9245483144128178,1.425718462839213,,,1464672186461,0
serverInfo,,,,,,,,,83,19.88862370723946,1464672186461,0
move,0.33123858583388,0.0,1.9312077,3.2186508,2,true,,,,,1464672186486,25
serverInfo,,,,,,,,,83,19.98800719568259,1464672186486,0
animation,,,,,,,,,,,1464672186534,48
attack,,,,,,,,,,,1464672186534,0
attackInfo,,,,,,,0.8782939388189525,0.9297000064923523,,,1464672186534,0
serverInfo,,,,,,,,,83,19.798059790140567,1464672186534,0
move,0.4014495252590038,0.0,0.21457863,3.004074,2,true,,,,,1464672186535,1
serverInfo,,,,,,,,,83,19.992003198720514,1464672186535,0
move,0.4335678078026213,0.0,0.42915726,2.7894974,2,true,,,,,1464672186536,1
serverInfo,,,,,,,,,83,19.98800719568259,1464672186536,0
animation,,,,,,,,,,,1464672186628,92
attack,,,,,,,,,,,1464672186628,0
attackInfo,,,,,,,0.7361835814378733,1.3220942164111493,,,1464672186628,0
serverInfo,,,,,,,,,83,19.821605550049554,1464672186628,0
move,0.6376249999999999,0.376375000000003,0.21457863,2.1457672,2,true,,,,,1464672186636,8
serverInfo,,,,,,,,,83,19.98800719568259,1464672186636,0
jump,,,,,,,,,,,1464672186636,0
move,0.19255815866663895,0.29044750565290656,1.0728931,2.1457672,2,false,,,,,1464672186685,49
serverInfo,,,,,,,,,83,19.992003198720514,1464672186685,0
move,0.15250457084652425,0.20623855955381742,2.1457863,3.004074,2,false,,,,,1464672186685,0
serverInfo,,,,,,,,,83,19.992003198720514,1464672186685,0
move,0.11354215234333509,0.12371379077054456,3.8624144,5.364418,2,false,,,,,1464672186736,51
serverInfo,,,,,,,,,83,19.98800719568259,1464672186736,0
animation,,,,,,,,,,,1464672186772,36
attack,,,,,,,,,,,1464672186797,25
attackInfo,,,,,,,0.9356254219182427,2.876684128445168,,,1464672186797,0
serverInfo,,,,,,,,,83,19.94415636218588,1464672186797,0
move,0.0568697584265383,0.04283951578890566,2.5749435,0.8583069,2,false,,,,,1464672186836,39
serverInfo,,,,,,,,,83,19.98800719568259,1464672186836,0
move,0.03309157362617832,-0.03641727523564953,0.6437359,-3.004074,2,false,,,,,1464672186836,0
serverInfo,,,,,,,,,83,19.98800719568259,1464672186836,0
animation,,,,,,,,,,,1464672186878,42
attack,,,,,,,,,,,1464672186910,32
attackInfo,,,,,,,0.9185858793431707,2.867924400969604,,,1464672186910,0
serverInfo,,,,,,,,,83,19.89258006763477,1464672186910,0
animation,,,,,,,,,,,1464672186928,18
attack,,,,,,,,,,,1464672186928,0
attackInfo,,,,,,,0.9185858793431707,2.867924400969604,,,1464672186928,0
serverInfo,,,,,,,,,83,19.821605550049554,1464672186928,0
move,-0.005788652714308284,-0.11408893195141445,-0.42915726,-0.8583069,2,false,,,,,1464672186937,9
serverInfo,,,,,,,,,83,19.984012789768187,1464672186937,0
move,0.028050990775227547,-0.190207157014342,-3.8624153,-2.5749207,2,false,,,,,1464672186938,1
serverInfo,,,,,,,,,83,19.980019980019982,1464672186938,0
move,0.05294864072783678,-0.26480301902784475,-7.510252,-4.9352646,2,false,,,,,1464672186986,48
serverInfo,,,,,,,,,83,19.98800719568259,1464672186986,0
animation,,,,,,,,,,,1464672187027,41
attack,,,,,,,,,,,1464672187071,44
attackInfo,,,,,,,0.8705216498567273,2.7411755153357094,,,1464672187071,0
serverInfo,,,,,,,,,83,19.84914648670107,1464672187071,0
move,0.05679562764348578,-0.33790696522388686,-4.076994,-1.9311905,2,false,,,,,1464672187086,15
serverInfo,,,,,,,,,83,19.98800719568259,1464672187086,0
move,0.082166361386518,-0.09619102331303964,-0.42915726,0.21457672,2,false,,,,,1464672187086,0
serverInfo,,,,,,,,,83,19.98800719568259,1464672187086,0
animation,,,,,,,,,,,1464672187125,39
attack,,,,,,,,,,,1464672187125,0
attackInfo,,,,,,,0.7927138699673858,3.0831346878392605,,,1464672187125,0
serverInfo,,,,,,,,,83,19.833399444664817,1464672187125,0
move,0.20619011889696104,0.29187499999999744,1.0728931,0.42915344,2,true,,,,,1464672187136,11
serverInfo,,,,,,,,,83,19.98800719568259,1464672187136,0
jump,,,,,,,,,,,1464672187136,0
move,0.09302225021520805,0.20763750404119463,1.5020504,0.21457672,2,false,,,,,1464672187186,50
serverInfo,,,,,,,,,83,19.98800719568259,1464672187186,0
move,0.06497965704881636,0.1250847563948625,0.21457863,0.21457672,2,false,,,,,1464672187236,50
serverInfo,,,,,,,,,83,19.98800719568259,1464672187236,0
animation,,,,,,,,,,,1464672187268,32
attack,,,,,,,,,,,1464672187299,31
attackInfo,,,,,,,0.8675601453412837,3.650890770592239,,,1464672187299,0
serverInfo,,,,,,,,,83,19.93620414673046,1464672187299,0
animation,,,,,,,,,,,1464672187374,75
attack,,,,,,,,,,,1464672187403,29
attackInfo,,,,,,,0.9265571863969657,3.549765517306718,,,1464672187403,0
serverInfo,,,,,,,,,83,19.9203187250996,1464672187403,0
move,-0.017748767425967316,-0.10371612767011129,-6.437357,2.5749207,2,false,,,,,1464672187437,34
serverInfo,,,,,,,,,83,19.984012789768187,1464672187437,0
move,0.05262217932195146,-0.18894262187557587,-2.7895207,-1.2874603,2,false,,,,,1464672187437,0
serverInfo,,,,,,,,,83,19.984012789768187,1464672187437,0
animation,,,,,,,,,,,1464672187473,36
attack,,,,,,,,,,,1464672187496,23
attackInfo,,,,,,,0.9795339593385277,3.3569413754095643,,,1464672187496,0
serverInfo,,,,,,,,,83,19.948134849391582,1464672187496,0
move,0.02616557884017734,-0.2635637745677357,0.0,-0.21457672,2,false,,,,,1464672187537,41
serverInfo,,,,,,,,,83,19.984012789768187,1464672187537,0
move,0.0513715950913749,-0.06837473632263169,-0.8583144,-2.1457672,2,false,,,,,1464672187537,0
serverInfo,,,,,,,,,83,19.984012789768187,1464672187537,0
animation,,,,,,,,,,,1464672187571,34
attack,,,,,,,,,,,1464672187605,34
attackInfo,,,,,,,0.981225774636237,3.841296894888836,,,1464672187605,0
serverInfo,,,,,,,,,83,19.91238550378335,1464672187605,0
move,0.2784136945060194,0.0,-3.218678,-0.42915344,2,true,,,,,1464672187637,32
serverInfo,,,,,,,,,83,19.984012789768187,1464672187637,0
move,0.36786770144217584,0.0,-1.9312077,-0.42915344,2,true,,,,,1464672187637,0
serverInfo,,,,,,,,,83,19.984012789768187,1464672187637,0
animation,,,,,,,,,,,1464672187666,29
attack,,,,,,,,,,,1464672187684,18
attackInfo,,,,,,,0.9887978701141469,3.6089000437231875,,,1464672187684,0
serverInfo,,,,,,,,,83,19.798059790140567,1464672187684,0
move,0.15423765993239513,0.0,1.716629,-1.502037,2,true,,,,,1464672187687,3
serverInfo,,,,,,,,,83,19.98800719568259,1464672187687,0
