# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.40139525333992054,0.0,1.2874713,2.3604126,2,true,,,,,1464521310571,???
serverInfo,,,,,,,,,63,19.948134849391582,1464521310571,0
move,0.47091428484202424,0.0,0.85831404,0.64367676,2,true,,,,,1464521310622,51
serverInfo,,,,,,,,,63,19.948134849391582,1464521310622,0
move,0.5082366749173275,0.0,5.5790415,-9.012329,2,true,,,,,1464521310673,51
serverInfo,,,,,,,,,63,19.940179461615156,1464521310673,0
animation,,,,,,,,,,,1464521310696,23
move,0.528686414103646,0.0,-1.5020504,0.21459961,2,true,,,,,1464521310722,26
serverInfo,,,,,,,,,63,19.948134849391582,1464521310722,0
move,0.54064370149284,0.0,1.716629,2.5749512,2,true,,,,,1464521310776,54
serverInfo,,,,,,,,,63,19.928258270227182,1464521310776,0
move,0.5451618568927472,0.0,0.8583145,10.299805,2,true,,,,,1464521310776,0
serverInfo,,,,,,,,,63,19.928258270227182,1464521310776,0
animation,,,,,,,,,,,1464521310824,48
attack,,,,,,,,,,,1464521310856,32
attackInfo,,,,,,,0.973933106601217,3.8200626520284793,,,1464521310856,0
serverInfo,,,,,,,,,63,19.813750743015653,1464521310856,0
move,0.2170359077328925,0.0,-3.2186775,0.21459961,2,true,,,,,1464521310874,18
serverInfo,,,,,,,,,67,19.93620414673046,1464521310874,0
move,0.3706943550584185,0.0,4.5061483,-9.012329,2,true,,,,,1464521310925,51
serverInfo,,,,,,,,,67,19.93620414673046,1464521310925,0
animation,,,,,,,,,,,1464521310974,49
move,0.454242951452585,0.0,-4.076992,4.291565,2,true,,,,,1464521310974,0
serverInfo,,,,,,,,,67,19.93620414673046,1464521310974,0
move,0.49924078834122554,0.0,-2.7895207,1.9312134,2,true,,,,,1464521311025,51
serverInfo,,,,,,,,,67,19.93620414673046,1464521311025,0
move,0.5243379531580388,0.0,-1.2874713,-1.5020752,2,true,,,,,1464521311073,48
serverInfo,,,,,,,,,67,19.940179461615156,1464521311073,0
move,0.5372554622249908,0.0,3.0040998,2.145813,2,true,,,,,1464521311117,44
serverInfo,,,,,,,,,67,19.968051118210862,1464521311117,0
animation,,,,,,,,,,,1464521311128,11
attack,,,,,,,,,,,1464521311150,22
attackInfo,,,,,,,0.8923222764959318,3.3049768862127316,,,1464521311150,0
serverInfo,,,,,,,,,67,19.8373338623289,1464521311150,0
move,0.42531160354147346,0.0,4.7683716E-7,3.0042114,2,true,,,,,1464521311175,25
