# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.34566668835260705,0.0,2.5749435,-5.57959,2,true,,,,,1464672253252,???
serverInfo,,,,,,,,,94,19.99600079984003,1464672253252,0
move,0.36059480315353876,0.0,3.6478367,-4.0773926,2,true,,,,,1464672253301,49
serverInfo,,,,,,,,,94,20.0,1464672253301,0
animation,,,,,,,,,,,1464672253314,13
move,0.38392486850085006,0.0,4.9353085,4.7211914,2,true,,,,,1464672253351,37
serverInfo,,,,,,,,,94,20.0,1464672253351,0
move,0.3112780818939179,0.376375000000003,6.6519375,13.303589,2,true,,,,,1464672253401,50
serverInfo,,,,,,,,,94,20.0,1464672253401,0
jump,,,,,,,,,,,1464672253401,0
animation,,,,,,,,,,,1464672253407,6
attack,,,,,,,,,,,1464672253431,24
attackInfo,,,,,,,0.627477253378521,3.580086366306318,,,1464672253431,0
serverInfo,,,,,,,,,94,19.880715705765407,1464672253431,0
move,0.17628919193362425,0.29044750565290656,6.22278,20.1698,2,false,,,,,1464672253451,20
serverInfo,,,,,,,,,94,20.0,1464672253451,0
move,0.15039222165733135,0.20623855955381742,1.716629,25.749268,2,false,,,,,1464672253501,50
serverInfo,,,,,,,,,94,20.0,1464672253501,0
animation,,,,,,,,,,,1464672253530,29
move,0.10169680786970803,0.12371379077054456,-3.433258,16.52246,2,false,,,,,1464672253551,21
serverInfo,,,,,,,,,95,20.0,1464672253551,0
move,0.05784581918534881,0.04283951578890566,-7.2956734,-3.0042725,2,false,,,,,1464672253601,50
serverInfo,,,,,,,,,95,20.0,1464672253601,0
animation,,,,,,,,,,,1464672253626,25
move,0.04420554288247125,-0.03641727523564953,-3.6478367,-16.092163,2,false,,,,,1464672253651,25
serverInfo,,,,,,,,,95,20.0,1464672253651,0
move,0.01355535198772806,-0.11408893195141445,-2.5749435,-10.514648,2,false,,,,,1464672253701,50
serverInfo,,,,,,,,,95,20.0,1464672253701,0
animation,,,,,,,,,,,1464672253714,13
move,0.01233537066433632,-0.190207157014342,-3.8624153,1.5021973,2,false,,,,,1464672253751,37
serverInfo,,,,,,,,,95,20.0,1464672253751,0
move,0.011225187628050914,-0.26480301902784475,-3.433258,0.6437988,2,false,,,,,1464672253801,50
serverInfo,,,,,,,,,95,20.0,1464672253801,0
move,-0.010371313132230053,-0.33790696522388686,-1.0728931,-1.9313965,2,false,,,,,1464672253851,50
serverInfo,,,,,,,,,95,20.0,1464672253851,0
animation,,,,,,,,,,,1464672253878,27
move,-0.035927648847683624,-0.09619102331303964,0.0,-0.6437988,2,false,,,,,1464672253901,23
serverInfo,,,,,,,,,95,20.0,1464672253901,0
move,0.12392726249410257,0.0,0.0,1080.0,2,true,,,,,1464672253951,50
serverInfo,,,,,,,,,95,20.0,1464672253951,0
move,0.23866405485199582,0.0,-0.21457863,-1080.0,2,true,,,,,1464672254001,50
serverInfo,,,,,,,,,95,20.0,1464672254001,0
move,0.1189383506875088,0.0,0.0,0.21459961,2,true,,,,,1464672254051,50
serverInfo,,,,,,,,,95,20.0,1464672254051,0
animation,,,,,,,,,,,1464672254089,38
move,0.06032605344308428,0.0,0.0,-1.5021973,2,true,,,,,1464672254101,12
serverInfo,,,,,,,,,95,20.0,1464672254101,0
move,0.04758804602885236,0.0,-0.21457863,-4.291992,2,true,,,,,1464672254151,50
serverInfo,,,,,,,,,95,20.0,1464672254151,0
animation,,,,,,,,,,,1464672254189,38
move,0.0626996490901035,0.0,0.0,-4.935791,2,true,,,,,1464672254201,12
serverInfo,,,,,,,,,95,20.0,1464672254201,0
animation,,,,,,,,,,,1464672254237,36
move,0.09835250200263668,0.0,0.8583145,-6.2232666,2,true,,,,,1464672254251,14
serverInfo,,,,,,,,,95,20.0,1464672254251,0
move,0.1270924612043689,0.0,1.0728931,-2.145996,2,true,,,,,1464672254301,50
serverInfo,,,,,,,,,95,20.0,1464672254301,0
animation,,,,,,,,,,,1464672254323,22
move,0.1474070891744247,0.0,0.6437359,-1.072998,2,true,,,,,1464672254351,28
serverInfo,,,,,,,,,95,20.0,1464672254351,0
move,0.19249044139962834,0.0,0.42915726,-8.154541,2,true,,,,,1464672254401,50
serverInfo,,,,,,,,,95,20.0,1464672254401,0
animation,,,,,,,,,,,1464672254410,9
attack,,,,,,,,,,,1464672254410,0
attackInfo,,,,,,,0.49241521527680815,3.252077563417152,,,1464672254410,0
serverInfo,,,,,,,,,95,19.964064683569575,1464672254410,0
move,0.2419630458570663,0.0,-1.716629,-18.238403,2,true,,,,,1464672254451,41
serverInfo,,,,,,,,,95,20.0,1464672254451,0
move,0.2518515012389606,0.0,-3.0040994,-18.238525,2,true,,,,,1464672254501,50
serverInfo,,,,,,,,,95,20.0,1464672254501,0
animation,,,,,,,,,,,1464672254545,44
move,0.023653139948842883,0.376375000000003,-1.7166281,-8.583496,2,true,,,,,1464672254552,7
serverInfo,,,,,,,,,95,19.99600079984003,1464672254552,0
jump,,,,,,,,,,,1464672254552,0
move,0.04755963687390086,0.29044750565290656,2.3603635,0.42919922,2,false,,,,,1464672254601,49
serverInfo,,,,,,,,,95,20.0,1464672254601,0
animation,,,,,,,,,,,1464672254634,33
move,0.05487733629803687,0.20623855955381742,7.510249,6.652466,2,false,,,,,1464672254652,18
serverInfo,,,,,,,,,95,19.99600079984003,1464672254652,0
move,0.05960241007870232,0.12371379077054456,4.2915726,3.2189941,2,false,,,,,1464672254701,49
serverInfo,,,,,,,,,95,20.0,1464672254701,0
animation,,,,,,,,,,,1464672254731,30
