# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.10268313697059028,0.0,0.0,-0.85839844,2,true,,,,,1464672182486,???
serverInfo,,,,,,,,,93,19.98800719568259,1464672182486,0
move,0.10591558237451792,0.0,0.42915726,-1.2875977,2,true,,,,,1464672182486,0
serverInfo,,,,,,,,,93,19.98800719568259,1464672182486,0
animation,,,,,,,,,,,1464672182518,32
attack,,,,,,,,,,,1464672182518,0
attackInfo,,,,,,,0.8467958158231083,0.7614714907331711,,,1464672182518,0
serverInfo,,,,,,,,,93,19.860973187686195,1464672182518,0
move,-0.11499683665958038,0.0,1.5020504,-2.5751953,2,true,,,,,1464672182534,16
serverInfo,,,,,,,,,93,19.99600079984003,1464672182534,0
move,-0.08290190862702751,0.0,1.9312077,0.0,2,true,,,,,1464672182584,50
serverInfo,,,,,,,,,93,19.99600079984003,1464672182584,0
move,0.0687143278501825,0.0,2.5749435,0.42919922,2,true,,,,,1464672182634,50
serverInfo,,,,,,,,,93,19.99600079984003,1464672182634,0
animation,,,,,,,,,,,1464672182670,36
move,1.1217873485088354,0.376375000000003,4.9353075,5.7938232,2,true,,,,,1464672182684,14
serverInfo,,,,,,,,,93,19.99600079984003,1464672182684,0
jump,,,,,,,,,,,1464672182684,0
move,0.595041787218971,0.29044750565290656,5.793623,13.518555,2,false,,,,,1464672182734,50
serverInfo,,,,,,,,,93,19.99600079984003,1464672182734,0
animation,,,,,,,,,,,1464672182758,24
move,0.5133169059308891,0.20623855955381742,3.2186794,21.67279,2,false,,,,,1464672182834,76
serverInfo,,,,,,,,,93,19.99600079984003,1464672182834,0
move,0.43385235084359763,0.12371379077054456,-1.0728931,17.595459,2,false,,,,,1464672182834,0
serverInfo,,,,,,,,,93,19.99600079984003,1464672182834,0
animation,,,,,,,,,,,1464672182880,46
attack,,,,,,,,,,,1464672182880,0
attackInfo,,,,,,,0.900008087745044,2.9158950797198626,,,1464672182880,0
serverInfo,,,,,,,,,93,19.813750743015653,1464672182880,0
move,0.20499564350584976,0.04283951578890566,-3.2186794,5.1499634,2,false,,,,,1464672182884,4
serverInfo,,,,,,,,,93,19.99600079984003,1464672182884,0
move,0.155042778036929,-0.03641727523564953,-4.076994,1.2875977,2,false,,,,,1464672182934,50
serverInfo,,,,,,,,,93,19.99600079984003,1464672182934,0
animation,,,,,,,,,,,1464672182969,35
attack,,,,,,,,,,,1464672182969,0
attackInfo,,,,,,,0.9677371909229059,3.231270652975038,,,1464672182969,0
serverInfo,,,,,,,,,93,19.857029388403497,1464672182969,0
move,0.0515447616265412,-0.11408893195141445,-6.0082016,-5.793701,2,false,,,,,1464672182985,16
serverInfo,,,,,,,,,93,19.992003198720514,1464672182985,0
move,0.014411439043499286,-0.190207157014342,-3.433258,2.3603516,2,false,,,,,1464672183034,49
serverInfo,,,,,,,,,93,19.99600079984003,1464672183034,0
animation,,,,,,,,,,,1464672183082,48
attack,,,,,,,,,,,1464672183082,0
attackInfo,,,,,,,0.979257924316238,3.3078837413923066,,,1464672183082,0
serverInfo,,,,,,,,,93,19.801980198019802,1464672183083,1
move,0.01032884868155648,-0.26480301902784475,-1.0728931,2.3605347,2,false,,,,,1464672183085,2
serverInfo,,,,,,,,,93,19.992003198720514,1464672183085,0
move,0.026656181644582944,-0.33790696522388686,0.0,0.6437988,2,false,,,,,1464672183135,50
serverInfo,,,,,,,,,93,19.992003198720514,1464672183135,0
animation,,,,,,,,,,,1464672183173,38
attack,,,,,,,,,,,1464672183173,0
attackInfo,,,,,,,0.9609810133820502,4.18387381774352,,,1464672183173,0
serverInfo,,,,,,,,,93,19.841269841269842,1464672183173,0
move,0.8666470777206072,0.29187499999999744,0.42915726,1.7167969,2,false,,,,,1464672183185,12
serverInfo,,,,,,,,,93,19.992003198720514,1464672183185,0
jump,,,,,,,,,,,1464672183185,0
move,0.7585424819413049,0.20763750404119463,0.21457863,3.0043335,2,false,,,,,1464672183234,49
serverInfo,,,,,,,,,93,19.99600079984003,1464672183234,0
move,0.6610089420052212,0.1250847563948625,-0.8583145,2.3605957,2,false,,,,,1464672183284,50
serverInfo,,,,,,,,,93,19.99600079984003,1464672183284,0
animation,,,,,,,,,,,1464672183332,48
move,0.5724114602867516,0.044183062126890604,-0.21457863,0.42919922,2,false,,,,,1464672183335,3
serverInfo,,,,,,,,,93,19.992003198720514,1464672183335,0
move,0.4917877495993821,-0.035100599798802534,0.21457863,0.0,2,false,,,,,1464672183384,49
serverInfo,,,,,,,,,93,19.99600079984003,1464672183384,0
animation,,,,,,,,,,,1464672183432,48
move,0.41842017075942906,-0.11279858999819936,0.21457863,0.0,2,false,,,,,1464672183435,3
serverInfo,,,,,,,,,93,19.992003198720514,1464672183435,0
move,0.35173530459485036,-0.18894262187557587,0.0,0.21459961,2,false,,,,,1464672183485,50
serverInfo,,,,,,,,,93,19.992003198720514,1464672183485,0
animation,,,,,,,,,,,1464672183517,32
move,0.32007913640594055,-0.2635637745677357,-0.21457863,0.42919922,2,false,,,,,1464672183535,18
serverInfo,,,,,,,,,93,19.992003198720514,1464672183535,0
move,0.29127202252381323,-0.16456575963567133,-0.42915726,1.072998,2,false,,,,,1464672183585,50
serverInfo,,,,,,,,,93,19.992003198720514,1464672183585,0
move,0.06702681556350143,0.0,0.0,0.42919922,2,true,,,,,1464672183635,50
serverInfo,,,,,,,,,93,19.992003198720514,1464672183635,0
move,0.11657102773981265,0.0,0.21457863,-0.6437988,2,true,,,,,1464672183685,50
serverInfo,,,,,,,,,93,19.992003198720514,1464672183685,0
move,0.21764850854800954,0.0,0.0,720.0,2,true,,,,,1464672183735,50
serverInfo,,,,,,,,,93,19.992003198720514,1464672183735,0
move,0.27283681947954364,0.0,0.0,0.0,2,true,,,,,1464672183785,50
serverInfo,,,,,,,,,93,19.992003198720514,1464672183785,0
move,0.3029696407481701,0.0,0.0,0.0,2,true,,,,,1464672183835,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672183835,0
move,0.31942216307184523,0.0,0.0,0.0,2,true,,,,,1464672183885,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672183885,0
move,0.3313757356339089,0.0,-2.1457863,-719.1416,2,true,,,,,1464672183935,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672183935,0
move,0.43676330834908583,0.0,-0.21457851,0.21459961,2,true,,,,,1464672183985,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672183985,0
move,0.4943049297351827,0.0,0.0,720.0,2,true,,,,,1464672184034,49
serverInfo,,,,,,,,,94,19.99600079984003,1464672184034,0
move,0.5257226586612376,0.0,0.0,0.0,2,true,,,,,1464672184085,51
serverInfo,,,,,,,,,94,19.992003198720514,1464672184085,0
move,0.5428767406473582,0.0,0.0,0.0,2,true,,,,,1464672184135,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672184135,0
move,0.5525436057348934,0.0,-0.21457851,-719.3562,2,true,,,,,1464672184185,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672184185,0
move,0.5585321051939296,0.0,-0.21457851,1.9313965,2,true,,,,,1464672184235,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672184235,0
move,0.5621869393388295,0.0,0.0,1.7167969,2,true,,,,,1464672184285,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672184285,0
animation,,,,,,,,,,,1464672184310,25
move,0.5642144494550649,0.0,0.0,0.21459961,2,true,,,,,1464672184335,25
serverInfo,,,,,,,,,94,19.992003198720514,1464672184335,0
move,0.5634421654596729,0.0,0.6437355,-5.364685,2,true,,,,,1464672184385,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672184385,0
animation,,,,,,,,,,,1464672184408,23
move,0.5545718603272611,0.0,1.0728931,-9.226868,2,true,,,,,1464672184435,27
serverInfo,,,,,,,,,94,19.992003198720514,1464672184435,0
move,0.528285168322288,0.0,0.8583145,-12.445435,2,true,,,,,1464672184485,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672184485,0
animation,,,,,,,,,,,1464672184521,36
move,0.3114100383387708,0.0,0.8583145,-10.943359,2,true,,,,,1464672184535,14
serverInfo,,,,,,,,,94,19.992003198720514,1464672184535,0
move,0.15903007955593296,0.0,0.8583145,-7.7249756,2,true,,,,,1464672184585,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672184585,0
move,0.05701000622457286,0.0,1.9312077,-4.291809,2,true,,,,,1464672184635,50
serverInfo,,,,,,,,,94,19.992003198720514,1464672184635,0
animation,,,,,,,,,,,1464672184659,24
attack,,,,,,,,,,,1464672184663,4
