# EVENT,Y_DELTA,PITCH,YAW,TIMESTAMP,offset
move,-0.26480301902785186,10.849972,175.69986,1464490190963,???
move,-0.33790696522387975,12.649968,169.24985,1464490191013,50
move,0.2763750000000016,13.249967,165.04987,1464490191065,52
move,0.19244750374555508,12.199969,169.39983,1464490191113,48
animation,,,,1464490191135,22
attack,,,,1464490191135,0
move,0.11019855581541549,12.199969,169.54982,1464490191163,28
move,0.029594585275091845,12.04997,170.7498,1464490191213,50
move,-0.04939730739181414,11.449971,172.84978,1464490191263,50
animation,,,,1464490191282,19
move,-0.12680936371204155,11.74997,172.69978,1464490191313,31
move,-0.20267318038237647,12.199969,172.3998,1464490191363,50
move,-0.2770197221662869,12.649969,171.04984,1464490191413,50
move,-0.04890709449658459,12.049971,162.04982,1464490191463,50
animation,,,,1464490191485,22
move,0.0,11.449972,157.99983,1464490191513,28
move,0.0,11.449972,157.99983,1464490191563,50
move,0.2763750000000016,11.299973,158.14983,1464490191613,50
move,0.19244750374555508,8.299977,154.39989,1464490191663,50
animation,,,,1464490191698,35
move,0.11019855581541549,8.149978,153.9499,1464490191713,15
move,-0.019802722116722293,8.299977,152.59993,1464490191813,100
move,-0.12680936371204155,7.8499775,151.69997,1464490191863,50
animation,,,,1464490191910,47
move,-0.20267318038237647,8.449977,149.9,1464490191914,4
move,-0.22973579334983185,8.749976,149.75,1464490191963,49
move,0.0,9.049975,148.85002,1464490192014,51
animation,,,,1464490192035,21
move,0.0,9.199975,148.70003,1464490192063,28
move,0.3216249999999974,10.249972,147.80005,1464490192114,51
move,0.23679250460862988,10.549972,147.50006,1464490192164,50
move,0.15365665750704238,10.99997,145.5501,1464490192213,49
animation,,,,1464490192237,24
move,0.07218352576178688,12.199969,145.2501,1464490192264,27
move,-0.09356708857900742,17.899961,157.10004,1464490192364,100
animation,,,,1464490192412,48
attack,,,,1464490192412,0
move,-0.1625888079673672,17.749962,159.80002,1464490192415,3
move,-0.23773703643503552,17.749962,159.95001,1464490192464,49
move,-0.2903647548960464,17.749962,160.40001,1464490192514,50
move,0.0,17.299963,165.95,1464490192564,50
animation,,,,1464490192594,30
attack,,,,1464490192594,0
move,0.3216249999999974,16.249966,176.60002,1464490192614,20
move,0.23679250460862988,15.499968,183.05005,1464490192664,50
move,0.15365665750704238,15.349968,184.40004,1464490192714,50
animation,,,,1464490192739,25
attack,,,,1464490192739,0
move,0.07218352576178688,15.499968,186.20001,1464490192764,25
move,-0.09356708857900742,17.299963,198.35,1464490192865,101
animation,,,,1464490192911,46
attack,,,,1464490192911,0
move,-0.1625888079673672,18.34996,203.45003,1464490192915,4
move,-0.23773703643503552,18.19996,204.95001,1464490192965,50
move,-0.2903647548960464,18.64996,207.19998,1464490193015,50
animation,,,,1464490193037,22
attack,,,,1464490193037,0
move,0.0,18.34996,210.94994,1464490193065,28
move,0.3216249999999974,18.19996,211.39993,1464490193115,50
move,0.23679250460862988,18.19996,211.54993,1464490193165,50
move,0.15365665750704238,17.899961,211.69992,1464490193215,50
animation,,,,1464490193237,22
attack,,,,1464490193237,0
move,0.07218352576178688,17.749962,213.34991,1464490193265,28
move,-0.007660144902530419,17.449963,215.14989,1464490193315,50
move,-0.085906943676477,17.599962,222.9499,1464490193365,50
animation,,,,1464490193410,45
attack,,,,1464490193410,0
move,-0.1625888079673672,16.249966,226.54985,1464490193416,6
move,-0.23773703643503552,15.949966,227.74983,1464490193466,50
move,-0.2903647548960464,15.949966,235.09982,1464490193515,49
move,0.0,15.349968,245.14981,1464490193566,51
animation,,,,1464490193582,16
attack,,,,1464490193582,0
move,0.3216249999999974,14.299971,248.59978,1464490193615,33
move,0.23679250460862988,13.699972,249.94974,1464490193666,51
move,0.15365665750704238,13.249973,249.94975,1464490193716,50
move,0.07218352576178688,12.199975,249.34976,1464490193766,50
animation,,,,1464490193800,34
move,-0.09356708857900742,11.149978,251.14972,1464490193866,66
move,-0.1625888079673672,11.899976,253.2497,1464490193916,50
move,-0.23773703643503552,12.049975,255.49966,1464490193966,50
animation,,,,1464490193981,15
attack,,,,1464490193981,0
move,-0.2903647548960464,12.199975,255.94966,1464490194016,35
move,0.3216249999999974,12.199975,256.39966,1464490194066,50
move,0.23679250460862988,11.899976,251.14969,1464490194116,50
animation,,,,1464490194136,20
move,0.15365665750704238,11.599977,239.89966,1464490194166,30
move,0.07218352576178688,13.399973,237.94969,1464490194216,50
move,-0.09356708857900742,17.749966,238.54967,1464490194316,100
animation,,,,1464490194341,25
move,-0.1625888079673672,19.249962,244.39966,1464490194366,25
move,-0.23773703643503552,19.099962,259.69968,1464490194416,50
move,-0.2903647548960464,18.049965,269.29968,1464490194466,50
animation,,,,1464490194511,45
attack,,,,1464490194511,0
move,0.0,17.299967,267.64975,1464490194518,7
move,0.2763750000000016,17.299967,268.24973,1464490194567,49
move,0.19244750374555508,17.599966,266.2998,1464490194616,49
move,0.11019855581541549,17.299967,260.2999,1464490194666,50
animation,,,,1464490194702,36
attack,,,,1464490194702,0
move,-0.019802722116722293,18.949963,258.19998,1464490194766,64
move,-0.12680936371204155,19.69996,256.10007,1464490194816,50
animation,,,,1464490194843,27
attack,,,,1464490194843,0
move,-0.20267318038237647,19.549961,256.10007,1464490194868,25
move,-0.22973579334983185,19.549961,256.10007,1464490194917,49
move,0.0,18.799963,257.30002,1464490194966,49
move,0.0,17.899965,258.05,1464490195017,51
animation,,,,1464490195053,36
attack,,,,1464490195053,0
move,0.2763750000000016,17.749966,258.19998,1464490195067,14
move,0.19244750374555508,17.599966,258.49997,1464490195117,50
move,0.11019855581541549,17.749966,258.64996,1464490195168,51
animation,,,,1464490195213,45
attack,,,,1464490195213,0
move,-0.019802722116722293,19.69996,255.20007,1464490195267,54
move,-0.12680936371204155,19.84996,255.95006,1464490195317,50
move,-0.20267318038237647,19.249962,257.30002,1464490195371,54
animation,,,,1464490195417,46
attack,,,,1464490195417,0
move,-0.22973579334983185,18.949963,258.79996,1464490195418,1
move,0.0,17.449966,267.7999,1464490195467,49
move,0.0,16.24997,265.69995,1464490195517,50
animation,,,,1464490195541,24
attack,,,,1464490195541,0
move,0.2763750000000016,16.699968,261.20007,1464490195568,27
move,0.19244750374555508,17.449966,255.95016,1464490195617,49
move,0.11019855581541549,17.299967,234.6502,1464490195668,51
animation,,,,1464490195690,22
attack,,,,1464490195690,0
move,0.029594585275091845,19.099962,218.00018,1464490195717,27
move,-0.04939730739181414,19.99996,215.3002,1464490195767,50
move,-0.12680936371204155,20.449959,215.00021,1464490195818,51
animation,,,,1464490195854,36
attack,,,,1464490195854,0
move,-0.20267318038237647,20.29996,213.50023,1464490195868,14
move,-0.22973579334983185,20.449959,213.20024,1464490195918,50
move,0.0,20.29996,212.60025,1464490195968,50
move,0.0,18.649963,210.65028,1464490196018,50
animation,,,,1464490196053,35
move,0.3763749999999959,18.499964,212.00027,1464490196069,16
move,0.29044750565290656,18.949963,214.70027,1464490196118,49
move,0.20623855955381032,20.449959,229.40031,1464490196168,50
move,0.12371379077055167,21.049957,240.95033,1464490196218,50
animation,,,,1464490196230,12
move,0.04283951578891276,21.949955,240.20038,1464490196268,38
move,-0.03641727523564953,22.399954,240.50037,1464490196318,50
move,-0.11408893195141445,21.049957,234.65038,1464490196368,50
animation,,,,1464490196405,37
move,-0.190207157014342,19.399961,226.70035,1464490196418,13
move,-0.26480301902785186,19.399961,219.50034,1464490196468,50
move,-0.33790696522387975,19.099962,213.95035,1464490196518,50
move,0.2763750000000016,16.09997,198.65031,1464490196568,50
move,0.19244750374555508,14.749973,184.7003,1464490196618,50
animation,,,,1464490196654,36
move,0.11019855581541549,15.799972,183.65034,1464490196668,14
move,0.029594585275091845,15.799972,183.80034,1464490196718,50
move,-0.04939730739181414,15.649972,181.85036,1464490196768,50
animation,,,,1464490196821,53
move,-0.12680936371204155,15.799972,181.70036,1464490196868,47
move,-0.20267318038237647,15.949971,181.85036,1464490196868,0
move,-0.2770197221662869,16.84997,189.35031,1464490196919,51
move,-0.04890709449658459,17.14997,198.65033,1464490196969,50
animation,,,,1464490196993,24
move,0.0,17.299969,204.80031,1464490197018,25
move,0.0,17.299969,205.2503,1464490197068,50
move,0.3763749999999959,16.69997,204.95032,1464490197118,50
animation,,,,1464490197205,87
move,0.29044750565290656,14.749975,202.55037,1464490197218,13
move,0.20623855955381032,14.449976,200.90039,1464490197219,1
move,0.12371379077055167,14.449976,200.4504,1464490197269,50
move,0.04283951578891276,14.749975,199.4004,1464490197319,50
animation,,,,1464490197360,41
move,-0.03641727523564953,14.899975,199.25041,1464490197369,9
move,-0.11408893195141445,17.149971,199.7004,1464490197419,50
move,-0.190207157014342,20.599964,204.65038,1464490197469,50
move,-0.26480301902785186,20.449965,204.65038,1464490197519,50
animation,,,,1464490197539,20
move,-0.33790696522387975,21.499962,205.40034,1464490197569,30
animation,,,,1464490197605,36
move,0.3216249999999974,25.399952,215.90033,1464490197620,15
move,0.23679250460862988,27.04995,241.85033,1464490197669,49
move,0.15365665750704238,27.499949,259.40042,1464490197719,50
animation,,,,1464490197729,10
attack,,,,1464490197729,0
animation,,,,1464490198148,419
attack,,,,1464490198148,0
animation,,,,1464490198148,0
attack,,,,1464490198149,1
move,0.07218352576178688,27.649948,261.0504,1464490198170,21
move,-0.007660144902530419,27.19995,262.55035,1464490198171,1
move,-0.085906943676477,25.849953,266.7502,1464490198171,0
move,-0.1625888079673672,24.499956,268.55014,1464490198171,0
move,-0.23773703643503552,23.599958,269.00012,1464490198171,0
move,-0.3113823017666846,22.84996,269.3001,1464490198171,0
move,0.4000000000000057,22.249962,269.9001,1464490198171,0
move,0.31360000610351335,21.499964,272.44998,1464490198171,0
move,0.22892801043701638,20.299967,273.49994,1464490198171,0
