# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,offset
move,0.0,0.0,0.0,1464492698897,???
move,0.0,0.0,0.0,1464492698947,50
move,0.0,0.0,0.0,1464492698997,50
move,0.0,0.29999924,0.4499817,1464492698997,0
animation,,,,1464492699032,35
attack,,,,1464492699032,0
move,0.0,0.89999866,0.7499695,1464492699047,15
move,0.0,3.4499989,4.4999695,1464492699147,100
animation,,,,1464492699160,13
attack,,,,1464492699160,0
move,0.0,3.7499924,13.649994,1464492699197,37
move,0.41999998688697815,0.14999962,0.8999634,1464492699197,0
move,0.33319999363422426,0.0,0.0,1464492699247,50
move,0.24813599859093927,1.199997,-1.4999695,1464492699297,50
move,0.1647732818260721,4.4999924,-2.0999146,1464492699347,50
animation,,,,1464492699390,43
attack,,,,1464492699390,0
move,0.08307781780646906,1.4999962,0.4499817,1464492699397,7
move,0.0,4.0499916,2.8499146,1464492699497,100
move,-0.07840000152587834,4.950001,6.449951,1464492699497,0
animation,,,,1464492699522,25
attack,,,,1464492699522,0
move,-0.15523200451660557,0.15000153,0.0,1464492699547,25
move,-0.23052736891296632,-0.15000153,-1.1999817,1464492699597,50
move,-0.30431682745754074,-2.5500107,-9.450043,1464492699647,50
animation,,,,1464492699686,39
attack,,,,1464492699686,0
move,-0.37663049823865435,-4.0499935,-7.3499756,1464492699697,11
move,-0.1040803780930375,-0.7499981,0.2999878,1464492699747,50
move,0.41999998688697815,0.8999977,-3.2999878,1464492699797,50
animation,,,,1464492699862,65
attack,,,,1464492699862,0
move,0.33319999363422426,2.5499935,-8.400085,1464492699897,35
move,0.24813599859093927,4.350008,-6.1498413,1464492699897,0
move,0.1647732818260721,3.900013,-1.7999268,1464492699947,50
move,0.08307781780646906,0.30000305,-7.799988,1464492699997,50
animation,,,,1464492700018,21
attack,,,,1464492700018,0
move,0.0,-0.45000458,-9.899994,1464492700047,29
move,-0.07840000152587834,0.90000916,-2.9999695,1464492700097,50
move,-0.15523200451660557,-0.45000458,0.2999878,1464492700147,50
animation,,,,1464492700170,23
attack,,,,1464492700170,0
move,-0.23052736891296632,-1.5000153,2.0999298,1464492700197,27
move,-0.30431682745754074,-0.45000458,0.2999878,1464492700247,50
move,-0.37663049823865435,-1.3500061,0.4499817,1464492700297,50
move,-0.1040803780930375,-3.450016,0.8999634,1464492700347,50
animation,,,,1464492700386,39
attack,,,,1464492700386,0
move,0.0,-0.7500076,0.4499817,1464492700397,11
move,0.0,-0.29999924,1.3499756,1464492700497,100
move,0.0,-0.44999886,6.299988,1464492700497,0
move,0.0,-0.44999886,2.549942,1464492700547,50
animation,,,,1464492700573,26
attack,,,,1464492700573,0
move,0.0,-0.29999924,0.8999634,1464492700597,24
animation,,,,1464492700658,61
move,0.41999998688697815,-0.8999977,4.649933,1464492700697,39
move,0.33319999363422426,-0.5999985,6.8999023,1464492700697,0
animation,,,,1464492700729,32
attack,,,,1464492700729,0
move,0.24813599859093927,-0.44999886,10.350128,1464492700747,18
move,0.1647732818260721,-1.6499958,5.699829,1464492700797,50
move,0.08307781780646906,-2.399994,2.6999207,1464492700897,100
move,0.0,-1.4999962,0.1499939,1464492700897,0
animation,,,,1464492700956,59
attack,,,,1464492700956,0
move,-0.07840000152587834,-0.29999924,-0.1499939,1464492700997,41
move,-0.15523200451660557,0.0,-1.9499512,1464492700997,0
move,-0.23052736891296632,0.44999886,-5.849884,1464492701047,50
animation,,,,1464492701065,18
attack,,,,1464492701065,0
move,-0.30431682745754074,0.0,0.0,1464492701097,32
move,-0.37663049823865435,0.0,0.1499939,1464492701147,50
move,-0.1040803780930375,0.44999886,0.1499939,1464492701197,50
move,0.41999998688697815,0.14999962,0.7499695,1464492701247,50
animation,,,,1464492701266,19
animation,,,,1464492701266,0
move,0.33319999363422426,0.0,-3.749939,1464492701297,31
move,0.24813599859093927,-0.14999962,-10.350067,1464492701347,50
move,0.1647732818260721,-1.199997,-15.150055,1464492701397,50
animation,,,,1464492701439,42
attack,,,,1464492701439,0
move,0.08307781780646906,-0.14999962,-8.549988,1464492701447,8
move,0.0,1.0499973,-2.2499542,1464492701497,50
animation,,,,1464492701856,359
attack,,,,1464492701856,0
animation,,,,1464492701856,0
attack,,,,1464492701856,0
move,-0.07840000152587834,0.8999977,-1.9499512,1464492701897,41
move,-0.15523200451660557,0.0,0.0,1464492701897,0
move,-0.23052736891296632,0.0,0.0,1464492701897,0
move,-0.30431682745754074,0.0,0.0,1464492701897,0
move,-0.37663049823865435,0.0,1.0499878,1464492701897,0
move,-0.1040803780930375,-0.14999962,0.59999084,1464492701897,0
move,0.0,0.0,0.0,1464492701897,0
move,0.41999998688697815,0.29999924,0.89997864,1464492701897,0
move,0.33319999363422426,0.7499981,3.4499664,1464492701947,50
animation,,,,1464492701970,23
attack,,,,1464492701970,0
move,0.24813599859093927,0.8999977,0.5999756,1464492701997,27
move,0.1647732818260721,3.5999908,3.4499664,1464492702047,50
move,0.08307781780646906,4.2000084,9.600021,1464492702097,50
animation,,,,1464492702133,36
attack,,,,1464492702133,0
move,0.0,3.0000153,4.19989,1464492702147,14
move,-0.07840000152587834,2.2500076,2.2499084,1464492702197,50
move,-0.15523200451660557,-0.30000305,2.5499268,1464492702247,50
animation,,,,1464492702270,23
attack,,,,1464492702270,0
move,-0.23052736891296632,-1.3500137,6.599884,1464492702297,27
move,-0.30431682745754074,-0.6000061,2.3999023,1464492702347,50
move,-0.37663049823865435,-1.2000122,8.550018,1464492702397,50
animation,,,,1464492702470,73
attack,,,,1464492702470,0
move,-0.1040803780930375,-3.9000168,6.44989,1464492702497,27
move,0.0,-1.6499977,1.9499512,1464492702497,0
move,0.0,-0.7499981,1.9499207,1464492702597,100
move,0.0,0.0,0.0,1464492702597,0
animation,,,,1464492702619,22
attack,,,,1464492702619,0
move,0.0,0.0,0.1499939,1464492702647,28
move,0.0,0.0,0.0,1464492702697,50
animation,,,,1464492702771,74
attack,,,,1464492702771,0
move,0.0,1.4999962,9.899841,1464492702797,26
move,0.0,-0.44999886,1.3499451,1464492702847,50
move,0.0,-0.29999924,0.2999878,1464492702897,50
animation,,,,1464492702934,37
