# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,ANGLE_DOT,DISTANCE,offset
move,0.0,0.7499981,717.5999,1464497583648,,,???
move,0.0,-0.14999962,-719.39996,1464497583698,,,50
move,0.0,-0.89999866,1.9501953,1464497583748,,,50
animation,,,,1464497583770,,,22
attack,,,,1464497583770,,,0
serverInfo,,,,1464497583770,0.9784702529905391,2.4940181972648316,0
move,0.0,-0.5999985,2.1000977,1464497583798,,,28
move,0.0,-1.199997,3.6002197,1464497583848,,,50
move,0.0,-0.44999886,4.9500732,1464497583898,,,50
move,0.0,-0.5999985,11.399963,1464497583948,,,50
animation,,,,1464497583964,,,16
attack,,,,1464497583964,,,0
serverInfo,,,,1464497583964,0.9900158410722207,1.9842447275314026,0
move,0.0,-1.2000008,3.4501953,1464497583998,,,34
move,0.0,-4.200001,13.949951,1464497584048,,,50
move,0.0,1.6500008,19.349976,1464497584098,,,50
animation,,,,1464497584135,,,37
move,0.0,2.8500009,1.3500977,1464497584148,,,13
move,0.0,1.6500001,5.8500977,1464497584198,,,50
move,0.0,0.5999985,-8.400024,1464497584248,,,50
animation,,,,1464497584283,,,35
move,0.0,2.2499952,-25.950012,1464497584298,,,15
move,0.0,2.0999956,0.45007324,1464497584348,,,50
move,0.0,1.3499966,46.80005,1464497584398,,,50
animation,,,,1464497584424,,,26
move,0.0,-7.649999,57.900146,1464497584448,,,24
move,0.0,-3.7499998,6.300049,1464497584498,,,50
move,0.0,1.0500004,-1.2001343,1464497584548,,,50
animation,,,,1464497584585,,,37
move,0.0,-0.1500001,-13.199951,1464497584598,,,13
move,0.0,1.8000011,-29.699951,1464497584648,,,50
move,0.0,2.9999986,-14.550049,1464497584698,,,50
animation,,,,1464497584722,,,24
attack,,,,1464497584722,,,0
serverInfo,,,,1464497584722,0.7549236853981602,0.801068332898628,0
move,0.0,5.249998,36.749817,1464497584748,,,26
move,0.0,-5.8499994,50.549866,1464497584798,,,50
move,0.0,-2.5500002,17.099976,1464497584848,,,50
animation,,,,1464497584896,,,48
attack,,,,1464497584896,,,0
serverInfo,,,,1464497584896,0.8819615404789747,0.8365516617324716,0
move,0.0,11.100002,-31.049866,1464497584898,,,2
move,0.0,9.450003,-12.299927,1464497584948,,,50
move,0.0,-0.8999977,-4.9500732,1464497584998,,,50
move,0.0,-2.399994,15.449951,1464497585048,,,50
animation,,,,1464497585088,,,40
attack,,,,1464497585088,,,0
serverInfo,,,,1464497585088,0.6400136443410314,1.2446918083373408,0
move,0.0,-9.750001,49.49994,1464497585098,,,10
move,0.0,-4.7999964,34.349945,1464497585148,,,50
move,0.0,-6.2999983,-10.650024,1464497585198,,,50
animation,,,,1464497585227,,,29
attack,,,,1464497585227,,,0
serverInfo,,,,1464497585227,0.9846406889107452,1.27632750239214,0
move,0.0,-14.550001,-12.0000305,1464497585248,,,21
move,0.0,-21.3,-2.1001587,1464497585348,,,100
