# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.1457033960175309,-0.09356708857900742,2.5499992,-7.2000046,,,,,1464498772903,???
move,0.06739616927680103,-0.1625888079673672,5.3999996,-6.7500076,,,,,1464498772952,49
move,0.06338829214368502,-0.23773703643502841,-1.0499973,-2.399994,,,,,1464498773002,50
animation,,,,,,,,,1464498773014,12
attack,,,,,,,,,1464498773014,0
serverInfo,,,,,0.19893358234261754,0.5078973093703478,133,19.94415636218588,1464498773014,0
move,0.05688886788971814,-0.2903647548960464,0.44999886,-2.9999847,,,,,1464498773052,38
move,0.032261485481267727,0.0,3.89999,-6.449997,,,,,1464498773102,50
move,-0.031009708887065557,0.0,0.5999985,-12.450012,,,,,1464498773102,0
move,-0.10964962717728,0.0,-1.0499973,-21.449997,,,,,1464498773152,50
animation,,,,,,,,,1464498773208,56
animation,,,,,,,,,1464498773208,0
move,-0.1295100090859833,0.0,0.8999996,-4.6499786,,,,,1464498773252,44
animation,,,,,,,,,1464498773275,23
move,-0.06037649132853318,0.0,2.2499962,-2.550003,,,,,1464498773302,27
move,0.7137680215835687,0.376375000000003,-1.199997,-9.150024,,,,,1464498773352,50
jump,,,,,,,,,1464498773352,0
animation,,,,,,,,,1464498773396,44
attack,,,,,,,,,1464498773396,0
serverInfo,,,,,0.8869169775238575,0.7581401947771101,133,19.817677368212443,1464498773396,0
move,0.38032424903429884,0.29044750565290656,1.0499973,-11.850006,,,,,1464498773402,6
move,0.3474684346664674,0.20623855955381742,5.8499966,-22.65001,,,,,1464498773403,1
move,0.3364482656419163,0.12371379077054456,-5.100004,-44.099976,,,,,1464498773503,100
move,0.33368643299443335,0.04283951578890566,-10.350006,-49.950073,,,,,1464498773553,50
animation,,,,,,,,,1464498773590,37
move,0.3306256360145561,-0.03641727523564953,-1.6499958,-6.449951,,,,,1464498773603,13
move,0.3209172162907663,-0.11408893195141445,-0.14999962,13.200012,,,,,1464498773603,0
move,0.3020265687857986,-0.190207157014342,-0.29999924,24.449982,,,,,1464498773703,100
animation,,,,,,,,,1464498773713,10
animation,,,,,,,,,1464498773713,0
move,0.25357677084092245,-0.26480301902784475,-1.949995,25.799957,,,,,1464498773753,40
animation,,,,,,,,,1464498773761,8
move,0.20268497149209352,-0.33790696522388686,-2.2499971,1.9499817,,,,,1464498773803,42
move,0.17146760871279199,-0.09619102331303964,-0.29999924,-2.0999146,,,,,1464498773803,0
move,0.23224959024753744,0.0,-0.14999962,4.800049,,,,,1464498773853,50
animation,,,,,,,,,1464498773933,80
animation,,,,,,,,,1464498773933,0
move,0.18382091604290807,0.0,-0.7499981,10.950058,,,,,1464498773953,20
animation,,,,,,,,,1464498773980,27
move,0.12058373616955365,0.0,-2.3999949,15.899994,,,,,1464498774003,23
move,0.7213071151077664,0.376375000000003,-2.0999947,25.950012,,,,,1464498774053,50
jump,,,,,,,,,1464498774053,0
move,0.3770138905293976,0.29044750565290656,-1.8000007,19.800003,,,,,1464498774103,50
animation,,,,,,,,,1464498774106,3
move,0.32389463233570126,0.20623855955381742,-0.4500003,6.4499817,,,,,1464498774153,47
move,0.2745339241052278,0.12371379077054456,0.3000002,2.9999847,,,,,1464498774153,0
move,0.2294185428850426,0.04283951578890566,0.0,0.59999084,,,,,1464498774253,100
move,0.18528756129975577,-0.03641727523564953,2.3999987,10.500015,,,,,1464498774303,50
animation,,,,,,,,,1464498774313,10
move,0.14475102246658267,-0.11408893195141445,-0.4499998,1.5,,,,,1464498774353,40
move,0.10786277106523201,-0.190207157014342,-0.9000001,0.0,,,,,1464498774353,0
move,0.07430636422648718,-0.26480301902784475,-0.1500001,-0.1499939,,,,,1464498774453,100
move,0.04020605101853647,-0.33790696522388686,0.0,0.0,,,,,1464498774503,50
animation,,,,,,,,,1464498774514,11
move,0.9063372576236546,0.333750000000002,0.0,0.0,,,,,1464498774553,39
jump,,,,,,,,,1464498774554,1
move,0.7973541858308728,0.24867500483989602,0.0,0.0,,,,,1464498774554,0
move,0.698179587641178,0.16530150796032217,0.0,0.0,,,,,1464498774603,49
move,0.6079127578269308,0.08359547942811218,0.0,-0.1499939,,,,,1464498774703,100
move,0.5294886773757881,0.0,0.1500001,-0.2999878,,,,,1464498774754,51
move,0.4583119453883171,-0.07840000152587834,0.3000002,-0.74998474,,,,,1464498774754,0
move,0.39335193413321434,-0.15523200451659847,0.2999997,0.74998474,,,,,1464498774803,49
move,0.33408960720169745,-0.23052736891296632,0.29999924,0.5999756,,,,,1464498774854,51
move,0.2798348581834773,-0.30431682745754074,0.7499981,1.3499603,,,,,1464498774953,99
move,0.24039600276606166,-0.15903681312838813,0.14999962,0.2999878,,,,,1464498775003,50
move,0.14772119503456338,0.0,0.0,0.44999695,,,,,1464498775053,50
move,-0.037773284540087104,0.0,0.29999924,1.3499756,,,,,1464498775153,100
move,-0.09023490294314485,0.0,0.0,1.199997,,,,,1464498775203,50
move,-0.10989013527390057,0.0,0.0,0.0,,,,,1464498775203,0
move,-0.12062189337297724,0.0,0.0,0.0,,,,,1464498775303,100
move,-0.12745936365724475,0.0,0.0,-0.44999695,,,,,1464498775353,50
move,-0.13248664715474234,0.0,-0.14999962,-0.59999084,,,,,1464498775353,0
move,-0.14067303668659292,0.0,-2.0999985,-2.5499573,,,,,1464498775453,100
move,-0.15677330003771317,0.0,-3.1500015,-5.699997,,,,,1464498775503,50
move,-0.1667425823439217,0.0,-0.3000002,-0.59999084,,,,,1464498775553,50
animation,,,,,,,,,1464498775556,3
move,-0.17218581111536224,0.0,0.0,0.0,,,,,1464498775603,47
move,-0.06894126170244164,0.0,-0.1500001,1.0499878,,,,,1464498775653,50
move,0.02507220208644867,0.0,0.0,0.0,,,,,1464498775704,51
animation,,,,,,,,,1464498775723,19
move,0.0387616260157273,0.0,1.0500007,0.0,,,,,1464498775754,31
move,0.047689139083061605,0.0,1.9500012,0.5999756,,,,,1464498775804,50
animation,,,,,,,,,1464498775850,46
attack,,,,,,,,,1464498775850,0
serverInfo,,,,,0.7988854674890808,1.9786376580879332,129,19.801980198019802,1464498775850,0
move,0.052563561784062074,0.0,3.6,0.0,,,,,1464498775854,4
move,0.06066346251294874,0.0,3.5999975,2.2499695,,,,,1464498775854,0
move,0.0654425153808944,0.0,0.4499998,0.1499939,,,,,1464498775905,51
animation,,,,,,,,,1464498775991,86
attack,,,,,,,,,1464498775991,0
serverInfo,,,,,0.5131193669888992,1.2324976993879622,129,19.8373338623289,1464498775991,0
move,0.07271817717773388,0.41999998688697815,3.7499971,1.9499512,,,,,1464498776004,13
jump,,,,,,,,,1464498776004,0
move,0.04645557912944298,0.33319999363422426,10.950003,-1.3499908,,,,,1464498776005,1
move,0.050170534973403846,0.24813599859093927,15.300001,2.4000092,,,,,1464498776104,99
animation,,,,,,,,,1464498776147,43
attack,,,,,,,,,1464498776147,0
serverInfo,,,,,0.5187673555494499,1.3415134711572365,129,19.813750743015653,1464498776147,0
move,0.03848536870456698,0.1647732818260721,10.650002,13.800018,,,,,1464498776154,7
move,0.38803156478703116,0.2763750000000016,2.7000008,5.549988,,,,,1464498776154,0
move,0.33665876859612354,0.19244750374555508,0.0,0.0,,,,,1464498776254,100
move,0.2901530840574864,0.11019855581541549,0.0,-0.59999084,,,,,1464498776304,50
animation,,,,,,,,,1464498776321,17
animation,,,,,,,,,1464498776321,0
move,0.24640799475037767,0.029594585275091845,0.6000061,3.5999908,,,,,1464498776354,33
animation,,,,,,,,,1464498776360,6
move,0.2001898106136153,-0.04939730739181414,-4.500004,19.649994,,,,,1464498776404,44
move,0.15780555499910065,-0.12680936371204155,-10.799992,27.899986,,,,,1464498776404,0
animation,,,,,,,,,1464498776446,42
attack,,,,,,,,,1464498776446,0
serverInfo,,,,,0.6932731634104614,2.5006034188390247,129,19.821605550049554,1464498776446,0
move,0.11551554380385909,-0.20267318038237647,-7.200001,10.650002,,,,,1464498776454,8
move,0.0773232053907762,-0.2770197221662869,-2.4000168,3.900032,,,,,1464498776555,101
move,0.054845741864099296,-0.3498793345325737,-0.7500038,0.30000305,,,,,1464498776604,49
animation,,,,,,,,,1464498776646,42
animation,,,,,,,,,1464498776646,0
move,0.03493723872168886,-0.42128175604121765,-2.1000004,1.3500137,,,,,1464498776654,8
move,0.018633324388087402,-0.3476642415479674,-4.0499935,4.350029,,,,,1464498776655,1
move,0.1041866085827543,0.11075000000000301,-6.2999935,9.749992,,,,,1464498776755,100
jump,,,,,,,,,1464498776755,0
move,0.05233942115954093,0.03013500058651175,-6.8999996,9.149994,,,,,1464498776805,50
animation,,,,,,,,,1464498776826,21
move,0.04408668607282351,-0.048867700376320045,-4.6499996,2.10001,,,,,1464498776855,29
move,0.03867247167492849,-0.09201730021019472,-5.550001,4.350006,,,,,1464498776905,50
animation,,,,,,,,,1464498776949,44
move,0.12194928373574854,0.0,-2.4,-8.550011,,,,,1464498776955,6
move,0.12620390226314981,0.0,1.5000001,-1.3500023,,,,,1464498777055,100
move,0.14406271602742393,0.0,0.1500001,0.0,,,,,1464498777105,50
move,0.15444428759525408,0.0,0.1500001,0.30000305,,,,,1464498777105,0
animation,,,,,,,,,1464498777152,47
move,0.16776317678453978,0.0,2.5500014,3.7500076,,,,,1464498777155,3
move,0.20425367053470112,0.0,3.4499998,16.65001,,,,,1464498777255,100
move,0.2434865477906385,0.0,0.44999886,11.400002,,,,,1464498777255,0
animation,,,,,,,,,1464498777298,43
attack,,,,,,,,,1464498777298,0
serverInfo,,,,,0.8535754713523437,2.194733212013296,129,19.813750743015653,1464498777298,0
move,-0.08069981408119631,0.376375000000003,0.0,0.14999962,,,,,1464498777305,7
jump,,,,,,,,,1464498777305,0
move,-0.05542729515161682,0.29044750565290656,-0.29999924,1.949997,,,,,1464498777405,100
move,-0.056892331788962025,0.20623855955381742,-0.44999886,10.500001,,,,,1464498777455,50
animation,,,,,,,,,1464498777466,11
move,-0.05442830068916393,0.12371379077054456,0.44999886,7.8,,,,,1464498777505,39
move,-0.051742966784669164,0.04283951578890566,2.249999,0.9000006,,,,,1464498777505,0
move,-0.05150698508465368,-0.03641727523564953,0.29999924,-4.5,,,,,1464498777555,50
move,-0.059904580184959144,-0.11408893195141445,1.4999981,-18.45,,,,,1464498777605,50
animation,,,,,,,,,1464498777646,41
move,-0.06832920675468301,-0.190207157014342,1.1999979,-1.800003,,,,,1464498777655,9
move,-0.07394812356584168,-0.26480301902784475,-0.7499981,4.649996,,,,,1464498777755,100
move,-0.07906133801143156,-0.33790696522388686,-0.14999962,0.0,,,,,1464498777805,50
animation,,,,,,,,,1464498777832,27
move,-0.6515159282088128,0.376375000000003,-0.14999962,0.14999962,,,,,1464498777855,23
jump,,,,,,,,,1464498777855,0
move,-0.02578393049531158,0.29044750565290656,-1.0499973,2.9999962,,,,,1464498777905,50
animation,,,,,,,,,1464498777950,45
