# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,-0.1238198542493123,0.0,-0.29999924,0.1499939,0,true,,,,,1464576188467,???
serverInfo,,,,,,,,,417,20.0,1464576188467,0
move,-0.1419896186227323,0.0,-0.89999866,0.7499695,0,true,,,,,1464576188517,50
serverInfo,,,,,,,,,417,20.0,1464576188517,0
move,-0.15871826796748678,0.0,-1.7999973,2.3999176,0,true,,,,,1464576188567,50
serverInfo,,,,,,,,,417,20.0,1464576188567,0
animation,,,,,,,,,,,1464576188621,54
attack,,,,,,,,,,,1464576188621,0
attackInfo,,,,,,,0.7839950605984748,2.4595379437180886,,,1464576188621,0
serverInfo,,,,,,,,,417,19.984012789768187,1464576188621,0
move,-0.0650039302781984,0.0,1.9499989,1.1999817,0,true,,,,,1464576188667,46
serverInfo,,,,,,,,,417,20.0,1464576188667,0
move,-0.048691993520679766,0.0,1.9499979,0.4499817,0,true,,,,,1464576188717,50
serverInfo,,,,,,,,,417,20.0,1464576188717,0
move,-0.11361255055421982,0.0,0.0,0.44999695,0,true,,,,,1464576188767,50
serverInfo,,,,,,,,,417,20.0,1464576188767,0
animation,,,,,,,,,,,1464576188780,13
attack,,,,,,,,,,,1464576188780,0
attackInfo,,,,,,,0.7765598502037514,3.4297207313128615,,,1464576188780,0
serverInfo,,,,,,,,,417,19.948134849391582,1464576188780,0
move,-0.05048236942362472,0.0,2.8499966,-0.2999878,0,true,,,,,1464576188817,37
serverInfo,,,,,,,,,417,20.0,1464576188817,0
move,-0.1278905855450505,0.0,2.9999943,5.249939,0,true,,,,,1464576188817,0
serverInfo,,,,,,,,,417,20.0,1464576188817,0
move,-0.2054623334240313,0.0,1.199997,15.000015,0,true,,,,,1464576188867,50
serverInfo,,,,,,,,,417,20.0,1464576188867,0
animation,,,,,,,,,,,1464576188940,73
attack,,,,,,,,,,,1464576188940,0
attackInfo,,,,,,,0.8443107966824659,3.8073231778940873,,,1464576188940,0
serverInfo,,,,,,,,,417,19.908421262193908,1464576188940,0
move,-0.13338628364861282,0.0,2.399994,22.649963,0,true,,,,,1464576188967,27
serverInfo,,,,,,,,,417,20.0,1464576188967,0
move,-0.09828850884645135,0.0,1.949995,11.399979,0,true,,,,,1464576189017,50
serverInfo,,,,,,,,,417,20.0,1464576189017,0
move,-0.16995023090355232,0.0,0.14999962,0.5999756,0,true,,,,,1464576189067,50
serverInfo,,,,,,,,,417,20.0,1464576189067,0
animation,,,,,,,,,,,1464576189106,39
attack,,,,,,,,,,,1464576189106,0
attackInfo,,,,,,,0.7615012741216555,3.273486347179702,,,1464576189106,0
serverInfo,,,,,,,,,417,19.845207382417147,1464576189106,0
move,-0.20720333037434369,0.0,0.0,0.0,0,true,,,,,1464576189117,11
serverInfo,,,,,,,,,417,20.0,1464576189117,0
move,-0.14577789942213482,0.0,0.0,1.3499908,0,true,,,,,1464576189117,0
serverInfo,,,,,,,,,417,20.0,1464576189117,0
move,-0.19501594790245136,0.0,-0.14999962,17.849998,0,true,,,,,1464576189217,100
serverInfo,,,,,,,,,417,20.0,1464576189217,0
animation,,,,,,,,,,,1464576189261,44
move,-0.15099617740772864,0.0,-1.6499958,18.300003,0,true,,,,,1464576189267,6
serverInfo,,,,,,,,,417,20.0,1464576189267,0
move,-0.09033458648173465,0.0,-1.199997,2.4000092,0,true,,,,,1464576189267,0
serverInfo,,,,,,,,,417,20.0,1464576189267,0
move,-0.12865991431226398,0.0,-0.7499981,-13.949997,0,true,,,,,1464576189367,100
serverInfo,,,,,,,,,417,20.0,1464576189367,0
move,-0.21910435401376382,0.0,-3.5999908,-28.499992,0,true,,,,,1464576189367,0
serverInfo,,,,,,,,,417,20.0,1464576189367,0
animation,,,,,,,,,,,1464576189403,36
attack,,,,,,,,,,,1464576189403,0
attackInfo,,,,,,,0.6009650864149292,1.9869741495125768,,,1464576189403,0
serverInfo,,,,,,,,,417,19.857029388403497,1464576189403,0
move,-0.15236174937713187,0.0,-0.7499981,-2.5500183,0,true,,,,,1464576189417,14
serverInfo,,,,,,,,,417,20.0,1464576189417,0
move,-0.1960404356843668,0.0,-0.44999886,3.2999573,0,true,,,,,1464576189467,50
serverInfo,,,,,,,,,417,20.0,1464576189467,0
move,-0.15315361332776067,0.0,0.0,0.1499939,0,true,,,,,1464576189567,100
serverInfo,,,,,,,,,417,20.0,1464576189567,0
animation,,,,,,,,,,,1464576189584,17
attack,,,,,,,,,,,1464576189584,0
attackInfo,,,,,,,0.8674764822701343,0.747705881656545,,,1464576189584,0
serverInfo,,,,,,,,,417,19.932230416583614,1464576189584,0
move,-0.0887033266372459,0.0,0.14999962,-2.3999634,0,true,,,,,1464576189617,33
serverInfo,,,,,,,,,417,20.0,1464576189617,0
move,-0.10609515347470122,0.0,0.8999977,-8.099945,0,true,,,,,1464576189667,50
serverInfo,,,,,,,,,417,20.0,1464576189667,0
move,-0.1411641258703895,0.0,-0.14999962,-8.849945,0,true,,,,,1464576189667,0
serverInfo,,,,,,,,,417,20.0,1464576189667,0
animation,,,,,,,,,,,1464576189730,63
attack,,,,,,,,,,,1464576189730,0
attackInfo,,,,,,,-0.6395237692056367,0.6000491940231747,,,1464576189730,0
serverInfo,,,,,,,,,417,19.948134849391582,1464576189730,0
move,-0.09096175581795318,0.0,-0.14999962,-2.550003,0,true,,,,,1464576189767,37
serverInfo,,,,,,,,,417,20.0,1464576189767,0
move,-0.06502937112108409,0.0,0.44999886,-3.5999908,0,true,,,,,1464576189817,50
serverInfo,,,,,,,,,417,20.0,1464576189817,0
move,-0.06575750542786274,0.0,-0.14999962,-12.600052,0,true,,,,,1464576189817,0
serverInfo,,,,,,,,,417,20.0,1464576189817,0
move,-0.02433398016116861,0.0,0.8999977,-15.900055,0,true,,,,,1464576189867,50
serverInfo,,,,,,,,,417,20.0,1464576189867,0
move,1.012757800847293,0.376375000000003,1.7999954,-4.9499664,0,true,,,,,1464576189967,100
serverInfo,,,,,,,,,417,20.0,1464576189967,0
jump,,,,,,,,,,,1464576189967,0
move,0.5529658234910517,0.29044750565290656,-0.44999886,5.0999603,0,false,,,,,1464576190017,50
serverInfo,,,,,,,,,417,20.0,1464576190017,0
move,0.5031989138789656,0.20623855955381742,-0.5999985,11.850006,0,false,,,,,1464576190017,0
serverInfo,,,,,,,,,417,20.0,1464576190017,0
animation,,,,,,,,,,,1464576190053,36
move,0.4579110248267755,0.12371379077054456,-0.14999962,3.4500122,0,false,,,,,1464576190067,14
serverInfo,,,,,,,,,417,20.0,1464576190067,0
move,0.4158531131311607,0.04283951578890566,0.0,0.0,0,false,,,,,1464576190117,50
serverInfo,,,,,,,,,417,20.0,1464576190117,0
move,0.38201240701703565,-0.03641727523564953,0.0,9.0,0,false,,,,,1464576190217,100
serverInfo,,,,,,,,,417,20.0,1464576190217,0
animation,,,,,,,,,,,1464576190226,9
attack,,,,,,,,,,,1464576190226,0
attackInfo,,,,,,,0.9605282863288334,2.7238347089515935,,,1464576190226,0
serverInfo,,,,,,,,,417,19.964064683569575,1464576190226,0
move,0.3503368169306462,-0.11408893195141445,0.29999924,12.899979,0,false,,,,,1464576190267,41
serverInfo,,,,,,,,,417,20.0,1464576190267,0
move,0.3164800802121519,-0.190207157014342,0.0,0.0,0,false,,,,,1464576190267,0
serverInfo,,,,,,,,,417,20.0,1464576190267,0
move,0.28799688129307555,-0.26480301902784475,0.0,1.0499878,0,false,,,,,1464576190317,50
serverInfo,,,,,,,,,417,20.0,1464576190317,0
animation,,,,,,,,,,,1464576190384,67
animation,,,,,,,,,,,1464576190384,0
move,0.2570034648893458,-0.33790696522388686,0.0,0.0,0,false,,,,,1464576190417,33
serverInfo,,,,,,,,,417,20.0,1464576190417,0
move,0.22885965537466024,-0.09619102331303964,0.29999924,-1.4999847,0,false,,,,,1464576190467,50
serverInfo,,,,,,,,,417,20.0,1464576190467,0
move,1.1617161854435816,0.4661249999999981,-0.14999962,-0.30000305,0,true,,,,,1464576190517,50
serverInfo,,,,,,,,,416,20.0,1464576190517,0
jump,,,,,,,,,,,1464576190517,0
move,0.6039904604735398,0.378402507364747,0.0,0.0,0,false,,,,,1464576190617,100
serverInfo,,,,,,,,,416,20.0,1464576190617,0
move,0.5247529056222744,0.2924344629090285,-0.14999962,-0.59999084,0,false,,,,,1464576190667,50
serverInfo,,,,,,,,,416,20.0,1464576190667,0
animation,,,,,,,,,,,1464576190707,40
move,0.44556690149595735,0.20818577770270963,-0.29999924,-1.3499756,0,false,,,,,1464576190717,10
serverInfo,,,,,,,,,416,20.0,1464576190717,0
move,0.39907424000193803,0.1256220645936139,-0.14999962,0.0,0,false,,,,,1464576190717,0
serverInfo,,,,,,,,,416,20.0,1464576190717,0
move,0.338310859534543,0.04470962417191515,-0.44999886,1.1999664,0,false,,,,,1464576190817,100
serverInfo,,,,,,,,,416,20.0,1464576190817,0
move,0.27430457452019263,-0.03458456898464135,-1.199997,4.9499664,0,false,,,,,1464576190867,50
serverInfo,,,,,,,,,416,20.0,1464576190867,0
animation,,,,,,,,,,,1464576190907,40
move,0.21524374692269044,-0.11229287979047342,-1.4999962,3.8999329,0,false,,,,,1464576190917,10
